,Date,Open,High,Low,Close,Adj Close,Volume
4194,2019-06-14,21.0,21.1,20.4,20.6,20.6,2905594.0
4193,2019-06-13,21.05,21.25,20.8,21.05,21.05,1502079.0
4192,2019-06-12,20.95,21.1,20.8,21.0,21.0,1482336.0
4191,2019-06-11,21.05,21.15,20.8,21.05,21.05,2092531.0
4190,2019-06-10,21.35,21.4,21.0,21.15,21.15,1423033.0
4189,2019-06-07,21.1,21.35,20.9,21.25,21.25,1287629.0
4188,2019-06-06,21.25,21.45,20.8,21.1,21.1,4007134.0
4187,2019-06-04,21.85,22.35,21.25,21.35,21.35,4278032.0
4186,2019-06-03,21.15,22.1,20.9,22.0,22.0,2377581.0
4185,2019-05-31,21.75,21.75,20.95,21.15,21.15,3588619.0
4184,2019-05-30,21.6,22.0,21.5,21.6,21.6,1554501.0
4183,2019-05-29,22.0,22.35,21.5,21.6,21.6,1632246.0
4182,2019-05-28,21.7,22.45,21.6,22.3,22.3,3543345.0
4181,2019-05-27,20.95,22.05,20.6,21.55,21.55,3849944.0
4180,2019-05-24,20.65,21.1,20.55,20.95,20.95,1503963.0
4179,2019-05-23,20.85,21.4,20.5,20.55,20.55,1269519.0
4178,2019-05-22,20.65,21.05,20.35,20.55,20.55,1447807.0
4177,2019-05-21,21.7,22.0,20.65,20.7,20.7,2162603.0
4176,2019-05-20,21.0,21.45,20.6,21.3,21.3,2157074.0
4175,2019-05-17,20.4,20.55,20.15,20.3,20.3,1827828.0
4174,2019-05-16,21.0,21.0,19.7,20.25,20.25,5819950.0
4173,2019-05-15,21.45,21.9,20.85,21.05,21.05,1918077.0
4172,2019-05-14,21.4,21.8,21.15,21.4,21.4,1778046.0
4171,2019-05-13,21.8,22.1,21.4,21.65,21.65,1737788.0
4170,2019-05-10,21.8,22.15,21.65,21.8,21.8,977721.0
4169,2019-05-09,22.0,22.3,21.75,21.85,21.85,1481183.0
4168,2019-05-08,22.3,22.35,21.4,21.95,21.95,2990336.0
4167,2019-05-07,22.55,22.7,22.2,22.3,22.3,1182376.0
4166,2019-05-06,21.85,22.55,21.85,22.35,22.35,630047.0
4165,2019-05-03,22.5,22.75,22.4,22.6,22.6,1085659.0
4164,2019-05-02,22.0,22.65,21.9,22.5,22.5,1960081.0
4163,2019-04-30,22.35,22.65,22.05,22.15,22.15,1713659.0
4162,2019-04-26,22.35,22.7,22.1,22.25,22.25,3071865.0
4161,2019-04-25,22.4,22.8,22.15,22.35,22.35,1577039.0
4160,2019-04-24,22.65,22.8,22.25,22.35,22.35,1077096.0
4159,2019-04-23,22.85,23.2,22.4,22.6,22.6,1198964.0
4158,2019-04-22,22.5,22.9,22.25,22.7,22.7,1347850.0
4157,2019-04-18,23.6,23.75,22.65,22.7,22.7,2110483.0
4156,2019-04-16,23.45,23.75,23.3,23.4,23.4,1600810.0
4155,2019-04-15,24.1,24.4,23.4,23.6,23.6,4049518.0
4154,2019-04-12,23.1,24.1,23.1,23.9,23.9,7340110.0
4153,2019-04-11,22.85,23.3,22.65,23.1,23.1,3092378.0
4152,2019-04-10,21.9,23.0,21.9,22.75,22.75,4628816.0
4151,2019-04-09,22.05,22.35,21.8,22.1,22.1,1792554.0
4150,2019-04-08,22.25,22.35,21.85,22.0,22.0,1408198.0
4149,2019-04-05,22.35,22.5,22.05,22.15,22.15,1699097.0
4148,2019-04-04,22.5,22.55,21.9,22.2,22.2,2160409.0
4147,2019-04-03,23.5,23.6,22.15,22.5,22.5,3897223.0
4146,2019-04-02,23.65,24.15,23.15,23.45,23.45,4060742.0
4145,2019-04-01,22.7,23.75,22.7,23.5,23.5,4014161.0
4144,2019-03-28,23.25,23.55,22.85,22.95,22.95,2897540.0
4143,2019-03-27,22.25,23.25,21.7,22.95,22.95,8099498.0
4142,2019-03-26,21.7,22.25,21.65,22.1,22.1,1919974.0
4141,2019-03-25,22.1,22.2,21.65,21.8,21.8,1239117.0
4140,2019-03-22,22.3,22.9,22.05,22.2,22.2,2343224.0
4139,2019-03-20,22.25,22.5,22.1,22.25,22.25,1573318.0
4138,2019-03-19,22.05,22.6,22.0,22.15,22.15,2581069.0
4137,2019-03-18,22.75,22.95,21.95,22.2,22.2,2455204.0
4136,2019-03-15,23.8,24.2,22.45,22.75,22.75,3973913.0
4135,2019-03-14,24.75,24.75,23.6,23.7,23.7,2220169.0
4134,2019-03-13,24.7,25.3,24.4,24.5,24.5,4092764.0
4133,2019-03-12,24.2,25.25,24.0,24.5,24.5,6198522.0
4132,2019-03-11,23.25,24.2,23.2,23.95,23.95,4072387.0
4131,2019-03-08,23.7,23.85,22.95,23.1,23.1,2350581.0
4130,2019-03-07,24.1,24.6,23.45,23.6,23.6,4909199.0
4129,2019-03-06,23.0,24.7,22.9,23.8,23.8,7313690.0
4128,2019-03-05,22.0,23.25,21.9,22.8,22.8,4216778.0
4127,2019-03-01,21.25,21.9,21.25,21.75,21.75,1228357.0
4126,2019-02-28,21.3,21.35,20.95,21.15,21.15,1668640.0
4125,2019-02-27,21.4,21.75,21.0,21.15,21.15,2063126.0
4124,2019-02-26,21.15,21.4,21.1,21.25,21.25,1946267.0
4123,2019-02-25,21.95,22.0,21.5,21.6,21.6,1066160.0
4122,2019-02-22,21.7,22.3,21.55,21.9,21.9,1716951.0
4121,2019-02-21,21.3,22.3,21.2,21.7,21.7,1671161.0
4120,2019-02-20,21.25,21.4,21.0,21.2,21.2,1212379.0
4119,2019-02-19,21.2,21.4,21.1,21.15,21.15,660728.0
4118,2019-02-18,21.65,21.65,21.2,21.3,21.3,1339532.0
4117,2019-02-15,21.5,21.8,21.25,21.55,21.55,1845960.0
4116,2019-02-14,21.4,21.65,21.3,21.55,21.55,1677102.0
4115,2019-02-12,21.6,21.75,21.3,21.6,21.6,1283869.0
4114,2019-02-11,22.4,22.4,21.25,21.6,21.6,1936890.0
4113,2019-02-08,22.0,22.7,21.85,22.2,22.2,2215597.0
4112,2019-02-07,21.9,22.5,21.75,22.05,22.05,2369868.0
4111,2019-02-06,21.9,21.95,21.4,21.65,21.65,1931995.0
4110,2019-02-05,22.4,22.55,21.25,21.8,21.8,2046428.0
4109,2019-02-04,22.5,22.8,22.1,22.3,22.3,1362469.0
4108,2019-02-01,22.9,23.15,21.65,22.55,22.55,1386340.0
4107,2019-01-31,23.05,23.45,22.65,22.8,22.8,2711798.0
4106,2019-01-30,21.35,22.9,21.3,22.7,22.7,3463508.0
4105,2019-01-29,21.25,21.9,21.1,21.25,21.25,2319942.0
4104,2019-01-28,22.0,22.25,21.1,21.4,21.4,2321109.0
4103,2019-01-25,22.35,22.6,21.75,21.9,21.9,2104293.0
4102,2019-01-24,22.55,22.7,22.05,22.3,22.3,1938246.0
4101,2019-01-23,21.95,23.0,21.85,22.45,22.45,2876326.0
4100,2019-01-22,22.35,22.55,21.5,21.8,21.8,1942282.0
4099,2019-01-21,22.8,23.15,22.25,22.35,22.35,2034236.0
4098,2019-01-18,23.65,23.8,22.75,22.85,22.85,2104263.0
4097,2019-01-17,24.0,24.5,23.5,23.6,23.6,2370154.0
4096,2019-01-16,24.7,24.85,23.7,23.95,23.95,3381387.0
4095,2019-01-15,24.65,25.15,24.5,24.65,24.65,3431628.0
4094,2019-01-14,24.35,24.95,24.1,24.55,24.55,6250759.0
4093,2019-01-11,23.8,24.95,23.7,24.7,24.7,13302049.0
