,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,1843.0,1853.25,1816.35,1822.95,1822.95,632971.0
4873,2019-06-13,1847.05,1848.7,1823.05,1845.5,1845.5,697830.0
4872,2019-06-12,1838.0,1853.25,1822.05,1847.1,1847.1,709916.0
4871,2019-06-11,1855.1,1856.8,1832.1,1839.8,1839.8,591026.0
4870,2019-06-10,1839.8,1864.95,1835.0,1852.5,1852.5,814577.0
4869,2019-06-07,1833.0,1844.75,1815.0,1830.75,1830.75,698970.0
4868,2019-06-06,1822.15,1849.9,1812.1,1837.75,1837.75,1626007.0
4867,2019-06-04,1831.0,1845.5,1807.1,1815.6,1815.6,842283.0
4866,2019-06-03,1794.0,1845.0,1792.0,1839.7,1839.7,1415582.0
4865,2019-05-31,1786.7,1802.65,1764.0,1788.5,1788.5,1329926.0
4864,2019-05-30,1788.0,1792.0,1781.0,1784.25,1784.25,1038433.0
4863,2019-05-29,1775.0,1789.35,1770.4,1780.85,1780.85,899619.0
4862,2019-05-28,1775.0,1786.0,1754.5,1776.9,1776.9,2863139.0
4861,2019-05-27,1749.0,1775.95,1736.0,1771.95,1771.95,1373845.0
4860,2019-05-24,1754.0,1759.8,1727.1,1749.6,1749.6,1603085.0
4859,2019-05-23,1785.95,1804.9,1745.0,1753.85,1753.85,1551172.0
4858,2019-05-22,1785.0,1785.0,1747.35,1768.3,1768.3,1162653.0
4857,2019-05-21,1772.9,1797.45,1772.9,1785.25,1785.25,1337466.0
4856,2019-05-20,1760.0,1776.65,1734.85,1772.5,1772.5,1279236.0
4855,2019-05-17,1690.1,1742.2,1685.2,1736.8,1736.8,1502484.0
4854,2019-05-16,1674.7,1700.0,1672.2,1688.2,1688.2,714690.0
4853,2019-05-15,1700.0,1703.0,1666.95,1671.05,1671.05,1235429.0
4852,2019-05-14,1700.0,1710.0,1680.2,1698.5,1698.5,1442817.0
4851,2019-05-13,1692.0,1717.0,1688.7,1702.0,1702.0,1160287.0
4850,2019-05-10,1708.95,1709.0,1678.5,1687.45,1687.45,1000696.0
4849,2019-05-09,1680.1,1713.0,1677.0,1703.75,1703.75,1204995.0
4848,2019-05-08,1697.5,1697.5,1675.0,1688.7,1688.7,1243338.0
4847,2019-05-07,1678.8,1710.9,1672.5,1697.5,1697.5,2212617.0
4846,2019-05-06,1687.0,1687.0,1656.0,1668.9,1668.9,2373878.0
4845,2019-05-03,1720.0,1727.0,1682.0,1693.55,1693.55,1442888.0
4844,2019-05-02,1756.5,1762.5,1720.25,1723.55,1723.55,793819.0
4843,2019-04-30,1750.0,1762.0,1744.95,1757.7,1757.7,1171594.0
4842,2019-04-26,1738.0,1750.8,1726.15,1747.35,1747.35,772993.0
4841,2019-04-25,1756.0,1762.6,1727.2,1734.2,1734.2,1704890.0
4840,2019-04-24,1744.6,1755.0,1735.0,1752.6,1752.6,1169461.0
4839,2019-04-23,1742.0,1748.0,1733.1,1744.2,1744.2,802947.0
4838,2019-04-22,1740.0,1745.0,1730.1,1739.85,1739.85,717781.0
4837,2019-04-18,1738.55,1744.1,1729.25,1739.9,1739.9,1475552.0
4836,2019-04-16,1726.0,1742.0,1716.15,1738.55,1738.55,1625738.0
4835,2019-04-15,1725.0,1731.2,1713.1,1722.05,1722.05,1035378.0
4834,2019-04-12,1716.4,1724.7,1710.2,1721.65,1721.65,1437818.0
4833,2019-04-11,1703.0,1716.5,1698.05,1710.4,1710.4,2026954.0
4832,2019-04-10,1684.7,1704.65,1675.0,1694.15,1694.15,1720236.0
4831,2019-04-09,1668.8,1683.9,1662.25,1680.5,1680.5,1232434.0
4830,2019-04-08,1664.9,1679.75,1656.9,1664.9,1664.9,1647502.0
4829,2019-04-05,1670.0,1671.5,1650.0,1659.1,1659.1,1468074.0
4828,2019-04-04,1668.0,1686.6,1658.0,1666.55,1666.55,1212398.0
4827,2019-04-03,1682.0,1686.6,1668.65,1670.8,1670.8,1233102.0
4826,2019-04-02,1693.15,1697.0,1680.1,1687.15,1687.15,1227869.0
4825,2019-04-01,1710.0,1721.35,1686.0,1690.0,1690.0,1283162.0
4824,2019-03-28,1685.0,1692.0,1673.4,1683.9,1683.9,1852958.0
4823,2019-03-27,1684.0,1707.8,1675.0,1680.8,1680.8,1520533.0
4822,2019-03-26,1679.9,1691.55,1674.0,1683.8,1683.8,1452899.0
4821,2019-03-25,1674.0,1687.5,1660.0,1673.85,1673.85,2039945.0
4820,2019-03-22,1687.55,1703.85,1673.7,1678.05,1678.05,1636228.0
4819,2019-03-20,1705.0,1716.5,1683.45,1687.55,1687.55,2312268.0
4818,2019-03-19,1697.6,1709.4,1688.2,1699.65,1699.65,1456211.0
4817,2019-03-18,1710.0,1710.95,1686.9,1697.55,1697.55,1621113.0
4816,2019-03-15,1745.0,1746.5,1694.45,1698.4,1698.4,3571762.0
4815,2019-03-14,1750.75,1751.7,1730.2,1737.3,1737.3,867427.0
4814,2019-03-13,1749.0,1755.5,1741.1,1747.6,1747.6,1744331.0
4813,2019-03-12,1718.9,1739.0,1718.8,1734.8,1734.8,1861116.0
4812,2019-03-11,1708.75,1726.0,1703.0,1714.95,1714.95,1427771.0
4811,2019-03-08,1706.0,1718.0,1695.1,1701.6,1701.6,1419614.0
4810,2019-03-07,1706.35,1720.0,1699.8,1705.4,1705.4,1566441.0
4809,2019-03-06,1726.1,1730.0,1697.95,1699.8,1699.8,2193045.0
4808,2019-03-05,1739.8,1739.8,1717.5,1724.6,1724.6,1406843.0
4807,2019-03-01,1735.0,1749.0,1731.05,1734.65,1734.65,761115.0
4806,2019-02-28,1749.0,1756.65,1727.6,1732.65,1732.65,1895136.0
4805,2019-02-27,1779.0,1779.0,1728.55,1736.5,1736.5,1491740.0
4804,2019-02-26,1763.4,1785.9,1762.0,1772.25,1772.25,2190515.0
