,Date,Open,High,Low,Close,Adj Close,Volume
510,2019-06-14,39.7,40.0,39.45,39.75,39.75,384371.0
509,2019-06-13,40.25,40.25,39.6,39.85,39.85,572287.0
508,2019-06-12,40.6,40.9,40.2,40.3,40.3,394376.0
507,2019-06-11,40.8,41.25,39.8,40.95,40.95,847117.0
506,2019-06-10,41.3,41.5,40.15,40.65,40.65,606542.0
505,2019-06-07,41.85,42.05,40.7,40.9,40.9,746062.0
504,2019-06-06,43.45,43.5,41.4,41.7,41.7,600425.0
503,2019-06-04,43.15,43.9,42.8,43.3,43.3,813903.0
502,2019-06-03,42.95,42.95,42.1,42.7,42.7,592650.0
501,2019-05-31,43.6,43.85,42.6,42.8,42.8,669775.0
500,2019-05-30,44.4,44.5,43.25,43.55,43.55,868406.0
499,2019-05-29,45.8,45.8,44.4,44.6,44.6,993238.0
498,2019-05-28,44.5,46.5,43.35,45.6,45.6,4888357.0
497,2019-05-27,44.6,45.25,43.75,44.4,44.4,2340046.0
496,2019-05-24,41.8,44.3,41.6,44.1,44.1,2346266.0
495,2019-05-23,42.0,42.85,41.0,41.2,41.2,1067470.0
494,2019-05-22,40.8,41.3,40.1,40.95,40.95,585752.0
493,2019-05-21,41.95,41.95,40.0,40.75,40.75,578273.0
492,2019-05-20,40.3,41.9,39.55,41.55,41.55,928058.0
491,2019-05-17,38.5,38.7,38.25,38.6,38.6,405629.0
490,2019-05-16,38.0,38.75,37.5,38.55,38.55,602969.0
489,2019-05-15,38.6,38.9,37.8,37.95,37.95,452785.0
488,2019-05-14,38.6,38.8,37.5,38.6,38.6,567929.0
487,2019-05-13,38.9,39.15,37.95,38.2,38.2,566227.0
486,2019-05-10,39.05,39.15,38.75,39.05,39.05,496202.0
485,2019-05-09,39.3,39.35,38.6,38.7,38.7,528607.0
484,2019-05-08,40.6,40.6,38.55,39.2,39.2,778197.0
483,2019-05-07,41.0,41.25,40.35,40.55,40.55,325414.0
482,2019-05-06,41.1,41.25,40.75,40.85,40.85,370965.0
481,2019-05-03,41.4,41.65,41.2,41.3,41.3,318703.0
480,2019-05-02,41.6,41.7,41.15,41.35,41.35,374314.0
479,2019-04-30,42.1,42.25,41.2,41.4,41.4,537785.0
478,2019-04-26,42.75,42.75,42.2,42.35,42.35,452495.0
477,2019-04-25,43.15,43.2,42.6,42.65,42.65,506863.0
476,2019-04-24,43.15,43.35,42.6,42.9,42.9,459583.0
475,2019-04-23,43.15,43.45,42.95,43.15,43.15,394862.0
474,2019-04-22,44.0,44.05,43.1,43.15,43.15,535030.0
473,2019-04-18,44.7,44.85,43.95,44.05,44.05,536031.0
472,2019-04-16,45.0,45.25,44.6,44.7,44.7,477951.0
471,2019-04-15,44.25,45.5,44.25,44.9,44.9,857728.0
470,2019-04-12,44.3,44.7,44.15,44.2,44.2,385910.0
469,2019-04-11,44.6,44.85,44.1,44.3,44.3,347585.0
468,2019-04-10,44.75,45.2,44.6,44.75,44.75,536441.0
467,2019-04-09,44.9,45.15,44.55,44.75,44.75,413908.0
466,2019-04-08,45.0,46.2,44.65,44.85,44.85,832500.0
465,2019-04-05,44.7,45.6,44.7,45.1,45.1,490880.0
464,2019-04-04,45.05,45.3,44.6,44.8,44.8,538443.0
463,2019-04-03,46.0,46.55,45.05,45.2,45.2,957089.0
462,2019-04-02,45.75,46.0,45.25,45.75,45.75,637084.0
461,2019-04-01,45.3,46.75,45.1,45.75,45.75,1444688.0
460,2019-03-28,43.85,44.45,43.65,44.3,44.3,702456.0
459,2019-03-27,44.05,44.25,43.2,43.65,43.65,986512.0
458,2019-03-26,44.2,44.85,43.65,44.0,44.0,591442.0
457,2019-03-25,44.4,44.45,43.8,44.05,44.05,611118.0
456,2019-03-22,46.0,46.15,44.6,44.85,44.85,765846.0
455,2019-03-20,45.9,46.65,45.65,45.95,45.95,1893565.0
454,2019-03-19,44.9,46.25,44.85,45.55,44.875,1310315.0
453,2019-03-18,45.35,45.35,44.35,44.85,44.1854,853351.0
452,2019-03-15,44.8,45.55,44.3,44.5,43.8406,1054349.0
451,2019-03-14,44.85,45.05,44.2,44.65,43.9883,620871.0
450,2019-03-13,46.0,46.0,44.4,44.6,43.9391,1163698.0
449,2019-03-12,45.85,47.45,45.65,46.05,45.3676,2832699.0
448,2019-03-11,44.75,45.6,44.75,45.2,44.5302,1015074.0
447,2019-03-08,45.15,45.35,44.4,44.75,44.0869,725062.0
446,2019-03-07,46.65,46.9,45.25,45.4,44.7272,1472341.0
445,2019-03-06,44.0,47.8,44.0,46.3,45.6139,4421624.0
444,2019-03-05,41.5,44.1,41.5,43.65,43.0032,1512566.0
443,2019-03-01,40.7,42.3,40.6,41.8,41.1806,1045685.0
442,2019-02-28,40.5,40.9,40.05,40.4,39.8013,476190.0
441,2019-02-27,41.0,41.7,40.15,40.4,39.8013,910270.0
440,2019-02-26,41.45,41.45,40.05,40.7,40.0969,1171637.0
439,2019-02-25,42.4,43.5,41.4,42.35,41.7224,2342519.0
438,2019-02-22,39.1,41.4,38.9,40.9,40.2939,1161461.0
437,2019-02-21,38.5,39.4,38.2,39.0,38.4221,614440.0
436,2019-02-20,38.45,38.85,38.1,38.5,37.9295,457506.0
435,2019-02-19,37.75,38.65,37.75,38.35,37.7817,469517.0
434,2019-02-18,38.6,38.6,37.7,37.75,37.1906,424727.0
433,2019-02-15,38.4,38.4,37.7,38.0,37.4369,411009.0
432,2019-02-14,38.2,38.65,37.5,38.25,37.6832,529294.0
431,2019-02-12,39.0,39.4,38.6,38.8,38.225,508636.0
430,2019-02-11,39.5,39.65,38.8,38.95,38.3728,598940.0
429,2019-02-08,40.0,40.25,39.65,39.75,39.1609,572024.0
428,2019-02-07,39.75,40.85,39.25,40.25,39.6535,680555.0
427,2019-02-06,39.8,40.35,39.2,39.7,39.1117,728820.0
426,2019-02-05,40.4,40.65,39.55,39.7,39.1117,803606.0
425,2019-02-04,41.8,41.8,40.6,40.7,40.0969,503525.0
424,2019-02-01,42.7,43.05,41.55,41.75,41.1313,1117435.0
423,2019-01-31,41.75,42.2,41.4,41.9,41.2791,587365.0
422,2019-01-30,41.45,41.95,41.1,41.55,40.9343,619066.0
421,2019-01-29,40.6,41.85,40.6,41.5,40.885,650072.0
420,2019-01-28,41.6,41.95,40.8,41.1,40.4909,766644.0
419,2019-01-25,43.55,43.7,41.75,41.95,41.3283,963050.0
418,2019-01-24,44.25,44.85,42.85,43.25,42.6091,741758.0
417,2019-01-23,44.65,46.2,44.3,44.5,43.8406,1139423.0
416,2019-01-22,45.45,45.45,44.0,45.1,44.4317,1758698.0
415,2019-01-21,43.0,47.5,43.0,45.15,44.4809,8428241.0
414,2019-01-18,43.0,43.5,42.8,42.85,42.215,614167.0
413,2019-01-17,43.45,43.85,42.85,43.0,42.3628,578835.0
412,2019-01-16,43.45,43.8,43.2,43.3,42.6583,474030.0
411,2019-01-15,42.85,44.3,42.85,43.3,42.6583,594891.0
410,2019-01-14,43.25,43.4,42.75,42.9,42.2643,463128.0
409,2019-01-11,43.9,44.05,43.25,43.45,42.8061,594830.0
408,2019-01-10,43.15,45.0,43.0,43.7,43.0524,2238238.0
407,2019-01-09,43.1,43.55,42.4,42.6,41.9687,680683.0
406,2019-01-08,43.0,43.2,42.55,42.9,42.2643,576884.0
405,2019-01-07,43.2,43.4,42.65,42.9,42.2643,555037.0
404,2019-01-04,42.95,43.25,42.35,42.7,42.0672,584050.0
403,2019-01-03,43.35,43.55,42.85,42.9,42.2643,535172.0
402,2019-01-02,43.5,43.85,43.05,43.1,42.4613,736037.0
401,2019-01-01,43.0,44.35,42.85,43.6,42.9539,884336.0
400,2018-12-31,43.25,43.8,42.85,42.95,42.3135,1031718.0
399,2018-12-28,43.25,43.8,42.85,42.9,42.2643,1276739.0
398,2018-12-27,44.1,44.1,42.9,43.05,42.412,366036.0
397,2018-12-26,43.3,43.4,42.5,43.1,42.4613,442465.0
396,2018-12-24,44.4,44.4,43.25,43.4,42.7569,403750.0
395,2018-12-21,44.8,45.25,43.8,44.1,43.4465,668234.0
394,2018-12-20,44.5,45.35,44.0,44.7,44.0376,1034864.0
393,2018-12-19,43.6,45.3,43.4,44.3,43.6435,1438750.0
392,2018-12-18,43.2,43.65,42.7,43.4,42.7569,632748.0
391,2018-12-17,41.95,43.35,41.95,43.1,42.4613,706305.0
390,2018-12-14,42.25,43.0,41.55,41.85,41.2298,575609.0
389,2018-12-13,42.7,43.3,42.15,42.55,41.9195,517342.0
388,2018-12-12,41.35,42.9,41.0,42.4,41.7717,588976.0
387,2018-12-11,40.0,41.35,40.0,41.0,40.3924,484659.0
386,2018-12-10,41.0,41.0,40.15,40.3,39.7028,385159.0
385,2018-12-07,41.5,41.9,41.0,41.2,40.5895,351825.0
384,2018-12-06,42.0,42.0,41.3,41.45,40.8358,379379.0
383,2018-12-05,42.5,43.1,41.9,42.0,41.3776,541085.0
382,2018-12-04,43.05,43.25,42.6,42.75,42.1165,374124.0
381,2018-12-03,43.0,43.5,42.6,43.0,42.3628,409454.0
380,2018-11-30,42.6,43.4,42.6,43.0,42.3628,532484.0
379,2018-11-29,43.4,43.5,42.4,42.6,41.9687,442697.0
378,2018-11-28,44.0,44.4,43.0,43.2,42.5598,836338.0
377,2018-11-27,45.9,45.95,44.0,44.15,43.4957,990633.0
376,2018-11-26,44.3,46.25,44.3,45.85,45.1706,3499516.0
375,2018-11-22,44.4,44.75,43.9,44.0,43.348,603302.0
374,2018-11-21,44.55,44.55,43.9,44.2,43.545,485391.0
