,Date,Open,High,Low,Close,Adj Close,Volume
1927,2019-06-14,225.0,226.15,212.0,221.75,221.75,432051.0
1926,2019-06-13,203.0,215.4,195.7,215.4,215.4,1181473.0
1925,2019-06-12,227.0,227.0,205.15,205.15,205.15,398516.0
1924,2019-06-11,244.9,244.9,227.9,227.9,227.9,559585.0
1923,2019-06-10,281.0,281.0,249.9,253.2,253.2,111973.0
1922,2019-06-07,269.0,279.8,262.3,273.7,273.7,84002.0
1921,2019-06-06,287.0,288.0,270.3,270.3,270.3,84829.0
1920,2019-06-04,285.55,294.65,279.0,284.5,284.5,62679.0
1919,2019-06-03,283.95,292.0,272.0,285.6,285.6,73634.0
1918,2019-05-31,296.65,296.7,281.1,282.5,282.5,65830.0
1917,2019-05-30,295.95,302.0,288.1,292.5,292.5,54746.0
1916,2019-05-29,297.1,303.0,290.55,292.95,292.95,48964.0
1915,2019-05-28,294.15,308.1,289.25,300.3,300.3,138827.0
1914,2019-05-27,298.0,302.9,291.2,293.45,293.45,30180.0
1913,2019-05-24,305.0,311.0,291.95,296.7,296.7,141264.0
1912,2019-05-23,310.8,313.2,300.0,302.35,302.35,445196.0
1911,2019-05-22,293.0,303.5,282.15,298.3,298.3,159227.0
1910,2019-05-21,291.35,291.35,282.35,290.05,290.05,284467.0
1909,2019-05-20,277.5,277.5,277.5,277.5,277.5,10263.0
1908,2019-05-17,249.2,264.3,249.2,264.3,264.3,114087.0
1907,2019-05-16,251.0,254.65,240.0,251.75,251.75,52971.0
1906,2019-05-15,259.9,259.9,243.15,245.25,245.25,39124.0
1905,2019-05-14,242.0,259.7,237.1,250.1,250.1,86808.0
1904,2019-05-13,264.0,264.0,247.35,247.35,247.35,161208.0
1903,2019-05-10,266.0,269.4,258.3,260.35,260.35,39341.0
1902,2019-05-09,252.0,267.05,251.3,262.7,262.7,175882.0
1901,2019-05-08,263.0,266.0,251.25,254.35,254.35,85347.0
1900,2019-05-07,275.0,281.0,263.3,264.05,264.05,89984.0
1899,2019-05-06,287.5,287.5,276.25,277.15,277.15,58569.0
1898,2019-05-03,296.1,302.7,284.9,290.75,290.75,93570.0
1897,2019-05-02,291.0,307.8,286.55,293.45,293.45,145413.0
1896,2019-04-30,315.0,315.7,299.35,299.35,299.35,76840.0
1895,2019-04-26,326.85,331.1,312.3,315.1,315.1,72570.0
1894,2019-04-25,325.1,336.0,322.2,325.45,325.45,69149.0
1893,2019-04-24,341.0,343.0,321.1,327.4,327.4,93864.0
1892,2019-04-23,338.05,345.8,330.1,333.05,333.05,101162.0
1891,2019-04-22,335.0,350.95,326.0,335.5,335.5,164017.0
1890,2019-04-18,352.95,355.0,332.2,334.25,334.25,154982.0
1889,2019-04-16,340.0,352.0,337.3,341.45,341.45,102147.0
1888,2019-04-15,354.0,355.05,338.0,340.55,340.55,72531.0
1887,2019-04-12,360.05,364.75,351.25,353.95,353.95,78700.0
1886,2019-04-11,365.5,376.3,356.2,361.75,361.75,181345.0
1885,2019-04-10,345.0,368.05,345.0,361.25,361.25,293649.0
1884,2019-04-09,362.4,362.4,347.5,350.55,350.55,214978.0
1883,2019-04-08,359.0,364.4,355.0,362.4,362.4,126783.0
1882,2019-04-05,330.0,347.05,328.0,347.05,347.05,221887.0
1881,2019-04-04,338.8,347.0,328.1,330.55,330.55,132782.0
1880,2019-04-03,337.85,344.4,328.8,335.2,335.2,181212.0
1879,2019-04-02,338.65,338.65,315.05,337.9,337.9,425667.0
1878,2019-04-01,314.0,322.55,314.0,322.55,322.55,39271.0
1877,2019-03-28,286.0,292.6,280.5,292.6,292.6,85755.0
1876,2019-03-27,283.1,286.5,275.1,278.7,278.7,130076.0
1875,2019-03-26,284.35,292.75,278.0,279.4,279.4,211531.0
1874,2019-03-25,288.0,292.0,277.0,278.85,278.85,43425.0
1873,2019-03-22,299.5,304.1,287.35,291.35,291.35,55562.0
1872,2019-03-20,292.0,308.0,289.4,294.05,294.05,92309.0
1871,2019-03-19,301.95,306.95,290.0,293.75,293.75,48927.0
1870,2019-03-18,321.35,321.35,301.0,301.95,301.95,80317.0
1869,2019-03-15,324.25,330.0,315.0,316.7,316.7,76472.0
1868,2019-03-14,321.0,330.0,306.2,324.4,324.4,134655.0
1867,2019-03-13,335.7,338.75,318.95,319.45,319.45,98822.0
1866,2019-03-12,348.0,349.0,327.05,335.7,335.7,178831.0
1865,2019-03-11,330.9,346.25,329.0,344.25,344.25,201002.0
1864,2019-03-08,318.0,332.65,305.0,329.8,329.8,152411.0
1863,2019-03-07,330.8,330.8,301.2,316.85,316.85,144487.0
1862,2019-03-06,311.0,315.45,310.0,315.45,315.45,155781.0
1861,2019-03-05,289.9,300.45,286.0,300.45,300.45,70927.0
1860,2019-03-01,279.0,286.15,276.2,286.15,286.15,123887.0
1859,2019-02-28,281.0,284.45,270.0,272.55,272.55,79568.0
1858,2019-02-27,274.85,286.05,274.85,280.5,280.5,242382.0
1857,2019-02-26,253.1,286.25,242.25,272.45,272.45,224898.0
1856,2019-02-25,255.9,272.0,251.7,260.35,260.35,129098.0
1855,2019-02-22,249.0,267.65,249.0,261.15,261.15,306598.0
1854,2019-02-21,221.5,243.35,220.25,243.35,243.35,95276.0
1853,2019-02-20,211.0,223.95,211.0,221.25,221.25,42972.0
1852,2019-02-19,221.0,226.0,214.0,214.85,214.85,86729.0
1851,2019-02-18,235.05,239.0,218.0,220.85,220.85,61220.0
1850,2019-02-15,237.1,245.7,233.05,236.6,236.6,70395.0
1849,2019-02-14,235.0,246.1,226.0,244.05,244.05,148039.0
1848,2019-02-12,219.75,242.0,217.0,234.05,234.05,100429.0
1847,2019-02-11,235.2,239.85,219.75,221.55,221.55,178833.0
1846,2019-02-08,255.95,255.95,234.25,241.95,241.95,176592.0
1845,2019-02-07,245.0,265.0,240.05,249.4,249.4,119421.0
1844,2019-02-06,253.0,258.0,245.05,245.1,245.1,184320.0
1843,2019-02-05,274.9,278.95,257.9,257.9,257.9,139166.0
1842,2019-02-04,285.0,298.9,270.5,271.45,271.45,243997.0
1841,2019-02-01,295.05,306.0,284.5,284.7,284.7,209986.0
1840,2019-01-31,308.0,311.9,290.9,299.45,299.45,159846.0
1839,2019-01-30,304.9,306.45,297.0,306.2,306.2,198611.0
1838,2019-01-29,283.45,299.0,283.45,291.9,291.9,213852.0
1837,2019-01-28,326.5,326.5,298.35,298.35,298.35,100706.0
1836,2019-01-25,325.55,339.0,311.75,314.05,314.05,122605.0
1835,2019-01-24,324.7,333.0,318.1,322.9,322.9,50160.0
1834,2019-01-23,328.95,348.05,317.0,320.45,320.45,184648.0
1833,2019-01-22,332.0,341.7,331.5,331.5,331.5,47904.0
1832,2019-01-21,367.8,367.8,348.9,348.9,348.9,80948.0
1831,2019-01-18,367.25,367.25,356.05,367.25,367.25,569894.0
1830,2019-01-17,349.8,349.8,349.8,349.8,349.8,16232.0
1829,2019-01-16,328.95,333.15,327.0,333.15,333.15,155420.0
1828,2019-01-15,318.95,333.0,316.0,317.3,317.3,49600.0
1827,2019-01-14,329.05,333.8,317.85,318.6,318.6,49736.0
1826,2019-01-11,343.5,353.3,325.2,334.55,334.55,78404.0
1825,2019-01-10,324.9,341.75,317.5,341.25,341.25,155331.0
1824,2019-01-09,321.0,336.75,320.75,325.5,325.5,58958.0
1823,2019-01-08,350.0,350.0,331.55,332.7,332.7,123701.0
1822,2019-01-07,371.0,373.3,347.75,348.95,348.95,150966.0
1821,2019-01-04,357.0,363.8,354.75,358.0,358.0,37921.0
1820,2019-01-03,362.5,369.0,357.0,358.55,358.55,52797.0
1819,2019-01-02,363.95,373.75,359.0,361.4,361.4,112659.0
1818,2019-01-01,375.4,380.95,362.85,365.3,365.3,161720.0
1817,2018-12-31,388.95,390.05,373.0,375.35,375.35,266169.0
1816,2018-12-28,371.05,384.75,362.75,384.15,384.15,325121.0
1815,2018-12-27,384.0,395.75,361.85,366.45,366.45,158320.0
1814,2018-12-26,381.9,393.8,363.9,377.05,377.05,266243.0
1813,2018-12-24,408.0,408.0,380.0,383.05,383.05,176408.0
1812,2018-12-21,380.0,394.8,359.0,392.95,392.95,457575.0
1811,2018-12-20,376.8,376.8,345.0,376.0,376.0,334512.0
1810,2018-12-19,358.9,358.9,355.0,358.9,358.9,75908.0
1809,2018-12-18,336.0,341.85,330.1,341.85,341.85,121132.0
1808,2018-12-17,325.6,325.6,320.0,325.6,325.6,105441.0
1807,2018-12-14,310.1,310.1,296.65,310.1,310.1,134224.0
1806,2018-12-13,295.35,295.35,295.35,295.35,295.35,4800.0
1805,2018-12-12,269.9,281.3,267.95,281.3,281.3,20557.0
1804,2018-12-11,242.5,267.95,242.45,267.95,267.95,323647.0
1803,2018-12-10,256.2,265.0,255.2,255.2,255.2,116671.0
1802,2018-12-07,281.1,289.0,266.25,268.6,268.6,44934.0
1801,2018-12-06,292.0,293.0,280.15,280.25,280.25,82592.0
1800,2018-12-05,295.0,310.0,294.85,294.85,294.85,62160.0
1799,2018-12-04,315.0,328.15,303.65,310.35,310.35,130216.0
1798,2018-12-03,322.2,322.4,310.0,312.55,312.55,109303.0
1797,2018-11-30,307.05,307.05,302.0,307.05,307.05,133206.0
1796,2018-11-29,279.95,292.45,270.0,292.45,292.45,30867.0
1795,2018-11-28,287.2,296.2,278.55,278.55,278.55,158210.0
1794,2018-11-27,301.45,301.75,289.0,293.2,293.2,98885.0
1793,2018-11-26,315.0,321.0,302.7,304.2,304.2,67002.0
1792,2018-11-22,332.0,340.0,316.15,318.6,318.6,87172.0
1791,2018-11-21,301.45,333.15,301.45,332.75,332.75,336997.0
1790,2018-11-20,320.0,320.0,317.3,317.3,317.3,13748.0
1789,2018-11-19,360.0,360.05,334.0,334.0,334.0,58603.0
1788,2018-11-16,382.0,382.0,351.55,351.55,351.55,85515.0
1787,2018-11-15,384.0,384.0,358.5,370.05,370.05,42674.0
1786,2018-11-14,377.8,385.0,367.0,371.85,371.85,85933.0
1785,2018-11-13,367.9,377.8,351.0,372.45,372.45,142006.0
1784,2018-11-12,362.8,362.8,350.05,362.75,362.75,207542.0
1783,2018-11-09,344.9,345.55,313.2,345.55,345.55,38498.0
1782,2018-11-07,330.0,332.15,320.1,329.1,329.1,52244.0
1781,2018-11-06,330.1,344.95,316.35,316.35,316.35,79016.0
1780,2018-11-05,347.8,350.0,330.45,333.0,333.0,48057.0
1779,2018-11-02,349.5,361.0,343.0,347.8,347.8,170245.0
1778,2018-11-01,355.0,361.75,342.25,349.9,349.9,384198.0
1777,2018-10-31,320.0,344.55,320.0,344.55,344.55,238557.0
1776,2018-10-30,333.0,349.8,328.15,328.15,328.15,44472.0
1775,2018-10-29,332.0,347.0,316.7,345.4,345.4,380059.0
1774,2018-10-26,315.8,349.0,315.8,333.35,333.35,722798.0
1773,2018-10-25,332.4,332.4,332.4,332.4,332.4,4299.0
1772,2018-10-24,350.0,350.0,349.85,349.85,349.85,308133.0
1771,2018-10-23,368.25,368.25,368.25,368.25,368.25,27217.0
1770,2018-10-22,387.6,387.6,387.6,387.6,387.6,32564.0
1769,2018-10-19,408.0,420.35,408.0,408.0,408.0,104797.0
1768,2018-10-17,468.9,468.9,424.3,429.45,429.45,249088.0
1767,2018-10-16,446.5,446.6,442.0,446.6,446.6,43996.0
1766,2018-10-15,425.35,425.35,415.0,425.35,425.35,61721.0
1765,2018-10-12,405.0,405.1,398.0,405.1,405.1,97329.0
1764,2018-10-11,350.75,387.65,350.75,385.85,385.85,583365.0
1763,2018-10-10,347.3,380.0,347.3,369.2,369.2,671877.0
1762,2018-10-09,365.55,365.55,365.55,365.55,365.55,1818.0
1761,2018-10-08,384.75,384.75,384.75,384.75,384.75,1446.0
1760,2018-10-05,405.0,405.0,405.0,405.0,405.0,1064.0
1759,2018-10-04,426.3,426.3,426.3,426.3,426.3,10198.0
1758,2018-10-03,448.7,448.7,448.7,448.7,448.7,77801.0
1757,2018-10-01,472.3,472.3,472.3,472.3,472.3,875.0
1756,2018-09-28,498.0,498.0,497.15,497.15,497.15,1992.0
1755,2018-09-27,523.3,523.3,523.3,523.3,523.3,24958.0
1754,2018-09-26,550.8,550.8,550.8,550.8,550.8,14762.0
1753,2018-09-25,579.75,579.75,579.75,579.75,579.75,5637.0
1752,2018-09-24,610.25,610.25,610.25,610.25,610.25,13539.0
1751,2018-09-21,677.05,684.0,642.35,642.35,642.35,59150.0
1750,2018-09-19,700.0,714.0,670.0,676.15,676.15,128639.0
1749,2018-09-18,704.2,720.5,695.2,697.55,697.55,63037.0
1748,2018-09-17,751.45,751.45,690.0,704.2,704.2,328096.0
1747,2018-09-14,729.0,735.2,685.0,715.75,715.75,118046.0
1746,2018-09-12,729.8,739.9,693.35,705.2,705.2,228339.0
1745,2018-09-11,774.95,785.0,718.0,729.8,729.8,199692.0
1744,2018-09-10,732.0,751.35,732.0,751.35,751.35,391313.0
1743,2018-09-07,700.0,715.6,693.15,715.6,715.6,329229.0
1742,2018-09-06,685.0,690.0,668.0,681.55,681.55,174577.0
1741,2018-09-05,681.0,681.55,660.0,671.6,671.6,120735.0
1740,2018-09-04,670.0,695.9,670.0,677.5,677.5,262583.0
1739,2018-09-03,655.0,690.0,644.15,662.8,662.8,69322.0
1738,2018-08-31,689.0,704.0,660.5,678.05,678.05,150264.0
1737,2018-08-30,631.2,685.5,627.75,679.55,679.55,108766.0
1736,2018-08-29,705.0,707.1,650.95,660.75,660.75,242168.0
1735,2018-08-28,680.0,694.85,675.0,685.2,685.2,233685.0
1734,2018-08-27,650.0,665.3,650.0,664.0,664.0,264769.0
1733,2018-08-24,655.0,664.0,625.0,633.65,633.65,139911.0
1732,2018-08-23,647.95,647.95,615.05,647.65,647.65,259277.0
1731,2018-08-21,598.0,617.1,595.0,617.1,617.1,180316.0
1730,2018-08-20,569.8,587.75,567.0,587.75,587.75,148252.0
1729,2018-08-17,515.0,561.45,515.0,559.8,559.8,195845.0
1728,2018-08-16,570.85,570.85,531.75,534.75,534.75,78708.0
1727,2018-08-14,572.95,572.95,546.05,559.7,559.7,255529.0
1726,2018-08-13,545.7,545.7,545.7,545.7,545.7,64943.0
1725,2018-08-10,513.0,519.75,503.15,519.75,519.75,54662.0
1724,2018-08-09,505.0,505.0,484.2,495.0,495.0,27552.0
1723,2018-08-08,485.0,500.0,475.8,489.35,489.35,18298.0
1722,2018-08-07,480.55,509.9,480.55,489.7,489.7,36514.0
1721,2018-08-06,514.0,524.9,505.0,505.35,505.35,47666.0
1720,2018-08-03,486.5,514.9,480.0,501.7,501.7,43771.0
1719,2018-08-02,485.0,505.0,475.0,490.5,490.5,28364.0
1718,2018-08-01,489.0,505.0,475.0,490.2,490.2,92824.0
1717,2018-07-31,498.0,505.0,480.15,488.55,488.55,26809.0
1716,2018-07-30,490.55,510.0,490.0,501.7,501.7,33495.0
1715,2018-07-27,500.05,509.0,485.0,495.35,495.35,55661.0
1714,2018-07-26,487.0,504.0,473.0,499.7,499.7,28134.0
1713,2018-07-25,500.7,501.7,475.0,486.15,486.15,39025.0
1712,2018-07-24,453.1,477.85,453.1,477.85,477.85,14021.0
1711,2018-07-23,467.8,467.8,448.0,455.1,455.1,14369.0
1710,2018-07-20,420.0,445.55,420.0,445.55,445.55,13104.0
1709,2018-07-19,420.0,432.0,416.1,424.35,424.35,32056.0
1708,2018-07-18,427.0,449.5,416.0,427.8,427.8,77035.0
1707,2018-07-17,422.85,439.9,401.75,428.1,428.1,39695.0
1706,2018-07-16,433.3,448.0,417.2,422.85,422.85,27128.0
1705,2018-07-13,440.0,463.9,436.0,438.1,438.1,15647.0
1704,2018-07-12,449.45,465.5,441.0,447.75,447.75,9295.0
1703,2018-07-11,450.1,460.0,444.0,449.45,449.45,9649.0
1702,2018-07-10,475.0,477.0,460.0,463.95,463.95,12677.0
1701,2018-07-09,460.1,473.0,453.0,471.05,471.05,28698.0
1700,2018-07-06,420.0,457.25,415.05,450.85,450.85,31377.0
1699,2018-07-05,469.8,469.8,429.15,435.5,435.5,31490.0
1698,2018-07-04,450.2,459.0,437.25,451.4,451.4,48055.0
1697,2018-07-03,460.0,474.0,450.1,460.25,460.25,25349.0
1696,2018-07-02,503.9,503.9,461.65,464.6,464.6,34923.0
1695,2018-06-29,471.0,494.3,469.0,485.9,485.9,38547.0
1694,2018-06-28,462.2,498.65,462.2,470.8,470.8,30173.0
1693,2018-06-27,500.0,508.3,476.25,484.95,484.95,41379.0
1692,2018-06-26,506.0,520.0,496.0,500.4,500.4,26034.0
1691,2018-06-25,530.9,538.0,504.55,511.15,511.15,29352.0
1690,2018-06-22,558.2,558.2,558.2,558.2,558.2,0.0
1689,2018-06-21,558.2,558.2,558.2,558.2,558.2,0.0
1688,2018-06-20,558.2,558.2,558.2,558.2,558.2,0.0
1687,2018-06-19,558.2,558.2,558.2,558.2,558.2,0.0
1686,2018-06-18,558.2,558.2,558.2,558.2,558.2,0.0
1685,2018-06-15,558.2,558.2,558.2,558.2,558.2,0.0
1684,2018-06-14,558.2,558.2,558.2,558.2,558.2,0.0
1683,2018-06-13,558.2,558.2,558.2,558.2,558.2,0.0
1682,2018-06-12,558.2,558.2,558.2,558.2,558.2,0.0
1681,2018-06-11,558.2,558.2,558.2,558.2,558.2,0.0
1680,2018-06-08,558.2,558.2,558.2,558.2,558.2,0.0
1679,2018-06-07,558.9,567.0,531.1,558.2,558.2,238380.0
1678,2018-06-06,489.6,541.1,489.6,541.1,541.1,167535.0
1677,2018-06-05,515.35,525.0,515.35,515.35,515.35,57813.0
1676,2018-06-04,542.45,559.0,542.45,542.45,542.45,132379.0
1675,2018-06-01,570.95,570.95,570.95,570.95,570.95,9007.0
1674,2018-05-31,608.15,608.15,580.0,601.0,601.0,174425.0
1673,2018-05-30,579.2,579.2,579.2,579.2,579.2,24743.0
1672,2018-05-29,540.0,551.65,540.0,551.65,551.65,22357.0
1671,2018-05-28,522.0,525.4,501.05,525.4,525.4,41784.0
1670,2018-05-25,480.2,510.0,475.0,500.4,500.4,47996.0
1669,2018-05-24,509.5,512.0,484.0,488.55,488.55,79792.0
1668,2018-05-23,520.0,526.9,490.1,499.0,499.0,129117.0
1667,2018-05-22,459.8,508.1,459.8,507.95,507.95,187134.0
1666,2018-05-21,485.0,499.75,483.95,483.95,483.95,32660.0
1665,2018-05-18,511.0,532.1,507.0,509.4,509.4,88845.0
1664,2018-05-17,530.1,544.4,517.45,533.65,533.65,94981.0
1663,2018-05-16,530.55,555.0,530.55,544.65,544.65,276739.0
1662,2018-05-15,546.45,573.7,546.45,558.45,558.45,388471.0
1661,2018-05-14,575.2,585.0,575.2,575.2,575.2,101198.0
1660,2018-05-11,609.5,613.5,556.35,605.45,605.45,651514.0
1659,2018-05-10,586.6,586.6,575.0,586.6,585.6,299852.0
1658,2018-05-09,558.7,558.7,540.0,558.7,557.7476,289953.0
1657,2018-05-08,510.0,532.1,508.0,532.1,531.1929,154151.0
1656,2018-05-07,490.0,506.8,462.1,506.8,505.936,313244.0
1655,2018-05-04,488.95,488.95,448.35,482.7,481.8771,304204.0
1654,2018-05-03,473.0,473.35,430.35,471.9,471.0955,465055.0
1653,2018-05-02,443.8,450.95,408.05,450.85,450.0814,489456.0
1652,2018-04-30,429.5,429.5,429.5,429.5,428.7678,24712.0
1651,2018-04-27,409.05,409.05,409.05,409.05,408.3527,94520.0
1650,2018-04-26,389.6,389.6,389.6,389.6,388.9358,34173.0
1649,2018-04-25,370.0,371.05,354.0,371.05,370.4174,1286369.0
1648,2018-04-24,353.4,353.4,353.4,353.4,352.7975,250021.0
1647,2018-04-23,336.6,336.6,336.6,336.6,336.0262,36687.0
1646,2018-04-20,320.6,320.6,315.0,320.6,320.0535,236000.0
1645,2018-04-19,307.0,314.0,291.25,305.35,304.8295,445009.0
1644,2018-04-18,296.95,308.6,295.65,305.2,304.6797,1067022.0
1643,2018-04-17,277.1,298.5,266.1,293.95,293.4489,1690511.0
1642,2018-04-16,245.0,271.4,236.15,271.4,270.9373,912399.0
1641,2018-04-13,230.0,246.75,226.6,246.75,246.3293,350380.0
1640,2018-04-12,231.9,231.9,223.0,224.35,223.9675,85019.0
1639,2018-04-11,229.0,235.5,224.0,231.75,231.3549,72693.0
1638,2018-04-10,238.8,238.95,226.0,226.85,226.4633,95555.0
1637,2018-04-09,234.1,240.0,233.5,235.55,235.1485,79826.0
1636,2018-04-06,241.0,244.4,226.0,236.45,236.0469,403691.0
1635,2018-04-05,234.0,234.4,212.1,234.4,234.0004,480548.0
1634,2018-04-04,233.2,233.2,218.0,223.25,222.8694,259367.0
1633,2018-04-03,222.1,222.1,220.15,222.1,221.7214,82544.0
1632,2018-04-02,208.5,211.55,203.0,211.55,211.1894,22207.0
1631,2018-03-28,208.55,208.55,200.5,201.5,201.1565,99820.0
1630,2018-03-27,210.9,213.7,206.05,208.55,208.1945,51992.0
1629,2018-03-26,202.2,208.95,195.1,207.8,207.4458,203844.0
1628,2018-03-23,207.0,208.95,201.45,203.85,203.5025,169741.0
1627,2018-03-22,214.8,218.15,209.0,212.05,211.6885,41883.0
1626,2018-03-21,213.65,221.5,212.5,215.2,214.8331,112839.0
1625,2018-03-20,204.0,216.85,204.0,213.4,213.0362,76122.0
1624,2018-03-19,219.0,221.5,208.0,209.55,209.1928,132079.0
1623,2018-03-16,217.0,231.25,215.2,218.05,217.6783,165092.0
1622,2018-03-15,212.8,223.4,210.0,223.4,223.0191,299462.0
1621,2018-03-14,209.5,214.9,207.05,212.8,212.4372,90447.0
1620,2018-03-13,206.05,214.8,204.7,209.5,209.1429,236386.0
1619,2018-03-12,212.95,214.95,204.1,208.5,208.1446,83944.0
1618,2018-03-09,210.1,217.0,201.0,207.2,206.8468,87294.0
1617,2018-03-08,215.0,215.0,196.0,209.3,208.9432,170016.0
1616,2018-03-07,214.1,217.35,206.1,206.3,205.9483,127331.0
1615,2018-03-06,223.5,229.7,215.0,216.9,216.5302,109453.0
1614,2018-03-05,235.0,235.0,221.3,223.6,223.2188,114343.0
1613,2018-03-01,243.0,243.0,230.0,231.45,231.0554,104516.0
1612,2018-02-28,241.1,247.5,234.75,236.6,236.1967,89819.0
1611,2018-02-27,247.15,254.9,240.1,241.1,240.689,94832.0
1610,2018-02-26,244.7,249.75,240.0,247.15,246.7287,199521.0
1609,2018-02-23,245.0,245.0,234.0,237.9,237.4944,81559.0
1608,2018-02-22,241.0,252.1,229.0,239.3,238.8921,690303.0
1607,2018-02-21,243.2,254.8,237.9,240.1,239.6907,97996.0
1606,2018-02-20,250.1,257.5,245.1,248.05,247.6271,208415.0
1605,2018-02-19,244.45,259.95,241.2,247.95,247.5273,237745.0
1604,2018-02-16,280.55,280.55,253.85,253.85,253.4173,866720.0
1603,2018-02-15,267.2,267.2,267.2,267.2,266.7445,269675.0
1602,2018-02-14,244.0,254.5,243.1,254.5,254.0661,590059.0
1601,2018-02-12,242.0,248.3,225.25,242.4,241.9868,692084.0
1600,2018-02-09,214.0,236.5,214.0,236.5,236.0968,219009.0
1599,2018-02-08,219.0,225.25,215.8,225.25,224.866,152636.0
1598,2018-02-07,209.0,214.75,209.0,214.55,214.1842,252492.0
1597,2018-02-06,204.55,204.55,204.55,204.55,204.2013,12906.0
1596,2018-02-05,215.3,215.3,215.3,215.3,214.933,4150.0
1595,2018-02-02,226.6,226.6,226.6,226.6,226.2137,141049.0
1594,2018-02-01,250.0,250.0,238.5,238.5,238.0934,90402.0
1593,2018-01-31,249.0,256.0,245.45,251.05,250.622,165767.0
1592,2018-01-30,259.7,259.7,236.1,258.35,257.9096,596472.0
1591,2018-01-29,236.05,247.35,236.05,247.35,246.9283,161362.0
1590,2018-01-25,234.5,235.6,216.5,235.6,235.1984,393868.0
1589,2018-01-24,224.4,224.4,224.4,224.4,224.0174,184546.0
1588,2018-01-23,213.75,213.75,213.75,213.75,213.3856,14610.0
1587,2018-01-22,193.95,203.6,192.0,203.6,203.2529,43614.0
1586,2018-01-19,196.6,197.0,186.8,193.95,193.6194,248147.0
1585,2018-01-18,210.0,210.0,196.6,196.6,196.2648,121369.0
1584,2018-01-17,204.0,215.0,195.85,206.9,206.5473,385367.0
1583,2018-01-16,213.3,215.65,204.0,206.15,205.7986,115878.0
1582,2018-01-15,212.05,220.0,212.0,213.4,213.0362,37657.0
1581,2018-01-12,220.0,223.0,212.0,217.75,217.3788,87637.0
1580,2018-01-11,218.85,222.0,215.0,220.95,220.5733,113967.0
1579,2018-01-10,215.5,222.9,214.25,218.85,218.4769,141896.0
1578,2018-01-09,214.25,222.0,214.05,221.0,220.6232,124840.0
1577,2018-01-08,211.1,223.0,209.05,219.25,218.8762,142867.0
1576,2018-01-05,216.0,221.0,210.0,217.05,216.68,81648.0
1575,2018-01-04,224.5,224.5,215.0,218.7,218.3272,60276.0
1574,2018-01-03,218.0,225.0,205.3,218.4,218.0277,129182.0
1573,2018-01-02,221.5,223.95,215.0,216.1,215.7316,108769.0
1572,2018-01-01,221.1,229.4,221.1,224.0,223.6181,50592.0
1571,2017-12-29,226.0,228.0,222.0,226.45,226.064,67335.0
1570,2017-12-28,230.0,230.0,225.0,227.45,227.0623,51523.0
1569,2017-12-27,238.0,238.0,228.0,228.95,228.5597,129656.0
1568,2017-12-26,240.0,240.0,232.0,234.7,234.2999,107503.0
1567,2017-12-22,228.0,240.0,226.3,235.9,235.4978,143245.0
1566,2017-12-21,224.9,238.0,220.0,232.95,232.5529,310852.0
1565,2017-12-20,225.1,236.0,222.0,228.95,228.5597,143518.0
1564,2017-12-19,239.9,239.9,221.25,228.0,227.6113,69215.0
1563,2017-12-18,229.95,235.0,218.45,230.6,230.2069,151140.0
1562,2017-12-15,229.95,235.3,225.0,229.9,229.5081,185732.0
1561,2017-12-14,236.0,236.0,219.85,226.2,225.8144,202369.0
1560,2017-12-13,236.1,243.0,229.0,231.4,231.0055,203882.0
1559,2017-12-12,239.0,242.1,230.1,239.65,239.2415,271714.0
1558,2017-12-11,234.0,253.4,233.6,238.65,238.2431,250959.0
1557,2017-12-08,247.8,250.7,240.0,245.85,245.4309,223463.0
1556,2017-12-07,229.3,248.0,229.3,245.7,245.2811,253826.0
1555,2017-12-06,240.5,244.0,235.0,239.85,239.4411,273551.0
1554,2017-12-05,235.0,245.0,228.05,241.4,240.9885,264098.0
1553,2017-12-04,248.85,248.85,234.3,240.05,239.6408,524539.0
1552,2017-12-01,237.0,237.0,237.0,237.0,236.596,136038.0
1551,2017-11-30,209.0,225.75,208.6,225.75,225.3652,340200.0
1550,2017-11-29,200.75,217.0,200.75,215.0,214.6335,1077624.0
1549,2017-11-28,226.7,226.7,210.6,211.3,210.9398,1010478.0
1548,2017-11-27,216.15,235.0,216.15,221.65,221.2721,631395.0
1547,2017-11-24,227.5,227.5,205.9,227.5,227.1122,1827622.0
1546,2017-11-23,216.7,216.7,216.7,216.7,216.3306,92586.0
1545,2017-11-22,206.4,206.4,206.4,206.4,206.0481,182280.0
