,Date,Open,High,Low,Close,Adj Close,Volume
2761,2019-06-14,294.0,296.9,280.5,286.75,286.75,1394760.0
2760,2019-06-13,260.0,297.7,253.2,293.45,293.45,3272986.0
2759,2019-06-12,280.7,281.4,255.9,261.3,261.3,1821158.0
2758,2019-06-11,279.0,282.95,262.0,279.95,279.95,2687199.0
2757,2019-06-10,301.45,303.95,285.4,288.65,288.65,811285.0
2756,2019-06-07,293.9,305.0,293.15,298.05,298.05,706841.0
2755,2019-06-06,307.8,308.0,289.0,292.7,292.7,681557.0
2754,2019-06-04,312.2,318.7,304.1,306.95,306.95,532574.0
2753,2019-06-03,296.0,314.6,285.0,312.45,312.45,1413657.0
2752,2019-05-31,316.0,319.9,292.75,296.55,296.55,977407.0
2751,2019-05-30,306.4,325.95,305.1,311.6,311.6,1452739.0
2750,2019-05-29,309.8,312.0,303.05,304.85,304.85,383495.0
2749,2019-05-28,305.3,318.4,302.85,309.45,309.45,975234.0
2748,2019-05-27,320.8,323.15,301.6,304.15,304.15,671117.0
2747,2019-05-24,324.45,331.0,317.0,319.0,319.0,953998.0
2746,2019-05-23,330.25,344.4,317.1,320.9,320.9,973776.0
2745,2019-05-22,325.9,331.0,317.5,320.2,320.2,733292.0
2744,2019-05-21,345.9,358.9,327.0,333.5,333.5,2947086.0
2743,2019-05-20,317.5,355.0,310.0,347.45,347.45,4279264.0
2742,2019-05-17,251.8,301.7,250.35,298.65,298.65,2842952.0
2741,2019-05-16,246.95,253.5,243.8,251.45,251.45,610357.0
2740,2019-05-15,255.8,257.2,243.05,245.2,245.2,636415.0
2739,2019-05-14,241.0,258.0,238.65,253.3,253.3,1177076.0
2738,2019-05-13,262.75,265.55,242.15,245.25,245.25,717487.0
2737,2019-05-10,262.5,268.0,261.9,263.75,263.75,538191.0
2736,2019-05-09,256.0,269.0,256.0,261.0,261.0,924039.0
2735,2019-05-08,260.5,266.95,256.05,257.75,257.75,835171.0
2734,2019-05-07,277.3,282.8,261.1,263.95,262.95,1173322.0
2733,2019-05-06,287.0,293.45,271.85,277.45,276.3989,1138213.0
2732,2019-05-03,302.65,307.05,294.3,296.15,295.028,833025.0
2731,2019-05-02,292.0,311.9,281.0,304.7,303.5456,2163395.0
2730,2019-04-30,320.0,320.0,286.05,296.8,295.6755,1618462.0
2729,2019-04-26,323.1,326.5,316.35,320.05,318.8375,1471194.0
2728,2019-04-25,305.15,324.9,303.4,319.9,318.688,2822948.0
2727,2019-04-24,300.55,313.0,300.55,304.25,303.0973,899143.0
2726,2019-04-23,294.55,309.35,294.55,299.4,298.2657,969538.0
2725,2019-04-22,308.0,308.5,292.25,294.65,293.5337,851343.0
2724,2019-04-18,325.9,326.8,307.0,310.6,309.4233,982011.0
2723,2019-04-16,332.0,333.75,323.35,325.9,324.6653,692744.0
2722,2019-04-15,338.4,339.9,329.05,331.2,329.9452,750053.0
2721,2019-04-12,349.5,351.25,336.1,337.5,336.2213,763968.0
2720,2019-04-11,349.4,353.4,342.0,349.5,348.1759,1323587.0
2719,2019-04-10,336.8,356.65,332.5,345.8,344.4899,2717091.0
2718,2019-04-09,342.0,343.15,333.35,338.05,336.7693,972628.0
2717,2019-04-08,348.0,362.7,336.5,343.05,341.7503,2643812.0
2716,2019-04-05,329.75,355.0,329.05,348.45,347.1299,2500598.0
2715,2019-04-04,336.35,342.4,322.05,328.3,327.0562,1562052.0
