,Date,Open,High,Low,Close,Adj Close,Volume
666,2019-06-14,364.7,366.0,358.05,359.15,359.15,1089342.0
665,2019-06-13,369.0,370.95,360.45,361.15,361.15,1451683.0
664,2019-06-12,368.2,376.1,367.7,370.8,370.8,744430.0
663,2019-06-11,378.65,378.65,364.1,371.05,371.05,2499445.0
662,2019-06-10,387.9,390.0,375.3,379.0,379.0,2072780.0
661,2019-06-07,376.0,388.0,376.0,385.55,385.55,1313248.0
660,2019-06-06,392.0,395.0,378.0,379.0,379.0,1005205.0
659,2019-06-04,398.5,399.2,389.7,394.8,394.8,1754137.0
658,2019-06-03,395.0,403.65,388.75,398.2,398.2,4198808.0
657,2019-05-31,389.0,394.9,380.3,387.75,387.75,3400155.0
656,2019-05-30,388.0,396.5,384.1,386.8,386.8,4532136.0
655,2019-05-29,384.4,384.9,376.55,382.5,382.5,759445.0
654,2019-05-28,387.0,390.0,376.6,386.0,386.0,1006870.0
653,2019-05-27,369.0,389.95,368.7,386.25,386.25,1802891.0
652,2019-05-24,357.0,389.95,350.55,369.8,369.8,5306806.0
651,2019-05-23,352.1,363.0,352.1,356.4,356.4,3281526.0
650,2019-05-22,347.1,352.35,343.7,347.0,347.0,1982318.0
649,2019-05-21,356.1,360.55,345.2,346.8,346.8,1318952.0
648,2019-05-20,345.0,362.3,343.6,357.3,357.3,1385238.0
647,2019-05-17,334.65,343.1,332.4,339.25,339.25,943154.0
646,2019-05-16,340.7,342.95,332.05,334.85,334.85,1124058.0
645,2019-05-15,337.9,346.7,336.15,339.05,339.05,1798144.0
644,2019-05-14,335.1,338.25,322.65,334.15,334.15,3043160.0
643,2019-05-13,350.9,353.85,335.1,337.2,337.2,929738.0
642,2019-05-10,361.65,361.7,351.0,352.1,352.1,1281570.0
641,2019-05-09,358.0,367.6,355.0,359.5,359.5,1250922.0
640,2019-05-08,361.25,365.35,354.65,356.9,356.9,1318064.0
639,2019-05-07,368.1,373.3,363.0,365.0,365.0,589731.0
638,2019-05-06,372.05,376.45,365.0,368.75,368.75,745549.0
637,2019-05-03,376.0,377.25,371.0,372.05,372.05,875063.0
636,2019-05-02,369.0,377.4,365.7,374.95,374.95,1866319.0
635,2019-04-30,366.7,372.5,363.25,369.3,369.3,1348447.0
634,2019-04-26,368.4,371.35,363.5,369.05,369.05,1237193.0
633,2019-04-25,362.0,380.25,362.0,367.7,367.7,6376155.0
632,2019-04-24,369.5,370.75,360.55,363.2,363.2,868310.0
631,2019-04-23,370.5,378.0,366.15,369.5,369.5,2349453.0
630,2019-04-22,363.95,376.3,362.7,369.1,369.1,3711783.0
629,2019-04-18,364.05,367.9,358.4,366.0,366.0,1583204.0
628,2019-04-16,363.0,369.35,362.4,364.7,364.7,1805064.0
627,2019-04-15,364.95,369.75,364.3,366.05,366.05,1071010.0
626,2019-04-12,367.2,368.0,363.55,364.95,364.95,1089854.0
625,2019-04-11,362.1,369.6,360.45,366.3,366.3,1099468.0
624,2019-04-10,359.0,368.75,357.45,363.85,363.85,1692209.0
623,2019-04-09,366.0,366.05,359.45,362.55,362.55,1147287.0
622,2019-04-08,364.4,367.55,362.1,364.55,364.55,1319427.0
621,2019-04-05,360.0,374.0,360.0,364.4,364.4,2508478.0
620,2019-04-04,365.8,365.8,359.05,360.75,360.75,1693763.0
619,2019-04-03,370.25,374.0,363.45,365.5,365.5,2678695.0
618,2019-04-02,363.9,371.5,363.55,369.15,369.15,3524383.0
617,2019-04-01,350.25,364.65,346.75,362.55,362.55,3113991.0
616,2019-03-28,337.55,355.0,336.55,352.4,352.4,14594547.0
615,2019-03-27,333.9,354.0,332.15,349.2,349.2,22460639.0
614,2019-03-26,312.15,326.65,312.15,320.25,320.25,15870756.0
613,2019-03-25,327.0,329.65,320.2,322.0,322.0,1387702.0
612,2019-03-22,335.0,345.8,327.05,329.3,329.3,2991311.0
611,2019-03-20,344.4,348.05,340.65,342.95,342.95,508156.0
610,2019-03-19,344.95,351.8,342.95,344.65,344.65,1962361.0
609,2019-03-18,341.0,349.8,340.25,343.6,343.6,1269111.0
608,2019-03-15,337.0,343.3,335.1,340.55,340.55,1232849.0
607,2019-03-14,336.0,344.95,334.3,336.25,336.25,1183629.0
606,2019-03-13,344.0,344.0,332.7,333.8,333.8,1394813.0
605,2019-03-12,344.7,353.95,340.1,342.4,342.4,2624344.0
604,2019-03-11,343.1,350.25,340.15,344.35,344.35,2191779.0
603,2019-03-08,323.6,348.9,322.65,342.25,342.25,6848042.0
602,2019-03-07,340.95,340.95,327.7,330.2,330.2,3415324.0
601,2019-03-06,332.0,344.7,330.25,341.4,341.4,4728396.0
600,2019-03-05,326.6,332.25,323.05,327.35,327.35,1940935.0
599,2019-03-01,320.25,332.3,320.25,325.1,325.1,1603560.0
598,2019-02-28,324.25,325.0,317.45,319.6,319.6,1673384.0
597,2019-02-27,312.1,323.05,312.1,321.55,321.55,1482564.0
596,2019-02-26,315.0,315.95,304.75,312.05,312.05,1292569.0
595,2019-02-25,313.05,328.3,313.05,317.15,317.15,2385566.0
594,2019-02-22,318.0,319.0,312.85,314.9,314.9,1457390.0
593,2019-02-21,303.0,317.9,301.1,315.35,315.35,1113028.0
592,2019-02-20,301.5,305.7,300.1,302.9,302.9,452836.0
591,2019-02-19,303.0,306.35,299.0,299.95,299.95,408249.0
590,2019-02-18,303.9,307.9,301.1,303.5,303.5,694259.0
589,2019-02-15,303.95,313.5,299.65,303.0,303.0,1511537.0
588,2019-02-14,304.8,305.85,301.1,304.7,304.7,649808.0
587,2019-02-12,296.0,307.85,295.55,298.65,298.65,1040063.0
586,2019-02-11,314.0,314.0,296.05,298.2,298.2,1239764.0
585,2019-02-08,308.5,317.0,306.85,313.6,313.6,2148588.0
584,2019-02-07,295.5,314.0,291.65,311.9,311.9,4919994.0
583,2019-02-06,286.65,290.4,285.6,288.35,288.35,850787.0
582,2019-02-05,283.6,287.8,281.15,286.3,286.3,1113849.0
581,2019-02-04,283.35,285.75,277.35,284.75,284.75,1138335.0
580,2019-02-01,288.0,291.55,282.4,285.8,285.8,1444692.0
579,2019-01-31,294.7,294.7,283.4,285.85,285.85,2719180.0
578,2019-01-30,294.0,295.45,291.0,292.15,292.15,560770.0
577,2019-01-29,290.9,297.4,288.55,294.4,294.4,1204397.0
576,2019-01-28,300.0,302.0,287.25,291.35,291.35,1726522.0
575,2019-01-25,304.6,308.35,295.25,299.4,299.4,3001422.0
574,2019-01-24,307.5,310.35,301.6,303.8,303.8,3408688.0
573,2019-01-23,330.0,337.0,301.2,305.4,305.4,22509682.0
572,2019-01-22,353.0,353.85,343.45,345.0,345.0,878813.0
571,2019-01-21,352.45,355.5,348.55,351.65,351.65,782817.0
570,2019-01-18,350.15,353.2,342.5,351.15,351.15,486715.0
569,2019-01-17,347.85,353.95,345.2,349.75,349.75,1149959.0
568,2019-01-16,354.0,356.45,346.05,347.25,347.25,455954.0
567,2019-01-15,347.3,358.5,343.8,352.85,352.85,1072726.0
566,2019-01-14,354.55,354.95,346.65,350.5,350.5,809835.0
565,2019-01-11,347.5,359.65,345.6,356.55,356.55,4202861.0
564,2019-01-10,338.0,354.0,337.3,348.5,348.5,3816361.0
563,2019-01-09,326.45,339.9,325.05,336.75,336.75,1983917.0
562,2019-01-08,322.7,325.3,320.0,324.45,324.45,469102.0
561,2019-01-07,326.15,328.55,319.0,319.95,319.95,1088274.0
560,2019-01-04,316.95,326.3,316.05,324.7,324.7,1026786.0
559,2019-01-03,318.05,320.85,315.45,316.25,316.25,580055.0
558,2019-01-02,323.7,327.0,318.1,319.8,319.8,409481.0
557,2019-01-01,324.5,327.2,322.2,325.9,325.9,360248.0
556,2018-12-31,328.2,330.35,320.8,324.5,324.5,604759.0
555,2018-12-28,324.0,331.0,323.45,327.9,327.9,888126.0
554,2018-12-27,326.0,327.55,320.75,322.85,322.85,1222379.0
553,2018-12-26,323.5,323.75,315.5,321.45,321.45,435303.0
552,2018-12-24,327.0,332.35,322.3,324.4,324.4,1157794.0
551,2018-12-21,324.45,329.4,319.05,326.85,326.85,1683650.0
550,2018-12-20,314.5,325.35,314.45,323.25,323.25,2146165.0
549,2018-12-19,317.0,318.6,313.65,315.5,315.5,1493014.0
548,2018-12-18,320.95,323.45,314.2,314.95,314.95,996731.0
547,2018-12-17,310.8,324.5,310.8,321.45,321.45,1088495.0
546,2018-12-14,314.0,314.0,309.2,310.9,310.9,383075.0
545,2018-12-13,315.35,323.4,313.5,314.85,314.85,627363.0
