,Date,Open,High,Low,Close,Adj Close,Volume
3004,2019-06-14,2950.8501,3000.0,2950.0,2998.05,2998.05,1337.0
3003,2019-06-13,2974.95,2980.0,2950.0,2950.8501,2950.8501,289.0
3002,2019-06-12,2969.8,2969.8,2940.0,2950.0,2950.0,462.0
3001,2019-06-11,2941.1001,2968.0,2941.1001,2967.6499,2967.6499,121.0
3000,2019-06-10,2942.95,2969.95,2942.95,2949.8999,2949.8999,276.0
2999,2019-06-07,2945.95,2962.05,2940.0,2944.2,2944.2,486.0
2998,2019-06-06,2975.55,2999.95,2930.6499,2944.3,2944.3,700.0
2997,2019-06-04,2954.8999,2980.0,2948.05,2958.6499,2958.6499,46.0
2996,2019-06-03,2948.8501,2979.1499,2930.3501,2942.3,2942.3,216.0
2995,2019-05-31,2959.0,2981.0,2905.0,2952.55,2952.55,1114.0
2994,2019-05-30,2964.05,2981.7,2930.5,2956.3501,2956.3501,372.0
2993,2019-05-29,2960.0,3027.6499,2920.0,2969.6499,2969.6499,319.0
2992,2019-05-28,2982.0,2982.0,2923.05,2950.05,2950.05,704.0
2991,2019-05-27,2900.0,2945.0,2900.0,2925.5,2925.5,502.0
2990,2019-05-24,2895.1001,2948.3999,2883.2,2932.0,2932.0,203.0
2989,2019-05-23,2961.0,2999.95,2842.45,2892.3501,2892.3501,1181.0
2988,2019-05-22,2900.0,2909.05,2852.55,2871.75,2871.75,383.0
2987,2019-05-21,2922.0,2949.2,2902.0,2906.8501,2906.8501,366.0
2986,2019-05-20,2985.95,2985.95,2901.0,2921.8999,2921.8999,1492.0
2985,2019-05-17,2919.3999,2974.8,2900.0,2913.55,2913.55,445.0
2984,2019-05-16,2977.8999,2999.0,2900.0,2902.8,2902.8,813.0
2983,2019-05-15,2963.0,2995.0,2900.2,2933.8501,2933.8501,377.0
2982,2019-05-14,2972.5,3000.0,2964.1001,2992.0,2992.0,231.0
2981,2019-05-13,2971.5,3030.0,2965.7,3002.55,3002.55,543.0
2980,2019-05-10,2955.0,2974.0,2850.0,2949.7,2949.7,1568.0
2979,2019-05-09,3078.05,3128.05,2990.0,3015.0,3015.0,3245.0
2978,2019-05-08,3122.05,3132.8,3097.1499,3109.05,3109.05,1842.0
2977,2019-05-07,3130.8,3137.05,3109.8,3116.7,3116.7,576.0
2976,2019-05-06,3096.8501,3140.0,3094.6001,3131.0,3131.0,1220.0
2975,2019-05-03,3105.0,3135.0,3105.0,3124.8999,3124.8999,5455.0
2974,2019-05-02,3130.0,3150.45,3110.05,3131.45,3131.45,1641.0
2973,2019-04-30,3078.1499,3150.0,3078.1499,3141.1499,3141.1499,633.0
2972,2019-04-26,3138.8501,3145.0,3114.6001,3138.8,3138.8,31529.0
2971,2019-04-25,3139.0,3170.0,3104.05,3143.3,3143.3,309.0
2970,2019-04-24,3105.75,3170.0,3105.0,3138.8501,3138.8501,927.0
2969,2019-04-23,3108.1001,3121.05,3100.0,3102.0,3102.0,653.0
2968,2019-04-22,3125.05,3175.0,3103.95,3128.0,3128.0,866.0
2967,2019-04-18,3110.0,3159.3,3100.0,3138.6001,3138.6001,1260.0
2966,2019-04-16,3000.05,3120.0,2990.0,3112.1001,3112.1001,2079.0
2965,2019-04-15,2967.0,2993.95,2955.05,2980.05,2980.05,465.0
2964,2019-04-12,2982.0,3012.7,2966.5,2969.55,2969.55,3815.0
2963,2019-04-11,3011.8999,3020.95,2975.0,2982.05,2982.05,767.0
2962,2019-04-10,2949.1001,3020.0,2937.95,2999.5,2999.5,608.0
2961,2019-04-09,2927.0,2965.1001,2917.3999,2951.8501,2951.8501,350.0
2960,2019-04-08,2959.8,2959.8,2920.05,2931.8999,2931.8999,319.0
2959,2019-04-05,2911.6001,2929.8,2896.5,2921.0,2921.0,510.0
2958,2019-04-04,2919.1001,2924.95,2904.75,2916.05,2916.05,1679.0
2957,2019-04-03,2931.0,2940.0,2900.0,2929.7,2929.7,40529.0
2956,2019-04-02,2950.0,2950.0,2911.55,2934.6001,2934.6001,979.0
2955,2019-04-01,2899.8999,2945.0,2873.0,2914.75,2914.75,1499.0
2954,2019-03-28,2880.1001,2890.0,2868.1001,2880.8,2880.8,939.0
2953,2019-03-27,2900.1001,2914.95,2860.0,2876.75,2876.75,6910.0
2952,2019-03-26,2871.0,2940.1001,2865.0,2874.1499,2874.1499,1789.0
2951,2019-03-25,2910.1499,2940.95,2860.0,2899.8,2899.8,29105.0
2950,2019-03-22,2999.95,2999.95,2935.0,2941.7,2941.7,1136.0
2949,2019-03-20,2990.1499,3022.3999,2970.0,2985.6499,2985.6499,833.0
2948,2019-03-19,2960.05,2999.45,2950.7,2987.6001,2987.6001,947.0
2947,2019-03-18,2999.0,3039.95,2970.0,2989.75,2989.75,1965.0
2946,2019-03-15,2930.1499,3048.0,2930.1499,3011.45,3011.45,10616.0
2945,2019-03-14,2875.3999,2951.75,2869.95,2917.3,2917.3,238796.0
2944,2019-03-13,2879.95,2915.0,2850.0,2856.95,2856.95,3014.0
2943,2019-03-12,2887.05,2914.0,2849.05,2853.0,2853.0,4963.0
2942,2019-03-11,2846.0,2886.0,2840.05,2873.7,2873.7,8871.0
2941,2019-03-08,2852.6499,2900.0,2845.0,2845.6499,2845.6499,4416.0
2940,2019-03-07,2857.0,2865.0,2848.0,2852.6499,2852.6499,7383.0
2939,2019-03-06,2900.0,2900.0,2849.8999,2856.8501,2856.8501,9207.0
2938,2019-03-05,2900.0,3008.45,2865.55,2870.6499,2870.6499,15674.0
2937,2019-03-01,2888.2,2999.8999,2888.2,2899.7,2899.7,1768.0
2936,2019-02-28,2909.8999,2927.25,2888.0,2899.3999,2899.3999,479.0
2935,2019-02-27,2893.0,2929.8999,2893.0,2905.3999,2905.3999,1464.0
2934,2019-02-26,2919.95,2931.0,2904.95,2914.6499,2914.6499,1350.0
2933,2019-02-25,2929.8999,2950.0,2900.0,2918.8999,2918.8999,455.0
2932,2019-02-22,2941.1499,2950.0,2915.0,2915.75,2915.75,463.0
2931,2019-02-21,2924.8999,2945.0,2915.0,2926.1001,2926.1001,261.0
2930,2019-02-20,2927.45,3020.0,2913.8,2923.0,2923.0,1003.0
2929,2019-02-19,2915.5,2950.05,2908.3,2947.55,2947.55,1060.0
2928,2019-02-18,2943.8501,2943.8501,2895.05,2913.6001,2913.6001,469.0
2927,2019-02-15,2973.8501,2973.8501,2920.0,2941.6499,2941.6499,195.0
2926,2019-02-14,2915.3999,2990.0,2915.3999,2974.3999,2974.3999,518.0
2925,2019-02-12,2939.6001,2949.0,2920.0,2926.45,2926.45,150.0
2924,2019-02-11,2984.8501,2984.8501,2935.2,2953.45,2953.45,176.0
2923,2019-02-08,2941.5,3030.0,2910.0,2976.6499,2976.6499,750.0
2922,2019-02-07,2928.6499,2988.7,2910.05,2947.3999,2947.3999,466.0
2921,2019-02-06,2887.55,2946.05,2887.55,2929.7,2929.7,492.0
2920,2019-02-05,2907.7,2914.95,2889.5,2899.75,2899.75,546.0
2919,2019-02-04,2967.95,3002.1001,2888.05,2922.3999,2922.3999,1855.0
2918,2019-02-01,3072.95,3072.95,2976.3999,2997.8999,2997.8999,634.0
2917,2019-01-31,3053.95,3077.2,3018.45,3046.8,3046.8,359.0
2916,2019-01-30,2972.0,3050.0,2972.0,3040.25,3040.25,187.0
2915,2019-01-29,3001.55,3001.55,2980.0,2996.3999,2996.3999,411.0
2914,2019-01-28,3041.3999,3060.0,3006.0,3012.0,3012.0,231.0
2913,2019-01-25,3092.75,3110.0,3050.0,3051.3501,3051.3501,712.0
2912,2019-01-24,3188.5,3188.5,3055.0,3092.25,3092.25,580.0
2911,2019-01-23,3158.6001,3158.6001,3120.0,3128.5,3128.5,366.0
2910,2019-01-22,3175.45,3190.8999,3125.0,3136.6001,3136.6001,457.0
2909,2019-01-21,3179.95,3199.0,3155.25,3185.1499,3185.1499,2727.0
2908,2019-01-18,3165.6499,3199.0,3165.6499,3186.45,3186.45,552.0
2907,2019-01-17,3185.0,3195.0,3172.0,3187.0,3187.0,531.0
2906,2019-01-16,3166.1499,3199.0,3150.0,3189.45,3189.45,1606.0
2905,2019-01-15,3189.95,3199.0,3171.0,3187.05,3187.05,756.0
2904,2019-01-14,3188.05,3190.0,3150.2,3186.3999,3186.3999,191.0
2903,2019-01-11,3193.6001,3199.0,3170.0,3189.6499,3189.6499,158.0
2902,2019-01-10,3169.1001,3199.0,3169.1001,3196.45,3196.45,386.0
2901,2019-01-09,3176.8,3199.0,3162.0,3181.1001,3181.1001,3855.0
2900,2019-01-08,3199.0,3199.0,3157.45,3181.3,3181.3,186.0
2899,2019-01-07,3204.3501,3204.3501,3157.0,3189.1499,3189.1499,392.0
2898,2019-01-04,3165.95,3199.0,3165.95,3187.45,3187.45,237.0
2897,2019-01-03,3177.2,3177.2,3100.0,3150.25,3150.25,51964.0
2896,2019-01-02,3172.95,3199.8999,3167.95,3198.1499,3198.1499,118.0
2895,2019-01-01,3198.8501,3199.8999,3180.0,3196.45,3196.45,237.0
2894,2018-12-31,3182.55,3200.0,3182.55,3198.7,3198.7,529.0
2893,2018-12-28,3181.8,3200.0,3151.8999,3185.05,3185.05,157.0
2892,2018-12-27,3139.8999,3195.0,3139.8999,3172.0,3172.0,122.0
2891,2018-12-26,3172.5,3172.5,3055.05,3145.6001,3145.6001,754.0
2890,2018-12-24,3167.8,3191.5,3148.0,3162.5,3162.5,100.0
2889,2018-12-21,3198.1001,3200.0,3150.0,3164.95,3164.95,364.0
2888,2018-12-20,3199.8,3200.0,3181.0,3200.0,3200.0,712.0
2887,2018-12-19,3195.8999,3200.0,3171.0,3199.8,3199.8,687.0
2886,2018-12-18,3136.0,3200.0,3126.6499,3183.8,3183.8,443.0
2885,2018-12-17,3173.55,3200.0,3156.55,3167.45,3167.45,258.0
2884,2018-12-14,3197.8501,3199.95,3156.95,3188.3999,3188.3999,317.0
2883,2018-12-13,3052.0,3200.0,3052.0,3196.75,3196.75,322.0
2882,2018-12-12,3185.6001,3199.0,3173.05,3187.6001,3187.6001,75.0
2881,2018-12-11,3160.1001,3200.0,3158.0,3198.3501,3198.3501,349.0
2880,2018-12-10,3184.8999,3207.05,3132.0,3178.75,3178.75,1397.0
2879,2018-12-07,3187.3999,3200.5,3173.25,3196.2,3196.2,2539.0
2878,2018-12-06,3192.05,3230.0,3175.0,3200.05,3200.05,1290.0
2877,2018-12-05,3259.8,3259.8,3179.7,3198.5,3198.5,1399.0
2876,2018-12-04,3244.8999,3279.0,3227.8999,3265.95,3265.95,203.0
2875,2018-12-03,3200.1001,3237.95,3177.0,3230.8501,3230.8501,1723.0
2874,2018-11-30,3220.0,3230.0,3191.0,3200.0,3200.0,3229.0
2873,2018-11-29,3221.3999,3265.0,3204.95,3229.95,3229.95,6528.0
2872,2018-11-28,3221.0,3235.0,3220.0,3229.8501,3229.8501,11978.0
2871,2018-11-27,3222.2,3238.0,3222.2,3234.75,3234.75,10263.0
2870,2018-11-26,3266.8501,3280.0,3221.1001,3254.5,3254.5,338.0
2869,2018-11-22,3259.95,3307.5,3258.1001,3280.0,3280.0,10329.0
2868,2018-11-21,3273.55,3279.0,3255.05,3277.1499,3277.1499,192.0
2867,2018-11-20,3327.8501,3329.8999,3253.0,3278.55,3278.55,10326.0
2866,2018-11-19,3347.0,3347.0,3322.3501,3330.0,3330.0,182.0
2865,2018-11-16,3310.6499,3330.05,3275.0,3316.6499,3316.6499,25353.0
2864,2018-11-15,3275.05,3349.0,3270.3,3308.95,3308.95,190.0
2863,2018-11-14,3349.95,3349.95,3270.0,3279.6499,3279.6499,386.0
2862,2018-11-13,3260.8501,3350.0,3251.0,3309.1001,3309.1001,282.0
2861,2018-11-12,3266.1001,3277.45,3246.0,3250.05,3250.05,49479.0
2860,2018-11-09,3245.0,3269.95,3245.0,3250.05,3250.05,1961.0
2859,2018-11-07,3274.95,3274.95,3205.0,3249.8501,3249.8501,123.0
2858,2018-11-06,3262.05,3271.0,3232.0,3234.05,3234.05,1189.0
2857,2018-11-05,3341.45,3353.8999,3225.25,3277.1499,3277.1499,49337.0
2856,2018-11-02,3309.25,3349.25,3291.6499,3338.25,3338.25,301.0
2855,2018-11-01,3289.8999,3335.0,3268.8,3297.7,3297.7,1462.0
2854,2018-10-31,3232.6499,3287.8501,3232.6499,3264.3501,3264.3501,662.0
2853,2018-10-30,3200.0,3320.0,3200.0,3265.25,3265.25,7077.0
2852,2018-10-29,3260.0,3260.0,3175.0,3198.1499,3198.1499,5843.0
2851,2018-10-26,3170.0,3365.0,3170.0,3240.6499,3240.6499,3939.0
2850,2018-10-25,3217.55,3221.2,3185.0,3198.95,3198.95,4064.0
2849,2018-10-24,3201.1499,3250.0,3201.1499,3234.7,3234.7,1485.0
2848,2018-10-23,3272.0,3283.0,3210.1001,3230.95,3230.95,375.0
2847,2018-10-22,3328.95,3341.75,3237.95,3271.55,3271.55,1989.0
2846,2018-10-19,3398.8999,3398.8999,3310.05,3332.75,3332.75,345.0
2845,2018-10-17,3450.0,3450.0,3301.3999,3406.7,3406.7,1788.0
2844,2018-10-16,3450.0,3475.6001,3421.1001,3430.75,3430.75,13878.0
2843,2018-10-15,3450.05,3589.8,3412.0,3469.05,3469.05,39794.0
2842,2018-10-12,3475.75,3549.8,3456.05,3481.1001,3481.1001,26200.0
2841,2018-10-11,3356.5,3503.1499,3356.5,3482.7,3482.7,1477.0
2840,2018-10-10,3433.6001,3495.05,3430.0,3459.8501,3459.8501,5750.0
2839,2018-10-09,3422.3501,3450.0,3406.1001,3438.1499,3438.1499,25983.0
2838,2018-10-08,3522.1499,3522.1499,3430.05,3467.5,3467.5,31381.0
2837,2018-10-05,3431.0,3595.0,3430.0,3542.8999,3542.8999,11744.0
2836,2018-10-04,3400.0,3488.0,3400.0,3450.05,3450.05,14262.0
2835,2018-10-03,3376.25,3623.8,3370.05,3463.1001,3463.1001,11337.0
2834,2018-10-01,3464.0,3547.95,3376.0,3468.1001,3468.1001,3778.0
2833,2018-09-28,3430.0,3501.0,3425.0,3439.75,3439.75,618.0
2832,2018-09-27,3549.1499,3594.5,3501.05,3528.55,3528.55,635.0
2831,2018-09-26,3544.6001,3594.95,3510.0,3584.95,3584.95,856.0
2830,2018-09-25,3510.0,3596.0,3510.0,3594.6001,3594.6001,350.0
2829,2018-09-24,3600.1001,3648.3999,3450.0,3562.7,3562.7,805.0
2828,2018-09-21,3662.0,4000.0,3650.0,3660.05,3660.05,1492.0
2827,2018-09-19,3673.0,3708.75,3640.0,3662.8,3662.8,1057.0
2826,2018-09-18,3633.3501,3800.0,3633.3501,3708.75,3708.75,3639.0
