,Date,Open,High,Low,Close,Adj Close,Volume
145,2019-06-14,42.05,42.65,41.5,41.8,41.8,6547626.0
144,2019-06-13,42.35,42.6,41.0,42.05,42.05,11613075.0
143,2019-06-12,42.4,42.85,42.0,42.65,42.65,6522978.0
142,2019-06-11,42.2,42.9,41.5,42.55,42.55,10197749.0
141,2019-06-10,42.75,43.25,42.0,42.2,42.2,9677602.0
140,2019-06-07,42.55,43.4,41.9,42.55,42.55,15627589.0
139,2019-06-06,45.4,45.5,42.0,42.4,42.4,30594940.0
138,2019-06-04,45.0,46.35,44.9,45.5,45.5,8688578.0
137,2019-06-03,45.25,45.7,44.2,45.3,45.3,8094867.0
136,2019-05-31,46.0,46.0,44.3,45.4,45.4,12150775.0
135,2019-05-30,46.0,46.35,45.5,45.75,45.75,17149337.0
134,2019-05-29,45.75,46.2,45.0,45.85,45.85,10939813.0
133,2019-05-28,46.3,46.3,45.3,45.55,45.55,16812715.0
132,2019-05-27,45.1,46.1,44.65,45.9,45.9,18741694.0
131,2019-05-24,42.3,45.2,42.3,45.05,45.05,30625475.0
130,2019-05-23,43.3,44.45,41.75,42.05,42.05,35344978.0
129,2019-05-22,42.05,42.9,41.55,42.65,42.65,17962791.0
128,2019-05-21,43.4,43.8,42.85,43.4,43.4,14295925.0
127,2019-05-20,43.45,43.5,42.35,43.05,43.05,29227539.0
126,2019-05-17,41.2,41.95,40.75,41.75,41.75,12728534.0
125,2019-05-16,40.75,41.5,40.0,41.15,41.15,15823086.0
124,2019-05-15,41.9,42.3,40.45,40.75,40.75,18135021.0
123,2019-05-14,42.8,43.0,40.55,41.75,41.75,50253746.0
122,2019-05-13,46.1,46.95,42.5,42.95,42.95,54685899.0
121,2019-05-10,48.65,49.8,48.6,49.15,49.15,13093765.0
120,2019-05-09,49.3,49.7,48.1,48.65,48.65,15120212.0
119,2019-05-08,48.1,49.9,48.1,49.35,49.35,16414742.0
118,2019-05-07,50.6,50.7,48.5,48.75,48.75,11507805.0
117,2019-05-06,50.45,50.5,49.85,50.25,50.25,9641420.0
116,2019-05-03,50.9,51.2,50.45,50.65,50.65,9793655.0
115,2019-05-02,49.45,50.95,49.25,50.5,50.5,11302917.0
114,2019-04-30,51.9,51.9,49.1,49.95,49.95,15930064.0
113,2019-04-26,53.25,53.4,51.6,51.95,51.95,10783521.0
112,2019-04-25,52.25,53.55,52.0,52.75,52.75,17822195.0
111,2019-04-24,51.9,52.6,51.35,52.1,52.1,8114106.0
