,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1493.0,1495.0,1411.25,1426.8,1426.8,10500499.0
4223,2019-06-13,1520.0,1525.0,1440.0,1488.85,1488.85,10175722.0
4222,2019-06-12,1597.0,1602.6,1561.2,1569.85,1569.85,3504083.0
4221,2019-06-11,1564.0,1595.3,1563.0,1590.6,1590.6,3468327.0
4220,2019-06-10,1564.0,1585.1,1536.15,1551.65,1551.65,3211040.0
4219,2019-06-07,1530.0,1560.0,1482.05,1552.2,1552.2,6289576.0
4218,2019-06-06,1634.7,1634.7,1510.0,1522.65,1522.65,6402947.0
4217,2019-06-04,1663.0,1672.95,1630.0,1638.0,1638.0,2614383.0
4216,2019-06-03,1600.1,1667.0,1589.7,1662.65,1662.65,3064055.0
4215,2019-05-31,1599.0,1610.95,1555.05,1605.35,1605.35,3138032.0
4214,2019-05-30,1608.6,1621.6,1580.55,1586.9,1586.9,4997347.0
4213,2019-05-29,1617.0,1629.35,1602.05,1608.65,1608.65,1628713.0
4212,2019-05-28,1615.0,1632.0,1596.7,1619.65,1619.65,2044030.0
4211,2019-05-27,1647.9,1647.9,1607.0,1612.8,1612.8,2426340.0
4210,2019-05-24,1608.7,1658.0,1594.0,1648.9,1648.9,6065381.0
4209,2019-05-23,1547.0,1640.0,1543.15,1598.75,1598.75,12378857.0
4208,2019-05-22,1446.95,1536.85,1382.3,1518.9,1518.9,18578611.0
4207,2019-05-21,1499.9,1514.0,1443.0,1447.75,1447.75,3331988.0
4206,2019-05-20,1400.0,1505.65,1400.0,1494.65,1494.65,4545248.0
4205,2019-05-17,1368.0,1392.0,1365.0,1373.55,1373.55,3070835.0
4204,2019-05-16,1382.0,1382.0,1348.1,1358.2,1358.2,4571270.0
4203,2019-05-15,1436.0,1452.0,1373.0,1379.0,1379.0,3321014.0
4202,2019-05-14,1393.3,1442.0,1386.5,1432.7,1432.7,5582146.0
4201,2019-05-13,1434.0,1446.0,1387.25,1393.3,1393.3,2608583.0
4200,2019-05-10,1478.55,1492.5,1430.0,1439.9,1439.9,2304082.0
4199,2019-05-09,1486.0,1489.0,1468.85,1476.55,1476.55,3040828.0
4198,2019-05-08,1515.8,1525.95,1482.1,1488.75,1488.75,2652472.0
4197,2019-05-07,1539.8,1542.0,1495.5,1515.8,1515.8,3333379.0
4196,2019-05-06,1543.3,1543.3,1521.6,1528.25,1528.25,2018992.0
4195,2019-05-03,1565.0,1579.0,1546.8,1556.6,1556.6,2042908.0
4194,2019-05-02,1601.15,1617.6,1551.5,1561.3,1561.3,4071588.0
4193,2019-04-30,1679.9,1679.9,1575.2,1606.5,1606.5,5059803.0
4192,2019-04-26,1684.0,1703.25,1661.5,1698.85,1698.85,1639196.0
4191,2019-04-25,1716.0,1724.0,1673.0,1683.45,1683.45,3070975.0
4190,2019-04-24,1667.0,1705.0,1661.1,1699.25,1699.25,3467827.0
4189,2019-04-23,1691.0,1716.0,1645.0,1651.35,1651.35,2161145.0
4188,2019-04-22,1759.0,1760.0,1682.95,1691.0,1691.0,2184388.0
4187,2019-04-18,1816.0,1823.75,1752.3,1764.3,1764.3,1857583.0
4186,2019-04-16,1753.9,1820.0,1753.0,1815.15,1815.15,2593532.0
4185,2019-04-15,1743.5,1764.9,1732.8,1748.9,1748.9,973597.0
4184,2019-04-12,1743.5,1744.45,1726.1,1736.8,1736.8,1029735.0
4183,2019-04-11,1748.9,1752.9,1727.8,1740.65,1740.65,965883.0
4182,2019-04-10,1766.05,1778.95,1742.2,1747.45,1747.45,1891510.0
4181,2019-04-09,1758.0,1772.4,1730.25,1767.1,1767.1,1675803.0
4180,2019-04-08,1768.9,1798.6,1746.05,1751.0,1751.0,1816648.0
4179,2019-04-05,1748.0,1774.85,1745.15,1767.95,1767.95,1183378.0
4178,2019-04-04,1773.6,1782.75,1723.25,1736.15,1736.15,2164515.0
4177,2019-04-03,1784.0,1818.0,1761.95,1773.6,1773.6,2494990.0
4176,2019-04-02,1754.65,1780.0,1730.8,1774.55,1774.55,2760486.0
4175,2019-04-01,1797.0,1799.0,1739.05,1743.05,1743.05,2594605.0
4174,2019-03-28,1812.5,1834.4,1777.15,1821.1,1821.1,4070284.0
4173,2019-03-27,1730.0,1813.45,1720.1,1804.25,1804.25,5562677.0
4172,2019-03-26,1681.0,1720.0,1668.6,1714.65,1714.65,2216791.0
4171,2019-03-25,1682.1,1699.95,1675.0,1683.55,1683.55,1689972.0
4170,2019-03-22,1715.0,1731.55,1694.3,1698.6,1698.6,2081172.0
4169,2019-03-20,1729.0,1730.0,1708.0,1713.4,1713.4,1592600.0
4168,2019-03-19,1730.0,1735.0,1718.2,1725.2,1725.2,1738526.0
4167,2019-03-18,1708.0,1734.45,1702.6,1719.1,1719.1,2795278.0
4166,2019-03-15,1686.0,1718.0,1685.1,1703.25,1703.25,3884063.0
4165,2019-03-14,1649.0,1701.0,1635.0,1682.7,1682.7,6598388.0
4164,2019-03-13,1574.9,1640.0,1567.9,1636.35,1636.35,7407679.0
