,Date,Open,High,Low,Close,Adj Close,Volume
787,2019-06-14,45.65,47.45,45.3,46.3,46.3,6160866.0
786,2019-06-13,45.95,46.0,44.4,45.65,45.65,5856789.0
785,2019-06-12,47.35,47.75,45.5,46.1,46.1,5950356.0
784,2019-06-11,45.4,48.55,44.55,47.3,47.3,8255092.0
783,2019-06-10,48.0,48.45,44.75,44.95,44.95,5536606.0
782,2019-06-07,45.05,49.2,44.3,47.7,47.7,12306896.0
781,2019-06-06,46.2,46.2,43.9,45.15,45.15,4513047.0
780,2019-06-04,45.85,47.35,45.6,45.85,45.85,4654064.0
779,2019-06-03,46.25,47.15,45.2,46.25,46.25,5460327.0
778,2019-05-31,52.0,52.0,45.6,46.2,46.2,24462535.0
777,2019-05-30,48.1,51.8,47.0,50.65,50.65,12628897.0
776,2019-05-29,49.2,49.6,47.15,48.2,48.2,4550776.0
775,2019-05-28,47.5,50.8,47.3,48.8,48.8,17849636.0
774,2019-05-27,45.8,47.6,45.25,47.05,47.05,7917575.0
773,2019-05-24,45.0,46.65,44.9,46.1,46.1,4328270.0
772,2019-05-23,47.45,47.55,44.6,44.9,44.9,4875121.0
771,2019-05-22,45.0,46.5,44.25,45.85,45.85,4620732.0
770,2019-05-21,45.9,46.0,44.0,45.3,45.3,4454319.0
769,2019-05-20,44.0,46.9,43.75,45.8,45.8,9910349.0
768,2019-05-17,42.8,43.5,42.25,42.65,42.65,3928849.0
767,2019-05-16,42.5,43.35,41.95,42.35,42.35,4871265.0
766,2019-05-15,43.2,45.3,42.25,42.45,42.45,8738113.0
765,2019-05-14,41.75,43.4,41.75,43.0,43.0,4907059.0
764,2019-05-13,43.5,44.0,41.5,41.85,41.85,5756872.0
763,2019-05-10,42.65,44.45,42.5,43.2,43.2,6651223.0
762,2019-05-09,42.25,43.15,41.75,42.45,42.45,6091744.0
761,2019-05-08,41.7,43.5,41.7,42.25,42.25,4875322.0
760,2019-05-07,43.95,45.0,42.2,42.65,42.65,7418163.0
759,2019-05-06,40.65,44.5,40.0,43.5,43.5,12019538.0
758,2019-05-03,42.75,44.8,42.0,43.4,43.4,7791036.0
757,2019-05-02,41.65,43.9,41.65,42.6,42.6,7316328.0
756,2019-04-30,44.0,44.5,41.35,41.65,41.65,8419682.0
755,2019-04-26,46.0,46.4,44.2,44.85,44.85,5726045.0
754,2019-04-25,46.95,47.95,45.2,45.75,45.75,10797350.0
753,2019-04-24,43.65,47.3,43.65,46.45,46.45,12468997.0
752,2019-04-23,47.15,47.3,43.1,43.6,43.6,16544904.0
751,2019-04-22,49.8,50.45,47.25,47.55,47.55,8453142.0
