,Date,Open,High,Low,Close,Adj Close,Volume
1591,2019-06-14,270.65,276.0,270.1,275.05,275.05,1800758.0
1590,2019-06-13,274.05,274.55,269.15,271.35,271.35,1586510.0
1589,2019-06-12,282.0,282.4,272.05,273.25,273.25,2151888.0
1588,2019-06-11,283.6,288.5,279.1,283.15,283.15,2412856.0
1587,2019-06-10,281.55,288.5,280.0,281.95,281.95,3384305.0
1586,2019-06-07,274.5,282.9,271.8,279.65,279.65,3356328.0
1585,2019-06-06,274.25,275.9,268.8,273.5,273.5,2900691.0
1584,2019-06-04,268.85,275.0,268.55,274.0,274.0,2551900.0
1583,2019-06-03,273.0,276.0,267.4,268.75,268.75,2587599.0
1582,2019-05-31,274.0,275.35,267.35,269.0,269.0,2066116.0
1581,2019-05-30,276.4,276.7,271.1,271.9,271.9,1372537.0
1580,2019-05-29,269.9,278.3,267.2,275.7,275.7,4588858.0
1579,2019-05-28,280.0,280.95,267.0,269.0,269.0,5400573.0
1578,2019-05-27,280.35,282.85,276.45,279.55,279.55,1662490.0
1577,2019-05-24,273.1,280.35,269.8,277.55,277.55,2466673.0
1576,2019-05-23,273.0,277.0,271.0,273.85,273.85,1602734.0
1575,2019-05-22,275.85,280.9,268.95,269.35,269.35,3235336.0
1574,2019-05-21,270.1,281.45,270.1,276.1,276.1,4677322.0
1573,2019-05-20,270.0,275.5,267.8,269.55,269.55,1197002.0
1572,2019-05-17,269.0,270.9,265.5,268.7,268.7,1254452.0
1571,2019-05-16,267.9,270.05,262.35,268.15,268.15,1350907.0
1570,2019-05-15,272.65,273.0,262.15,263.85,263.85,1834553.0
1569,2019-05-14,265.0,274.0,262.35,270.05,270.05,2305293.0
1568,2019-05-13,261.45,269.15,259.6,265.45,265.45,3369566.0
1567,2019-05-10,266.3,267.0,260.75,262.25,262.25,2270319.0
1566,2019-05-09,266.95,269.7,261.5,267.1,267.1,3520232.0
1565,2019-05-08,268.0,270.3,263.65,266.7,266.7,2225529.0
1564,2019-05-07,266.9,270.8,265.75,268.0,268.0,2972102.0
1563,2019-05-06,273.0,273.5,268.3,271.85,264.35,2351319.0
1562,2019-05-03,272.55,278.55,272.1,274.0,266.4407,4234052.0
1561,2019-05-02,262.55,272.4,262.55,270.85,263.3776,5510874.0
1560,2019-04-30,273.7,278.9,256.5,262.55,255.3066,9291803.0
1559,2019-04-26,273.0,278.0,271.35,272.9,265.371,8713787.0
1558,2019-04-25,287.35,298.0,265.65,270.7,263.2317,24061163.0
1557,2019-04-24,297.0,303.5,291.0,301.5,293.182,2572361.0
1556,2019-04-23,301.0,303.65,292.55,294.0,285.8889,1532866.0
1555,2019-04-22,306.8,310.85,295.55,299.6,291.3344,1606392.0
1554,2019-04-18,312.95,314.45,303.25,307.2,298.7248,2227796.0
1553,2019-04-16,310.95,316.9,309.4,312.95,304.3161,2057364.0
1552,2019-04-15,314.5,316.5,307.3,308.45,299.9403,1493320.0
1551,2019-04-12,314.0,317.35,313.0,314.65,305.9692,777930.0
1550,2019-04-11,315.35,317.0,311.05,313.35,304.7051,1316742.0
1549,2019-04-10,315.1,318.2,313.65,315.3,306.6013,1404102.0
1548,2019-04-09,316.1,318.5,312.5,315.2,306.5041,777799.0
1547,2019-04-08,317.95,318.7,313.7,316.1,307.3792,1035460.0
1546,2019-04-05,316.65,320.0,314.4,316.8,308.0599,1034427.0
1545,2019-04-04,318.5,319.75,314.7,316.65,307.914,1339901.0
1544,2019-04-03,314.5,320.0,314.15,317.25,308.4975,1971729.0
1543,2019-04-02,314.45,318.1,312.15,315.0,306.3095,1660087.0
1542,2019-04-01,314.95,317.6,311.5,314.25,305.5802,1556091.0
1541,2019-03-28,317.45,319.65,313.45,317.1,308.3516,1752675.0
1540,2019-03-27,316.9,318.5,311.1,316.2,307.4765,2831679.0
1539,2019-03-26,305.2,314.0,305.2,312.85,304.2189,2393663.0
1538,2019-03-25,314.55,314.55,304.75,306.6,298.1413,2436411.0
1537,2019-03-22,325.1,329.25,313.9,316.1,307.3792,3378667.0
1536,2019-03-20,328.3,333.45,322.25,325.05,316.0823,3756179.0
1535,2019-03-19,320.0,331.8,314.15,327.6,318.562,10223121.0
1534,2019-03-18,317.0,321.6,310.85,318.1,309.324,2868948.0
1533,2019-03-15,316.0,320.0,311.25,313.2,304.5592,2880482.0
