,Date,Open,High,Low,Close,Adj Close,Volume
1030,2019-06-14,68.4,69.05,68.35,68.6,68.6,74901.0
1029,2019-06-13,68.75,69.2,67.5,68.35,68.35,31126.0
1028,2019-06-12,67.6,70.25,66.85,69.35,69.35,48926.0
1027,2019-06-11,67.0,69.0,66.05,68.55,68.55,43215.0
1026,2019-06-10,70.25,71.5,66.3,67.45,67.45,79671.0
1025,2019-06-07,71.0,71.5,67.4,70.55,70.55,96396.0
1024,2019-06-06,69.9,73.3,69.2,70.3,70.3,260209.0
1023,2019-06-04,70.8,70.8,67.35,68.95,68.95,44116.0
1022,2019-06-03,72.35,72.35,69.1,70.2,70.2,61130.0
1021,2019-05-31,73.2,73.2,70.0,71.25,71.25,89901.0
1020,2019-05-30,70.1,72.6,69.0,71.65,71.65,90552.0
1019,2019-05-29,68.5,75.0,66.05,70.8,70.8,432405.0
1018,2019-05-28,65.0,68.0,64.5,66.8,66.8,75782.0
1017,2019-05-27,63.55,66.45,62.5,65.7,65.7,61440.0
1016,2019-05-24,62.2,64.0,62.0,63.55,63.55,41660.0
1015,2019-05-23,63.5,63.5,61.75,62.8,62.8,64787.0
1014,2019-05-22,61.8,62.4,59.55,61.2,61.2,53640.0
1013,2019-05-21,61.5,63.0,60.0,61.2,61.2,78302.0
1012,2019-05-20,54.55,61.95,54.55,60.75,60.75,272520.0
1011,2019-05-17,57.8,58.05,55.9,56.5,56.5,56684.0
1010,2019-05-16,57.0,58.3,55.1,57.35,57.35,71431.0
1009,2019-05-15,59.9,59.9,57.0,57.5,57.5,58964.0
1008,2019-05-14,58.8,61.8,58.1,58.55,58.55,109356.0
1007,2019-05-13,61.15,62.1,57.5,58.2,58.2,48921.0
1006,2019-05-10,60.3,60.9,59.2,60.4,60.4,28959.0
1005,2019-05-09,59.0,60.0,58.4,59.75,59.75,31782.0
1004,2019-05-08,60.65,61.1,58.4,58.9,58.9,59832.0
1003,2019-05-07,62.05,63.15,60.25,61.15,61.15,52394.0
1002,2019-05-06,62.9,64.4,61.3,62.55,62.55,34598.0
1001,2019-05-03,62.5,63.5,62.1,62.9,62.9,29541.0
1000,2019-05-02,64.5,64.5,63.15,63.7,63.7,32682.0
999,2019-04-30,66.4,66.85,63.6,64.15,64.15,43088.0
998,2019-04-26,67.0,67.0,66.0,66.4,66.4,25257.0
997,2019-04-25,68.2,68.2,66.25,67.0,67.0,43872.0
996,2019-04-24,65.7,67.15,65.7,66.3,66.3,46255.0
995,2019-04-23,66.85,68.6,65.6,66.0,66.0,49639.0
994,2019-04-22,69.8,69.8,66.3,67.15,67.15,46931.0
993,2019-04-18,68.3,69.0,67.25,68.1,68.1,50231.0
992,2019-04-16,70.8,70.95,69.05,69.25,69.25,48012.0
991,2019-04-15,69.6,70.95,69.2,69.9,69.9,60465.0
990,2019-04-12,68.1,69.8,68.1,68.95,68.95,24415.0
989,2019-04-11,68.35,68.95,68.0,68.25,68.25,38125.0
988,2019-04-10,69.1,69.1,68.0,68.4,68.4,66845.0
987,2019-04-09,68.9,69.0,68.0,68.4,68.4,33065.0
986,2019-04-08,68.6,71.4,68.0,68.4,68.4,141952.0
985,2019-04-05,68.8,69.3,68.3,68.6,68.6,29461.0
984,2019-04-04,69.7,69.7,68.5,68.8,68.8,34920.0
983,2019-04-03,68.3,70.85,68.3,69.1,69.1,133496.0
982,2019-04-02,68.8,71.75,67.55,68.75,68.75,245838.0
981,2019-04-01,67.1,69.15,66.5,68.15,68.15,98201.0
980,2019-03-28,64.9,67.0,64.25,66.3,66.3,124319.0
979,2019-03-27,66.75,67.5,64.05,64.35,64.35,816987.0
978,2019-03-26,68.2,68.3,65.05,66.75,66.75,3117721.0
977,2019-03-25,68.0,68.4,67.4,67.95,67.95,1106368.0
976,2019-03-22,68.0,71.4,67.4,69.2,69.2,200399.0
975,2019-03-20,69.0,69.0,67.5,68.0,68.0,53074.0
974,2019-03-19,69.55,70.3,67.75,68.2,68.2,1149774.0
973,2019-03-18,69.65,70.05,67.75,69.55,69.55,214540.0
972,2019-03-15,73.3,75.0,66.0,67.75,67.75,814012.0
971,2019-03-14,74.3,75.0,72.05,73.1,73.1,1785244.0
970,2019-03-13,75.55,75.7,72.0,74.25,74.25,1758281.0
969,2019-03-12,75.55,76.95,74.05,76.0,76.0,95177.0
968,2019-03-11,75.4,76.85,73.15,74.7,74.7,66291.0
967,2019-03-08,77.4,77.95,74.65,74.95,74.95,32106.0
966,2019-03-07,76.0,80.65,75.2,76.2,76.2,101863.0
965,2019-03-06,76.3,78.55,76.3,77.0,77.0,63374.0
964,2019-03-05,72.4,79.9,69.95,76.4,76.4,213206.0
963,2019-03-01,71.65,73.9,71.15,71.9,71.9,49849.0
962,2019-02-28,71.0,72.7,70.2,71.65,71.65,31498.0
961,2019-02-27,71.0,72.95,69.55,71.85,71.85,111104.0
960,2019-02-26,68.3,72.0,65.9,71.35,71.35,114221.0
959,2019-02-25,72.0,73.25,69.05,70.1,70.1,114439.0
958,2019-02-22,63.6,74.3,63.0,72.15,72.15,875133.0
957,2019-02-21,63.75,63.75,61.8,63.35,63.35,20663.0
