,Date,Open,High,Low,Close,Adj Close,Volume
2785,2019-06-14,110.5,114.75,108.4,112.85,112.85,4207472.0
2784,2019-06-13,116.0,116.15,107.25,112.75,112.75,6234933.0
2783,2019-06-12,117.7,118.75,115.4,116.3,116.3,1748640.0
2782,2019-06-11,116.35,119.15,113.55,117.75,117.75,3095666.0
2781,2019-06-10,117.3,119.35,114.0,115.65,115.65,2956376.0
2780,2019-06-07,118.0,121.75,115.55,116.5,116.5,3092680.0
2779,2019-06-06,121.8,122.35,115.2,118.7,118.7,3743808.0
2778,2019-06-04,123.25,124.55,119.9,121.05,121.05,3674213.0
2777,2019-06-03,123.75,125.0,121.0,123.0,123.0,2988865.0
2776,2019-05-31,129.0,129.75,121.2,123.75,123.75,4826100.0
2775,2019-05-30,130.9,131.55,127.4,128.3,128.3,2779157.0
2774,2019-05-29,132.0,137.5,128.4,130.9,130.9,6267959.0
2773,2019-05-28,137.0,137.1,131.85,133.15,133.15,2698931.0
2772,2019-05-27,135.8,139.25,134.1,136.75,136.75,2994565.0
2771,2019-05-24,129.8,137.4,127.0,135.8,135.8,4489594.0
2770,2019-05-23,128.45,136.5,126.7,127.9,127.9,6744725.0
2769,2019-05-22,127.0,127.0,121.4,125.75,125.75,2652465.0
2768,2019-05-21,128.85,130.0,123.15,124.85,124.85,1861442.0
2767,2019-05-20,123.95,133.85,122.05,128.05,128.05,3902422.0
2766,2019-05-17,115.9,120.0,114.25,119.1,119.1,2647338.0
2765,2019-05-16,112.4,117.45,107.75,116.4,116.4,3987613.0
2764,2019-05-15,115.0,116.35,110.75,111.5,111.5,2856445.0
2763,2019-05-14,105.3,115.8,105.3,114.35,114.35,7612250.0
2762,2019-05-13,122.5,122.7,106.0,107.05,107.05,6463132.0
2761,2019-05-10,114.9,124.4,114.5,123.3,123.3,5480986.0
2760,2019-05-09,115.25,115.25,110.4,113.85,113.85,1924974.0
2759,2019-05-08,117.25,118.4,113.25,114.1,114.1,1666624.0
2758,2019-05-07,121.0,121.45,116.6,117.65,117.65,1455045.0
2757,2019-05-06,121.0,122.0,118.8,119.95,119.95,1884197.0
