,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,91.05,91.65,89.05,89.5,89.5,303432.0
4223,2019-06-13,92.2,92.3,90.5,91.2,91.2,361073.0
4222,2019-06-12,93.15,93.7,92.1,92.35,92.35,286078.0
4221,2019-06-11,95.45,96.3,93.2,93.65,93.65,1104144.0
4220,2019-06-10,92.35,94.0,89.3,92.9,92.9,624647.0
4219,2019-06-07,94.6,94.9,91.0,92.05,92.05,459508.0
4218,2019-06-06,96.05,96.25,93.5,94.45,94.45,539806.0
4217,2019-06-04,96.25,98.3,95.25,95.65,95.65,766922.0
4216,2019-06-03,93.4,97.4,92.25,96.25,96.25,1396733.0
4215,2019-05-31,93.5,96.25,93.5,94.35,94.35,753004.0
4214,2019-05-30,96.25,96.85,93.7,94.2,94.2,414889.0
4213,2019-05-29,99.0,99.0,95.1,95.6,95.6,858510.0
4212,2019-05-28,103.05,104.85,100.0,101.7,101.7,1117556.0
4211,2019-05-27,99.3,104.6,99.0,102.35,102.35,2400649.0
4210,2019-05-24,93.9,98.0,93.25,97.5,97.5,1241931.0
4209,2019-05-23,95.0,97.2,92.05,93.25,93.25,1247932.0
4208,2019-05-22,89.6,95.35,89.1,93.75,93.75,1424613.0
4207,2019-05-21,92.85,93.2,89.6,90.4,90.4,631065.0
4206,2019-05-20,85.6,94.7,85.2,92.2,92.2,3088981.0
4205,2019-05-17,78.9,80.6,78.25,79.8,79.8,308114.0
4204,2019-05-16,79.9,80.5,78.5,79.0,79.0,216239.0
4203,2019-05-15,81.95,82.4,79.55,79.85,79.85,264249.0
4202,2019-05-14,81.3,82.3,78.8,81.3,81.3,476704.0
4201,2019-05-13,85.4,85.4,81.3,82.6,82.6,181416.0
4200,2019-05-10,86.0,86.5,84.75,85.4,85.4,234762.0
4199,2019-05-09,86.25,86.95,85.2,85.5,85.5,193401.0
4198,2019-05-08,88.8,89.0,86.15,86.65,86.65,275843.0
4197,2019-05-07,88.5,91.4,88.0,88.6,88.6,551412.0
4196,2019-05-06,88.8,89.0,87.5,87.85,87.85,183877.0
4195,2019-05-03,90.4,90.7,89.55,89.9,89.9,200308.0
4194,2019-05-02,90.55,91.6,89.25,90.0,90.0,281312.0
4193,2019-04-30,92.9,92.9,89.75,90.65,90.65,343910.0
4192,2019-04-26,93.5,93.9,92.65,93.2,93.2,258992.0
4191,2019-04-25,93.95,95.95,92.7,93.1,93.1,489019.0
4190,2019-04-24,94.25,94.65,92.8,93.6,93.6,273423.0
4189,2019-04-23,93.35,95.2,93.05,93.85,93.85,433515.0
4188,2019-04-22,96.75,96.75,93.3,93.65,93.65,450147.0
4187,2019-04-18,99.65,99.65,97.1,97.45,97.45,428692.0
4186,2019-04-16,101.7,101.7,99.5,99.65,99.65,388580.0
4185,2019-04-15,101.5,102.55,100.7,101.05,101.05,717430.0
4184,2019-04-12,100.0,101.95,99.4,100.05,100.05,603712.0
4183,2019-04-11,100.85,101.0,99.4,100.15,100.15,478006.0
4182,2019-04-10,102.15,103.0,100.55,100.85,100.85,839028.0
4181,2019-04-09,101.05,106.9,101.05,103.35,103.35,4609385.0
4180,2019-04-08,101.1,101.9,96.75,97.7,97.7,774639.0
4179,2019-04-05,103.2,103.45,100.8,101.55,101.55,571890.0
4178,2019-04-04,102.05,103.9,100.25,102.75,102.75,1338732.0
4177,2019-04-03,103.9,104.75,99.8,100.65,100.65,1372074.0
4176,2019-04-02,100.3,105.9,98.35,104.4,104.4,6085392.0
4175,2019-04-01,95.8,101.8,95.6,100.05,100.05,2476824.0
