,Date,Open,High,Low,Close,Adj Close,Volume
4194,14-06-2019,41.45,43.2,40.5,42.15,42.15,1817000
4193,13-06-2019,42,42.95,41,41.55,41.55,2092028
4192,12-06-2019,48.55,49.4,42.35,43.85,43.85,4410365
4191,11-06-2019,50.2,51.3,48.15,48.55,48.55,3332470
4190,10-06-2019,49.1,52.9,47.55,52.05,52.05,8967269
4189,07-06-2019,59.3,59.9,58.8,59.4,59.4,531202
4188,06-06-2019,61.25,61.25,58,58.9,58.9,959410
4187,04-06-2019,58.7,62,58.55,60.85,60.85,2864102
4186,03-06-2019,59.35,59.35,58.4,58.85,58.85,554396
4185,31-05-2019,60,60.55,58.05,59.4,59.4,793895
4184,30-05-2019,58,60,57.85,59.65,59.65,479193
4183,29-05-2019,59.15,59.7,58,58.25,58.25,757859
4182,28-05-2019,61.75,61.75,58.85,59.15,59.15,964803
4181,27-05-2019,60.1,62.2,60.1,61.5,61.5,906781
4180,24-05-2019,58.05,60.7,58.05,60.1,60.1,871596
4179,23-05-2019,62.3,63.45,57.25,58.2,58.2,1911249
4178,22-05-2019,58.5,61.4,58.05,60.55,60.55,1427030
4177,21-05-2019,57.95,59,57.75,58.25,58.25,962662
4176,20-05-2019,57,58,56.75,57.4,57.4,1088661
4175,17-05-2019,54.6,57.5,54.6,55.7,55.7,3322181
4174,16-05-2019,56.5,57.6,55.15,55.95,55.95,2222174
4173,15-05-2019,53,55.5,53,54.35,54.35,799163
4172,14-05-2019,51.8,52.9,51.5,52.4,52.4,705155
4171,13-05-2019,54.2,54.7,50.6,51.1,51.1,477804
4170,10-05-2019,53.1,57.65,52.65,54.15,54.15,1640465
4169,09-05-2019,54.15,55.05,51,53,53,1284084
4168,08-05-2019,58.35,58.55,53.7,54.45,54.45,870395
4167,07-05-2019,59.85,60.5,58.55,58.85,58.85,413097
4166,06-05-2019,60,60.6,58.9,59.8,59.8,343780
4165,03-05-2019,61.1,61.2,60.1,60.45,60.45,355003
4164,02-05-2019,61,62,60.1,60.6,60.6,604836
4163,30-04-2019,63,63,59.75,60.75,60.75,700643
4162,26-04-2019,60.5,65.4,60.5,62.9,62.9,3115132
4161,25-04-2019,60.4,62,60.15,60.65,60.65,655286
4160,24-04-2019,60,60.75,59.7,60.35,60.35,338996
4159,23-04-2019,58.7,61,58.35,59.5,59.5,600393
4158,22-04-2019,61.5,63.75,58,58.25,58.25,650982
4157,18-04-2019,65,65,61.15,61.95,61.95,650619
4156,16-04-2019,61.5,63.7,61.15,62.25,62.25,776098
4155,15-04-2019,62.2,62.95,61,61.2,61.2,617028
4154,12-04-2019,63,64,61.1,62.1,62.1,2501610
4153,11-04-2019,63.75,64.5,62.3,62.8,62.8,1381303
4152,10-04-2019,59.75,65.75,58.95,64.8,64.8,3125143
4151,09-04-2019,59.2,60,57.9,59.8,59.8,649730
4150,08-04-2019,59.35,60.2,57.8,59.2,59.2,1368205
4149,05-04-2019,57.2,59.4,56.25,58.75,58.75,795553
4148,04-04-2019,57.75,59,56.45,56.75,56.75,765915
4147,03-04-2019,57.3,59.2,57.3,57.9,57.9,1055685
4146,02-04-2019,57.7,58.8,56.2,57.1,57.1,1026153
4145,01-04-2019,54,59.9,54,57.55,57.55,3008678
4144,28-03-2019,48.55,55,48.55,53.6,53.6,2044055
4143,27-03-2019,49.3,49.75,48.15,48.45,48.45,444413
4142,26-03-2019,49.3,49.55,48.65,49.2,49.2,245934
4141,25-03-2019,50,50,48.2,48.65,48.65,778492
4140,22-03-2019,50,52.2,49.6,50,50,923983
4139,20-03-2019,51.1,51.8,49.75,50.05,50.05,577178
4138,19-03-2019,50.05,51.35,49.25,51.1,51.1,1438660
4137,18-03-2019,47.5,50.3,46.5,49.3,49.3,1649935
4136,15-03-2019,47.2,48,45.2,46.15,46.15,883353
4135,14-03-2019,47.5,48.15,46.6,46.8,46.8,507710
4134,13-03-2019,46.25,49.15,45.85,47.5,47.5,1263056
4133,12-03-2019,46.65,46.9,45.8,46.2,46.2,797572
4132,11-03-2019,45.7,46.9,45.5,46.05,46.05,796111
4131,08-03-2019,45.75,47,45.2,45.7,45.7,940813
4130,07-03-2019,49.4,49.8,45.5,46.05,46.05,1567969
