,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,113.15,114.05,110.45,111.25,111.25,408448.0
4223,2019-06-13,114.4,115.65,111.6,113.45,113.45,563313.0
4222,2019-06-12,115.2,117.2,113.7,114.95,114.95,1188587.0
4221,2019-06-11,111.3,114.2,110.3,112.85,112.85,630410.0
4220,2019-06-10,114.75,115.65,110.5,111.35,111.35,464055.0
4219,2019-06-07,116.3,117.6,113.25,113.9,113.9,750959.0
4218,2019-06-06,121.85,121.85,116.0,116.85,116.85,729048.0
4217,2019-06-04,121.65,124.9,121.2,121.55,121.55,826526.0
4216,2019-06-03,122.95,124.2,120.0,122.35,122.35,1122214.0
4215,2019-05-31,120.25,128.9,120.15,123.35,123.35,5434261.0
4214,2019-05-30,121.8,122.35,117.5,119.95,119.95,1203565.0
4213,2019-05-29,125.0,125.25,120.05,121.3,121.3,1099037.0
4212,2019-05-28,123.3,125.8,120.3,124.75,124.75,2398724.0
4211,2019-05-27,115.5,127.0,115.0,122.75,122.75,3960145.0
4210,2019-05-24,115.5,117.3,113.6,116.55,116.55,1359605.0
4209,2019-05-23,115.45,119.4,113.25,114.65,114.65,1452131.0
4208,2019-05-22,114.3,115.9,112.5,113.45,113.45,844171.0
4207,2019-05-21,113.3,118.7,113.3,114.3,114.3,3212332.0
4206,2019-05-20,105.05,110.9,103.2,109.55,109.55,2211359.0
4205,2019-05-17,99.45,103.5,99.15,101.05,101.05,1055598.0
4204,2019-05-16,99.15,100.4,97.95,99.45,99.45,491516.0
4203,2019-05-15,101.65,102.7,98.2,98.95,98.95,566229.0
4202,2019-05-14,98.0,102.8,96.7,100.65,100.65,1026305.0
4201,2019-05-13,104.75,106.15,98.3,99.9,99.9,667949.0
4200,2019-05-10,103.15,106.65,102.6,104.95,104.95,913939.0
4199,2019-05-09,102.95,104.85,102.05,102.55,102.55,628528.0
4198,2019-05-08,105.2,106.8,103.3,103.75,103.75,662348.0
4197,2019-05-07,109.65,112.9,106.1,106.75,106.75,897985.0
4196,2019-05-06,110.1,111.15,108.15,108.6,108.6,473511.0
4195,2019-05-03,114.45,115.7,112.2,112.65,112.65,813542.0
4194,2019-05-02,115.2,116.8,112.8,113.85,113.85,860226.0
4193,2019-04-30,120.85,121.55,115.2,116.65,116.65,890473.0
4192,2019-04-26,124.15,124.35,120.65,122.05,122.05,1039061.0
4191,2019-04-25,123.7,126.5,122.45,123.4,123.4,2198410.0
4190,2019-04-24,120.95,123.15,119.15,121.7,121.7,975850.0
4189,2019-04-23,122.55,124.15,120.1,120.6,120.6,986864.0
4188,2019-04-22,127.0,127.5,121.8,122.5,122.5,1380439.0
4187,2019-04-18,128.15,132.7,127.5,128.45,128.45,3688521.0
4186,2019-04-16,128.0,128.4,123.8,126.7,126.7,1936759.0
4185,2019-04-15,128.9,131.65,126.0,127.4,127.4,2639180.0
4184,2019-04-12,122.0,129.35,119.5,127.7,127.7,3393668.0
4183,2019-04-11,125.8,126.3,120.15,122.15,122.15,1299036.0
4182,2019-04-10,122.9,128.0,122.15,124.9,124.9,2757004.0
4181,2019-04-09,125.65,128.8,122.2,124.2,124.2,5726071.0
4180,2019-04-08,111.7,127.2,111.25,124.9,124.9,10251357.0
4179,2019-04-05,109.5,112.3,109.2,110.6,110.6,665308.0
4178,2019-04-04,110.75,111.15,107.5,108.7,108.7,667726.0
4177,2019-04-03,114.4,115.55,109.55,110.15,110.15,882798.0
4176,2019-04-02,117.1,117.9,113.45,114.4,114.4,993787.0
4175,2019-04-01,116.5,119.45,116.15,116.7,116.7,1317164.0
4174,2019-03-28,114.0,117.8,113.3,116.45,116.45,2421368.0
4173,2019-03-27,111.25,114.0,110.7,113.35,113.35,1451494.0
4172,2019-03-26,107.5,111.75,107.45,110.55,110.55,1299629.0
4171,2019-03-25,109.0,109.0,106.55,107.0,107.0,958908.0
4170,2019-03-22,112.8,113.8,110.25,110.9,110.9,997491.0
4169,2019-03-20,112.55,114.4,110.65,111.4,111.4,1653723.0
4168,2019-03-19,110.05,114.0,109.6,112.3,112.3,1393860.0
4167,2019-03-18,112.0,112.6,108.8,109.7,109.7,880417.0
4166,2019-03-15,113.8,117.0,110.5,111.7,111.7,1736980.0
4165,2019-03-14,110.9,114.85,110.15,112.4,112.4,2114064.0
4164,2019-03-13,112.9,113.3,110.0,110.5,110.5,907658.0
4163,2019-03-12,110.0,115.4,109.65,112.75,112.75,2672971.0
4162,2019-03-11,109.0,111.7,108.25,109.35,109.35,1310766.0
4161,2019-03-08,102.0,113.5,102.0,108.25,108.25,7478763.0
4160,2019-03-07,102.1,102.65,99.55,100.25,100.25,806649.0
4159,2019-03-06,101.75,104.7,100.6,102.1,102.1,1853114.0
4158,2019-03-05,93.7,103.65,93.6,101.3,101.3,3945014.0
4157,2019-03-01,90.5,95.0,90.2,94.25,94.25,1389382.0
4156,2019-02-28,89.9,90.7,89.0,89.6,89.6,483604.0
4155,2019-02-27,90.65,92.9,87.6,89.1,89.1,812975.0
4154,2019-02-26,90.1,91.7,88.45,90.0,90.0,805157.0
4153,2019-02-25,94.0,95.7,93.1,93.9,93.9,669018.0
4152,2019-02-22,94.0,96.8,90.7,92.55,92.55,2144933.0
4151,2019-02-21,90.1,93.85,90.0,93.2,93.2,1038515.0
4150,2019-02-20,88.45,90.85,87.1,89.6,89.6,626361.0
4149,2019-02-19,87.8,89.6,87.4,87.75,87.75,510774.0
4148,2019-02-18,87.8,88.85,86.65,87.35,87.35,463319.0
4147,2019-02-15,88.1,89.6,86.55,87.5,87.5,656154.0
4146,2019-02-14,86.1,88.5,85.3,87.65,87.65,406146.0
4145,2019-02-12,88.5,89.8,86.5,86.95,86.95,449353.0
4144,2019-02-11,90.85,90.85,87.65,88.2,88.2,356643.0
4143,2019-02-08,90.1,93.0,90.1,90.95,90.95,683132.0
4142,2019-02-07,91.5,93.55,90.1,91.4,91.4,809280.0
4141,2019-02-06,95.3,95.95,87.55,89.55,89.55,927442.0
4140,2019-02-05,97.9,97.9,94.5,95.4,95.4,413634.0
4139,2019-02-04,99.6,100.0,95.2,97.25,97.25,624862.0
4138,2019-02-01,100.5,103.5,98.3,100.15,100.15,1142960.0
4137,2019-01-31,101.15,101.75,97.05,100.9,100.9,1104389.0
4136,2019-01-30,98.6,101.7,98.3,100.0,100.0,717001.0
4135,2019-01-29,97.25,98.85,95.1,97.9,97.9,660543.0
4134,2019-01-28,103.0,103.0,96.15,97.8,97.8,646117.0
4133,2019-01-25,107.3,108.6,102.1,103.05,103.05,433920.0
4132,2019-01-24,108.5,109.15,106.2,106.7,106.7,529157.0
4131,2019-01-23,108.6,109.8,107.75,108.0,108.0,590516.0
4130,2019-01-22,110.1,110.75,107.3,107.95,107.95,610276.0
4129,2019-01-21,111.25,112.85,110.1,110.75,110.75,620193.0
4128,2019-01-18,113.0,114.0,111.25,111.95,111.95,959357.0
4127,2019-01-17,113.5,114.8,110.7,112.1,112.1,799485.0
4126,2019-01-16,113.3,116.4,112.1,113.45,113.45,1286257.0
4125,2019-01-15,109.6,117.85,109.1,113.0,113.0,2072111.0
4124,2019-01-14,110.7,110.7,108.0,108.9,108.9,481110.0
4123,2019-01-11,112.2,113.05,110.8,111.3,111.3,657115.0
4122,2019-01-10,111.8,112.9,110.5,111.25,111.25,889459.0
4121,2019-01-09,114.35,114.6,110.5,111.7,111.7,756352.0
4120,2019-01-08,113.15,114.5,112.6,113.4,113.4,663940.0
4119,2019-01-07,113.25,115.75,112.1,112.8,112.8,1019126.0
4118,2019-01-04,112.15,113.25,109.8,112.05,112.05,974112.0
4117,2019-01-03,113.8,114.9,111.0,111.5,111.5,1056900.0
4116,2019-01-02,116.15,118.55,113.4,114.1,114.1,2276481.0
4115,2019-01-01,111.0,118.7,109.3,117.1,117.1,4183947.0
4114,2018-12-31,112.95,113.4,110.6,111.3,111.3,726674.0
4113,2018-12-28,114.3,114.4,111.75,112.4,112.4,1933077.0
4112,2018-12-27,107.5,113.2,107.25,110.4,110.4,2251888.0
4111,2018-12-26,105.5,107.7,102.35,106.65,106.65,1272389.0
4110,2018-12-24,108.3,108.55,105.05,106.4,106.4,737487.0
4109,2018-12-21,113.2,114.35,108.2,108.8,108.8,1188277.0
4108,2018-12-20,113.9,117.85,112.3,113.5,113.5,2322488.0
4107,2018-12-19,107.0,119.5,106.6,115.9,115.9,5331113.0
4106,2018-12-18,104.0,108.4,103.6,106.2,106.2,1054471.0
4105,2018-12-17,104.8,106.4,103.8,104.8,104.8,1035196.0
4104,2018-12-14,104.6,107.0,102.3,104.3,104.3,971915.0
4103,2018-12-13,103.9,108.4,103.05,104.45,104.45,1568218.0
4102,2018-12-12,96.5,104.25,96.25,103.05,103.05,1486728.0
4101,2018-12-11,91.05,96.75,90.05,95.75,95.75,631168.0
4100,2018-12-10,95.4,95.85,93.0,93.7,93.7,417148.0
4099,2018-12-07,99.7,101.0,97.05,97.65,97.65,624404.0
4098,2018-12-06,100.0,101.0,97.6,98.2,98.2,574868.0
4097,2018-12-05,105.55,105.6,101.5,102.3,102.3,563274.0
4096,2018-12-04,106.35,107.5,105.5,105.95,105.95,458548.0
4095,2018-12-03,106.7,107.8,105.6,106.4,106.4,596477.0
4094,2018-11-30,105.85,109.45,104.9,105.7,105.7,1070273.0
4093,2018-11-29,106.95,107.85,104.45,105.6,105.6,590167.0
4092,2018-11-28,106.1,109.25,105.15,105.8,105.8,893511.0
4091,2018-11-27,106.9,108.25,105.65,106.2,106.2,552210.0
4090,2018-11-26,109.9,110.5,105.8,106.55,106.55,591160.0
4089,2018-11-22,111.5,113.25,108.25,109.15,109.15,832540.0
4088,2018-11-21,111.5,113.3,110.2,111.45,111.45,710627.0
4087,2018-11-20,112.8,114.65,110.65,111.55,111.55,644473.0
4086,2018-11-19,115.5,117.25,113.15,114.3,114.3,1196417.0
4085,2018-11-16,110.0,118.0,108.15,115.85,115.85,2359165.0
4084,2018-11-15,115.55,116.3,108.8,110.05,110.05,1136695.0
4083,2018-11-14,118.2,119.4,115.05,115.9,115.9,1157538.0
4082,2018-11-13,117.5,119.7,114.7,117.75,117.75,1573514.0
4081,2018-11-12,115.5,121.4,115.3,119.2,119.2,2906987.0
4080,2018-11-09,115.55,119.2,113.1,115.3,115.3,1380945.0
4079,2018-11-07,116.95,117.35,114.75,115.35,115.35,391132.0
4078,2018-11-06,107.55,119.9,107.35,116.45,116.45,5229811.0
4077,2018-11-05,108.0,109.65,105.6,106.75,106.75,717214.0
4076,2018-11-02,107.9,112.2,107.0,108.6,108.6,1544529.0
4075,2018-11-01,104.15,109.0,103.55,106.9,106.9,1669757.0
4074,2018-10-31,103.0,104.4,100.35,103.25,103.25,850580.0
4073,2018-10-30,100.75,104.35,100.1,102.25,102.25,1036085.0
4072,2018-10-29,98.0,101.3,97.05,100.55,100.55,1033574.0
4071,2018-10-26,98.05,99.35,95.65,96.65,96.65,683041.0
4070,2018-10-25,97.4,99.3,95.6,97.6,97.6,596688.0
4069,2018-10-24,100.25,102.2,98.0,99.9,99.9,797102.0
4068,2018-10-23,98.0,100.8,96.3,98.3,98.3,672123.0
4067,2018-10-22,105.15,107.2,99.3,100.05,100.05,782850.0
4066,2018-10-19,103.6,106.9,102.25,104.0,104.0,848621.0
4065,2018-10-17,114.3,114.45,106.05,107.1,107.1,1459567.0
4064,2018-10-16,110.9,115.2,110.55,112.35,112.35,1508691.0
4063,2018-10-15,109.0,113.45,107.1,110.7,110.7,1777768.0
4062,2018-10-12,99.4,111.7,99.3,108.3,108.3,4535995.0
4061,2018-10-11,94.0,97.7,92.2,95.65,95.65,1048582.0
4060,2018-10-10,94.1,100.4,93.75,99.1,99.1,1595922.0
4059,2018-10-09,94.0,97.45,90.0,93.6,93.6,1237228.0
4058,2018-10-08,100.2,102.6,91.0,93.35,93.35,1497213.0
4057,2018-10-05,104.2,106.55,98.85,100.55,100.55,907659.0
4056,2018-10-04,103.35,107.0,101.7,104.8,104.8,957420.0
4055,2018-10-03,105.3,111.9,103.35,107.6,107.6,1637775.0
4054,2018-10-01,111.95,112.95,92.9,106.05,106.05,1554407.0
4053,2018-09-28,119.5,120.85,110.0,113.35,113.35,1592375.0
4052,2018-09-27,121.1,124.25,116.3,119.3,119.3,1158368.0
4051,2018-09-26,119.85,122.0,117.7,120.45,120.45,1350490.0
4050,2018-09-25,123.0,123.5,109.9,118.1,118.1,2038625.0
4049,2018-09-24,131.75,132.45,120.8,123.15,123.15,1270077.0
4048,2018-09-21,146.3,147.1,116.6,131.75,131.75,1828559.0
4047,2018-09-19,147.45,149.75,143.0,144.9,144.9,1290854.0
4046,2018-09-18,150.9,153.0,145.6,146.45,146.45,898530.0
4045,2018-09-17,151.75,153.2,149.2,150.85,150.85,859905.0
4044,2018-09-14,152.25,155.45,152.25,153.2,152.7,1083709.0
4043,2018-09-12,155.4,155.45,146.55,151.2,150.7065,1605791.0
4042,2018-09-11,156.6,162.5,153.3,154.65,154.1453,2733744.0
4041,2018-09-10,157.5,159.9,155.2,156.05,155.5407,1759447.0
4040,2018-09-07,155.0,157.7,153.1,156.25,155.7401,1223534.0
4039,2018-09-06,155.0,157.35,152.3,154.45,153.9459,1303082.0
4038,2018-09-05,156.95,158.0,150.6,153.6,153.0987,1276773.0
4037,2018-09-04,167.0,167.55,156.4,157.35,156.8365,1763420.0
4036,2018-09-03,166.85,172.3,165.15,166.2,165.6576,3774141.0
4035,2018-08-31,158.1,173.95,158.0,167.45,166.9035,12055566.0
4034,2018-08-30,154.35,161.9,153.35,158.0,157.4843,2897456.0
4033,2018-08-29,155.8,159.0,154.05,154.7,154.1951,1335858.0
4032,2018-08-28,154.0,160.8,153.75,156.1,155.5905,3228464.0
4031,2018-08-27,152.0,156.4,151.6,154.75,154.2449,1484108.0
4030,2018-08-24,153.5,156.0,150.0,150.7,150.2082,1190611.0
4029,2018-08-23,155.3,156.7,151.8,154.2,153.6967,1280169.0
4028,2018-08-21,157.0,158.65,154.6,155.1,154.5938,931292.0
4027,2018-08-20,154.2,161.7,154.2,157.55,157.0358,2298170.0
4026,2018-08-17,154.05,157.7,153.0,153.95,153.4476,862159.0
4025,2018-08-16,155.9,156.8,152.0,153.8,153.298,1109162.0
4024,2018-08-14,160.0,161.8,154.8,157.65,157.1355,1729183.0
4023,2018-08-13,157.5,159.6,156.1,157.3,156.7866,1077758.0
4022,2018-08-10,165.5,167.4,158.55,160.15,159.6273,1677723.0
4021,2018-08-09,159.6,169.2,158.5,165.95,165.4084,3523693.0
4020,2018-08-08,159.0,162.15,156.55,159.0,158.4811,1540939.0
4019,2018-08-07,162.6,163.5,157.8,158.65,158.1322,1130991.0
4018,2018-08-06,163.0,165.0,160.55,162.6,162.0693,1609236.0
4017,2018-08-03,158.6,165.8,158.3,161.7,161.1723,3137743.0
4016,2018-08-02,159.0,161.0,155.8,157.2,156.6869,2113145.0
4015,2018-08-01,159.9,163.9,156.55,159.5,158.9794,2682210.0
4014,2018-07-31,150.4,163.9,149.85,159.1,158.5807,7647649.0
4013,2018-07-30,149.4,152.9,147.6,150.75,150.258,1872513.0
4012,2018-07-27,143.8,151.35,143.25,148.55,148.0652,2893093.0
4011,2018-07-26,144.1,145.9,141.9,143.0,142.5333,838171.0
4010,2018-07-25,145.5,146.8,143.2,143.95,143.4802,1116797.0
4009,2018-07-24,141.5,148.7,141.5,144.45,143.9785,1736694.0
4008,2018-07-23,139.35,143.5,138.45,141.25,140.789,1000390.0
4007,2018-07-20,137.7,142.0,136.5,139.85,139.3936,961822.0
4006,2018-07-19,140.65,142.7,135.6,138.2,137.7489,1211631.0
4005,2018-07-18,145.2,145.85,139.75,140.85,140.3903,1031193.0
4004,2018-07-17,140.0,147.35,138.8,144.0,143.53,1440326.0
4003,2018-07-16,146.25,146.4,140.0,140.5,140.0414,1000070.0
4002,2018-07-13,151.9,151.9,145.1,146.45,145.972,1098188.0
4001,2018-07-12,149.85,156.4,149.5,151.05,150.557,2946325.0
4000,2018-07-11,151.95,153.4,146.85,148.75,148.2645,1404926.0
3999,2018-07-10,152.4,155.45,151.5,153.25,152.7498,2019867.0
3998,2018-07-09,145.0,155.45,145.0,151.2,150.7065,5125040.0
3997,2018-07-06,142.25,147.6,141.5,142.65,142.1844,1763430.0
3996,2018-07-05,144.0,146.9,142.2,142.8,142.3339,1547420.0
3995,2018-07-04,144.15,145.8,142.0,143.85,143.3805,1556919.0
3994,2018-07-03,141.1,145.9,139.4,143.0,142.5333,1908323.0
3993,2018-07-02,145.55,146.7,139.2,141.15,140.6893,1184286.0
3992,2018-06-29,143.35,147.45,142.6,144.9,144.4271,2091357.0
3991,2018-06-28,143.5,148.45,140.0,141.95,141.4867,2111561.0
3990,2018-06-27,144.05,153.8,142.05,144.65,144.1779,5957337.0
3989,2018-06-26,148.0,148.6,143.0,143.8,143.3307,1583889.0
3988,2018-06-25,152.3,154.5,147.7,148.85,148.3642,1457278.0
3987,2018-06-22,155.0,158.4,151.5,153.5,152.999,3673170.0
3986,2018-06-21,153.9,160.8,152.0,155.2,154.6935,9424564.0
3985,2018-06-20,139.0,158.85,136.25,155.15,154.6436,13444680.0
3984,2018-06-19,143.0,145.15,137.45,138.05,137.5994,1595715.0
3983,2018-06-18,149.4,150.45,143.6,144.65,144.1779,1033856.0
3982,2018-06-15,153.3,155.8,149.3,150.3,149.8095,1650803.0
3981,2018-06-14,150.95,156.7,149.55,153.05,152.5505,3161270.0
3980,2018-06-13,148.95,158.85,146.3,150.9,150.4075,7703111.0
3979,2018-06-12,149.0,155.65,145.05,149.2,148.7131,8992331.0
3978,2018-06-11,124.65,149.25,124.1,148.35,147.8658,11434422.0
3977,2018-06-08,124.2,125.7,122.3,124.4,123.994,839972.0
3976,2018-06-07,121.7,126.45,120.6,125.35,124.9409,1221862.0
3975,2018-06-06,117.4,121.7,114.0,120.7,120.3061,1596346.0
3974,2018-06-05,125.0,125.0,115.8,118.25,117.8641,1284546.0
3973,2018-06-04,131.5,131.8,122.85,124.45,124.0438,770969.0
3972,2018-06-01,135.25,135.85,128.95,130.75,130.3233,785048.0
3971,2018-05-31,138.0,139.4,132.5,135.25,134.8086,855109.0
3970,2018-05-30,136.6,139.8,135.4,137.05,136.6027,919236.0
3969,2018-05-29,136.0,143.9,135.15,138.8,138.347,2004785.0
