,Date,Open,High,Low,Close,Adj Close,Volume
2099,2019-06-14,53.8,54.2,52.5,52.8,52.8,252238.0
2098,2019-06-13,54.6,55.15,53.3,53.75,53.75,226911.0
2097,2019-06-12,55.55,55.75,54.45,54.8,54.8,210854.0
2096,2019-06-11,55.0,56.85,54.15,55.65,55.65,265017.0
2095,2019-06-10,57.1,57.65,54.0,54.95,54.95,274063.0
2094,2019-06-07,57.4,57.9,56.5,56.65,56.65,183413.0
2093,2019-06-06,57.3,58.5,57.0,57.7,57.7,451057.0
2092,2019-06-04,56.05,59.4,56.05,57.3,57.3,667149.0
2091,2019-06-03,56.15,56.95,55.65,56.1,56.1,301143.0
2090,2019-05-31,56.9,58.4,56.0,57.0,57.0,478535.0
2089,2019-05-30,58.85,58.85,56.85,56.95,56.95,268787.0
2088,2019-05-29,58.85,59.7,58.1,58.45,58.45,246879.0
2087,2019-05-28,60.7,61.1,59.25,59.7,59.7,478988.0
2086,2019-05-27,58.8,61.8,58.05,60.2,60.2,1273172.0
2085,2019-05-24,56.8,59.4,55.4,58.9,58.9,984789.0
2084,2019-05-23,58.0,59.1,54.5,55.4,55.4,893523.0
2083,2019-05-22,54.0,57.75,52.5,57.0,57.0,1157273.0
2082,2019-05-21,58.4,58.4,55.05,55.7,55.7,635933.0
2081,2019-05-20,53.0,59.7,52.5,58.65,58.65,3291316.0
2080,2019-05-17,50.2,51.15,50.0,50.55,50.55,235234.0
2079,2019-05-16,51.15,51.15,50.2,50.55,50.55,187454.0
2078,2019-05-15,50.55,51.7,49.85,50.2,50.2,340610.0
2077,2019-05-14,51.45,52.5,50.0,51.6,51.6,338684.0
2076,2019-05-13,52.2,52.5,50.8,51.0,51.0,283186.0
2075,2019-05-10,52.7,52.7,51.7,51.8,51.8,204633.0
2074,2019-05-09,52.95,53.2,52.0,52.15,52.15,273427.0
2073,2019-05-08,53.2,53.35,52.1,52.6,52.6,318927.0
2072,2019-05-07,53.6,53.6,52.4,52.5,52.5,241216.0
2071,2019-05-06,52.8,53.65,52.5,52.8,52.8,224399.0
2070,2019-05-03,54.15,54.6,53.6,53.85,53.85,256867.0
2069,2019-05-02,54.1,55.25,53.4,54.1,54.1,300300.0
2068,2019-04-30,57.4,57.4,54.0,54.65,54.65,444638.0
2067,2019-04-26,57.05,57.35,56.2,56.45,56.45,241049.0
2066,2019-04-25,57.0,57.65,56.6,56.95,56.95,328879.0
2065,2019-04-24,58.1,58.4,56.8,56.95,56.95,492668.0
2064,2019-04-23,58.55,59.45,58.15,58.35,58.35,281719.0
2063,2019-04-22,59.2,59.7,58.5,58.7,58.7,331259.0
2062,2019-04-18,62.3,62.3,59.25,59.8,59.8,2969296.0
2061,2019-04-16,60.55,61.6,60.0,61.2,61.2,1412602.0
2060,2019-04-15,60.1,61.2,59.95,60.2,60.2,364330.0
2059,2019-04-12,59.1,60.5,59.1,60.0,60.0,539791.0
2058,2019-04-11,59.9,59.9,59.15,59.25,59.25,328409.0
2057,2019-04-10,59.6,60.4,59.1,59.4,59.4,314306.0
2056,2019-04-09,59.6,59.7,59.0,59.25,59.25,296750.0
2055,2019-04-08,60.85,61.2,59.05,59.4,59.4,318233.0
2054,2019-04-05,59.5,61.2,58.4,60.65,60.65,909327.0
2053,2019-04-04,60.0,60.35,58.85,59.1,59.1,668534.0
2052,2019-04-03,61.5,61.95,59.5,59.7,59.7,377548.0
2051,2019-04-02,62.2,62.7,61.25,61.6,61.6,306866.0
2050,2019-04-01,63.0,63.4,61.7,61.9,61.9,712721.0
2049,2019-03-28,59.95,60.5,59.2,59.4,59.4,235429.0
2048,2019-03-27,59.45,59.8,58.8,59.5,59.5,516592.0
2047,2019-03-26,57.6,59.6,57.6,59.3,59.3,444628.0
2046,2019-03-25,58.6,58.65,57.2,57.6,57.6,287819.0
2045,2019-03-22,60.3,60.9,59.0,59.05,59.05,403158.0
2044,2019-03-20,60.6,61.1,60.0,60.15,60.15,368049.0
2043,2019-03-19,60.8,61.7,60.25,60.5,60.5,624935.0
2042,2019-03-18,62.1,62.6,60.15,60.65,60.65,538994.0
2041,2019-03-15,64.0,65.25,60.8,61.75,61.75,1666074.0
2040,2019-03-14,61.2,64.0,61.2,63.35,63.35,870745.0
2039,2019-03-13,63.0,63.35,61.6,61.85,61.85,529833.0
2038,2019-03-12,63.4,64.0,62.55,63.0,63.0,809880.0
2037,2019-03-11,59.75,62.75,59.75,62.35,62.35,1148879.0
2036,2019-03-08,60.0,61.4,59.4,59.6,59.6,424855.0
2035,2019-03-07,61.7,61.85,60.15,60.4,60.4,546894.0
2034,2019-03-06,62.4,63.5,61.05,61.45,61.45,1218051.0
2033,2019-03-05,59.0,62.0,58.8,61.05,61.05,1646234.0
2032,2019-03-01,55.0,60.2,55.0,58.8,58.8,4163623.0
2031,2019-02-28,52.75,54.7,52.75,54.1,54.1,529695.0
2030,2019-02-27,53.25,54.5,52.0,52.3,52.3,867020.0
2029,2019-02-26,54.0,54.1,50.5,52.2,52.2,781131.0
2028,2019-02-25,53.1,54.5,53.1,54.0,54.0,670243.0
2027,2019-02-22,52.65,53.7,51.6,53.0,53.0,431422.0
2026,2019-02-21,51.5,52.45,50.65,52.2,52.2,419333.0
2025,2019-02-20,50.8,51.5,50.3,51.2,51.2,387640.0
2024,2019-02-19,49.6,51.85,49.15,50.4,50.4,439058.0
2023,2019-02-18,50.35,50.45,48.85,49.75,49.75,533742.0
2022,2019-02-15,51.55,51.55,50.0,50.35,50.35,315541.0
2021,2019-02-14,49.4,52.0,48.5,51.5,51.5,663334.0
2020,2019-02-12,51.4,51.45,50.25,50.65,50.65,399706.0
2019,2019-02-11,53.75,53.75,50.6,50.95,50.95,492108.0
2018,2019-02-08,52.4,53.9,52.2,53.1,53.1,369136.0
2017,2019-02-07,52.4,53.9,52.0,52.9,52.9,717264.0
2016,2019-02-06,53.7,53.7,52.3,52.5,52.5,419287.0
2015,2019-02-05,55.0,55.35,53.0,53.25,53.25,348167.0
2014,2019-02-04,57.6,57.6,54.5,54.8,54.8,393574.0
2013,2019-02-01,56.0,58.8,54.0,57.35,57.35,1132410.0
2012,2019-01-31,56.3,56.95,54.1,56.0,56.0,1185964.0
2011,2019-01-30,53.6,55.95,53.5,55.35,55.35,578612.0
2010,2019-01-29,53.0,54.7,53.0,53.4,53.4,411296.0
2009,2019-01-28,55.5,56.0,52.2,53.55,53.55,1178373.0
2008,2019-01-25,57.9,57.9,55.1,55.75,55.75,849192.0
2007,2019-01-24,59.75,60.15,56.8,57.4,57.4,1093878.0
2006,2019-01-23,59.8,60.45,58.8,59.75,59.75,480550.0
2005,2019-01-22,60.5,60.5,59.1,60.1,60.1,328811.0
2004,2019-01-21,60.35,60.7,60.0,60.05,60.05,472676.0
2003,2019-01-18,61.6,61.6,60.35,60.8,60.8,450251.0
2002,2019-01-17,62.35,62.35,60.8,61.05,61.05,510204.0
2001,2019-01-16,62.45,62.9,61.1,61.35,61.35,486883.0
2000,2019-01-15,63.0,63.0,61.8,62.0,62.0,419674.0
1999,2019-01-14,62.0,62.85,60.75,62.1,62.1,591641.0
1998,2019-01-11,62.0,62.4,61.55,61.8,61.8,369786.0
1997,2019-01-10,62.4,62.65,61.6,61.75,61.75,479829.0
1996,2019-01-09,62.9,63.3,61.65,62.0,62.0,529647.0
1995,2019-01-08,63.0,63.25,62.6,62.85,62.85,511813.0
1994,2019-01-07,64.0,64.4,62.65,62.8,62.8,456543.0
1993,2019-01-04,63.1,64.8,63.05,63.85,63.85,845504.0
1992,2019-01-03,64.05,64.7,62.9,63.1,63.1,369783.0
1991,2019-01-02,65.0,65.0,63.7,64.0,64.0,296286.0
1990,2019-01-01,65.05,65.75,64.8,65.2,65.2,312551.0
1989,2018-12-31,64.7,65.3,64.25,64.9,64.9,461366.0
1988,2018-12-28,64.1,64.9,64.0,64.15,64.15,638315.0
1987,2018-12-27,64.5,65.3,63.5,64.35,64.35,1024724.0
1986,2018-12-26,63.05,64.3,62.3,63.8,63.8,452842.0
1985,2018-12-24,64.5,64.5,63.1,63.4,63.4,509773.0
1984,2018-12-21,66.65,66.75,64.65,64.85,64.85,676935.0
1983,2018-12-20,62.95,67.9,62.65,66.25,66.25,3014298.0
1982,2018-12-19,64.0,64.35,62.45,62.9,62.9,1693783.0
1981,2018-12-18,63.0,64.25,62.8,63.85,63.85,566308.0
1980,2018-12-17,63.4,63.9,62.35,62.9,62.9,1501918.0
1979,2018-12-14,64.05,64.35,63.3,63.7,63.7,448881.0
1978,2018-12-13,64.0,65.5,64.0,64.45,64.45,945368.0
1977,2018-12-12,65.0,65.2,62.4,63.75,63.75,1389701.0
1976,2018-12-11,61.6,64.8,61.35,64.05,64.05,800369.0
1975,2018-12-10,63.0,63.6,61.55,62.45,62.45,731689.0
1974,2018-12-07,62.8,66.0,62.1,65.2,65.2,1364422.0
1973,2018-12-06,63.85,63.85,61.5,62.35,62.35,1070935.0
1972,2018-12-05,66.05,66.1,63.4,64.1,64.1,1952983.0
1971,2018-12-04,67.5,68.45,65.85,66.3,66.3,1143050.0
1970,2018-12-03,68.7,69.0,67.5,67.7,67.7,873148.0
1969,2018-11-30,69.85,70.65,68.8,69.0,69.0,754338.0
1968,2018-11-29,70.5,71.0,69.6,69.85,69.85,582029.0
1967,2018-11-28,70.6,71.0,69.7,70.15,69.65,640482.0
1966,2018-11-27,69.5,71.15,69.5,70.15,69.65,473497.0
1965,2018-11-26,72.05,72.7,69.7,70.1,69.6004,1294675.0
1964,2018-11-22,73.0,76.3,72.7,73.55,73.0258,1422333.0
1963,2018-11-21,70.4,72.8,69.85,72.2,71.6854,977655.0
1962,2018-11-20,70.9,71.8,70.0,70.35,69.8486,440461.0
1961,2018-11-19,71.4,72.2,70.4,70.9,70.3947,471267.0
1960,2018-11-16,71.85,72.65,70.5,71.25,70.7422,458894.0
1959,2018-11-15,72.1,72.8,71.4,71.6,71.0897,577729.0
1958,2018-11-14,75.0,75.75,73.45,73.75,73.2243,412465.0
1957,2018-11-13,76.0,76.9,74.0,74.55,74.0186,601900.0
1956,2018-11-12,78.9,79.0,75.0,75.4,74.8626,1418621.0
1955,2018-11-09,78.0,79.4,77.05,78.0,77.444,681867.0
1954,2018-11-07,77.7,78.0,76.55,77.9,77.3448,392465.0
1953,2018-11-06,76.75,77.65,76.0,76.45,75.9051,740344.0
1952,2018-11-05,73.0,77.7,73.0,76.1,75.5576,1572710.0
1951,2018-11-02,71.55,74.0,71.5,73.5,72.9761,854134.0
1950,2018-11-01,71.75,72.8,70.55,71.2,70.6925,602884.0
1949,2018-10-31,69.6,72.25,68.6,71.55,71.04,687407.0
1948,2018-10-30,70.0,70.95,69.0,69.7,69.2032,677062.0
1947,2018-10-29,68.6,70.4,68.1,69.65,69.1536,420502.0
1946,2018-10-26,69.5,69.6,68.0,68.1,67.6146,498147.0
1945,2018-10-25,68.65,70.0,68.55,69.65,69.1536,319118.0
1944,2018-10-24,70.1,71.05,69.0,69.15,68.6571,381478.0
1943,2018-10-23,70.0,71.4,69.0,69.4,68.9053,589661.0
1942,2018-10-22,70.85,71.95,70.0,70.15,69.65,314947.0
1941,2018-10-19,72.25,72.55,70.0,70.2,69.6996,479332.0
1940,2018-10-17,76.4,76.95,72.1,72.55,72.0329,559612.0
1939,2018-10-16,73.3,74.9,73.1,74.5,73.969,453521.0
1938,2018-10-15,72.6,73.8,71.75,73.15,72.6286,444583.0
1937,2018-10-12,71.5,72.5,71.0,71.75,71.2386,664020.0
1936,2018-10-11,68.0,70.0,67.5,69.7,69.2032,516823.0
1935,2018-10-10,70.35,71.75,70.35,70.8,70.2954,883317.0
1934,2018-10-09,71.5,73.35,68.7,70.05,69.5507,945353.0
1933,2018-10-08,72.75,73.9,70.3,71.55,71.04,559650.0
1932,2018-10-05,72.4,75.2,72.1,72.75,72.2315,485589.0
1931,2018-10-04,73.1,74.7,71.6,74.2,73.6711,511228.0
1930,2018-10-03,74.0,76.85,72.55,74.25,73.7208,1048934.0
1929,2018-10-01,70.0,74.9,67.15,74.15,73.6215,961240.0
1928,2018-09-28,73.0,73.35,68.0,69.65,69.1536,901570.0
1927,2018-09-27,74.7,75.65,71.8,72.7,72.1818,588160.0
1926,2018-09-26,75.5,76.8,73.8,74.35,73.8201,728957.0
1925,2018-09-25,76.2,76.45,73.3,74.85,74.3165,1458333.0
1924,2018-09-24,79.0,80.5,75.95,76.2,75.6569,647869.0
1923,2018-09-21,81.5,82.3,71.8,79.65,79.0823,1466744.0
1922,2018-09-19,82.1,82.9,80.7,81.5,80.9191,912051.0
1921,2018-09-18,82.7,84.35,81.45,82.1,80.9687,1489589.0
1920,2018-09-17,79.75,82.6,78.6,82.15,81.0181,1262188.0
1919,2018-09-14,81.0,81.4,79.15,80.35,79.2429,1158710.0
1918,2018-09-12,77.0,83.95,74.45,80.4,79.2922,2978548.0
1917,2018-09-11,77.85,78.1,75.8,76.2,75.15,496968.0
1916,2018-09-10,78.8,78.8,76.7,77.6,76.5308,648719.0
1915,2018-09-07,77.5,79.85,76.2,79.15,78.0594,1876994.0
1914,2018-09-06,77.45,77.8,76.6,77.1,76.0376,779936.0
1913,2018-09-05,78.3,78.85,75.2,76.45,75.3966,1802541.0
1912,2018-09-04,82.0,82.8,78.55,79.0,77.9115,1196901.0
1911,2018-09-03,81.95,82.85,81.3,81.8,80.6729,1494768.0
1910,2018-08-31,81.65,83.15,81.0,81.35,80.2291,825042.0
1909,2018-08-30,82.55,83.2,81.5,81.9,80.7715,723292.0
1908,2018-08-29,83.95,84.2,82.35,82.5,81.3632,774684.0
