,Date,Open,High,Low,Close,Adj Close,Volume
4340,2019-06-14,38.6,38.65,36.5,36.9,36.9,9572596.0
4339,2019-06-13,37.5,39.15,36.8,38.55,38.55,23881596.0
4338,2019-06-12,40.8,40.9,37.1,37.9,37.9,16788669.0
4337,2019-06-11,36.95,41.45,35.15,40.8,40.8,34747472.0
4336,2019-06-10,43.0,43.3,36.8,37.3,37.3,39517051.0
4335,2019-06-07,45.05,46.1,42.5,42.9,42.9,17042429.0
4334,2019-06-06,48.25,48.95,43.25,45.05,45.05,16052455.0
4333,2019-06-04,49.75,50.75,48.7,49.2,49.2,7994240.0
4332,2019-06-03,49.9,50.35,48.45,49.65,49.65,7327224.0
4331,2019-05-31,52.7,53.3,48.4,49.9,49.9,21961236.0
4330,2019-05-30,54.45,54.75,52.7,54.35,54.35,6342648.0
4329,2019-05-29,55.7,55.8,53.3,54.05,54.05,6886456.0
4328,2019-05-28,56.0,56.35,55.25,55.55,55.55,4365491.0
4327,2019-05-27,56.5,56.6,55.05,55.9,55.9,4871538.0
4326,2019-05-24,52.1,56.7,51.75,56.15,56.15,10712902.0
4325,2019-05-23,53.45,54.85,51.35,51.85,51.85,5959317.0
4324,2019-05-22,53.35,53.65,51.8,52.65,52.65,4838351.0
4323,2019-05-21,53.95,54.2,51.35,52.95,52.95,5382289.0
4322,2019-05-20,51.5,54.65,50.7,53.65,53.65,7187718.0
4321,2019-05-17,49.05,50.95,48.15,50.2,50.2,5193493.0
4320,2019-05-16,48.95,49.75,48.05,48.85,48.85,2959673.0
4319,2019-05-15,49.45,50.85,48.6,48.95,48.95,7267689.0
4318,2019-05-14,47.65,49.95,46.4,49.15,49.15,6508927.0
4317,2019-05-13,50.4,50.4,46.4,47.25,47.25,10186619.0
4316,2019-05-10,49.05,51.0,48.65,50.55,50.55,5844123.0
4315,2019-05-09,49.15,49.35,48.2,48.75,48.75,4113958.0
4314,2019-05-08,50.95,50.95,49.0,49.15,49.15,5835931.0
4313,2019-05-07,52.0,52.3,50.0,50.35,50.35,5270835.0
4312,2019-05-06,52.0,53.0,51.2,51.55,51.55,4349592.0
4311,2019-05-03,53.15,53.4,51.65,52.25,52.25,6086933.0
4310,2019-05-02,54.85,55.35,52.1,52.85,52.85,7832624.0
4309,2019-04-30,57.5,58.05,53.6,54.5,54.5,8469087.0
4308,2019-04-26,59.3,59.6,57.35,58.15,58.15,4480298.0
4307,2019-04-25,59.2,60.2,58.8,59.2,59.2,4991106.0
4306,2019-04-24,58.05,59.65,57.25,59.15,59.15,6166292.0
4305,2019-04-23,59.6,59.6,57.1,57.65,57.65,4511377.0
4304,2019-04-22,58.6,60.3,56.95,59.3,59.3,7590800.0
4303,2019-04-18,60.05,60.6,58.4,59.05,59.05,4952899.0
4302,2019-04-16,60.15,60.9,59.3,60.05,60.05,5485572.0
4301,2019-04-15,58.75,60.8,58.5,59.75,59.75,7029755.0
4300,2019-04-12,56.0,58.95,56.0,58.4,58.4,8862328.0
4299,2019-04-11,56.9,57.3,55.1,55.95,55.95,4502217.0
4298,2019-04-10,56.25,58.15,56.1,57.0,57.0,5615873.0
4297,2019-04-09,55.7,56.95,55.05,56.55,56.55,3491036.0
4296,2019-04-08,57.0,58.5,55.3,55.65,55.65,7128130.0
4295,2019-04-05,57.5,58.15,56.5,56.85,56.85,4127995.0
4294,2019-04-04,57.3,58.0,56.8,57.5,57.5,4547127.0
4293,2019-04-03,59.8,60.35,57.4,57.65,57.65,4750141.0
4292,2019-04-02,59.2,60.25,58.5,59.7,59.7,4530150.0
4291,2019-04-01,59.1,61.95,58.7,58.95,58.95,7314671.0
4290,2019-03-28,56.55,58.9,56.4,58.5,58.5,9446419.0
4289,2019-03-27,58.0,58.5,56.7,57.1,57.1,5803172.0
4288,2019-03-26,57.55,59.35,57.55,57.95,57.95,4339632.0
4287,2019-03-25,60.2,60.3,57.1,57.45,57.45,8923794.0
4286,2019-03-22,61.6,62.2,60.35,60.55,60.55,4307364.0
4285,2019-03-20,63.5,63.75,60.6,61.15,61.15,6057975.0
4284,2019-03-19,61.45,64.6,61.1,63.4,63.4,5075690.0
4283,2019-03-18,62.5,62.8,60.5,60.9,60.9,3490734.0
4282,2019-03-15,62.15,63.2,61.4,62.2,62.2,4345324.0
4281,2019-03-14,62.4,62.45,60.1,61.85,61.85,5258589.0
4280,2019-03-13,62.95,63.05,61.5,62.15,62.15,2392901.0
4279,2019-03-12,63.35,63.85,61.4,62.85,62.85,5972399.0
4278,2019-03-11,61.0,63.4,60.35,63.05,63.05,3457934.0
4277,2019-03-08,62.95,62.95,60.45,60.75,60.75,3985880.0
4276,2019-03-07,62.0,63.45,60.75,62.7,62.7,3656471.0
4275,2019-03-06,63.0,64.3,61.15,61.95,61.95,5887938.0
4274,2019-03-05,60.35,62.95,60.35,62.65,62.65,5258486.0
4273,2019-03-01,57.05,61.05,57.05,60.75,60.75,8103816.0
4272,2019-02-28,56.7,57.65,55.9,56.85,56.85,6254560.0
4271,2019-02-27,57.5,58.5,55.8,56.2,56.2,5227656.0
4270,2019-02-26,56.9,57.85,55.05,57.25,57.25,5526275.0
4269,2019-02-25,57.95,58.1,56.6,56.85,56.85,3454240.0
4268,2019-02-22,57.5,58.65,56.5,57.85,57.85,4709878.0
4267,2019-02-21,55.9,57.55,55.3,57.2,57.2,4779279.0
4266,2019-02-20,54.7,56.8,54.7,55.9,55.9,4845742.0
4265,2019-02-19,54.0,55.25,53.75,54.55,54.55,3878120.0
4264,2019-02-18,55.85,56.05,53.0,54.05,54.05,5916741.0
4263,2019-02-15,55.95,57.7,54.25,55.55,55.55,15923456.0
4262,2019-02-14,51.1,57.85,50.5,55.65,55.65,18707552.0
4261,2019-02-12,54.0,55.0,53.55,54.25,54.25,3358063.0
4260,2019-02-11,54.95,54.95,51.75,54.05,54.05,5571792.0
4259,2019-02-08,55.75,56.6,54.2,54.75,54.75,4812754.0
4258,2019-02-07,54.7,56.9,54.0,56.0,56.0,8083816.0
4257,2019-02-06,52.4,55.1,51.25,54.45,54.45,9099694.0
4256,2019-02-05,54.4,55.75,52.0,52.6,52.6,11322032.0
4255,2019-02-04,58.65,58.85,51.65,54.55,54.55,14425269.0
4254,2019-02-01,61.95,62.9,58.05,59.25,59.25,18900531.0
4253,2019-01-31,59.0,61.4,58.6,61.0,61.0,8192364.0
4252,2019-01-30,58.6,59.25,58.0,58.65,58.65,5221179.0
4251,2019-01-29,57.75,58.95,57.5,58.35,58.35,7158483.0
4250,2019-01-28,59.3,59.75,57.5,58.1,58.1,8476395.0
4249,2019-01-25,60.6,61.3,57.0,59.25,59.25,13278519.0
4248,2019-01-24,60.1,61.35,60.1,60.6,60.6,6885259.0
4247,2019-01-23,61.5,62.35,60.5,60.85,60.85,6554646.0
4246,2019-01-22,61.85,63.0,60.0,61.45,61.45,6284028.0
4245,2019-01-21,64.8,64.8,59.5,61.85,61.85,12953662.0
4244,2019-01-18,65.8,65.8,64.3,64.65,64.65,3117499.0
4243,2019-01-17,66.45,66.85,65.0,65.25,65.25,2717221.0
4242,2019-01-16,66.0,66.85,65.55,66.45,66.45,3186932.0
4241,2019-01-15,64.6,66.05,64.05,65.9,65.9,2976173.0
4240,2019-01-14,66.8,67.0,64.05,64.35,64.35,4025212.0
4239,2019-01-11,67.75,68.0,66.5,66.9,66.9,3322932.0
4238,2019-01-10,66.8,68.0,66.45,67.65,67.65,4126063.0
4237,2019-01-09,67.15,67.5,65.9,66.75,66.75,2990498.0
4236,2019-01-08,67.1,67.3,65.95,66.6,66.6,4466540.0
4235,2019-01-07,66.75,68.5,66.3,67.1,67.1,3736845.0
4234,2019-01-04,65.2,66.65,64.3,66.35,66.35,5286971.0
4233,2019-01-03,68.9,68.9,64.55,64.8,64.8,7325153.0
4232,2019-01-02,68.95,69.55,67.05,67.55,67.55,4223267.0
4231,2019-01-01,70.0,70.1,68.35,69.0,69.0,3122895.0
4230,2018-12-31,69.5,70.3,69.15,69.8,69.8,3317840.0
4229,2018-12-28,67.4,70.6,67.1,69.2,69.2,9357176.0
