,Date,Open,High,Low,Close,Adj Close,Volume
3455,2019-06-14,127.0,127.0,125.6,126.1,126.1,160991.0
3454,2019-06-13,127.45,128.3,126.0,127.6,127.6,195599.0
3453,2019-06-12,127.45,130.0,126.3,128.1,128.1,305019.0
3452,2019-06-11,128.15,128.15,126.25,127.65,127.65,228693.0
3451,2019-06-10,131.55,132.75,126.8,127.45,127.45,270646.0
3450,2019-06-07,129.85,131.0,128.8,129.8,129.8,306306.0
3449,2019-06-06,132.95,132.95,128.95,129.6,129.6,438495.0
3448,2019-06-04,131.5,134.45,131.4,132.8,132.8,293470.0
3447,2019-06-03,132.2,133.85,131.1,131.5,131.5,355164.0
3446,2019-05-31,135.8,136.75,132.55,133.85,133.85,443143.0
3445,2019-05-30,141.0,142.0,135.4,136.3,136.3,832140.0
3444,2019-05-29,141.3,141.75,138.0,138.75,138.75,334158.0
3443,2019-05-28,142.5,143.55,139.8,141.4,141.4,502522.0
3442,2019-05-27,139.5,144.0,138.55,141.75,141.75,939715.0
3441,2019-05-24,133.15,139.15,133.15,138.55,138.55,681620.0
3440,2019-05-23,134.0,136.95,132.0,132.95,132.95,550358.0
3439,2019-05-22,131.95,133.7,130.85,131.9,131.9,421891.0
3438,2019-05-21,133.45,135.5,130.0,131.05,131.05,495494.0
3437,2019-05-20,127.5,133.35,127.5,132.3,132.3,840795.0
3436,2019-05-17,126.0,128.05,122.8,123.65,123.65,610492.0
3435,2019-05-16,127.4,127.55,123.75,125.9,125.9,432177.0
3434,2019-05-15,127.6,130.4,125.65,126.25,126.25,483156.0
3433,2019-05-14,124.9,127.8,122.05,126.2,126.2,862539.0
3432,2019-05-13,135.0,135.0,124.5,125.45,125.45,977896.0
3431,2019-05-10,136.9,138.3,135.35,135.85,135.85,421175.0
3430,2019-05-09,141.8,142.0,135.15,136.7,136.7,1312989.0
3429,2019-05-08,142.6,143.5,139.6,141.3,141.3,648197.0
3428,2019-05-07,142.9,144.45,141.5,141.75,141.75,471699.0
3427,2019-05-06,142.0,144.2,140.6,142.2,142.2,474553.0
