,Date,Open,High,Low,Close,Adj Close,Volume
3714,2019-06-14,78.8,78.85,77.5,78.25,78.25,631721.0
3713,2019-06-13,79.95,80.2,77.85,78.6,78.6,515559.0
3712,2019-06-12,80.0,80.3,79.1,80.05,80.05,286895.0
3711,2019-06-11,80.05,80.75,79.65,80.2,80.2,319232.0
3710,2019-06-10,82.15,82.3,80.0,80.25,80.25,239801.0
3709,2019-06-07,80.9,82.3,79.25,81.9,81.9,521683.0
3708,2019-06-06,82.95,82.95,80.45,80.65,80.65,551134.0
3707,2019-06-04,83.15,84.5,81.7,82.1,82.1,1180610.0
3706,2019-06-03,82.6,84.45,82.5,83.8,83.8,714491.0
3705,2019-05-31,82.4,83.1,81.15,82.6,82.6,401010.0
3704,2019-05-30,82.6,82.9,81.6,81.95,81.95,291853.0
3703,2019-05-29,83.1,83.85,81.65,82.4,82.4,468827.0
3702,2019-05-28,83.5,84.15,82.8,83.4,83.4,463866.0
3701,2019-05-27,81.1,84.55,79.8,82.95,82.95,1209413.0
3700,2019-05-24,79.45,81.35,78.55,80.9,80.9,1039714.0
3699,2019-05-23,81.9,81.9,78.4,78.6,78.6,819315.0
3698,2019-05-22,79.65,79.65,78.4,79.05,79.05,481838.0
3697,2019-05-21,81.5,81.55,79.0,79.45,79.45,919196.0
3696,2019-05-20,80.5,81.5,77.3,80.95,80.95,1854753.0
3695,2019-05-17,77.0,79.95,74.9,78.4,78.4,1769297.0
3694,2019-05-16,81.9,81.9,78.8,79.3,79.3,493871.0
3693,2019-05-15,83.1,83.4,80.8,81.1,81.1,289991.0
3692,2019-05-14,82.25,83.45,80.45,83.1,83.1,299631.0
3691,2019-05-13,84.5,84.5,82.2,82.5,82.5,281434.0
3690,2019-05-10,83.5,84.6,83.3,84.05,84.05,267567.0
3689,2019-05-09,83.4,84.4,82.65,83.55,83.55,374980.0
3688,2019-05-08,85.5,85.5,83.6,83.9,83.9,375586.0
3687,2019-05-07,86.3,86.75,85.7,86.0,86.0,287636.0
3686,2019-05-06,86.0,87.6,86.0,86.2,86.2,338197.0
3685,2019-05-03,86.3,87.55,85.75,86.35,86.35,297825.0
3684,2019-05-02,86.7,86.7,83.75,85.7,85.7,603994.0
3683,2019-04-30,89.0,89.2,86.2,86.8,86.8,318677.0
3682,2019-04-26,89.7,89.7,88.75,88.85,88.85,228392.0
3681,2019-04-25,89.9,90.8,89.55,89.75,89.75,237068.0
3680,2019-04-24,90.05,90.6,89.6,90.05,90.05,211653.0
3679,2019-04-23,90.2,90.55,89.55,89.9,89.9,225665.0
3678,2019-04-22,91.4,91.4,89.8,90.0,90.0,330812.0
3677,2019-04-18,93.1,93.35,91.4,91.65,91.65,417827.0
3676,2019-04-16,93.9,94.0,92.5,92.75,92.75,385165.0
3675,2019-04-15,92.9,94.4,92.25,93.55,93.55,486140.0
3674,2019-04-12,92.0,92.9,91.7,92.5,92.5,387089.0
3673,2019-04-11,92.0,92.45,91.3,91.85,91.85,326366.0
3672,2019-04-10,91.8,92.85,91.2,92.0,92.0,395051.0
3671,2019-04-09,90.35,92.0,90.35,91.6,91.6,486586.0
3670,2019-04-08,93.0,93.25,92.0,92.5,92.5,450891.0
3669,2019-04-05,93.65,93.9,92.5,92.9,92.9,521373.0
3668,2019-04-04,92.75,94.6,92.15,92.95,92.95,1381162.0
3667,2019-04-03,94.15,94.4,92.0,92.4,92.4,757839.0
3666,2019-04-02,95.35,96.0,93.5,94.2,94.2,1445853.0
3665,2019-04-01,92.45,96.2,92.1,94.7,94.7,1706968.0
3664,2019-03-28,90.5,90.5,89.5,90.15,90.15,481087.0
3663,2019-03-27,90.5,91.0,89.25,89.75,89.75,1100581.0
3662,2019-03-26,89.2,91.0,89.2,90.3,90.3,793761.0
3661,2019-03-25,91.0,91.1,89.6,89.9,89.9,607900.0
3660,2019-03-22,92.9,93.4,91.7,92.05,92.05,943874.0
3659,2019-03-20,92.9,93.45,92.15,92.3,92.3,611144.0
3658,2019-03-19,93.0,94.0,91.7,93.05,93.05,1061431.0
3657,2019-03-18,93.0,94.0,91.65,92.7,92.7,994643.0
3656,2019-03-15,95.35,95.9,91.8,92.55,92.55,1552990.0
3655,2019-03-14,96.4,96.5,94.6,94.8,94.8,983398.0
3654,2019-03-13,98.75,99.65,95.55,96.15,96.15,5410320.0
3653,2019-03-12,93.1,97.65,92.6,96.35,96.35,3659075.0
3652,2019-03-11,92.0,93.2,91.6,92.45,92.45,1362280.0
3651,2019-03-08,91.9,92.1,90.8,91.6,91.6,831019.0
3650,2019-03-07,93.5,93.85,92.05,92.25,92.25,1222193.0
3649,2019-03-06,93.0,95.2,90.9,93.4,93.4,2875229.0
3648,2019-03-05,87.25,93.35,87.1,92.45,92.45,4517733.0
3647,2019-03-01,86.75,87.4,86.25,86.95,86.95,566758.0
3646,2019-02-28,85.9,86.8,85.6,85.85,85.85,350320.0
3645,2019-02-27,86.4,87.8,84.1,85.4,85.4,699675.0
3644,2019-02-26,86.5,87.0,84.8,85.8,85.8,741718.0
3643,2019-02-25,88.2,89.6,87.5,88.4,88.4,615399.0
3642,2019-02-22,86.1,88.35,86.0,87.6,87.6,634034.0
3641,2019-02-21,86.3,86.45,85.4,85.9,85.9,289142.0
3640,2019-02-20,85.3,86.7,84.6,85.75,85.75,832105.0
3639,2019-02-19,87.4,87.4,84.7,84.95,84.95,825933.0
3638,2019-02-18,88.55,88.85,86.0,86.25,86.25,434588.0
3637,2019-02-15,90.9,91.45,87.45,88.45,88.45,2125638.0
3636,2019-02-14,86.5,88.4,85.5,87.85,87.85,348171.0
3635,2019-02-12,89.0,89.95,87.65,88.05,88.05,364738.0
3634,2019-02-11,90.2,90.2,87.7,88.65,88.65,186998.0
3633,2019-02-08,91.2,91.2,89.1,89.95,89.95,245430.0
3632,2019-02-07,89.5,92.7,89.0,91.6,91.6,358375.0
3631,2019-02-06,89.1,90.7,87.0,89.55,89.55,315855.0
3630,2019-02-05,90.0,90.8,88.5,88.85,88.85,459880.0
3629,2019-02-04,92.4,92.4,89.1,90.55,90.55,367359.0
3628,2019-02-01,91.5,93.9,91.0,92.1,92.1,375714.0
3627,2019-01-31,92.8,92.9,90.0,90.8,90.8,484082.0
3626,2019-01-30,93.2,94.4,91.05,92.15,92.15,305849.0
3625,2019-01-29,92.05,94.0,92.0,92.9,92.9,297837.0
3624,2019-01-28,95.0,95.6,91.5,94.05,94.05,350659.0
3623,2019-01-25,96.25,98.9,95.1,95.9,95.9,330621.0
3622,2019-01-24,96.8,97.05,94.75,95.5,95.5,228938.0
3621,2019-01-23,99.0,99.0,96.6,97.0,97.0,223387.0
3620,2019-01-22,99.5,99.5,97.0,98.15,98.15,222466.0
3619,2019-01-21,100.0,100.0,98.7,99.15,99.15,205534.0
3618,2019-01-18,101.4,101.75,99.4,100.0,100.0,243040.0
3617,2019-01-17,101.5,102.3,100.25,101.1,101.1,197958.0
3616,2019-01-16,101.0,104.0,100.0,101.5,101.5,437302.0
3615,2019-01-15,100.2,101.1,99.65,100.7,100.7,222125.0
3614,2019-01-14,101.4,101.4,99.35,99.9,99.9,295004.0
3613,2019-01-11,101.75,101.75,100.25,101.0,101.0,268730.0
3612,2019-01-10,102.5,102.5,101.15,101.7,101.7,249254.0
3611,2019-01-09,103.05,104.2,101.55,101.9,101.9,241432.0
3610,2019-01-08,104.5,104.65,102.7,103.3,103.3,216865.0
3609,2019-01-07,103.5,106.35,103.45,104.0,104.0,573913.0
3608,2019-01-04,104.3,104.9,102.3,103.35,103.35,400666.0
3607,2019-01-03,104.8,104.9,103.25,103.9,103.9,472830.0
3606,2019-01-02,103.8,104.95,102.75,104.4,104.4,634144.0
3605,2019-01-01,103.95,104.5,102.15,103.8,103.8,371151.0
3604,2018-12-31,104.5,105.2,103.25,103.7,103.7,332241.0
3603,2018-12-28,104.0,106.0,103.5,104.35,104.35,759716.0
3602,2018-12-27,104.1,104.8,103.05,103.75,103.75,550287.0
3601,2018-12-26,104.4,104.85,102.1,104.0,104.0,1389579.0
3600,2018-12-24,103.4,104.4,100.35,102.4,102.4,1109883.0
3599,2018-12-21,109.4,109.5,105.5,106.7,106.7,1171537.0
3598,2018-12-20,105.55,110.85,105.55,109.15,109.15,4630478.0
3597,2018-12-19,99.0,104.5,98.7,103.05,103.05,1371430.0
3596,2018-12-18,95.15,98.25,95.15,97.95,97.95,783674.0
3595,2018-12-17,96.2,96.3,95.25,95.9,95.9,393296.0
3594,2018-12-14,95.4,96.5,94.35,95.6,95.6,492309.0
3593,2018-12-13,92.95,96.15,92.6,95.5,95.5,964174.0
3592,2018-12-12,92.4,92.9,90.6,92.3,92.3,868351.0
3591,2018-12-11,87.9,91.9,86.35,90.75,90.75,769072.0
3590,2018-12-10,89.8,89.8,86.55,88.15,88.15,412879.0
3589,2018-12-07,93.0,93.1,90.1,90.35,90.35,659756.0
3588,2018-12-06,94.0,94.35,92.3,92.55,92.55,535969.0
3587,2018-12-05,96.9,97.2,94.8,95.2,95.2,826703.0
3586,2018-12-04,98.4,99.5,97.5,97.9,97.9,387232.0
3585,2018-12-03,99.7,99.7,98.15,98.45,98.45,652352.0
3584,2018-11-30,100.8,102.2,98.05,98.65,98.65,1379126.0
3583,2018-11-29,99.4,100.0,98.3,98.9,98.9,580085.0
3582,2018-11-28,99.75,101.45,98.05,98.45,98.45,874530.0
3581,2018-11-27,101.95,101.95,98.8,99.25,99.25,1440343.0
3580,2018-11-26,104.7,104.7,101.6,102.25,102.25,606514.0
3579,2018-11-22,104.9,105.2,102.35,102.75,102.75,585254.0
3578,2018-11-21,104.55,106.2,102.35,103.2,103.2,1497245.0
3577,2018-11-20,105.0,105.6,102.75,103.45,103.45,501109.0
3576,2018-11-19,106.5,106.75,104.45,105.6,105.6,571173.0
3575,2018-11-16,107.5,109.75,105.4,105.95,105.95,941802.0
3574,2018-11-15,108.25,109.7,107.05,107.6,107.6,891677.0
3573,2018-11-14,109.35,111.5,106.5,110.35,110.35,2116233.0
3572,2018-11-13,106.45,109.8,104.65,108.1,108.1,1231710.0
3571,2018-11-12,107.5,108.15,104.7,105.2,105.2,410619.0
3570,2018-11-09,108.45,108.9,107.1,107.75,107.75,460320.0
3569,2018-11-07,106.7,108.4,106.2,107.8,107.8,187243.0
3568,2018-11-06,108.6,109.15,105.2,105.8,105.8,518275.0
3567,2018-11-05,109.2,111.65,107.5,108.5,108.5,626565.0
3566,2018-11-02,105.5,114.8,105.5,109.25,109.25,4015644.0
3565,2018-11-01,104.65,106.35,103.35,104.3,104.3,898334.0
3564,2018-10-31,107.8,107.9,102.25,104.1,104.1,1452004.0
3563,2018-10-30,99.7,109.9,93.65,105.95,105.95,2802893.0
3562,2018-10-29,96.5,98.85,95.4,98.45,98.45,434392.0
3561,2018-10-26,94.5,98.35,93.0,96.1,96.1,898248.0
3560,2018-10-25,93.9,95.3,92.7,94.8,94.8,295328.0
3559,2018-10-24,96.9,97.4,93.55,95.3,95.3,455215.0
3558,2018-10-23,94.0,95.0,93.0,94.75,94.75,368332.0
3557,2018-10-22,96.7,97.35,93.4,94.9,94.9,293560.0
3556,2018-10-19,95.55,97.4,93.15,95.55,95.55,468084.0
3555,2018-10-17,100.8,101.0,95.7,96.2,96.2,453102.0
3554,2018-10-16,96.65,99.8,95.8,99.25,99.25,649024.0
3553,2018-10-15,96.3,96.3,94.25,95.75,95.75,446047.0
3552,2018-10-12,95.0,96.8,94.35,95.35,95.35,719096.0
3551,2018-10-11,91.0,95.25,88.4,93.3,93.3,713371.0
3550,2018-10-10,90.0,93.25,89.15,92.75,92.75,626744.0
3549,2018-10-09,92.9,92.9,87.6,89.35,89.35,584454.0
3548,2018-10-08,91.4,92.75,89.5,91.35,91.35,580329.0
3547,2018-10-05,93.1,94.45,90.9,91.4,91.4,648843.0
3546,2018-10-04,94.0,95.5,92.5,93.8,93.8,485478.0
3545,2018-10-03,94.8,97.15,93.0,94.4,94.4,871983.0
3544,2018-10-01,97.5,98.4,92.35,94.1,94.1,1141119.0
3543,2018-09-28,102.7,102.7,95.65,97.15,97.15,1360822.0
3542,2018-09-27,102.65,113.7,100.0,101.95,101.95,3188922.0
3541,2018-09-26,103.2,103.9,100.85,101.5,101.5,420845.0
3540,2018-09-25,101.4,103.65,98.0,102.1,102.1,914773.0
3539,2018-09-24,105.4,105.9,100.25,101.4,101.4,1082194.0
3538,2018-09-21,112.85,112.85,100.0,103.75,103.75,1225557.0
3537,2018-09-19,114.75,114.75,110.55,111.05,111.05,572048.0
3536,2018-09-18,115.2,116.75,113.8,114.15,114.15,523099.0
3535,2018-09-17,117.0,117.0,115.0,115.45,115.45,572242.0
3534,2018-09-14,117.35,119.5,117.0,117.5,117.5,805532.0
3533,2018-09-12,121.75,121.75,115.6,116.15,116.15,722495.0
3532,2018-09-11,121.7,122.7,119.35,120.15,120.15,299788.0
3531,2018-09-10,123.0,123.4,120.0,121.3,121.3,369447.0
