,Date,Open,High,Low,Close,Adj Close,Volume
831,2019-06-14,79.2,80.7,79.05,79.5,79.5,55724.0
830,2019-06-13,81.4,81.65,79.15,80.05,80.05,166656.0
829,2019-06-12,81.4,82.8,81.05,81.65,81.65,113122.0
828,2019-06-11,82.5,82.5,80.75,81.4,81.4,172542.0
827,2019-06-10,83.5,84.6,81.95,82.2,82.2,115694.0
826,2019-06-07,84.0,84.55,82.5,83.2,83.2,89706.0
825,2019-06-06,84.15,84.7,83.55,83.85,83.85,137325.0
824,2019-06-04,85.0,85.8,84.0,84.15,84.15,58981.0
823,2019-06-03,84.15,85.9,84.15,84.8,84.8,73094.0
822,2019-05-31,88.0,88.35,84.7,85.1,85.1,182680.0
821,2019-05-30,85.1,87.9,85.1,86.9,86.9,164621.0
820,2019-05-29,87.5,88.0,84.5,85.1,85.1,131228.0
819,2019-05-28,86.6,89.05,84.0,87.5,87.5,229448.0
818,2019-05-27,79.5,86.9,79.5,85.95,85.95,408351.0
817,2019-05-24,78.35,81.15,77.6,79.55,79.55,278274.0
816,2019-05-23,77.8,79.8,77.35,77.8,77.8,158376.0
815,2019-05-22,77.4,77.7,76.4,77.05,77.05,83646.0
814,2019-05-21,77.9,78.4,76.5,76.95,76.95,144181.0
813,2019-05-20,76.95,78.0,75.6,77.2,77.2,657023.0
812,2019-05-17,74.95,78.85,73.6,74.35,74.35,727845.0
811,2019-05-16,76.85,77.45,74.1,74.6,74.6,167839.0
810,2019-05-15,78.35,80.2,75.65,76.45,76.45,339356.0
809,2019-05-14,77.75,79.5,76.3,77.9,77.9,1617598.0
808,2019-05-13,78.6,80.6,77.25,78.9,78.9,243591.0
807,2019-05-10,80.0,81.4,78.65,79.6,79.6,201880.0
806,2019-05-09,79.9,81.3,78.6,80.1,80.1,208151.0
805,2019-05-08,83.05,83.05,79.05,79.85,79.85,321729.0
804,2019-05-07,84.5,85.85,83.05,83.3,83.3,130567.0
803,2019-05-06,85.05,85.65,84.15,84.35,84.35,84431.0
802,2019-05-03,86.45,87.3,85.55,86.1,86.1,112530.0
801,2019-05-02,86.1,87.8,85.7,86.2,86.2,114013.0
800,2019-04-30,90.65,90.8,86.5,87.1,87.1,283902.0
799,2019-04-26,90.2,94.95,90.2,92.15,92.15,689365.0
798,2019-04-25,87.55,90.95,87.1,90.2,90.2,359091.0
797,2019-04-24,87.05,88.15,85.7,87.45,87.45,195085.0
796,2019-04-23,87.75,88.8,86.6,87.2,87.2,129100.0
795,2019-04-22,87.75,90.5,86.3,87.45,87.45,695722.0
794,2019-04-18,90.4,91.5,87.3,88.0,88.0,236437.0
793,2019-04-16,89.5,93.4,88.5,90.9,90.9,566179.0
792,2019-04-15,90.2,90.9,88.3,88.8,88.8,264114.0
791,2019-04-12,89.25,90.8,88.75,90.15,90.15,127255.0
790,2019-04-11,89.9,90.5,87.65,89.15,89.15,146969.0
789,2019-04-10,90.0,91.0,89.3,89.8,89.8,143798.0
788,2019-04-09,90.5,91.3,88.7,90.1,90.1,269950.0
787,2019-04-08,93.85,95.0,89.1,90.55,90.55,335963.0
786,2019-04-05,93.3,94.5,92.45,93.8,93.8,223590.0
785,2019-04-04,95.25,95.7,92.0,93.0,93.0,352424.0
784,2019-04-03,97.6,101.0,94.7,95.9,95.9,656725.0
783,2019-04-02,99.2,99.2,96.4,97.35,97.35,333736.0
782,2019-04-01,93.95,101.45,93.95,98.65,98.65,1279524.0
781,2019-03-28,90.4,92.0,89.1,90.7,90.7,314246.0
780,2019-03-27,89.5,91.3,87.5,90.95,90.95,574492.0
779,2019-03-26,85.5,90.25,84.75,89.2,89.2,477868.0
778,2019-03-25,87.65,87.8,84.6,85.95,85.95,279470.0
777,2019-03-22,89.95,91.15,87.65,88.1,88.1,238335.0
776,2019-03-20,91.0,92.0,89.5,89.9,89.9,295268.0
775,2019-03-19,90.5,92.8,89.6,91.15,91.15,328673.0
774,2019-03-18,90.7,91.7,89.35,90.05,90.05,189726.0
773,2019-03-15,92.6,93.25,90.0,90.85,90.85,288530.0
772,2019-03-14,91.15,93.45,91.15,92.6,92.6,169397.0
771,2019-03-13,95.8,95.8,91.6,92.2,92.2,212502.0
770,2019-03-12,96.25,97.3,94.8,95.35,95.35,398183.0
769,2019-03-11,91.5,96.6,91.5,95.35,95.35,673819.0
768,2019-03-08,91.05,92.7,90.55,91.05,91.05,589496.0
767,2019-03-07,94.55,94.55,91.5,91.95,91.95,746252.0
766,2019-03-06,95.7,98.2,93.5,94.1,94.1,814172.0
765,2019-03-05,89.0,98.9,88.8,94.7,94.7,2169115.0
764,2019-03-01,88.9,92.2,87.75,88.35,88.35,755376.0
763,2019-02-28,88.05,90.8,87.55,88.0,88.0,364534.0
762,2019-02-27,89.5,91.85,87.2,87.85,87.85,481417.0
761,2019-02-26,85.45,92.75,84.45,89.75,89.75,1573890.0
760,2019-02-25,83.0,90.8,83.0,88.85,88.85,1729278.0
759,2019-02-22,78.7,84.3,78.7,83.15,83.15,801188.0
758,2019-02-21,78.7,80.25,78.25,78.9,78.9,300391.0
757,2019-02-20,78.65,80.95,77.9,78.7,78.7,685167.0
756,2019-02-19,77.0,82.95,76.8,79.05,79.05,1236130.0
755,2019-02-18,80.4,80.55,75.7,77.4,77.4,603812.0
754,2019-02-15,78.0,83.3,76.4,80.8,80.8,1015087.0
753,2019-02-14,80.0,80.5,77.5,78.1,78.1,478713.0
752,2019-02-12,80.5,84.3,80.15,82.85,82.85,990836.0
751,2019-02-11,80.0,85.45,79.55,80.85,80.85,982410.0
750,2019-02-08,82.0,82.0,79.55,80.15,80.15,148831.0
749,2019-02-07,79.2,82.5,79.2,81.6,81.6,124814.0
748,2019-02-06,79.7,84.2,77.85,80.35,80.35,566921.0
747,2019-02-05,79.9,82.5,78.9,80.05,80.05,378392.0
746,2019-02-04,80.6,80.9,78.5,79.85,79.85,176914.0
745,2019-02-01,78.45,83.9,77.05,81.55,81.55,565775.0
744,2019-01-31,77.75,79.55,75.25,78.0,78.0,586371.0
743,2019-01-30,78.5,80.85,77.7,79.85,79.85,270357.0
742,2019-01-29,78.9,81.6,77.1,78.05,78.05,454288.0
741,2019-01-28,81.3,82.7,76.05,78.35,78.35,806274.0
740,2019-01-25,82.15,83.4,80.35,81.3,81.3,158617.0
739,2019-01-24,82.25,83.25,80.6,82.15,82.15,144102.0
738,2019-01-23,83.15,83.9,81.15,81.7,81.7,136866.0
737,2019-01-22,84.2,85.4,82.3,83.35,83.35,119358.0
736,2019-01-21,86.75,86.75,84.2,84.6,84.6,83105.0
