,Date,Open,High,Low,Close,Adj Close,Volume
2090,2019-06-14,192.0,194.35,186.7,189.95,189.95,24776.0
2089,2019-06-13,193.45,195.1,190.4,192.85,192.85,23274.0
2088,2019-06-12,197.5,197.5,191.1,193.3,193.3,13093.0
2087,2019-06-11,188.0,196.8,188.0,194.55,194.55,29716.0
2086,2019-06-10,194.0,194.5,185.15,190.05,190.05,34620.0
2085,2019-06-07,189.95,198.0,189.15,191.6,191.6,3220090.0
2084,2019-06-06,195.8,195.8,188.5,190.5,190.5,66922.0
2083,2019-06-04,192.0,196.0,190.1,193.55,193.55,28818.0
2082,2019-06-03,196.05,198.85,189.0,191.95,191.95,12994.0
2081,2019-05-31,195.0,198.5,191.2,196.0,196.0,23363.0
2080,2019-05-30,200.0,200.0,191.05,193.5,193.5,21242.0
2079,2019-05-29,201.0,204.0,194.2,198.45,198.45,43186.0
2078,2019-05-28,182.6,204.9,182.6,199.15,199.15,330997.0
2077,2019-05-27,175.0,184.45,174.5,179.95,179.95,370632.0
2076,2019-05-24,168.8,175.5,167.0,174.55,174.55,183124.0
2075,2019-05-23,175.0,175.05,166.25,169.05,169.05,52366.0
2074,2019-05-22,168.5,172.0,166.65,170.25,170.25,38921.0
2073,2019-05-21,176.9,176.9,168.05,169.9,169.9,44755.0
2072,2019-05-20,177.9,183.95,168.5,173.2,173.2,190936.0
2071,2019-05-17,158.0,161.0,157.2,158.4,158.4,7194.0
2070,2019-05-16,159.7,159.7,155.0,155.7,155.7,9322.0
2069,2019-05-15,157.5,161.1,156.0,157.35,157.35,10193.0
2068,2019-05-14,157.05,161.0,154.6,157.4,157.4,8510.0
2067,2019-05-13,160.0,163.15,156.1,157.0,157.0,7020.0
2066,2019-05-10,161.05,163.2,159.35,161.3,161.3,5292.0
2065,2019-05-09,157.1,161.0,157.1,160.25,160.25,4609.0
2064,2019-05-08,162.4,163.25,158.3,158.9,158.9,10933.0
2063,2019-05-07,163.3,165.0,161.55,162.4,162.4,14274.0
2062,2019-05-06,167.6,167.6,162.8,164.95,164.95,4436.0
2061,2019-05-03,166.15,169.9,163.25,166.8,166.8,12191.0
2060,2019-05-02,162.65,165.95,161.1,164.6,164.6,6063.0
2059,2019-04-30,167.9,167.9,162.0,163.2,163.2,17385.0
2058,2019-04-26,166.0,167.2,165.1,165.9,165.9,21685.0
2057,2019-04-25,166.0,167.55,165.15,165.75,165.75,14305.0
2056,2019-04-24,167.5,168.0,166.0,166.75,166.75,23286.0
2055,2019-04-23,167.1,170.35,166.6,167.5,167.5,10986.0
2054,2019-04-22,171.85,171.85,167.05,169.0,169.0,33421.0
2053,2019-04-18,173.5,173.5,169.1,170.15,170.15,10291.0
2052,2019-04-16,173.0,173.55,170.5,170.95,170.95,19101.0
2051,2019-04-15,171.8,172.4,170.5,171.5,171.5,22398.0
2050,2019-04-12,172.95,172.95,169.65,170.1,170.1,17798.0
2049,2019-04-11,172.55,173.0,170.95,171.05,171.05,27962.0
2048,2019-04-10,173.55,175.85,172.0,173.2,173.2,19427.0
2047,2019-04-09,176.8,177.35,173.35,174.7,174.7,7482.0
2046,2019-04-08,179.4,180.25,175.55,176.15,176.15,14200.0
2045,2019-04-05,178.9,179.15,174.6,175.85,175.85,14899.0
2044,2019-04-04,177.05,179.9,176.5,176.75,176.75,8751.0
2043,2019-04-03,179.95,182.05,176.2,177.95,177.95,17821.0
2042,2019-04-02,176.9,184.0,175.7,178.9,178.9,28612.0
2041,2019-04-01,176.05,179.0,174.75,175.05,175.05,23637.0
2040,2019-03-28,173.5,177.9,170.3,176.75,176.75,14495.0
2039,2019-03-27,172.8,173.2,169.3,170.9,170.9,15835.0
2038,2019-03-26,170.15,175.0,170.0,171.8,171.8,16056.0
2037,2019-03-25,172.4,175.5,170.05,171.45,171.45,17999.0
2036,2019-03-22,173.3,179.0,173.3,175.95,175.95,13474.0
2035,2019-03-20,180.3,181.2,175.45,176.8,176.8,11932.0
2034,2019-03-19,180.65,183.45,180.3,180.85,180.85,7530.0
2033,2019-03-18,185.3,185.6,181.0,181.6,181.6,8436.0
2032,2019-03-15,185.75,186.65,182.0,182.95,182.95,13846.0
2031,2019-03-14,186.05,187.1,182.3,183.35,183.35,11459.0
2030,2019-03-13,192.0,194.45,184.3,185.6,185.6,23719.0
2029,2019-03-12,192.15,196.0,190.4,192.35,192.35,23123.0
2028,2019-03-11,189.95,190.0,185.1,189.85,189.85,35845.0
2027,2019-03-08,189.4,192.0,186.4,186.7,186.7,8882.0
2026,2019-03-07,190.5,190.55,185.1,186.1,186.1,5369.0
