,Date,Open,High,Low,Close,Adj Close,Volume
2790,2019-06-14,291.0,292.8,282.25,285.5,285.5,31075.0
2789,2019-06-13,289.95,291.7,285.25,290.4,290.4,64411.0
2788,2019-06-12,281.9,292.5,281.85,288.2,288.2,107098.0
2787,2019-06-11,287.65,290.15,280.0,281.55,281.55,61578.0
2786,2019-06-10,286.9,287.0,283.0,285.75,285.75,384468.0
2785,2019-06-07,275.5,284.0,271.5,280.65,280.65,168130.0
2784,2019-06-06,288.5,290.0,275.15,276.2,276.2,90905.0
2783,2019-06-04,287.0,289.5,283.5,288.4,288.4,100796.0
2782,2019-06-03,281.9,289.0,279.25,288.1,288.1,221746.0
2781,2019-05-31,296.0,296.0,275.1,280.25,280.25,383875.0
2780,2019-05-30,291.0,294.7,280.15,285.2,285.2,71546.0
2779,2019-05-29,292.2,295.0,280.0,289.0,289.0,125172.0
2778,2019-05-28,287.9,303.35,280.15,290.6,290.6,249086.0
2777,2019-05-27,274.5,287.95,268.0,285.45,285.45,179275.0
2776,2019-05-24,264.0,274.0,262.0,272.65,272.65,193759.0
2775,2019-05-23,250.0,271.5,250.0,260.3,260.3,414582.0
2774,2019-05-22,240.0,249.25,238.05,247.3,247.3,297918.0
2773,2019-05-21,242.55,243.55,233.05,239.9,239.9,69206.0
2772,2019-05-20,242.0,249.4,237.05,239.9,239.9,353352.0
2771,2019-05-17,232.0,237.05,230.0,230.35,230.35,41629.0
2770,2019-05-16,230.1,234.1,229.1,232.45,232.45,22023.0
2769,2019-05-15,238.0,239.2,230.0,231.7,231.7,34647.0
2768,2019-05-14,225.55,238.0,225.25,237.15,237.15,41740.0
2767,2019-05-13,231.3,232.0,226.3,230.05,230.05,103340.0
2766,2019-05-10,225.0,236.0,223.3,231.3,231.3,47841.0
2765,2019-05-09,230.5,234.95,223.0,225.75,225.75,25340.0
2764,2019-05-08,233.1,233.95,230.0,230.35,230.35,36835.0
2763,2019-05-07,238.0,238.0,233.05,234.4,234.4,19529.0
2762,2019-05-06,240.0,244.5,235.0,236.2,236.2,57789.0
2761,2019-05-03,243.45,247.5,236.2,244.85,244.85,34898.0
2760,2019-05-02,240.35,243.4,236.25,239.15,239.15,60753.0
2759,2019-04-30,248.75,248.75,237.0,240.05,240.05,47905.0
2758,2019-04-26,247.0,248.95,244.7,246.6,246.6,33132.0
2757,2019-04-25,249.45,250.0,241.85,247.3,247.3,38024.0
2756,2019-04-24,245.0,250.0,244.4,248.3,248.3,53071.0
2755,2019-04-23,245.0,250.0,241.4,247.1,247.1,49634.0
2754,2019-04-22,244.85,247.0,239.4,244.4,244.4,60620.0
2753,2019-04-18,238.0,247.5,235.5,241.75,241.75,123170.0
2752,2019-04-16,241.0,242.95,236.0,239.6,239.6,70097.0
2751,2019-04-15,245.0,245.2,240.6,242.1,242.1,34212.0
2750,2019-04-12,246.0,247.75,241.25,242.25,242.25,62127.0
2749,2019-04-11,251.4,253.4,243.5,244.85,244.85,58989.0
2748,2019-04-10,247.8,250.15,243.25,247.3,247.3,43184.0
2747,2019-04-09,257.5,257.5,246.0,246.6,246.6,55341.0
2746,2019-04-08,251.1,259.0,251.1,255.6,255.6,58338.0
2745,2019-04-05,256.6,256.6,250.1,251.0,251.0,126319.0
2744,2019-04-04,255.25,257.0,250.0,255.3,255.3,40275.0
2743,2019-04-03,257.1,259.0,252.05,257.0,257.0,62044.0
2742,2019-04-02,254.9,260.0,253.0,257.55,257.55,37034.0
2741,2019-04-01,262.0,263.9,252.65,254.9,254.9,46699.0
2740,2019-03-28,264.8,264.8,257.95,260.35,260.35,58575.0
2739,2019-03-27,263.0,269.0,258.2,260.75,260.75,56994.0
2738,2019-03-26,257.25,264.1,256.05,262.95,262.95,313240.0
2737,2019-03-25,270.5,270.55,253.35,258.6,258.6,125039.0
2736,2019-03-22,268.25,270.0,267.05,268.9,268.9,95234.0
2735,2019-03-20,265.0,269.5,262.0,268.25,268.25,99265.0
2734,2019-03-19,255.0,267.0,254.95,264.9,264.9,191429.0
2733,2019-03-18,255.05,259.75,248.0,254.55,254.55,69925.0
2732,2019-03-15,255.4,257.7,251.15,256.25,256.25,138581.0
2731,2019-03-14,259.45,262.0,252.0,257.15,257.15,121038.0
2730,2019-03-13,248.45,258.85,245.0,256.9,256.9,473039.0
2729,2019-03-12,242.0,255.0,238.9,245.9,245.9,465732.0
2728,2019-03-11,242.9,245.0,238.0,239.9,239.9,129218.0
2727,2019-03-08,248.95,248.95,239.2,241.55,241.55,519647.0
2726,2019-03-07,235.5,240.0,233.0,234.75,234.75,116547.0
2725,2019-03-06,225.2,237.9,222.0,234.55,234.55,346360.0
2724,2019-03-05,205.0,222.9,203.0,219.55,219.55,151881.0
2723,2019-03-01,199.0,203.0,198.0,202.4,202.4,45114.0
2722,2019-02-28,201.85,202.0,199.25,199.8,199.8,37961.0
2721,2019-02-27,201.65,202.9,200.2,201.0,201.0,43968.0
2720,2019-02-26,200.0,201.0,195.25,200.2,200.2,203709.0
2719,2019-02-25,197.55,202.8,196.8,200.25,200.25,46211.0
2718,2019-02-22,200.95,202.45,195.0,195.55,195.55,52140.0
2717,2019-02-21,201.8,203.9,198.65,200.0,200.0,118995.0
2716,2019-02-20,202.1,206.5,198.05,203.2,203.2,142053.0
2715,2019-02-19,205.25,207.9,202.0,203.05,203.05,22365.0
2714,2019-02-18,205.05,206.45,200.5,205.25,205.25,102952.0
2713,2019-02-15,204.3,208.0,200.0,205.85,205.85,165823.0
2712,2019-02-14,203.5,208.85,200.2,204.1,204.1,192757.0
2711,2019-02-12,197.0,200.8,195.0,200.15,200.15,49074.0
2710,2019-02-11,205.2,209.9,196.0,199.5,199.5,78952.0
2709,2019-02-08,213.0,213.0,206.0,207.15,207.15,81963.0
2708,2019-02-07,205.9,215.2,205.55,213.55,213.55,58793.0
2707,2019-02-06,205.55,209.2,204.15,205.9,205.9,31793.0
2706,2019-02-05,209.9,209.9,205.2,206.45,206.45,95785.0
2705,2019-02-04,209.8,210.8,204.9,209.7,209.7,83886.0
2704,2019-02-01,206.7,213.5,206.0,207.45,207.45,36070.0
2703,2019-01-31,205.05,206.4,203.3,205.75,205.75,34141.0
2702,2019-01-30,206.05,206.05,203.35,204.65,204.65,31056.0
2701,2019-01-29,203.0,206.9,202.0,205.7,205.7,46569.0
2700,2019-01-28,207.0,211.25,201.8,204.0,204.0,122526.0
2699,2019-01-25,211.95,212.45,209.95,211.1,211.1,47008.0
2698,2019-01-24,211.05,212.35,207.0,210.15,210.15,92315.0
2697,2019-01-23,212.55,215.0,210.0,210.3,210.3,51290.0
2696,2019-01-22,213.4,214.45,210.0,213.95,213.95,41528.0
2695,2019-01-21,214.0,216.0,209.95,213.1,213.1,45042.0
