,Date,Open,High,Low,Close,Adj Close,Volume
2884,2019-06-14,509.0,509.0,492.0,497.15,497.15,462799.0
2883,2019-06-13,528.0,534.8,508.15,511.85,511.85,325446.0
2882,2019-06-12,527.8,539.8,517.9,532.85,532.85,193000.0
2881,2019-06-11,528.9,533.85,518.4,527.2,527.2,129706.0
2880,2019-06-10,533.7,559.3,523.15,525.65,525.65,243842.0
2879,2019-06-07,529.6,539.0,516.7,530.4,530.4,193547.0
2878,2019-06-06,537.7,539.0,525.0,527.35,527.35,175156.0
2877,2019-06-04,536.4,543.95,530.3,533.0,533.0,223809.0
2876,2019-06-03,548.35,550.95,533.15,538.3,538.3,240786.0
2875,2019-05-31,540.95,551.0,536.05,548.35,548.35,326637.0
2874,2019-05-30,535.1,547.6,527.15,540.95,540.95,574802.0
2873,2019-05-29,527.55,550.5,525.5,538.85,538.85,1061046.0
2872,2019-05-28,498.0,543.9,497.95,531.55,531.55,1399071.0
2871,2019-05-27,491.0,505.9,488.3,499.6,499.6,381560.0
2870,2019-05-24,469.95,490.0,466.9,487.35,487.35,183755.0
2869,2019-05-23,484.0,486.1,461.6,466.05,466.05,154776.0
2868,2019-05-22,467.5,480.7,461.15,477.55,477.55,198117.0
2867,2019-05-21,477.25,483.7,463.6,466.7,466.7,127599.0
2866,2019-05-20,460.3,480.85,454.65,477.35,477.35,154100.0
2865,2019-05-17,442.95,468.3,438.05,452.7,452.7,169688.0
2864,2019-05-16,442.0,447.0,436.55,441.45,441.45,81706.0
2863,2019-05-15,448.4,451.9,439.1,441.4,441.4,97523.0
2862,2019-05-14,443.0,452.0,440.0,448.4,448.4,100000.0
2861,2019-05-13,445.4,457.0,441.0,443.2,443.2,175817.0
2860,2019-05-10,443.75,450.0,443.5,447.65,447.65,96213.0
2859,2019-05-09,446.1,451.0,441.3,443.75,443.75,117925.0
2858,2019-05-08,446.4,452.5,436.05,446.15,446.15,190325.0
2857,2019-05-07,449.7,458.2,441.1,447.2,447.2,150383.0
2856,2019-05-06,438.0,455.0,438.0,448.95,448.95,175406.0
2855,2019-05-03,453.4,457.0,445.9,448.95,448.95,164511.0
2854,2019-05-02,444.95,456.0,437.15,454.45,454.45,194738.0
2853,2019-04-30,458.4,458.55,440.0,445.0,445.0,200654.0
2852,2019-04-26,467.45,467.45,454.25,456.3,456.3,207115.0
2851,2019-04-25,470.1,478.4,461.9,468.5,468.5,512703.0
2850,2019-04-24,455.75,473.0,451.4,470.15,470.15,333248.0
2849,2019-04-23,465.1,466.9,450.4,453.35,453.35,210438.0
2848,2019-04-22,477.15,477.15,461.0,463.55,463.55,165045.0
2847,2019-04-18,486.0,488.95,475.0,479.55,479.55,142450.0
2846,2019-04-16,496.8,497.65,480.2,485.95,485.95,146725.0
2845,2019-04-15,490.2,496.15,485.55,493.2,493.2,237543.0
2844,2019-04-12,479.0,490.5,475.6,487.2,487.2,187219.0
2843,2019-04-11,473.95,480.9,471.1,479.3,479.3,160984.0
2842,2019-04-10,470.25,478.0,466.55,472.75,472.75,195754.0
2841,2019-04-09,478.4,478.4,464.2,471.55,471.55,273434.0
2840,2019-04-08,472.45,484.0,472.45,475.6,475.6,373557.0
2839,2019-04-05,464.0,478.5,461.4,474.45,474.45,349881.0
2838,2019-04-04,472.0,472.0,459.6,462.7,462.7,579644.0
2837,2019-04-03,470.6,475.0,468.15,470.0,470.0,462496.0
2836,2019-04-02,465.2,470.0,464.25,468.35,468.35,239787.0
2835,2019-04-01,466.4,469.0,461.0,464.6,464.6,298250.0
2834,2019-03-28,452.0,462.0,450.2,457.95,457.95,371389.0
2833,2019-03-27,455.9,459.5,448.3,451.8,451.8,378082.0
2832,2019-03-26,452.4,456.0,448.05,451.15,451.15,353020.0
2831,2019-03-25,454.8,461.9,445.8,450.25,450.25,837283.0
2830,2019-03-22,465.45,476.9,455.5,457.8,457.8,1576427.0
2829,2019-03-20,460.0,468.6,454.05,461.0,461.0,1079955.0
2828,2019-03-19,440.5,462.7,439.15,459.25,459.25,1191279.0
2827,2019-03-18,442.5,445.5,438.35,440.1,440.1,346455.0
2826,2019-03-15,440.5,447.6,436.2,439.7,439.7,894781.0
2825,2019-03-14,433.1,441.0,431.8,439.45,439.45,649009.0
2824,2019-03-13,439.8,445.35,430.35,432.85,432.85,906897.0
2823,2019-03-12,438.9,447.9,434.0,437.45,437.45,1268225.0
2822,2019-03-11,424.9,437.0,423.8,433.7,433.7,1058059.0
2821,2019-03-08,416.5,425.0,416.5,422.55,422.55,646263.0
2820,2019-03-07,429.2,433.7,418.4,420.95,420.95,815204.0
2819,2019-03-06,423.15,433.7,423.15,426.55,426.55,1390054.0
2818,2019-03-05,408.0,428.85,406.0,420.5,420.5,1830682.0
2817,2019-03-01,409.0,413.9,406.25,409.2,409.2,887929.0
