,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,539.1,542.85,534.6,536.6,536.6,1003975.0
4223,2019-06-13,542.0,545.05,533.3,542.1,542.1,1176296.0
4222,2019-06-12,543.5,547.6,540.8,544.05,544.05,789705.0
4221,2019-06-11,551.1,554.45,544.25,546.25,546.25,1233916.0
4220,2019-06-10,557.7,563.6,545.6,550.8,550.8,908190.0
4219,2019-06-07,557.0,558.65,547.25,556.3,556.3,1176127.0
4218,2019-06-06,567.4,569.8,550.8,558.5,558.5,2225049.0
4217,2019-06-04,558.4,569.0,555.0,566.1,566.1,1603555.0
4216,2019-06-03,559.4,562.9,554.3,559.1,559.1,1112755.0
4215,2019-05-31,554.35,566.8,550.0,558.6,558.6,1534018.0
4214,2019-05-30,555.5,564.25,553.25,556.55,556.55,1935047.0
4213,2019-05-29,552.75,559.25,547.5,556.8,556.8,1413770.0
4212,2019-05-28,542.4,555.7,542.4,552.25,552.25,2548709.0
4211,2019-05-27,539.4,544.6,533.55,542.35,542.35,829256.0
4210,2019-05-24,534.0,540.0,527.25,538.55,538.55,1332119.0
4209,2019-05-23,532.0,559.35,528.0,530.7,530.7,2428295.0
4208,2019-05-22,527.4,534.9,521.3,527.95,527.95,1343609.0
4207,2019-05-21,533.0,537.45,525.25,526.6,526.6,1492529.0
4206,2019-05-20,510.2,535.4,509.5,532.0,532.0,1731877.0
4205,2019-05-17,489.0,501.2,486.25,499.25,499.25,1493704.0
4204,2019-05-16,476.2,493.4,476.2,490.75,490.75,1532479.0
4203,2019-05-15,490.0,492.9,474.0,475.8,475.8,1972328.0
4202,2019-05-14,476.95,491.0,473.25,487.85,487.85,1604202.0
4201,2019-05-13,475.7,481.4,474.05,476.8,476.8,971912.0
4200,2019-05-10,477.1,485.0,473.25,475.75,475.75,985405.0
4199,2019-05-09,477.9,482.15,470.3,476.1,476.1,1335801.0
4198,2019-05-08,474.0,487.5,471.0,477.9,477.9,2365548.0
4197,2019-05-07,487.0,488.15,471.0,474.0,474.0,1562394.0
4196,2019-05-06,474.0,490.35,464.2,485.15,485.15,3905585.0
4195,2019-05-03,489.95,493.9,479.2,484.25,484.25,1527392.0
4194,2019-05-02,494.1,500.55,485.25,488.5,488.5,1526658.0
4193,2019-04-30,505.0,505.0,488.3,496.75,496.75,1439001.0
4192,2019-04-26,493.8,504.7,493.8,502.8,502.8,816277.0
4191,2019-04-25,503.9,505.9,491.15,492.55,492.55,1573523.0
4190,2019-04-24,497.95,503.85,493.35,501.45,501.45,1597552.0
4189,2019-04-23,504.0,507.0,497.2,498.65,498.65,1592058.0
4188,2019-04-22,515.9,520.2,501.05,504.3,504.3,1066771.0
4187,2019-04-18,523.4,528.8,515.05,517.45,517.45,1333918.0
4186,2019-04-16,527.05,528.0,521.25,523.4,523.4,1219891.0
4185,2019-04-15,540.1,544.0,526.1,529.2,529.2,1498460.0
4184,2019-04-12,533.75,542.8,528.9,540.3,540.3,974884.0
4183,2019-04-11,529.9,534.65,521.55,532.65,532.65,3020701.0
4182,2019-04-10,546.0,549.45,526.75,528.15,528.15,1718379.0
4181,2019-04-09,549.85,550.15,542.1,549.9,549.9,793543.0
4180,2019-04-08,549.9,551.95,545.7,550.0,550.0,1092077.0
4179,2019-04-05,534.2,550.9,534.0,550.0,550.0,1564064.0
