,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1521.0,1539.9,1513.05,1526.3,1526.3,1854201.0
4223,2019-06-13,1509.0,1529.0,1504.6,1517.55,1517.55,1828197.0
4222,2019-06-12,1524.1,1525.9,1503.7,1509.25,1509.25,1495586.0
4221,2019-06-11,1540.2,1540.2,1522.0,1524.3,1524.3,1745105.0
4220,2019-06-10,1525.0,1542.0,1521.3,1532.1,1532.1,1608705.0
4219,2019-06-07,1518.55,1533.7,1495.5,1513.85,1513.85,2572146.0
4218,2019-06-06,1569.65,1571.8,1511.6,1515.9,1515.9,3268594.0
4217,2019-06-04,1561.0,1585.0,1558.0,1569.8,1569.8,3854101.0
4216,2019-06-03,1563.7,1570.0,1546.4,1559.4,1559.4,2617068.0
4215,2019-05-31,1569.95,1581.5,1534.8,1557.55,1557.55,3945900.0
4214,2019-05-30,1550.0,1569.35,1540.0,1558.6,1558.6,2675199.0
4213,2019-05-29,1570.2,1596.95,1546.2,1552.45,1552.45,3070738.0
4212,2019-05-28,1596.0,1607.0,1563.3,1574.5,1574.5,4987068.0
4211,2019-05-27,1543.7,1600.0,1532.1,1596.0,1596.0,6730594.0
4210,2019-05-24,1493.0,1549.2,1490.35,1544.15,1544.15,5626500.0
4209,2019-05-23,1476.2,1562.4,1466.0,1476.1,1476.1,10485813.0
4208,2019-05-22,1450.1,1473.4,1441.6,1461.1,1461.1,3304912.0
4207,2019-05-21,1455.0,1462.05,1437.85,1449.1,1449.1,2961180.0
4206,2019-05-20,1400.0,1455.0,1400.0,1451.45,1451.45,6210427.0
4205,2019-05-17,1335.0,1371.5,1332.55,1361.9,1361.9,2776586.0
4204,2019-05-16,1326.0,1348.0,1308.3,1337.15,1337.15,2058450.0
4203,2019-05-15,1347.5,1355.0,1320.5,1325.8,1325.8,2054728.0
4202,2019-05-14,1309.0,1347.65,1285.3,1341.8,1341.8,3132767.0
4201,2019-05-13,1345.0,1355.0,1312.0,1317.65,1317.65,3422913.0
4200,2019-05-10,1359.65,1362.5,1345.1,1355.5,1355.5,1466154.0
4199,2019-05-09,1357.0,1368.8,1337.6,1356.45,1356.45,2464425.0
4198,2019-05-08,1363.9,1371.0,1355.0,1360.35,1360.35,1601700.0
4197,2019-05-07,1357.4,1374.35,1350.0,1366.6,1366.6,2596260.0
4196,2019-05-06,1353.3,1364.85,1349.9,1352.7,1352.7,1515052.0
4195,2019-05-03,1362.0,1373.2,1360.0,1363.6,1363.6,1239667.0
4194,2019-05-02,1349.45,1376.5,1342.0,1358.75,1358.75,1985540.0
4193,2019-04-30,1365.0,1366.5,1340.0,1348.55,1348.55,1905624.0
4192,2019-04-26,1358.2,1367.0,1351.0,1358.2,1358.2,1767153.0
4191,2019-04-25,1366.85,1380.55,1352.15,1355.15,1355.15,2886022.0
4190,2019-04-24,1353.0,1363.45,1350.0,1360.65,1360.65,1753395.0
4189,2019-04-23,1361.7,1365.0,1336.6,1348.2,1348.2,2016454.0
4188,2019-04-22,1362.0,1370.9,1352.5,1360.15,1360.15,3101477.0
4187,2019-04-18,1387.0,1387.6,1357.4,1360.7,1360.7,2594906.0
4186,2019-04-16,1360.0,1390.9,1360.0,1381.4,1381.4,3217456.0
4185,2019-04-15,1365.0,1368.0,1354.0,1356.9,1356.9,1933204.0
4184,2019-04-12,1380.0,1381.85,1358.3,1360.9,1360.9,2751659.0
4183,2019-04-11,1371.65,1387.95,1371.65,1378.0,1378.0,3110225.0
4182,2019-04-10,1370.0,1382.0,1365.0,1371.55,1371.55,2014958.0
4181,2019-04-09,1375.9,1387.0,1366.0,1375.2,1375.2,2209945.0
4180,2019-04-08,1379.7,1386.8,1365.45,1373.65,1373.65,1013017.0
4179,2019-04-05,1373.75,1392.75,1370.3,1373.8,1373.8,2037782.0
4178,2019-04-04,1384.9,1393.9,1365.7,1368.7,1368.7,1980318.0
4177,2019-04-03,1409.4,1415.0,1375.0,1378.05,1378.05,2366304.0
4176,2019-04-02,1415.1,1426.95,1403.5,1409.75,1409.75,2737093.0
4175,2019-04-01,1390.1,1424.0,1390.1,1412.2,1412.2,3842703.0
4174,2019-03-28,1371.0,1392.5,1364.0,1386.7,1386.7,3184285.0
4173,2019-03-27,1379.0,1391.1,1363.15,1366.45,1366.45,2558997.0
4172,2019-03-26,1379.8,1388.8,1367.75,1372.8,1372.8,2021089.0
4171,2019-03-25,1387.0,1389.0,1370.1,1376.75,1376.75,1666203.0
4170,2019-03-22,1379.0,1415.0,1376.2,1394.7,1394.7,3788604.0
4169,2019-03-20,1362.0,1382.0,1361.0,1370.9,1370.9,3871744.0
4168,2019-03-19,1371.0,1374.95,1346.5,1357.95,1357.95,4053209.0
4167,2019-03-18,1397.0,1411.7,1370.35,1378.9,1378.9,2450686.0
4166,2019-03-15,1386.0,1410.8,1378.6,1396.5,1396.5,5723980.0
4165,2019-03-14,1384.7,1396.0,1377.0,1379.75,1379.75,1838850.0
4164,2019-03-13,1395.7,1397.55,1372.85,1378.6,1378.6,2241672.0
4163,2019-03-12,1355.0,1403.0,1355.0,1388.9,1388.9,6631152.0
4162,2019-03-11,1343.55,1351.0,1340.0,1346.55,1346.55,2661353.0
4161,2019-03-08,1350.0,1363.0,1337.0,1339.4,1339.4,4868283.0
4160,2019-03-07,1323.85,1357.3,1310.0,1352.4,1352.4,6207580.0
4159,2019-03-06,1310.5,1327.55,1310.5,1317.0,1317.0,2776738.0
4158,2019-03-05,1302.0,1310.4,1277.05,1305.8,1305.8,3948051.0
4157,2019-03-01,1300.3,1311.95,1297.25,1308.55,1308.55,2831577.0
4156,2019-02-28,1293.0,1302.95,1273.3,1292.95,1292.95,9321535.0
4155,2019-02-27,1270.55,1295.0,1268.0,1284.7,1284.7,3555914.0
4154,2019-02-26,1263.8,1275.0,1253.0,1265.85,1265.85,2417931.0
4153,2019-02-25,1280.35,1286.45,1264.0,1275.85,1275.85,5873730.0
4152,2019-02-22,1282.0,1283.4,1265.5,1280.35,1280.35,2390188.0
4151,2019-02-21,1282.0,1291.5,1265.1,1284.1,1284.1,2392129.0
4150,2019-02-20,1265.0,1282.65,1264.2,1276.55,1276.55,2433082.0
4149,2019-02-19,1245.0,1270.0,1245.0,1258.3,1258.3,2389086.0
4148,2019-02-18,1245.0,1259.55,1240.0,1244.5,1244.5,2186849.0
4147,2019-02-15,1244.0,1253.9,1230.9,1243.1,1243.1,3620228.0
4146,2019-02-14,1219.0,1231.75,1201.1,1227.6,1227.6,6974738.0
4145,2019-02-12,1244.5,1264.9,1241.55,1246.85,1246.85,1571390.0
4144,2019-02-11,1259.0,1259.0,1221.0,1246.5,1246.5,2981408.0
4143,2019-02-08,1295.0,1298.9,1255.55,1261.75,1261.75,2993525.0
4142,2019-02-07,1314.0,1320.85,1289.2,1296.05,1296.05,1556295.0
4141,2019-02-06,1308.0,1322.0,1293.05,1314.4,1314.4,2034886.0
4140,2019-02-05,1310.7,1323.0,1300.0,1304.6,1304.6,1447400.0
4139,2019-02-04,1326.85,1326.85,1302.6,1307.4,1307.4,2308931.0
4138,2019-02-01,1315.5,1334.55,1313.0,1324.6,1324.6,2515736.0
4137,2019-01-31,1304.0,1321.7,1296.55,1314.3,1314.3,5852257.0
4136,2019-01-30,1284.3,1309.0,1281.0,1294.45,1294.45,2385425.0
4135,2019-01-29,1304.0,1308.8,1268.2,1278.05,1278.05,3685535.0
4134,2019-01-28,1295.45,1337.9,1291.65,1300.45,1300.45,8004136.0
4133,2019-01-25,1300.0,1314.1,1281.5,1285.45,1285.45,3136788.0
4132,2019-01-24,1305.0,1305.55,1287.0,1295.35,1295.35,1654706.0
4131,2019-01-23,1301.0,1306.9,1293.55,1301.45,1301.45,1821323.0
4130,2019-01-22,1316.9,1321.5,1298.1,1301.15,1301.15,2544978.0
4129,2019-01-21,1279.0,1337.25,1273.45,1314.55,1314.55,8813681.0
4128,2019-01-18,1350.85,1352.0,1313.0,1317.9,1317.9,2135781.0
4127,2019-01-17,1345.1,1351.8,1336.95,1346.05,1346.05,1610419.0
4126,2019-01-16,1342.9,1361.5,1336.0,1342.15,1342.15,2454470.0
4125,2019-01-15,1340.0,1348.0,1330.0,1340.9,1340.9,3079248.0
4124,2019-01-14,1367.2,1367.2,1331.0,1333.9,1333.9,3080984.0
4123,2019-01-11,1393.0,1393.9,1361.05,1369.6,1369.6,2489197.0
4122,2019-01-10,1388.0,1398.9,1383.25,1392.6,1392.6,1063647.0
4121,2019-01-09,1389.5,1393.55,1372.0,1386.05,1386.05,1413005.0
4120,2019-01-08,1387.5,1393.85,1375.0,1382.2,1382.2,1437271.0
4119,2019-01-07,1397.0,1408.6,1379.05,1383.8,1383.8,1851513.0
4118,2019-01-04,1401.9,1407.6,1373.55,1388.05,1388.05,2711485.0
4117,2019-01-03,1426.0,1429.0,1391.0,1395.0,1395.0,2290756.0
4116,2019-01-02,1441.0,1444.9,1417.1,1425.5,1425.5,2058504.0
4115,2019-01-01,1445.0,1445.0,1425.2,1441.9,1441.9,786846.0
4114,2018-12-31,1445.0,1450.0,1431.2,1437.55,1437.55,1487860.0
