,Date,Open,High,Low,Close,Adj Close,Volume
871,2019-06-14,1265.05,1315.0,1265.05,1300.5,1300.5,44885.0
870,2019-06-13,1285.0,1291.45,1263.0,1276.2,1276.2,43597.0
869,2019-06-12,1300.95,1301.0,1271.0,1284.6,1284.6,43273.0
868,2019-06-11,1309.85,1313.0,1290.0,1300.95,1300.95,42620.0
867,2019-06-10,1325.0,1325.0,1285.1,1300.65,1300.65,41813.0
866,2019-06-07,1314.0,1323.6,1275.5,1315.6,1315.6,46254.0
865,2019-06-06,1236.5,1320.4,1236.35,1304.65,1304.65,59262.0
864,2019-06-04,1251.95,1265.0,1240.0,1249.65,1249.65,43904.0
863,2019-06-03,1240.15,1295.0,1240.15,1253.8,1253.8,45794.0
862,2019-05-31,1254.95,1279.5,1225.55,1257.9,1257.9,43354.0
861,2019-05-30,1263.8,1268.0,1242.05,1253.1,1253.1,38751.0
860,2019-05-29,1286.95,1295.0,1250.0,1266.35,1266.35,65116.0
859,2019-05-28,1319.85,1319.85,1266.0,1280.9,1280.9,47171.0
858,2019-05-27,1260.15,1321.0,1235.0,1301.1,1301.1,53789.0
857,2019-05-24,1199.5,1274.0,1180.0,1255.9,1255.9,46194.0
856,2019-05-23,1240.0,1240.0,1185.0,1211.65,1211.65,44600.0
855,2019-05-22,1206.05,1239.7,1192.0,1206.1,1206.1,41823.0
854,2019-05-21,1239.75,1259.0,1196.0,1206.05,1206.05,43621.0
853,2019-05-20,1194.95,1260.0,1153.4,1229.35,1229.35,47749.0
852,2019-05-17,1153.0,1184.4,1095.35,1137.8,1137.8,72120.0
851,2019-05-16,1135.2,1179.0,1085.0,1154.7,1154.7,47561.0
850,2019-05-15,1157.0,1168.9,1131.5,1143.85,1143.85,44314.0
849,2019-05-14,1201.0,1208.05,1150.0,1158.9,1158.9,46967.0
848,2019-05-13,1245.0,1251.2,1193.5,1211.55,1211.55,43411.0
847,2019-05-10,1240.0,1255.0,1228.95,1239.95,1239.95,43170.0
846,2019-05-09,1259.0,1268.5,1231.0,1248.2,1248.2,38814.0
845,2019-05-08,1300.1,1313.2,1260.0,1268.5,1268.5,41985.0
844,2019-05-07,1344.75,1355.0,1305.1,1314.4,1314.4,40427.0
843,2019-05-06,1308.8,1358.0,1300.1,1333.7,1333.7,40639.0
842,2019-05-03,1329.95,1334.7,1305.0,1314.55,1314.55,40408.0
841,2019-05-02,1323.0,1350.0,1300.6,1329.6,1329.6,41725.0
840,2019-04-30,1360.0,1360.0,1309.05,1322.35,1322.35,44603.0
839,2019-04-26,1368.05,1382.7,1352.6,1360.2,1360.2,42469.0
838,2019-04-25,1374.0,1388.0,1357.55,1375.9,1375.9,40968.0
837,2019-04-24,1378.0,1394.0,1361.15,1379.65,1379.65,47669.0
836,2019-04-23,1409.0,1419.0,1365.0,1374.45,1374.45,45810.0
835,2019-04-22,1369.95,1405.0,1359.0,1386.95,1386.95,42325.0
834,2019-04-18,1400.05,1418.0,1360.0,1378.2,1378.2,40467.0
833,2019-04-16,1399.95,1409.0,1379.35,1400.0,1400.0,47393.0
832,2019-04-15,1370.05,1409.0,1370.05,1396.55,1396.55,42750.0
831,2019-04-12,1346.0,1395.0,1330.5,1375.5,1375.5,51514.0
830,2019-04-11,1328.0,1359.0,1308.0,1344.85,1344.85,44727.0
829,2019-04-10,1326.05,1344.15,1315.65,1322.7,1322.7,39155.0
828,2019-04-09,1348.0,1359.4,1328.5,1336.75,1336.75,38404.0
827,2019-04-08,1370.0,1370.0,1335.0,1351.6,1351.6,43766.0
826,2019-04-05,1375.0,1385.0,1358.0,1363.75,1363.75,41917.0
825,2019-04-04,1379.05,1395.0,1362.25,1374.75,1374.75,42058.0
824,2019-04-03,1406.95,1414.0,1380.75,1386.6,1386.6,40081.0
823,2019-04-02,1415.0,1418.0,1383.05,1407.75,1407.75,43139.0
822,2019-04-01,1383.9,1424.9,1381.25,1407.1,1407.1,56997.0
821,2019-03-28,1344.9,1358.9,1332.05,1342.9,1342.9,43272.0
820,2019-03-27,1342.9,1359.0,1322.3,1333.3,1333.3,54880.0
819,2019-03-26,1308.0,1349.8,1301.0,1334.85,1334.85,55817.0
818,2019-03-25,1304.0,1320.0,1280.0,1306.85,1306.85,40398.0
817,2019-03-22,1336.4,1349.2,1290.3,1301.05,1301.05,39140.0
816,2019-03-20,1319.9,1348.95,1301.0,1329.25,1329.25,46997.0
815,2019-03-19,1304.95,1328.85,1290.0,1316.3,1316.3,46269.0
814,2019-03-18,1294.9,1308.1,1277.15,1294.6,1294.6,48448.0
813,2019-03-15,1299.0,1315.0,1259.0,1277.1,1277.1,48206.0
812,2019-03-14,1293.15,1321.0,1272.85,1297.3,1297.3,37459.0
811,2019-03-13,1324.0,1324.0,1253.35,1293.1,1293.1,44016.0
810,2019-03-12,1301.15,1349.9,1300.0,1310.1,1310.1,43468.0
809,2019-03-11,1278.0,1339.95,1266.05,1309.2,1309.2,66711.0
808,2019-03-08,1263.9,1279.75,1225.0,1268.1,1268.1,44402.0
807,2019-03-07,1277.9,1299.9,1245.0,1264.9,1264.9,43242.0
806,2019-03-06,1241.05,1274.95,1220.0,1267.1,1267.1,479263.0
805,2019-03-05,1156.15,1260.0,1156.15,1240.65,1240.65,72541.0
804,2019-03-01,1090.0,1174.0,1090.0,1153.5,1153.5,60127.0
803,2019-02-28,1093.0,1111.1,1089.2,1095.15,1095.15,47000.0
802,2019-02-27,1085.95,1109.7,1080.0,1088.7,1088.7,44989.0
801,2019-02-26,1078.55,1102.4,1073.0,1078.45,1078.45,54739.0
800,2019-02-25,1086.95,1104.0,1072.55,1087.05,1087.05,45917.0
799,2019-02-22,1089.0,1108.9,1080.0,1081.15,1081.15,47211.0
798,2019-02-21,1115.0,1125.0,1080.05,1089.1,1089.1,56106.0
797,2019-02-20,1117.9,1150.0,1080.1,1119.8,1119.8,59415.0
796,2019-02-19,1129.0,1149.95,1090.0,1106.75,1106.75,45700.0
795,2019-02-18,1192.0,1192.0,1120.15,1132.55,1132.55,44516.0
794,2019-02-15,1194.85,1204.75,1159.0,1181.95,1181.95,40939.0
793,2019-02-14,1188.0,1210.05,1158.0,1193.35,1193.35,57480.0
792,2019-02-12,1157.0,1191.0,1151.0,1177.1,1177.1,47047.0
791,2019-02-11,1195.0,1199.3,1160.0,1176.45,1176.45,44784.0
790,2019-02-08,1200.2,1205.0,1171.35,1195.4,1195.4,43771.0
789,2019-02-07,1196.0,1220.0,1184.85,1205.65,1205.65,47012.0
788,2019-02-06,1190.0,1207.0,1182.5,1200.35,1200.35,42604.0
787,2019-02-05,1228.9,1228.9,1184.35,1195.95,1195.95,46906.0
786,2019-02-04,1170.05,1239.0,1159.9,1214.1,1214.1,49874.0
785,2019-02-01,1200.0,1216.75,1165.3,1177.65,1177.65,38945.0
784,2019-01-31,1225.0,1235.4,1188.0,1208.1,1208.1,48871.0
783,2019-01-30,1228.5,1242.0,1199.8,1210.65,1210.65,49684.0
782,2019-01-29,1200.9,1245.0,1193.05,1215.15,1215.15,41568.0
781,2019-01-28,1217.0,1250.0,1184.5,1198.15,1198.15,77930.0
780,2019-01-25,1229.95,1249.25,1200.1,1216.4,1216.4,49421.0
779,2019-01-24,1243.0,1279.0,1220.05,1238.7,1238.7,41962.0
778,2019-01-23,1206.1,1279.8,1204.0,1256.65,1256.65,75600.0
777,2019-01-22,1266.05,1271.95,1205.0,1221.15,1221.15,45306.0
776,2019-01-21,1300.0,1309.0,1242.5,1264.2,1264.2,47820.0
775,2019-01-18,1328.05,1339.0,1300.0,1311.65,1311.65,49827.0
774,2019-01-17,1315.0,1359.5,1305.0,1331.7,1331.7,153596.0
773,2019-01-16,1234.0,1342.95,1224.4,1319.45,1319.45,275755.0
772,2019-01-15,1100.0,1248.0,1055.1,1220.2,1220.2,207752.0
771,2019-01-14,1139.0,1143.95,1070.0,1095.85,1095.85,55499.0
770,2019-01-11,1115.5,1160.25,1107.55,1129.25,1129.25,61304.0
769,2019-01-10,1218.0,1222.4,1129.0,1140.55,1140.55,94419.0
768,2019-01-09,1289.15,1289.95,1203.0,1218.35,1218.35,50196.0
767,2019-01-08,1311.15,1315.0,1280.1,1284.85,1284.85,53047.0
766,2019-01-07,1331.0,1340.95,1302.85,1312.25,1312.25,47066.0
765,2019-01-04,1340.0,1345.0,1305.0,1323.8,1323.8,47330.0
764,2019-01-03,1351.0,1364.8,1310.0,1341.3,1341.3,51712.0
763,2019-01-02,1381.05,1395.0,1340.15,1348.4,1348.4,41684.0
762,2019-01-01,1384.9,1390.0,1354.05,1383.7,1383.7,46109.0
761,2018-12-31,1368.0,1391.8,1342.05,1357.1,1357.1,64710.0
760,2018-12-28,1384.55,1399.65,1350.05,1358.6,1358.6,45305.0
759,2018-12-27,1404.95,1428.25,1377.25,1386.35,1386.35,48594.0
758,2018-12-26,1419.8,1419.95,1390.1,1397.4,1397.4,43720.0
757,2018-12-24,1439.95,1449.8,1410.0,1416.75,1416.75,43913.0
756,2018-12-21,1440.15,1460.0,1431.1,1441.4,1441.4,42881.0
755,2018-12-20,1451.0,1477.45,1435.05,1451.0,1451.0,43457.0
754,2018-12-19,1470.0,1487.95,1445.0,1456.0,1456.0,47262.0
753,2018-12-18,1481.0,1509.9,1455.35,1464.2,1464.2,47749.0
752,2018-12-17,1500.0,1520.0,1453.3,1495.65,1495.65,54983.0
751,2018-12-14,1517.9,1529.05,1491.0,1505.3,1505.3,48783.0
750,2018-12-13,1528.15,1565.0,1502.0,1517.85,1517.85,41396.0
749,2018-12-12,1460.05,1549.9,1459.95,1538.9,1538.9,57612.0
748,2018-12-11,1414.05,1521.75,1400.0,1469.35,1469.35,122806.0
747,2018-12-10,1434.4,1449.05,1418.0,1432.35,1432.35,43733.0
746,2018-12-07,1443.9,1464.95,1432.95,1444.85,1444.85,65806.0
745,2018-12-06,1458.65,1459.0,1431.35,1451.35,1451.35,43469.0
744,2018-12-05,1480.0,1480.0,1451.0,1461.25,1461.25,45517.0
743,2018-12-04,1458.05,1495.0,1451.55,1483.0,1483.0,75580.0
742,2018-12-03,1488.05,1504.9,1461.65,1472.1,1472.1,50174.0
741,2018-11-30,1466.3,1495.0,1464.0,1491.6,1491.6,57539.0
740,2018-11-29,1499.85,1506.3,1466.0,1478.7,1478.7,45019.0
739,2018-11-28,1494.45,1523.9,1490.0,1498.4,1498.4,44697.0
738,2018-11-27,1524.6,1535.0,1481.0,1503.95,1503.95,42997.0
737,2018-11-26,1509.0,1529.0,1500.0,1519.0,1519.0,44765.0
736,2018-11-22,1505.25,1518.0,1500.0,1506.0,1506.0,44143.0
735,2018-11-21,1517.1,1529.9,1505.05,1515.95,1515.95,48260.0
734,2018-11-20,1532.0,1538.0,1511.0,1521.3,1521.3,42708.0
733,2018-11-19,1535.0,1550.0,1515.65,1532.35,1532.35,42674.0
732,2018-11-16,1557.0,1562.5,1515.1,1530.7,1530.7,46316.0
731,2018-11-15,1537.6,1580.0,1516.3,1557.75,1557.75,54952.0
730,2018-11-14,1540.2,1579.0,1530.0,1537.9,1537.9,42471.0
729,2018-11-13,1550.25,1569.95,1545.0,1555.75,1555.75,42304.0
728,2018-11-12,1599.95,1600.0,1562.6,1571.95,1571.95,43888.0
727,2018-11-09,1597.95,1600.0,1580.3,1591.95,1591.95,43659.0
726,2018-11-07,1586.45,1619.7,1582.1,1600.65,1600.65,14351.0
725,2018-11-06,1602.7,1644.4,1587.2,1594.15,1594.15,34523.0
724,2018-11-05,1602.4,1634.0,1591.0,1603.85,1603.85,43845.0
723,2018-11-02,1574.0,1610.0,1561.9,1583.7,1583.7,45249.0
722,2018-11-01,1535.4,1588.0,1511.0,1556.5,1556.5,55849.0
721,2018-10-31,1509.5,1550.0,1477.5,1535.2,1535.2,41708.0
720,2018-10-30,1506.0,1550.05,1481.0,1501.05,1501.05,35774.0
719,2018-10-29,1478.0,1546.45,1465.0,1516.15,1516.15,57243.0
718,2018-10-26,1439.6,1480.0,1426.0,1463.2,1463.2,35531.0
717,2018-10-25,1447.05,1477.45,1430.0,1438.55,1438.55,37437.0
716,2018-10-24,1470.05,1505.0,1451.0,1479.95,1479.95,38465.0
715,2018-10-23,1495.0,1505.0,1442.1,1467.6,1467.6,51508.0
714,2018-10-22,1528.25,1540.0,1480.6,1498.7,1498.7,41102.0
713,2018-10-19,1532.1,1547.95,1502.0,1523.6,1523.6,35066.0
712,2018-10-17,1594.0,1639.0,1530.05,1559.05,1559.05,48469.0
711,2018-10-16,1554.25,1637.95,1549.9,1593.6,1593.6,48911.0
710,2018-10-15,1510.0,1600.0,1452.4,1541.9,1541.9,51640.0
709,2018-10-12,1524.8,1559.3,1500.05,1513.6,1513.6,51665.0
708,2018-10-11,1470.0,1523.5,1433.8,1504.4,1504.4,53685.0
707,2018-10-10,1440.05,1525.0,1440.05,1503.2,1503.2,50899.0
706,2018-10-09,1497.75,1519.95,1440.0,1452.3,1452.3,47907.0
705,2018-10-08,1519.9,1549.0,1453.25,1493.9,1493.9,45351.0
704,2018-10-05,1501.0,1528.05,1475.0,1500.4,1500.4,43253.0
703,2018-10-04,1520.05,1573.0,1461.05,1526.05,1526.05,43488.0
702,2018-10-03,1550.2,1583.6,1515.0,1550.15,1550.15,53704.0
701,2018-10-01,1601.0,1635.1,1520.0,1575.6,1575.6,55532.0
700,2018-09-28,1693.55,1693.55,1585.0,1622.55,1622.55,60044.0
699,2018-09-27,1705.2,1732.85,1670.0,1692.15,1692.15,66596.0
698,2018-09-26,1707.35,1750.0,1684.85,1716.4,1716.4,59997.0
697,2018-09-25,1701.0,1746.75,1686.0,1705.7,1705.7,48565.0
696,2018-09-24,1789.0,1805.0,1712.0,1734.1,1734.1,54294.0
695,2018-09-21,1850.0,1879.8,1670.25,1811.75,1811.75,86668.0
694,2018-09-19,1852.0,1919.45,1831.1,1849.85,1849.85,58256.0
693,2018-09-18,1884.9,1939.7,1825.1,1852.4,1852.4,77781.0
692,2018-09-17,1708.95,1895.0,1705.1,1872.4,1870.4,138072.0
691,2018-09-14,1707.05,1723.75,1683.2,1707.4,1705.5762,49674.0
690,2018-09-12,1726.5,1730.0,1674.7,1702.8,1700.9812,53450.0
689,2018-09-11,1745.0,1768.85,1710.0,1722.65,1720.8099,53934.0
688,2018-09-10,1723.7,1778.0,1705.5,1746.8,1744.9342,52197.0
687,2018-09-07,1718.95,1748.95,1682.0,1729.4,1727.5527,52389.0
686,2018-09-06,1680.55,1732.0,1670.05,1699.7,1697.8844,57677.0
685,2018-09-05,1694.2,1698.9,1671.0,1686.95,1685.1479,54499.0
684,2018-09-04,1719.95,1734.9,1680.0,1696.8,1694.9875,61807.0
683,2018-09-03,1710.0,1739.9,1705.0,1713.6,1711.7695,56515.0
682,2018-08-31,1770.65,1782.5,1705.0,1723.45,1721.609,59550.0
681,2018-08-30,1771.95,1777.9,1727.05,1764.25,1762.3655,59802.0
680,2018-08-29,1784.6,1799.0,1740.1,1762.65,1760.7672,63704.0
679,2018-08-28,1758.6,1779.95,1742.3,1771.2,1769.308,55269.0
678,2018-08-27,1731.6,1769.5,1705.65,1749.25,1747.3815,55122.0
677,2018-08-24,1740.0,1787.15,1705.0,1730.15,1728.3019,59373.0
676,2018-08-23,1813.6,1824.0,1749.85,1757.3,1755.423,64191.0
675,2018-08-21,1825.65,1839.35,1795.0,1804.9,1802.972,63271.0
674,2018-08-20,1819.6,1857.95,1813.15,1822.7,1820.7529,58476.0
673,2018-08-17,1820.0,1859.9,1806.0,1815.95,1814.0103,58240.0
672,2018-08-16,1841.1,1869.55,1826.35,1830.15,1828.1951,70924.0
671,2018-08-14,1917.95,1924.9,1855.5,1877.9,1875.894,59823.0
670,2018-08-13,1900.0,1919.95,1854.0,1899.5,1897.4709,62781.0
669,2018-08-10,1969.95,1985.0,1950.0,1959.2,1957.1072,70693.0
668,2018-08-09,1955.0,1989.9,1936.0,1970.4,1968.2953,81602.0
667,2018-08-08,1939.95,1959.0,1922.0,1935.3,1933.2328,66591.0
666,2018-08-07,1970.0,1970.0,1935.0,1941.1,1939.0265,66446.0
665,2018-08-06,1999.0,2015.5,1952.1,1970.15,1968.0455,76370.0
664,2018-08-03,1944.6,1977.75,1920.65,1956.75,1954.6598,68296.0
663,2018-08-02,1936.2,1948.0,1881.05,1932.45,1930.3857,63468.0
662,2018-08-01,1872.5,1959.9,1872.5,1936.15,1934.0819,68432.0
661,2018-07-31,1856.15,1894.0,1835.05,1890.5,1888.4806,92004.0
660,2018-07-30,1890.0,1898.7,1840.0,1852.65,1850.671,61637.0
659,2018-07-27,1884.0,1915.0,1856.05,1889.75,1887.7314,61777.0
658,2018-07-26,1879.0,1894.9,1858.85,1879.85,1877.8419,68313.0
657,2018-07-25,1834.95,1880.4,1820.0,1869.5,1867.5031,73789.0
656,2018-07-24,1829.3,1868.95,1811.0,1837.75,1835.787,58914.0
655,2018-07-23,1830.6,1869.0,1793.2,1814.75,1812.8115,68377.0
654,2018-07-20,1823.0,1859.45,1820.0,1823.75,1821.8019,65989.0
653,2018-07-19,1852.0,1860.0,1816.55,1833.9,1831.941,69434.0
652,2018-07-18,1867.65,1880.9,1841.35,1851.05,1849.0728,61472.0
651,2018-07-17,1790.25,1889.9,1790.25,1868.45,1866.4541,71739.0
650,2018-07-16,1889.9,1903.75,1795.0,1813.55,1811.6129,61960.0
649,2018-07-13,1890.3,1919.0,1857.4,1887.55,1885.5338,82482.0
648,2018-07-12,1920.0,1924.1,1878.0,1890.3,1888.2809,75533.0
647,2018-07-11,1901.0,1940.0,1901.0,1914.75,1912.7047,59726.0
646,2018-07-10,1870.0,1921.3,1863.1,1898.35,1896.3223,59386.0
645,2018-07-09,1947.0,1948.0,1890.0,1898.5,1896.472,56591.0
644,2018-07-06,1931.95,1959.0,1917.0,1932.25,1930.186,59171.0
643,2018-07-05,1959.6,1959.6,1919.9,1925.8,1923.7429,68126.0
642,2018-07-04,1939.9,1960.0,1915.0,1946.05,1943.9713,78756.0
641,2018-07-03,1930.0,1959.0,1925.0,1939.15,1937.0786,80857.0
640,2018-07-02,1913.25,1947.0,1909.25,1924.75,1922.694,56075.0
639,2018-06-29,1824.95,1924.9,1824.8,1911.15,1909.1086,58846.0
638,2018-06-28,1895.0,1897.15,1811.0,1827.85,1825.8975,58424.0
637,2018-06-27,1902.0,1945.0,1870.0,1891.2,1889.1798,60464.0
636,2018-06-26,1830.0,1920.0,1830.0,1891.35,1889.3297,72627.0
635,2018-06-25,1805.0,1864.0,1776.0,1841.35,1839.3831,65703.0
634,2018-06-22,1769.5,1812.0,1761.1,1800.65,1798.7266,76714.0
633,2018-06-21,1792.0,1810.0,1762.0,1768.9,1767.0105,66735.0
632,2018-06-20,1750.0,1809.75,1750.0,1796.65,1794.7308,71369.0
631,2018-06-19,1765.0,1774.65,1750.2,1756.75,1754.8735,61760.0
