,Date,Open,High,Low,Close,Adj Close,Volume
390,2019-06-14,506.85,506.85,492.0,496.3,496.3,78432.0
389,2019-06-13,498.6,507.8,492.65,505.5,505.5,58820.0
388,2019-06-12,488.7,498.9,486.0,497.1,497.1,33610.0
387,2019-06-11,487.8,489.8,480.2,488.0,488.0,69232.0
386,2019-06-10,490.0,496.05,485.1,488.5,488.5,29895.0
385,2019-06-07,498.1,498.1,488.0,491.1,491.1,45207.0
384,2019-06-06,500.2,503.7,495.1,498.6,498.6,161862.0
383,2019-06-04,510.3,522.0,493.0,497.2,497.2,88645.0
382,2019-06-03,513.0,520.0,507.7,512.7,512.7,29002.0
381,2019-05-31,507.1,516.0,497.3,512.45,512.45,71768.0
380,2019-05-30,504.9,510.05,500.7,503.35,503.35,47705.0
379,2019-05-29,528.95,534.0,490.1,503.5,503.5,54899.0
378,2019-05-28,524.9,534.95,512.0,515.15,515.15,14652.0
377,2019-05-27,512.95,533.2,507.05,520.05,520.05,35218.0
376,2019-05-24,486.0,509.5,480.05,505.4,505.4,15489.0
375,2019-05-23,491.0,499.8,480.0,485.4,485.4,33780.0
374,2019-05-22,475.2,493.35,475.0,491.05,491.05,16529.0
373,2019-05-21,457.9,475.0,452.75,470.95,470.95,44652.0
372,2019-05-20,476.0,480.0,440.0,450.15,450.15,63563.0
371,2019-05-17,453.6,458.0,436.1,443.15,443.15,27856.0
370,2019-05-16,452.3,459.75,446.5,453.1,453.1,27650.0
369,2019-05-15,446.0,459.75,446.0,453.3,453.3,8419.0
368,2019-05-14,465.0,466.3,447.1,452.05,452.05,39979.0
367,2019-05-13,475.1,485.9,467.0,472.1,472.1,11276.0
366,2019-05-10,480.5,486.0,479.0,480.7,480.7,23499.0
365,2019-05-09,481.85,493.15,478.05,480.15,480.15,25400.0
364,2019-05-08,506.6,511.95,471.7,481.85,481.85,57649.0
363,2019-05-07,521.0,521.0,500.0,501.2,501.2,21017.0
362,2019-05-06,511.0,513.85,502.0,511.95,511.95,14544.0
361,2019-05-03,528.35,528.5,516.65,517.05,517.05,2875.0
360,2019-05-02,532.05,538.7,526.7,529.3,529.3,4348.0
359,2019-04-30,534.6,549.0,530.15,541.55,541.55,80997.0
358,2019-04-26,535.0,540.0,510.1,537.9,537.9,13389.0
357,2019-04-25,537.85,544.4,525.0,531.9,531.9,7850.0
356,2019-04-24,544.75,548.0,532.15,538.1,538.1,17655.0
355,2019-04-23,523.0,545.0,523.0,542.05,542.05,17514.0
354,2019-04-22,532.45,544.0,525.0,529.45,529.45,11507.0
353,2019-04-18,541.35,547.8,534.9,540.55,540.55,17946.0
352,2019-04-16,563.5,564.95,549.1,552.3,552.3,15147.0
351,2019-04-15,533.0,577.8,533.0,561.05,561.05,59669.0
350,2019-04-12,519.3,545.25,513.1,539.55,539.55,90045.0
349,2019-04-11,518.35,525.0,517.0,519.3,519.3,6285.0
348,2019-04-10,524.0,525.0,515.25,521.35,521.35,26103.0
347,2019-04-09,512.15,519.8,512.15,517.25,517.25,8509.0
346,2019-04-08,514.05,520.15,512.15,513.55,513.55,4533.0
345,2019-04-05,516.35,525.0,511.1,521.1,521.1,8739.0
344,2019-04-04,514.25,524.45,510.2,517.55,517.55,45540.0
343,2019-04-03,518.6,521.95,510.0,513.25,513.25,7675.0
342,2019-04-02,521.95,523.35,512.1,519.2,519.2,7348.0
341,2019-04-01,534.0,534.0,508.15,515.4,515.4,27346.0
340,2019-03-28,509.95,515.0,502.85,511.1,511.1,15335.0
339,2019-03-27,494.9,510.0,491.4,507.85,507.85,115446.0
338,2019-03-26,496.8,496.8,485.15,494.35,494.35,15160.0
337,2019-03-25,492.3,498.0,485.0,491.35,491.35,22150.0
336,2019-03-22,501.8,502.0,492.35,494.4,494.4,11777.0
335,2019-03-20,504.9,504.9,491.4,498.25,498.25,8618.0
334,2019-03-19,498.4,500.65,489.15,497.75,497.75,23033.0
333,2019-03-18,503.0,515.0,487.0,506.0,506.0,38298.0
332,2019-03-15,499.9,510.8,485.5,502.6,502.6,51155.0
331,2019-03-14,499.1,503.05,486.6,495.2,495.2,24079.0
330,2019-03-13,501.45,520.0,491.0,498.9,498.9,21383.0
329,2019-03-12,504.8,504.8,495.0,498.25,498.25,11983.0
328,2019-03-11,498.25,505.0,496.25,499.3,499.3,11172.0
327,2019-03-08,490.0,499.85,490.0,495.7,495.7,69026.0
326,2019-03-07,480.0,495.0,475.0,490.05,490.05,17912.0
325,2019-03-06,475.0,479.0,464.45,476.8,476.8,17998.0
324,2019-03-05,459.0,475.0,451.55,471.0,471.0,47188.0
323,2019-03-01,433.4,453.5,430.5,451.75,451.75,16694.0
322,2019-02-28,433.6,443.25,433.6,436.95,436.95,8269.0
321,2019-02-27,437.45,475.0,430.65,435.7,435.7,40475.0
320,2019-02-26,435.0,437.55,425.0,435.2,435.2,8847.0
319,2019-02-25,433.5,441.0,433.5,436.8,436.8,531567.0
318,2019-02-22,436.05,438.8,431.2,436.8,436.8,268810.0
317,2019-02-21,443.0,443.0,432.8,435.55,435.55,9674.0
316,2019-02-20,432.0,440.0,432.0,435.1,435.1,5010.0
315,2019-02-19,444.1,444.1,430.5,431.1,431.1,5625.0
314,2019-02-18,439.95,440.0,430.1,439.1,439.1,169687.0
313,2019-02-15,436.0,440.0,430.15,437.35,437.35,3959.0
312,2019-02-14,423.0,440.0,422.65,436.25,436.25,6737.0
311,2019-02-12,426.1,440.0,418.15,438.45,438.45,14795.0
310,2019-02-11,441.1,441.1,425.7,432.6,432.6,8211.0
309,2019-02-08,440.0,444.4,427.95,440.0,440.0,67362.0
308,2019-02-07,441.05,453.0,424.0,432.95,432.95,78758.0
307,2019-02-06,458.0,458.0,426.3,445.05,445.05,48893.0
306,2019-02-05,463.0,472.25,449.15,453.5,453.5,24717.0
305,2019-02-04,487.55,493.9,456.55,469.75,469.75,37334.0
304,2019-02-01,497.6,497.65,483.55,487.45,487.45,5649.0
303,2019-01-31,501.0,505.0,478.35,482.95,482.95,22638.0
302,2019-01-30,502.0,506.8,482.5,498.95,498.95,35430.0
301,2019-01-29,494.0,502.0,475.0,498.05,498.05,12832.0
300,2019-01-28,501.65,505.0,492.95,496.3,496.3,22963.0
299,2019-01-25,510.25,512.0,497.0,500.35,500.35,17482.0
298,2019-01-24,504.65,515.0,501.0,513.2,513.2,10605.0
297,2019-01-23,507.65,507.65,502.0,503.7,503.7,8689.0
296,2019-01-22,517.4,525.8,498.05,502.25,502.25,31081.0
295,2019-01-21,509.5,544.4,507.05,517.1,517.1,118317.0
294,2019-01-18,502.75,509.95,502.0,503.8,503.8,4222.0
293,2019-01-17,515.55,520.0,495.0,500.75,500.75,18337.0
292,2019-01-16,514.05,519.95,512.25,515.8,515.8,8434.0
291,2019-01-15,511.1,517.75,511.05,514.8,514.8,7411.0
290,2019-01-14,506.55,517.6,499.05,511.05,511.05,10812.0
289,2019-01-11,508.0,511.0,503.2,506.55,506.55,83274.0
288,2019-01-10,504.0,509.1,502.0,507.85,507.85,4393.0
287,2019-01-09,510.0,510.0,502.0,504.75,504.75,7406.0
286,2019-01-08,505.65,513.45,502.65,508.0,508.0,4603.0
285,2019-01-07,515.0,515.0,501.5,503.6,503.6,15666.0
284,2019-01-04,514.65,514.65,509.0,513.35,513.35,1835.0
283,2019-01-03,515.65,519.3,510.0,510.7,510.7,14193.0
282,2019-01-02,515.75,521.3,513.0,515.05,515.05,4828.0
281,2019-01-01,517.9,519.4,514.6,516.75,516.75,2612.0
280,2018-12-31,513.35,523.0,512.0,517.15,517.15,13332.0
279,2018-12-28,506.6,517.75,506.6,513.35,513.35,5638.0
278,2018-12-27,520.0,523.0,508.0,509.7,509.7,4406.0
277,2018-12-26,520.0,520.0,502.4,514.3,514.3,15136.0
276,2018-12-24,513.1,520.6,513.05,515.1,515.1,12095.0
275,2018-12-21,518.4,522.0,507.65,519.1,519.1,24602.0
274,2018-12-20,503.1,520.0,503.1,515.0,515.0,22337.0
273,2018-12-19,502.0,511.95,500.1,509.05,509.05,31036.0
272,2018-12-18,501.0,508.9,498.1,500.95,500.95,16527.0
271,2018-12-17,520.9,521.0,500.6,502.95,502.95,33418.0
270,2018-12-14,520.2,529.0,516.0,520.1,520.1,8333.0
269,2018-12-13,529.9,536.0,520.0,523.6,523.6,43960.0
268,2018-12-12,523.7,536.45,519.65,528.5,528.5,7337.0
267,2018-12-11,515.65,525.0,510.0,520.75,520.75,5547.0
266,2018-12-10,525.6,527.0,514.25,520.9,520.9,9592.0
265,2018-12-07,518.3,530.0,518.3,522.45,522.45,3693.0
264,2018-12-06,522.4,525.0,517.5,519.5,519.5,8694.0
263,2018-12-05,502.0,527.75,502.0,520.55,520.55,18426.0
262,2018-12-04,533.0,535.2,524.5,528.0,528.0,7951.0
261,2018-12-03,535.05,540.0,527.85,533.0,533.0,9140.0
260,2018-11-30,540.0,548.0,532.0,537.55,537.55,42753.0
259,2018-11-29,524.45,546.0,524.45,534.8,534.8,102587.0
258,2018-11-28,542.05,545.4,509.2,520.6,520.6,38971.0
257,2018-11-27,526.7,536.0,516.4,534.25,534.25,9462.0
256,2018-11-26,523.65,540.0,516.0,524.3,524.3,5749.0
255,2018-11-22,525.5,533.0,523.1,531.6,531.6,10720.0
254,2018-11-21,520.8,533.7,515.0,529.45,529.45,18156.0
253,2018-11-20,513.0,534.8,511.0,520.8,520.8,10575.0
252,2018-11-19,513.95,518.2,509.6,513.2,513.2,32928.0
251,2018-11-16,519.25,520.75,510.9,513.65,513.65,19893.0
250,2018-11-15,511.5,525.55,505.0,512.7,512.7,13929.0
249,2018-11-14,510.0,515.95,506.45,511.55,511.55,24849.0
248,2018-11-13,506.8,519.95,500.25,511.45,511.45,357084.0
247,2018-11-12,522.4,530.0,510.0,512.35,512.35,98916.0
246,2018-11-09,529.0,532.0,520.0,526.85,526.85,62479.0
245,2018-11-07,529.7,530.95,521.5,529.7,529.7,2985.0
244,2018-11-06,524.0,525.9,511.5,518.35,518.35,393526.0
243,2018-11-05,538.0,545.95,520.0,523.8,523.8,12290.0
242,2018-11-02,560.0,560.0,532.05,537.45,537.45,13389.0
241,2018-11-01,550.5,554.75,530.0,533.5,533.5,41072.0
240,2018-10-31,552.3,554.4,537.95,549.85,549.85,18552.0
239,2018-10-30,549.15,554.95,538.95,551.4,551.4,14993.0
238,2018-10-29,541.8,550.0,536.35,545.85,545.85,7736.0
237,2018-10-26,546.75,554.75,532.1,549.9,549.9,14880.0
236,2018-10-25,540.7,550.0,534.6,546.35,546.35,5986.0
235,2018-10-24,536.9,555.0,529.3,548.8,548.8,16830.0
234,2018-10-23,532.05,545.0,520.0,537.1,537.1,9026.0
233,2018-10-22,536.0,545.0,532.6,540.1,540.1,20294.0
232,2018-10-19,551.45,551.45,510.0,536.4,536.4,13235.0
231,2018-10-17,565.0,570.0,557.05,559.75,559.75,181729.0
230,2018-10-16,538.85,561.85,538.85,559.05,559.05,44133.0
229,2018-10-15,564.0,564.0,534.0,547.0,547.0,17696.0
228,2018-10-12,548.0,558.0,531.0,552.5,552.5,12438.0
227,2018-10-11,523.75,533.0,510.35,525.7,525.7,9492.0
226,2018-10-10,506.15,527.75,506.15,522.9,522.9,11479.0
225,2018-10-09,505.3,520.1,505.3,511.9,511.9,8760.0
224,2018-10-08,527.25,530.0,507.7,512.75,512.75,24959.0
223,2018-10-05,520.05,535.0,520.0,530.25,530.25,30157.0
222,2018-10-04,520.0,525.0,511.5,516.3,516.3,7862.0
221,2018-10-03,519.9,521.95,509.9,517.65,517.65,8940.0
220,2018-10-01,519.0,519.7,504.95,511.5,511.5,202171.0
219,2018-09-28,534.1,544.95,510.8,513.85,513.85,19403.0
218,2018-09-27,535.5,550.0,526.0,539.8,539.8,11750.0
217,2018-09-26,545.0,545.7,535.0,543.2,543.2,6931.0
216,2018-09-25,540.0,546.65,525.75,533.9,533.9,13356.0
215,2018-09-24,538.0,569.0,520.0,546.95,546.95,80256.0
214,2018-09-21,541.2,547.25,535.5,540.05,540.05,70992.0
213,2018-09-19,555.0,555.0,535.15,546.2,546.2,19713.0
212,2018-09-18,551.7,559.95,545.0,549.7,549.7,9449.0
211,2018-09-17,550.0,562.0,539.85,554.9,554.9,120260.0
210,2018-09-14,545.0,560.35,544.85,556.2,556.2,24760.0
209,2018-09-12,549.05,550.7,529.8,544.85,544.85,89960.0
208,2018-09-11,571.6,575.0,548.0,551.7,551.7,28644.0
207,2018-09-10,594.95,594.95,567.3,577.7,577.7,28978.0
206,2018-09-07,596.5,599.0,585.65,596.2,596.2,18360.0
205,2018-09-06,598.0,604.0,590.15,596.5,596.5,22835.0
204,2018-09-05,594.0,604.6,583.0,599.8,599.8,26678.0
203,2018-09-04,596.0,602.0,586.0,597.15,597.15,95499.0
202,2018-09-03,586.0,606.25,580.05,601.45,601.45,64268.0
201,2018-08-31,579.7,594.0,579.7,588.7,588.7,54409.0
200,2018-08-30,556.0,577.85,556.0,574.65,574.65,226272.0
199,2018-08-29,570.0,571.0,552.55,555.45,555.45,13447.0
198,2018-08-28,562.0,568.55,562.0,565.15,565.15,46559.0
197,2018-08-27,566.15,566.15,562.0,564.9,564.9,14197.0
196,2018-08-24,562.5,567.0,554.45,562.2,562.2,13361.0
195,2018-08-23,564.0,570.65,562.6,565.6,565.6,29936.0
194,2018-08-21,561.05,566.25,561.0,563.6,563.6,26399.0
193,2018-08-20,561.0,564.55,556.0,561.0,561.0,10659.0
192,2018-08-17,559.0,565.0,556.1,562.9,562.9,12183.0
191,2018-08-16,558.0,565.0,550.55,560.75,560.75,33522.0
190,2018-08-14,563.0,565.0,555.15,558.2,558.2,11641.0
189,2018-08-13,565.25,565.3,556.55,562.25,562.25,15716.0
188,2018-08-10,576.95,576.95,563.0,565.2,565.2,79614.0
187,2018-08-09,567.95,582.45,564.9,571.7,571.7,19512.0
186,2018-08-08,573.75,580.25,565.55,567.5,567.5,26723.0
185,2018-08-07,583.9,584.0,570.5,573.75,573.75,23013.0
184,2018-08-06,579.55,586.8,571.35,579.9,579.9,28585.0
183,2018-08-03,589.95,592.2,577.7,579.55,579.55,49091.0
182,2018-08-02,590.0,617.0,574.0,585.1,585.1,254098.0
181,2018-08-01,576.9,584.0,570.0,581.6,581.6,16304.0
180,2018-07-31,586.0,593.1,569.0,576.9,576.9,19102.0
179,2018-07-30,595.0,595.25,582.1,586.95,586.95,18367.0
178,2018-07-27,610.0,613.35,591.0,594.65,594.65,17648.0
177,2018-07-26,606.6,622.0,605.9,607.9,607.9,170638.0
176,2018-07-25,583.0,618.0,574.0,602.6,601.1,26172.0
175,2018-07-24,566.0,583.0,566.0,576.25,573.3193,69881.0
174,2018-07-23,558.0,578.0,558.0,574.05,571.1305,183884.0
173,2018-07-20,567.5,574.3,549.15,557.7,554.8636,43049.0
172,2018-07-19,584.95,584.95,565.1,567.55,564.6635,15442.0
171,2018-07-18,574.05,584.0,566.0,574.1,571.1802,26774.0
170,2018-07-17,559.8,594.0,555.05,584.8,581.8258,39724.0
169,2018-07-16,575.2,575.2,552.6,559.8,556.953,38627.0
168,2018-07-13,584.6,592.8,575.15,577.9,574.9609,16676.0
167,2018-07-12,606.25,606.25,587.0,590.3,587.2979,15209.0
166,2018-07-11,600.25,614.0,595.95,601.75,598.6896,317378.0
165,2018-07-10,610.0,625.0,607.15,609.6,606.4997,42245.0
164,2018-07-09,620.0,621.0,610.0,614.7,611.5738,45222.0
163,2018-07-06,593.85,613.95,585.1,609.95,606.8479,57792.0
162,2018-07-05,581.9,597.75,575.15,594.4,591.377,72196.0
161,2018-07-04,568.95,580.0,566.55,574.05,571.1305,49740.0
160,2018-07-03,580.0,584.0,562.15,568.85,565.9569,54648.0
159,2018-07-02,557.15,580.0,550.0,573.15,570.2351,27117.0
158,2018-06-29,552.0,574.4,549.1,553.05,550.2373,35877.0
157,2018-06-28,573.0,580.35,543.75,551.55,548.7449,105722.0
156,2018-06-27,596.0,597.15,570.0,572.65,569.7376,56109.0
