,Date,Open,High,Low,Close,Adj Close,Volume
406,2019-06-14,610.7,617.8,591.5,599.15,599.15,7636.0
405,2019-06-13,628.65,628.65,603.0,610.7,610.7,16165.0
404,2019-06-12,629.95,630.05,615.0,628.65,628.65,31147.0
403,2019-06-11,599.45,634.9,590.2,623.65,623.65,30438.0
402,2019-06-10,594.1,605.0,585.05,600.55,600.55,10842.0
401,2019-06-07,600.75,612.0,586.55,602.95,602.95,20931.0
400,2019-06-06,586.75,609.2,563.3,601.65,601.65,28273.0
399,2019-06-04,536.15,603.7,535.65,586.75,586.75,61342.0
398,2019-06-03,529.9,539.8,525.0,535.0,535.0,2901.0
397,2019-05-31,541.0,549.2,528.05,530.8,530.8,8141.0
396,2019-05-30,540.0,543.3,537.5,538.0,538.0,4097.0
395,2019-05-29,540.05,552.0,539.0,540.0,540.0,12373.0
394,2019-05-28,543.5,553.0,535.0,539.45,539.45,4559.0
393,2019-05-27,550.0,550.0,543.15,547.7,547.7,2681.0
392,2019-05-24,535.25,550.0,532.0,548.35,548.35,13121.0
391,2019-05-23,534.8,542.15,526.45,532.9,532.9,9828.0
390,2019-05-22,542.5,544.0,527.0,534.3,534.3,37084.0
389,2019-05-21,540.15,545.85,531.1,540.15,540.15,15182.0
388,2019-05-20,525.0,547.5,525.0,541.15,541.15,19586.0
387,2019-05-17,529.95,532.35,520.3,521.4,521.4,11855.0
386,2019-05-16,534.85,534.85,527.3,529.75,529.75,11523.0
385,2019-05-15,534.85,542.2,525.9,538.05,538.05,17332.0
384,2019-05-14,513.0,565.1,509.05,537.75,537.75,42989.0
383,2019-05-13,527.05,534.1,515.0,520.1,520.1,4363.0
382,2019-05-10,532.3,540.0,525.6,535.05,535.05,14766.0
381,2019-05-09,565.1,574.0,528.05,540.4,540.4,54265.0
380,2019-05-08,558.55,567.0,550.0,559.55,559.55,40200.0
379,2019-05-07,575.2,590.05,551.6,568.8,568.8,11986.0
378,2019-05-06,579.8,579.8,561.0,569.55,569.55,3199.0
377,2019-05-03,586.0,590.95,571.0,583.3,583.3,2566.0
376,2019-05-02,594.0,595.0,582.15,587.0,587.0,1217.0
375,2019-04-30,590.0,600.0,577.95,597.55,597.55,8404.0
374,2019-04-26,597.5,599.0,591.0,595.05,595.05,1242.0
373,2019-04-25,599.95,600.05,594.45,599.65,599.65,5500.0
372,2019-04-24,590.95,600.0,590.95,599.85,599.85,13217.0
371,2019-04-23,598.0,600.0,585.65,598.85,598.85,7419.0
370,2019-04-22,590.35,601.0,590.35,599.0,599.0,2380.0
369,2019-04-18,601.8,602.8,591.55,599.25,599.25,6078.0
368,2019-04-16,594.0,614.95,589.95,597.1,597.1,23774.0
367,2019-04-15,597.95,603.15,590.0,591.0,591.0,51283.0
366,2019-04-12,589.0,599.95,584.6,595.75,595.75,42484.0
365,2019-04-11,611.0,615.0,585.3,593.55,593.55,9731.0
364,2019-04-10,600.55,620.0,589.4,610.9,610.9,13582.0
363,2019-04-09,587.7,608.45,583.0,601.45,601.45,15709.0
362,2019-04-08,586.0,602.05,571.1,594.5,594.5,11247.0
361,2019-04-05,586.0,592.95,579.0,586.8,586.8,6645.0
360,2019-04-04,580.55,593.2,579.2,586.7,586.7,7794.0
359,2019-04-03,586.0,597.5,581.05,583.25,583.25,2365.0
358,2019-04-02,597.7,597.7,580.0,588.4,588.4,10976.0
357,2019-04-01,568.1,612.9,564.35,594.55,594.55,33764.0
356,2019-03-28,561.9,568.9,552.5,561.05,561.05,2990.0
355,2019-03-27,560.6,568.9,548.35,560.5,560.5,21878.0
354,2019-03-26,553.9,564.0,545.5,562.55,562.55,7339.0
353,2019-03-25,535.05,560.0,532.35,548.4,548.4,9959.0
352,2019-03-22,548.0,552.75,535.0,537.25,537.25,1953.0
