,Date,Open,High,Low,Close,Adj Close,Volume
718,2019-06-14,65.55,66.15,63.5,65.0,65.0,1255181.0
717,2019-06-13,67.05,68.2,63.6,65.3,65.3,1688085.0
716,2019-06-12,66.95,68.0,66.0,67.65,67.65,106106.0
715,2019-06-11,64.7,66.85,64.4,66.0,66.0,324795.0
714,2019-06-10,62.0,64.4,61.5,63.95,63.95,168690.0
713,2019-06-07,63.2,66.85,60.75,61.3,61.3,686524.0
712,2019-06-06,64.0,64.2,62.7,63.05,63.05,1132177.0
711,2019-06-04,64.7,64.95,63.5,63.6,63.6,88120.0
710,2019-06-03,63.15,65.25,63.15,63.95,63.95,74884.0
709,2019-05-31,67.2,67.2,63.85,65.0,65.0,421567.0
708,2019-05-30,63.0,68.5,62.0,66.35,66.35,597683.0
707,2019-05-29,65.0,65.3,62.6,63.05,63.05,114157.0
706,2019-05-28,65.9,67.55,64.4,64.9,64.9,141601.0
705,2019-05-27,64.0,65.85,63.45,65.45,65.45,112698.0
704,2019-05-24,63.2,64.95,62.4,62.75,62.75,216941.0
703,2019-05-23,65.9,65.9,63.4,63.75,63.75,122005.0
702,2019-05-22,66.35,66.35,63.85,64.75,64.75,158909.0
701,2019-05-21,67.95,68.0,64.5,66.05,66.05,283023.0
700,2019-05-20,65.95,68.0,65.95,67.15,67.15,303163.0
699,2019-05-17,65.0,67.85,64.0,65.8,65.8,256558.0
698,2019-05-16,69.5,70.7,64.3,65.3,65.3,403352.0
697,2019-05-15,70.0,71.05,67.55,69.25,69.25,336305.0
696,2019-05-14,71.5,72.65,68.3,70.95,70.95,1403130.0
695,2019-05-13,71.45,72.6,71.05,71.75,71.75,514700.0
694,2019-05-10,72.15,73.0,71.1,71.85,71.85,911848.0
693,2019-05-09,69.15,73.7,69.15,72.15,72.15,1200805.0
692,2019-05-08,70.85,71.55,69.8,71.1,71.1,504888.0
691,2019-05-07,70.45,71.9,70.35,71.1,71.1,1545671.0
690,2019-05-06,70.5,70.75,69.75,70.45,70.45,42483.0
689,2019-05-03,70.35,71.4,70.1,70.5,70.5,2523480.0
688,2019-05-02,69.3,71.0,69.3,70.35,70.35,1403957.0
687,2019-04-30,70.0,70.5,68.85,70.3,70.3,1163405.0
686,2019-04-26,69.4,69.5,68.5,69.25,69.25,1133369.0
685,2019-04-25,68.7,69.45,67.9,69.1,69.1,394458.0
684,2019-04-24,69.3,69.5,67.1,68.85,68.85,78912.0
683,2019-04-23,69.7,69.7,68.55,69.0,69.0,216861.0
682,2019-04-22,68.5,70.65,68.5,69.4,69.4,597113.0
681,2019-04-18,70.65,70.7,67.0,69.45,69.45,1532152.0
680,2019-04-16,70.2,70.9,69.2,69.95,69.95,1474388.0
679,2019-04-15,69.1,72.35,69.1,69.95,69.95,1683830.0
678,2019-04-12,70.5,70.5,69.4,70.0,70.0,76465.0
677,2019-04-11,69.75,70.35,68.7,70.1,70.1,151647.0
676,2019-04-10,70.15,71.8,68.85,69.35,69.35,163991.0
675,2019-04-09,69.3,72.6,69.1,70.15,70.15,555341.0
674,2019-04-08,70.8,70.8,68.3,69.75,69.75,120029.0
673,2019-04-05,70.55,72.55,70.3,70.8,70.8,111595.0
672,2019-04-04,69.3,71.5,69.3,70.45,70.45,236165.0
671,2019-04-03,69.2,70.55,69.15,70.25,70.25,280700.0
670,2019-04-02,70.05,70.9,69.05,69.9,69.9,317850.0
669,2019-04-01,67.4,71.0,66.95,69.95,69.95,280883.0
668,2019-03-28,68.3,69.45,68.1,69.15,69.15,963881.0
667,2019-03-27,68.7,69.1,68.35,68.95,68.95,310874.0
666,2019-03-26,69.55,70.0,67.45,68.4,68.4,539496.0
665,2019-03-25,68.0,70.0,68.0,69.1,69.1,761919.0
664,2019-03-22,69.9,69.9,69.0,69.4,69.4,266319.0
663,2019-03-20,68.05,69.6,68.0,69.2,69.2,885631.0
662,2019-03-19,66.3,68.9,66.3,67.95,67.95,1047645.0
661,2019-03-18,65.05,66.85,65.0,65.8,65.8,358101.0
660,2019-03-15,63.1,66.35,63.1,64.9,64.9,853435.0
659,2019-03-14,62.05,64.5,60.75,63.05,63.05,1436964.0
658,2019-03-13,63.75,63.75,62.0,62.25,62.25,263122.0
657,2019-03-12,64.5,65.4,63.0,63.35,63.35,532057.0
656,2019-03-11,64.0,64.1,63.0,63.45,63.45,217167.0
655,2019-03-08,66.0,66.0,62.9,63.2,63.2,1400182.0
654,2019-03-07,66.55,66.9,65.1,65.55,65.55,1820708.0
653,2019-03-06,69.2,69.2,65.0,66.05,66.05,710799.0
652,2019-03-05,69.0,69.9,68.3,68.55,68.55,395600.0
651,2019-03-01,69.3,70.5,68.0,69.7,69.7,303320.0
650,2019-02-28,72.1,72.8,66.7,68.9,68.9,1565596.0
649,2019-02-27,83.95,83.95,69.3,71.15,71.15,5642374.0
648,2019-02-26,80.4,88.9,79.95,82.35,82.35,1347653.0
647,2019-02-25,79.1,81.45,77.15,80.5,80.5,98236.0
646,2019-02-22,77.5,79.0,77.5,78.75,78.75,37780.0
645,2019-02-21,77.0,78.0,77.0,77.75,77.75,44552.0
644,2019-02-20,76.3,78.0,76.3,77.7,77.7,129462.0
643,2019-02-19,76.05,77.4,76.0,76.6,76.6,40820.0
642,2019-02-18,78.35,78.35,75.0,76.55,76.55,78838.0
641,2019-02-15,77.15,78.75,75.4,77.2,77.2,103051.0
640,2019-02-14,76.5,77.55,76.15,77.15,77.15,158953.0
639,2019-02-12,77.0,77.7,75.2,76.3,76.3,494335.0
638,2019-02-11,77.5,79.9,75.4,77.35,77.35,340756.0
637,2019-02-08,76.25,79.95,75.25,77.5,77.5,531982.0
636,2019-02-07,75.8,76.9,75.05,76.2,76.2,78862.0
635,2019-02-06,73.0,76.95,73.0,75.8,75.8,131605.0
