,Date,Open,High,Low,Close,Adj Close,Volume
2331,2019-06-14,24.45,24.7,24.15,24.2,24.2,214719.0
2330,2019-06-13,25.0,25.0,24.4,24.6,24.6,311412.0
2329,2019-06-12,25.2,25.3,24.85,24.95,24.95,407869.0
2328,2019-06-11,25.2,25.55,24.8,25.15,25.15,545487.0
2327,2019-06-10,25.6,25.7,25.0,25.2,25.2,287685.0
2326,2019-06-07,25.9,25.9,25.3,25.5,25.5,273227.0
2325,2019-06-06,26.2,26.2,25.75,25.85,25.85,264027.0
2324,2019-06-04,25.6,26.7,25.4,26.25,26.25,840923.0
2323,2019-06-03,26.2,26.25,25.55,25.65,25.65,222427.0
2322,2019-05-31,27.4,27.4,26.2,26.25,26.25,681275.0
2321,2019-05-30,27.3,27.9,26.9,27.45,27.45,1077935.0
2320,2019-05-29,27.75,27.9,26.9,27.15,27.15,595893.0
2319,2019-05-28,27.5,28.1,26.95,27.7,27.7,1123138.0
2318,2019-05-27,26.25,27.5,26.25,27.3,27.3,1021486.0
2317,2019-05-24,25.35,26.5,25.25,26.2,26.2,1188444.0
2316,2019-05-23,25.5,26.4,25.15,25.3,25.3,786430.0
2315,2019-05-22,25.3,25.35,24.75,25.2,25.2,396068.0
2314,2019-05-21,25.8,25.8,24.75,25.15,25.15,365644.0
2313,2019-05-20,25.0,26.95,24.35,25.6,25.6,1421484.0
2312,2019-05-17,24.0,24.35,23.7,23.9,23.9,386932.0
2311,2019-05-16,23.85,24.3,23.7,24.0,24.0,379198.0
2310,2019-05-15,24.35,24.45,23.85,23.95,23.95,264832.0
2309,2019-05-14,24.3,24.55,23.7,24.2,24.2,316864.0
2308,2019-05-13,24.9,24.9,24.05,24.15,24.15,207122.0
2307,2019-05-10,24.7,25.05,24.55,24.75,24.75,313731.0
2306,2019-05-09,24.65,24.85,24.55,24.7,24.7,328350.0
2305,2019-05-08,25.05,25.2,24.7,24.75,24.75,397481.0
2304,2019-05-07,25.5,25.7,25.2,25.3,25.3,265811.0
2303,2019-05-06,25.4,25.9,25.2,25.6,25.6,330259.0
2302,2019-05-03,25.75,25.95,25.55,25.7,25.7,458945.0
2301,2019-05-02,26.0,26.35,25.6,25.75,25.75,713763.0
2300,2019-04-30,26.6,26.6,25.95,26.3,26.3,453240.0
2299,2019-04-26,26.85,26.95,26.4,26.6,26.6,431885.0
2298,2019-04-25,27.15,27.2,26.65,26.8,26.8,480603.0
2297,2019-04-24,27.3,27.6,27.0,27.2,27.2,1009650.0
2296,2019-04-23,27.0,27.2,26.7,26.9,26.9,618029.0
2295,2019-04-22,27.3,27.3,26.85,27.0,27.0,544591.0
2294,2019-04-18,28.05,28.1,27.45,27.6,27.6,504373.0
2293,2019-04-16,28.15,28.45,27.9,28.0,28.0,486298.0
2292,2019-04-15,28.2,28.6,27.95,28.15,28.15,1079080.0
2291,2019-04-12,28.25,28.6,27.9,28.1,28.1,1238545.0
2290,2019-04-11,28.05,28.05,27.75,27.9,27.9,430496.0
2289,2019-04-10,27.8,28.4,27.8,27.9,27.9,732280.0
2288,2019-04-09,28.2,28.3,27.65,28.0,28.0,678747.0
2287,2019-04-08,28.6,28.6,27.9,28.2,28.2,859077.0
2286,2019-04-05,28.4,28.7,28.1,28.45,28.45,732965.0
2285,2019-04-04,29.6,29.6,28.2,28.35,28.35,1975464.0
2284,2019-04-03,28.3,29.3,27.8,29.0,29.0,2563066.0
2283,2019-04-02,28.4,28.55,27.8,28.1,28.1,654934.0
2282,2019-04-01,28.3,28.75,28.1,28.3,28.3,921690.0
2281,2019-03-28,27.95,28.25,27.85,27.95,27.95,648505.0
2280,2019-03-27,28.0,28.25,27.5,27.8,27.8,1072223.0
2279,2019-03-26,28.15,28.65,27.8,27.95,27.95,1563126.0
2278,2019-03-25,27.5,27.8,27.3,27.35,27.35,569288.0
2277,2019-03-22,28.35,28.4,27.75,27.95,27.95,1239940.0
2276,2019-03-20,28.8,28.8,27.85,27.95,27.95,826133.0
2275,2019-03-19,27.9,29.55,27.4,28.75,28.75,3571766.0
2274,2019-03-18,27.3,28.75,27.0,28.0,28.0,1222057.0
2273,2019-03-15,28.15,28.2,27.05,27.35,27.35,814429.0
2272,2019-03-14,28.15,28.3,27.7,28.0,28.0,538014.0
2271,2019-03-13,28.7,28.7,28.05,28.1,28.1,607506.0
2270,2019-03-12,29.2,29.45,28.5,28.7,28.7,1095254.0
2269,2019-03-11,28.2,29.0,28.15,28.75,28.75,868991.0
2268,2019-03-08,28.05,28.7,27.8,28.2,28.2,996352.0
2267,2019-03-07,28.8,29.0,28.0,28.15,28.15,932426.0
2266,2019-03-06,29.75,29.85,28.7,28.85,28.85,3860169.0
2265,2019-03-05,26.7,29.2,26.25,28.95,28.95,2800936.0
2264,2019-03-01,25.5,26.9,25.5,26.65,26.65,1589658.0
2263,2019-02-28,25.25,25.6,25.1,25.25,25.25,425946.0
2262,2019-02-27,25.55,26.05,24.8,25.15,25.15,844322.0
2261,2019-02-26,25.45,25.8,25.15,25.45,25.45,717642.0
2260,2019-02-25,26.6,26.75,26.1,26.4,26.4,699389.0
2259,2019-02-22,26.15,26.85,26.1,26.7,26.7,1003677.0
2258,2019-02-21,25.85,26.4,25.65,26.1,26.1,677114.0
2257,2019-02-20,25.55,26.15,25.55,25.85,25.85,472780.0
2256,2019-02-19,25.3,26.4,25.15,25.7,25.7,913772.0
2255,2019-02-18,26.4,26.5,25.35,25.55,25.55,499249.0
2254,2019-02-15,27.7,27.7,26.05,26.35,26.35,1574572.0
2253,2019-02-14,24.2,28.65,24.1,27.7,27.7,2251239.0
2252,2019-02-12,24.35,24.75,23.95,24.5,24.5,656691.0
2251,2019-02-11,24.6,24.8,23.85,24.2,24.2,493628.0
2250,2019-02-08,24.9,25.0,24.25,24.5,24.5,426150.0
2249,2019-02-07,25.0,25.3,24.55,24.85,24.85,392125.0
2248,2019-02-06,25.0,25.4,24.05,24.9,24.9,621902.0
2247,2019-02-05,26.1,26.1,24.65,25.0,25.0,483760.0
2246,2019-02-04,26.5,26.6,25.65,25.85,25.85,485823.0
2245,2019-02-01,26.9,27.2,26.15,26.45,26.45,638158.0
2244,2019-01-31,26.9,27.05,26.3,26.75,26.75,638601.0
2243,2019-01-30,26.4,26.75,26.0,26.4,26.4,635284.0
2242,2019-01-29,26.4,26.55,26.05,26.25,26.25,550900.0
2241,2019-01-28,27.15,27.15,26.2,26.45,26.45,498166.0
2240,2019-01-25,27.8,28.15,26.9,27.1,27.1,508498.0
2239,2019-01-24,28.15,28.25,27.65,27.9,27.9,442641.0
2238,2019-01-23,28.05,28.65,27.85,28.05,28.05,600213.0
2237,2019-01-22,28.4,28.4,27.65,28.0,28.0,422463.0
2236,2019-01-21,28.5,28.85,28.25,28.4,28.4,395753.0
2235,2019-01-18,29.0,29.0,28.35,28.6,28.6,385138.0
2234,2019-01-17,29.1,29.3,28.65,28.85,28.85,462998.0
2233,2019-01-16,29.25,29.9,28.95,29.15,29.15,800503.0
2232,2019-01-15,29.55,29.75,29.1,29.2,29.2,502446.0
2231,2019-01-14,29.5,29.65,29.1,29.5,29.5,477976.0
2230,2019-01-11,29.8,30.1,29.25,29.5,29.5,1079545.0
2229,2019-01-10,28.8,29.2,28.6,29.0,29.0,503542.0
2228,2019-01-09,29.55,29.65,28.5,28.9,28.9,623357.0
2227,2019-01-08,29.95,29.95,29.15,29.35,29.35,437535.0
2226,2019-01-07,30.0,30.3,29.5,29.65,29.65,840198.0
2225,2019-01-04,30.25,30.25,29.3,29.65,29.65,646332.0
2224,2019-01-03,30.25,30.75,29.9,30.05,30.05,866287.0
2223,2019-01-02,30.85,31.0,29.9,30.25,30.25,952424.0
2222,2019-01-01,31.0,31.35,30.55,30.9,30.9,1990963.0
2221,2018-12-31,30.15,31.4,30.15,30.9,30.9,5039323.0
2220,2018-12-28,30.15,30.5,29.85,30.0,30.0,1285584.0
2219,2018-12-27,30.7,31.2,29.9,30.1,30.1,3044152.0
2218,2018-12-26,29.1,29.6,28.55,29.35,29.35,961543.0
2217,2018-12-24,29.4,29.8,28.9,29.15,29.15,740077.0
2216,2018-12-21,29.8,30.45,29.25,29.4,29.4,1054733.0
2215,2018-12-20,29.3,30.7,29.15,29.85,29.85,1783831.0
2214,2018-12-19,29.75,30.0,29.3,29.5,29.5,1025134.0
2213,2018-12-18,29.35,29.75,29.1,29.45,29.45,1446919.0
2212,2018-12-17,28.45,30.5,28.45,29.35,29.35,5301341.0
2211,2018-12-14,27.8,28.1,27.55,27.75,27.75,463378.0
2210,2018-12-13,28.1,28.75,27.65,28.0,28.0,1146615.0
2209,2018-12-12,27.15,28.1,27.0,27.8,27.8,1230329.0
2208,2018-12-11,25.75,27.1,25.7,26.7,26.7,633010.0
2207,2018-12-10,26.95,26.95,26.05,26.25,26.25,553824.0
2206,2018-12-07,27.5,27.6,26.7,26.85,26.85,567922.0
2205,2018-12-06,27.8,28.0,27.0,27.3,27.3,622057.0
2204,2018-12-05,28.3,29.1,27.65,28.15,28.15,1329120.0
2203,2018-12-04,27.9,28.6,27.9,28.35,28.35,772965.0
2202,2018-12-03,28.85,28.85,27.65,28.05,28.05,1087530.0
2201,2018-11-30,28.7,28.85,28.4,28.65,28.65,621406.0
2200,2018-11-29,29.1,29.1,28.2,28.5,28.5,602024.0
2199,2018-11-28,29.25,29.6,28.85,28.95,28.95,544983.0
2198,2018-11-27,29.0,29.5,28.9,29.1,29.1,518180.0
2197,2018-11-26,29.85,29.85,28.7,29.05,29.05,805696.0
2196,2018-11-22,30.2,30.25,29.5,29.65,29.65,748266.0
2195,2018-11-21,30.4,30.8,29.8,29.95,29.95,851831.0
2194,2018-11-20,29.95,31.3,29.7,30.8,30.8,2251617.0
2193,2018-11-19,30.5,30.5,29.95,30.1,30.1,697488.0
2192,2018-11-16,30.0,30.95,29.8,30.35,30.35,890174.0
2191,2018-11-15,30.55,30.55,29.6,29.95,29.95,771831.0
