,Date,Open,High,Low,Close,Adj Close,Volume
2096,2019-06-14,149.05,149.5,147.8,148.75,148.75,87950.0
2095,2019-06-13,149.5,152.6,148.45,148.95,148.95,109275.0
2094,2019-06-12,150.0,150.75,149.05,149.6,149.6,92990.0
2093,2019-06-11,151.8,152.4,149.15,149.7,149.7,114551.0
2092,2019-06-10,153.2,154.05,150.7,151.3,151.3,165652.0
2091,2019-06-07,152.0,155.05,151.1,151.75,151.75,108177.0
2090,2019-06-06,154.8,156.0,151.6,152.1,152.1,145356.0
2089,2019-06-04,155.95,158.35,154.6,154.8,154.8,121024.0
2088,2019-06-03,157.8,158.0,155.5,155.65,155.65,110318.0
2087,2019-05-31,157.3,160.7,156.0,159.0,159.0,181502.0
2086,2019-05-30,157.0,157.4,155.6,156.75,156.75,54043.0
2085,2019-05-29,158.05,159.3,156.0,156.4,156.4,67138.0
2084,2019-05-28,162.0,162.8,158.1,158.5,158.5,152399.0
2083,2019-05-27,159.75,163.9,158.2,161.95,161.95,210710.0
2082,2019-05-24,154.7,160.5,154.45,158.9,158.9,300419.0
2081,2019-05-23,157.3,158.9,152.05,153.35,153.35,163408.0
2080,2019-05-22,151.0,155.85,149.2,154.75,154.75,547923.0
2079,2019-05-21,148.2,151.65,148.2,149.5,149.5,90646.0
2078,2019-05-20,149.0,149.0,145.8,148.2,148.2,105178.0
2077,2019-05-17,142.5,144.95,142.5,144.1,144.1,69924.0
2076,2019-05-16,144.0,144.0,141.85,142.9,142.9,79696.0
2075,2019-05-15,145.0,146.9,142.05,143.0,143.0,80177.0
2074,2019-05-14,145.05,146.15,144.1,144.6,144.6,107737.0
2073,2019-05-13,147.65,147.65,145.2,145.65,145.65,56695.0
2072,2019-05-10,146.65,148.85,146.65,147.6,147.6,55553.0
2071,2019-05-09,148.5,148.5,146.05,146.6,146.6,69239.0
2070,2019-05-08,149.0,149.15,147.0,147.9,147.9,101755.0
2069,2019-05-07,151.75,152.0,149.2,149.7,149.7,86157.0
2068,2019-05-06,151.7,152.2,151.05,151.25,151.25,63485.0
2067,2019-05-03,152.7,153.3,152.05,152.7,152.7,55518.0
2066,2019-05-02,153.35,153.5,152.0,152.35,152.35,93278.0
2065,2019-04-30,155.05,155.2,152.2,153.85,153.85,74502.0
