,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,2338.05,2370.0,2302.0,2314.95,2314.95,2372.0
4223,2019-06-13,2355.1001,2363.0,2342.0,2348.3501,2348.3501,1071.0
4222,2019-06-12,2359.25,2380.0,2312.3,2355.95,2355.95,2571.0
4221,2019-06-11,2369.3,2398.6499,2340.0,2357.5,2357.5,3014.0
4220,2019-06-10,2389.95,2440.0,2331.0,2344.3501,2319.3501,6440.0
4219,2019-06-07,2402.0,2435.95,2307.05,2401.45,2351.1077,6580.0
4218,2019-06-06,2400.55,2415.1499,2388.45,2397.3,2347.0447,2724.0
4217,2019-06-04,2450.0,2450.0,2394.0,2405.3501,2354.926,2733.0
4216,2019-06-03,2500.0,2500.0,2412.1001,2426.2,2375.3389,4877.0
4215,2019-05-31,2460.0,2460.0,2400.05,2438.8,2387.6748,3206.0
4214,2019-05-30,2471.0,2471.0,2400.0,2409.0,2358.4995,6409.0
4213,2019-05-29,2468.0,2468.0,2414.95,2457.8,2406.2764,3062.0
4212,2019-05-28,2445.2,2510.0,2438.05,2486.55,2434.4238,12417.0
4211,2019-05-27,2391.0,2477.0,2388.0,2449.8999,2398.542,4555.0
4210,2019-05-24,2431.1001,2440.05,2388.0,2399.0,2348.7092,3201.0
4209,2019-05-23,2497.3999,2504.5,2435.0,2439.95,2388.8005,4149.0
4208,2019-05-22,2465.5,2511.0,2452.1001,2479.05,2427.0811,2065.0
4207,2019-05-21,2453.0,2494.8,2445.05,2490.8999,2438.6826,2219.0
4206,2019-05-20,2484.0,2484.0,2340.0,2453.3,2401.8708,4982.0
4205,2019-05-17,2375.8999,2425.1001,2365.0,2396.3,2346.0659,2565.0
4204,2019-05-16,2409.8,2409.8,2351.0,2370.55,2320.8557,2991.0
4203,2019-05-15,2411.0,2422.0,2350.05,2386.75,2336.7158,11532.0
4202,2019-05-14,2482.0,2520.0,2467.05,2498.25,2445.8784,1973.0
4201,2019-05-13,2556.3501,2563.95,2501.0,2503.8999,2451.4102,1899.0
4200,2019-05-10,2513.95,2575.0,2500.1001,2531.1001,2478.04,2889.0
4199,2019-05-09,2443.55,2525.0,2442.0,2514.45,2461.739,5279.0
4198,2019-05-08,2490.0,2557.45,2451.0,2459.45,2407.8918,4190.0
4197,2019-05-07,2499.8999,2509.8999,2450.0,2497.45,2445.0952,4829.0
4196,2019-05-06,2450.0,2484.0,2412.6001,2477.8999,2425.9548,3554.0
4195,2019-05-03,2465.6001,2517.8999,2427.55,2444.55,2393.3042,5416.0
4194,2019-05-02,2485.1001,2495.05,2450.1001,2462.6499,2411.0247,4557.0
4193,2019-04-30,2500.0,2532.0,2500.0,2517.2,2464.4312,3552.0
4192,2019-04-26,2541.0,2547.45,2506.0,2517.0,2464.2354,3518.0
4191,2019-04-25,2556.8501,2556.8501,2531.0,2541.1499,2487.8789,2369.0
4190,2019-04-24,2561.0,2561.0,2515.0,2531.6001,2478.5293,4608.0
4189,2019-04-23,2580.75,2580.8,2531.0,2539.1499,2485.9209,1283.0
4188,2019-04-22,2583.0,2591.2,2564.05,2574.5,2520.53,2586.0
4187,2019-04-18,2550.05,2600.0,2540.0,2582.6499,2528.5093,4624.0
4186,2019-04-16,2554.05,2557.75,2535.0,2547.8501,2494.4387,2350.0
