,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,58.25,59.55,57.8,59.1,59.1,1462283.0
4873,2019-06-13,60.95,60.95,58.9,59.0,59.0,766308.0
4872,2019-06-12,60.2,61.2,59.8,60.55,60.55,839246.0
4871,2019-06-11,60.1,60.45,58.3,60.25,60.25,841930.0
4870,2019-06-10,60.5,60.95,58.2,59.45,59.45,1057914.0
4869,2019-06-07,61.5,61.6,60.15,60.55,60.55,764247.0
4868,2019-06-06,63.0,63.35,61.2,61.7,61.7,1597952.0
4867,2019-06-04,63.3,63.55,62.6,63.0,63.0,923174.0
4866,2019-06-03,64.0,64.8,63.15,63.3,63.3,1290636.0
4865,2019-05-31,63.25,63.75,62.4,63.3,63.3,1677043.0
4864,2019-05-30,63.5,63.5,62.2,62.4,62.4,1191900.0
4863,2019-05-29,65.05,65.15,63.0,63.35,62.35,1099196.0
4862,2019-05-28,62.6,65.7,62.6,64.7,63.6787,2314721.0
4861,2019-05-27,62.9,63.3,61.9,62.65,61.661,2397471.0
4860,2019-05-24,64.25,64.25,62.3,62.95,61.9563,3177413.0
4859,2019-05-23,63.0,63.75,61.8,62.7,61.7103,2233129.0
4858,2019-05-22,61.95,62.75,60.85,62.0,61.0213,4062002.0
4857,2019-05-21,63.15,63.55,60.25,61.7,60.726,1834868.0
4856,2019-05-20,63.25,65.0,62.4,62.95,61.9563,2682346.0
4855,2019-05-17,62.8,64.5,62.0,62.25,61.2674,507843.0
4854,2019-05-16,63.4,63.9,62.0,62.5,61.5134,1497366.0
4853,2019-05-15,63.1,63.6,62.5,63.1,62.1039,1387931.0
4852,2019-05-14,62.8,64.25,61.55,63.3,62.3008,3054832.0
4851,2019-05-13,63.55,64.2,61.5,62.55,61.5626,1768843.0
4850,2019-05-10,64.4,65.0,63.5,63.8,62.7929,788097.0
4849,2019-05-09,67.0,67.05,62.7,64.7,63.6787,4115417.0
4848,2019-05-08,68.5,68.5,66.9,67.2,66.1392,575662.0
4847,2019-05-07,70.6,70.6,68.2,68.6,67.5171,571040.0
4846,2019-05-06,70.3,71.15,69.6,70.3,69.1903,667310.0
4845,2019-05-03,70.95,71.65,70.35,70.65,69.5348,813789.0
4844,2019-05-02,72.0,72.5,70.35,71.0,69.8792,982752.0
4843,2019-04-30,70.4,72.9,70.1,71.85,70.7158,1393007.0
4842,2019-04-26,70.3,72.3,70.3,70.65,69.5348,1115166.0
4841,2019-04-25,70.7,71.7,70.4,70.65,69.5348,586839.0
4840,2019-04-24,70.5,71.65,69.75,70.8,69.6824,914697.0
4839,2019-04-23,69.9,71.0,69.25,70.6,69.4856,824737.0
4838,2019-04-22,70.45,70.45,68.1,69.6,68.5013,1182779.0
4837,2019-04-18,71.95,71.95,70.05,70.45,69.3379,1325537.0
4836,2019-04-16,71.0,72.3,70.95,71.6,70.4698,574963.0
4835,2019-04-15,71.4,72.0,70.65,70.95,69.83,457776.0
4834,2019-04-12,70.3,71.8,70.3,71.2,70.0761,446368.0
4833,2019-04-11,70.65,72.0,70.15,70.6,69.4856,920850.0
4832,2019-04-10,69.4,70.9,69.4,70.55,69.4363,730492.0
4831,2019-04-09,70.05,71.25,69.4,70.0,68.895,930903.0
4830,2019-04-08,71.5,72.0,70.5,70.85,69.7316,449753.0
4829,2019-04-05,70.55,72.35,70.1,71.8,70.6666,662991.0
4828,2019-04-04,72.5,72.5,69.25,70.55,69.4363,1175879.0
4827,2019-04-03,74.25,74.25,72.1,72.55,71.4048,760371.0
4826,2019-04-02,74.35,74.35,72.85,73.85,72.6843,642710.0
4825,2019-04-01,74.5,75.2,73.95,74.25,73.0779,482542.0
4824,2019-03-28,74.15,74.9,74.0,74.3,73.1272,862385.0
4823,2019-03-27,74.15,75.25,73.65,74.05,72.8811,1133077.0
4822,2019-03-26,73.7,75.35,73.65,74.5,73.324,1011732.0
4821,2019-03-25,72.2,75.2,72.2,73.7,72.5366,1684125.0
4820,2019-03-22,74.1,74.5,72.4,73.55,72.389,814143.0
4819,2019-03-20,74.55,74.55,73.1,73.6,72.4382,739358.0
4818,2019-03-19,73.5,76.2,73.0,74.6,73.4224,1585547.0
4817,2019-03-18,74.2,74.9,72.05,73.1,71.9461,1072666.0
4816,2019-03-15,73.85,74.1,72.2,73.45,72.2906,810377.0
4815,2019-03-14,73.25,73.9,72.7,73.6,72.4382,710661.0
4814,2019-03-13,73.5,74.2,72.2,73.25,72.0937,942314.0
4813,2019-03-12,72.05,73.9,72.05,73.1,71.9461,2518617.0
4812,2019-03-11,68.5,72.4,68.5,72.05,70.9127,1641283.0
4811,2019-03-08,70.5,70.7,68.0,68.55,67.4679,666414.0
4810,2019-03-07,71.5,71.85,70.3,70.8,69.6824,606624.0
4809,2019-03-06,71.45,72.15,70.05,71.05,69.9285,1107848.0
4808,2019-03-05,67.5,70.75,67.4,70.2,69.0919,1275937.0
4807,2019-03-01,65.15,68.0,65.1,67.4,66.3361,1242440.0
4806,2019-02-28,64.3,65.5,63.75,65.15,64.1216,916327.0
4805,2019-02-27,65.5,65.75,63.65,64.2,63.1866,1178844.0
