,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,542.0,542.0,527.75,532.95,532.95,161144.0
4873,2019-06-13,545.0,545.0,534.1,538.6,538.6,83131.0
4872,2019-06-12,542.65,548.3,535.0,545.6,545.6,93673.0
4871,2019-06-11,545.0,545.55,538.05,543.0,543.0,130022.0
4870,2019-06-10,545.0,548.0,538.4,547.3,547.3,155321.0
4869,2019-06-07,535.8,546.5,533.0,544.15,544.15,148671.0
4868,2019-06-06,547.0,555.0,530.1,540.2,540.2,461212.0
4867,2019-06-04,531.25,549.4,523.0,542.5,541.25,254338.0
4866,2019-06-03,531.2,538.0,527.0,535.4,534.1664,106421.0
4865,2019-05-31,520.9,535.0,514.9,531.3,530.0758,224087.0
4864,2019-05-30,524.45,525.2,510.65,516.7,515.5095,333918.0
4863,2019-05-29,530.75,537.5,522.0,526.2,524.9875,255417.0
4862,2019-05-28,480.0,533.0,480.0,529.9,528.6791,1464661.0
4861,2019-05-27,510.7,530.0,510.7,524.95,523.7405,215853.0
4860,2019-05-24,512.0,516.0,507.7,510.2,509.0244,153699.0
4859,2019-05-23,521.4,523.9,510.0,511.55,510.3713,102088.0
4858,2019-05-22,522.8,524.0,518.05,520.5,519.3007,106038.0
4857,2019-05-21,529.85,529.85,518.4,521.1,519.8993,130308.0
4856,2019-05-20,528.05,537.0,521.2,525.35,524.1395,103486.0
4855,2019-05-17,525.8,525.8,518.0,521.0,519.7996,121447.0
4854,2019-05-16,533.4,533.4,522.15,523.9,522.6929,75301.0
4853,2019-05-15,535.9,537.75,526.0,529.1,527.8809,65269.0
4852,2019-05-14,536.8,545.8,529.0,533.25,532.0213,386097.0
4851,2019-05-13,542.0,544.25,528.55,540.1,538.8555,258711.0
4850,2019-05-10,546.9,546.9,536.0,541.95,540.7013,165707.0
4849,2019-05-09,538.3,549.0,531.35,547.4,546.1387,157331.0
4848,2019-05-08,538.5,542.85,528.6,538.1,536.8601,132018.0
4847,2019-05-07,538.0,539.9,527.0,534.65,533.4181,158251.0
4846,2019-05-06,536.0,538.0,527.1,533.3,532.0712,126752.0
4845,2019-05-03,539.7,542.65,531.2,534.0,532.7696,211492.0
4844,2019-05-02,547.45,553.75,533.0,538.35,537.1096,312792.0
4843,2019-04-30,533.4,549.7,520.2,545.3,544.0435,235533.0
4842,2019-04-26,536.75,541.8,528.0,530.4,529.1779,195400.0
4841,2019-04-25,543.0,543.7,531.0,532.75,531.5225,131032.0
4840,2019-04-24,539.9,548.65,536.15,539.95,538.7059,288275.0
4839,2019-04-23,539.4,543.4,535.0,537.35,536.1119,181089.0
4838,2019-04-22,543.8,543.9,526.8,533.65,532.4204,397498.0
4837,2019-04-18,558.3,560.95,536.95,539.05,537.8079,661937.0
4836,2019-04-16,566.5,566.5,558.1,561.3,560.0067,132868.0
4835,2019-04-15,568.0,568.0,562.0,564.6,563.2991,105312.0
4834,2019-04-12,567.8,568.5,562.5,565.5,564.197,78990.0
4833,2019-04-11,567.95,568.65,561.65,565.85,564.5462,195521.0
4832,2019-04-10,568.9,569.4,558.0,565.05,563.748,246932.0
4831,2019-04-09,569.85,569.9,563.15,565.1,563.7979,77665.0
4830,2019-04-08,565.0,570.0,562.7,566.65,565.3444,114692.0
4829,2019-04-05,557.4,564.0,557.4,561.25,559.9568,99021.0
4828,2019-04-04,563.0,564.8,551.0,554.75,553.4718,142843.0
4827,2019-04-03,568.0,570.2,559.0,561.7,560.4058,163461.0
4826,2019-04-02,565.2,570.75,564.1,568.45,567.1402,168513.0
