,Date,Open,High,Low,Close,Adj Close,Volume
3100,2019-06-14,2191.0,2224.8,2167.0,2190.7,2190.7,187548.0
3099,2019-06-13,2207.1499,2249.75,2159.05,2189.55,2189.55,156710.0
3098,2019-06-12,2273.0,2273.0,2202.3501,2212.0,2212.0,125754.0
3097,2019-06-11,2283.0,2325.0,2250.3999,2265.8,2265.8,149581.0
3096,2019-06-10,2349.8,2350.0,2264.0,2278.45,2278.45,183793.0
3095,2019-06-07,2310.8999,2345.95,2300.0,2315.2,2315.2,217085.0
3094,2019-06-06,2242.0,2395.8999,2232.0,2304.8999,2304.8999,719108.0
3093,2019-06-04,2280.0,2299.0,2201.0,2253.3999,2253.3999,445102.0
3092,2019-06-03,2056.0,2443.8999,2020.0,2310.75,2310.75,833745.0
3091,2019-05-31,2145.0,2286.8501,2035.0,2053.3,2053.3,617142.0
3090,2019-05-30,2045.0,2189.95,2014.0,2162.45,2162.45,484242.0
3089,2019-05-29,2009.0,2065.0,1945.0,2049.8999,2049.8999,465188.0
3088,2019-05-28,1922.25,2001.35,1895.0,1972.25,1972.25,276515.0
3087,2019-05-27,1960.05,1974.7,1895.3,1929.95,1929.95,231080.0
3086,2019-05-24,1927.95,1989.8,1893.55,1967.15,1967.15,158096.0
3085,2019-05-23,1945.0,1949.9,1884.0,1903.5,1903.5,283380.0
3084,2019-05-22,1875.5,1940.0,1850.0,1923.8,1923.8,212768.0
3083,2019-05-21,1849.0,1908.0,1845.0,1875.5,1875.5,250076.0
3082,2019-05-20,1825.0,1860.0,1802.0,1827.2,1827.2,246188.0
3081,2019-05-17,1896.1,1919.95,1804.0,1812.95,1812.95,307597.0
3080,2019-05-16,1917.2,1921.45,1887.0,1894.35,1894.35,105373.0
3079,2019-05-15,1914.9,1918.0,1896.05,1904.85,1904.85,79372.0
3078,2019-05-14,1920.0,1920.0,1878.25,1898.25,1898.25,112227.0
3077,2019-05-13,1935.4,1938.1,1911.55,1920.55,1920.55,214786.0
3076,2019-05-10,1923.7,1984.0,1914.0,1942.85,1942.85,336107.0
3075,2019-05-09,1951.3,1951.55,1889.0,1909.1,1909.1,281334.0
3074,2019-05-08,1959.5,1985.0,1945.0,1952.65,1952.65,47629.0
3073,2019-05-07,1985.0,1996.7,1955.0,1961.0,1961.0,30009.0
3072,2019-05-06,1984.0,1998.2,1961.05,1984.9,1984.9,123312.0
3071,2019-05-03,1965.8,1998.7,1954.1,1987.2,1987.2,120881.0
3070,2019-05-02,1935.0,1979.75,1920.1,1953.65,1953.65,192745.0
3069,2019-04-30,1908.9,1978.0,1865.05,1933.25,1933.25,192278.0
3068,2019-04-26,1979.0,2000.0,1880.0,1904.5,1904.5,275291.0
3067,2019-04-25,2002.0,2010.0,1951.55,1972.65,1972.65,106468.0
3066,2019-04-24,1941.0,2056.6001,1915.1,2013.9,2013.9,164560.0
3065,2019-04-23,1900.0,1945.0,1857.75,1932.15,1932.15,117877.0
3064,2019-04-22,1914.8,1934.0,1882.0,1895.75,1895.75,64409.0
3063,2019-04-18,1940.0,1948.15,1894.05,1905.45,1905.45,113174.0
3062,2019-04-16,1948.0,1956.2,1915.0,1938.65,1938.65,206981.0
3061,2019-04-15,1914.95,1943.9,1905.0,1937.45,1937.45,170455.0
3060,2019-04-12,1910.0,1930.95,1891.2,1899.5,1899.5,117554.0
3059,2019-04-11,1920.2,1926.5,1893.55,1906.85,1906.85,98025.0
3058,2019-04-10,1895.9,1937.65,1865.85,1914.55,1914.55,241905.0
3057,2019-04-09,1859.6,1930.0,1832.0,1884.15,1884.15,315644.0
3056,2019-04-08,1830.0,1867.0,1777.0,1856.6,1856.6,424958.0
3055,2019-04-05,1858.0,1865.0,1815.05,1832.9,1832.9,43776.0
3054,2019-04-04,1862.75,1870.0,1810.0,1851.25,1851.25,199575.0
3053,2019-04-03,1817.5,1876.0,1817.5,1851.2,1851.2,553227.0
3052,2019-04-02,1849.95,1852.95,1801.0,1807.65,1807.65,119929.0
3051,2019-04-01,1842.95,1888.0,1808.0,1835.8,1835.8,141706.0
3050,2019-03-28,1892.9,1900.0,1864.25,1870.15,1870.15,144626.0
3049,2019-03-27,1894.65,1898.6,1850.05,1870.0,1870.0,183837.0
3048,2019-03-26,1916.0,1919.0,1872.55,1883.15,1883.15,236301.0
3047,2019-03-25,1904.0,1930.0,1880.0,1904.15,1904.15,566032.0
3046,2019-03-22,1882.05,1915.0,1882.0,1901.5,1901.5,155779.0
3045,2019-03-20,1897.05,1920.0,1873.05,1906.15,1906.15,278421.0
3044,2019-03-19,1848.9,1909.0,1843.15,1898.45,1898.45,345210.0
3043,2019-03-18,1864.9,1879.9,1822.4,1834.9,1834.9,247151.0
3042,2019-03-15,1885.3,1916.0,1845.0,1867.75,1867.75,369280.0
3041,2019-03-14,1901.0,1916.5,1853.3,1893.35,1893.35,132442.0
3040,2019-03-13,1860.0,1918.0,1840.05,1899.45,1899.45,446490.0
3039,2019-03-12,1799.4,1863.95,1785.05,1840.9,1840.9,824057.0
3038,2019-03-11,1793.7,1820.0,1783.0,1799.4,1799.4,212692.0
3037,2019-03-08,1713.5,1799.0,1700.0,1781.9,1781.9,265858.0
3036,2019-03-07,1748.0,1748.0,1689.6,1706.8,1706.8,131094.0
3035,2019-03-06,1771.75,1783.55,1720.0,1733.5,1733.5,656487.0
3034,2019-03-05,1830.0,1830.0,1750.0,1763.65,1763.65,110478.0
3033,2019-03-01,1777.05,1810.0,1777.05,1796.4,1796.4,139277.0
3032,2019-02-28,1805.0,1834.0,1776.0,1789.65,1789.65,257815.0
3031,2019-02-27,1740.0,1845.0,1701.9,1809.8,1809.8,443598.0
3030,2019-02-26,1648.15,1762.55,1626.05,1734.45,1734.45,285894.0
3029,2019-02-25,1660.0,1676.75,1637.0,1662.8,1662.8,52550.0
3028,2019-02-22,1700.0,1715.0,1620.85,1644.6,1644.6,158648.0
3027,2019-02-21,1715.0,1734.85,1661.1,1692.9,1692.9,212912.0
3026,2019-02-20,1628.95,1778.8,1612.15,1710.05,1710.05,255592.0
3025,2019-02-19,1667.55,1667.55,1593.05,1611.45,1611.45,54663.0
3024,2019-02-18,1695.8,1695.8,1629.2,1663.55,1663.55,83326.0
3023,2019-02-15,1677.6,1720.0,1661.0,1696.35,1696.35,93680.0
3022,2019-02-14,1652.85,1698.0,1635.25,1683.6,1683.6,59644.0
3021,2019-02-12,1703.95,1719.95,1604.3,1622.95,1622.95,178731.0
3020,2019-02-11,1760.0,1793.0,1682.7,1708.65,1708.65,417511.0
3019,2019-02-08,1758.6,1778.0,1748.1,1768.15,1768.15,63809.0
3018,2019-02-07,1743.0,1780.0,1739.95,1758.15,1758.15,259682.0
3017,2019-02-06,1749.9,1758.7,1728.05,1738.0,1736.5,83000.0
3016,2019-02-05,1730.2,1775.15,1702.95,1760.95,1759.4302,451354.0
3015,2019-02-04,1727.0,1749.9,1721.6,1727.75,1726.2588,324757.0
3014,2019-02-01,1750.0,1783.95,1710.05,1730.35,1728.8566,159969.0
3013,2019-01-31,1662.0,1758.0,1662.0,1747.35,1745.8419,227402.0
3012,2019-01-30,1699.85,1718.0,1661.0,1705.25,1703.7782,658955.0
3011,2019-01-29,1665.0,1750.0,1651.9,1689.3,1687.842,336334.0
3010,2019-01-28,1694.0,1701.6,1641.0,1673.6,1672.1555,250359.0
3009,2019-01-25,1720.15,1750.0,1670.55,1691.05,1689.5906,206606.0
3008,2019-01-24,1739.0,1790.0,1676.9,1715.6,1714.1193,614949.0
3007,2019-01-23,1633.0,1770.0,1633.0,1729.05,1727.5577,465772.0
3006,2019-01-22,1554.35,1649.0,1512.0,1632.15,1630.7413,271657.0
3005,2019-01-21,1601.0,1630.0,1507.0,1544.7,1543.3667,223229.0
3004,2019-01-18,1635.0,1660.0,1558.0,1579.4,1578.0369,212390.0
3003,2019-01-17,1687.7,1709.75,1615.55,1622.85,1621.4493,170950.0
3002,2019-01-16,1675.0,1736.3,1662.0,1677.35,1675.9023,292846.0
3001,2019-01-15,1655.0,1697.85,1632.05,1679.55,1678.1005,361595.0
3000,2019-01-14,1604.95,1653.65,1587.65,1640.3,1638.8844,297706.0
2999,2019-01-11,1599.0,1644.0,1583.0,1595.55,1594.173,192116.0
2998,2019-01-10,1634.9,1719.95,1573.15,1586.0,1584.6311,397172.0
2997,2019-01-09,1613.9,1648.0,1603.0,1628.7,1627.2943,114138.0
2996,2019-01-08,1632.1,1673.7,1594.45,1619.4,1618.0023,507004.0
2995,2019-01-07,1568.5,1638.0,1553.55,1622.0,1620.6001,542045.0
2994,2019-01-04,1487.0,1579.0,1482.35,1557.05,1555.7062,234395.0
2993,2019-01-03,1431.0,1503.0,1431.0,1490.35,1489.0637,280109.0
2992,2019-01-02,1444.0,1448.4,1395.95,1430.45,1429.2153,89499.0
2991,2019-01-01,1427.1,1457.45,1427.1,1439.0,1437.7581,76834.0
2990,2018-12-31,1469.45,1469.45,1432.1,1440.65,1439.4066,95188.0
2989,2018-12-28,1500.0,1506.95,1445.15,1454.25,1452.9949,114552.0
2988,2018-12-27,1519.95,1521.05,1475.25,1485.65,1484.3678,94754.0
2987,2018-12-26,1566.8,1566.8,1501.35,1516.8,1515.491,66909.0
2986,2018-12-24,1568.0,1586.0,1548.0,1557.5,1556.1558,37836.0
2985,2018-12-21,1576.0,1602.5,1555.6,1576.15,1574.7897,117209.0
2984,2018-12-20,1574.0,1586.75,1547.95,1563.8,1562.4503,134868.0
2983,2018-12-19,1570.0,1620.0,1540.2,1596.4,1595.0222,469425.0
2982,2018-12-18,1581.0,1677.0,1555.0,1569.9,1568.545,239990.0
2981,2018-12-17,1564.45,1620.0,1545.75,1593.0,1591.6251,374472.0
2980,2018-12-14,1538.0,1580.0,1529.55,1564.45,1563.0997,93436.0
2979,2018-12-13,1572.0,1580.95,1535.2,1555.9,1554.5571,135750.0
2978,2018-12-12,1555.0,1585.0,1524.0,1566.95,1565.5975,254862.0
2977,2018-12-11,1386.0,1586.4,1386.0,1549.15,1547.813,220434.0
2976,2018-12-10,1498.0,1498.0,1410.8,1429.6,1428.3661,65879.0
2975,2018-12-07,1560.0,1568.55,1500.25,1514.95,1513.6425,155435.0
2974,2018-12-06,1565.0,1612.0,1541.2,1551.9,1550.5607,88028.0
2973,2018-12-05,1629.0,1629.05,1549.95,1579.35,1577.9869,127512.0
2972,2018-12-04,1616.0,1687.9,1611.65,1629.15,1627.7439,426911.0
2971,2018-12-03,1557.9,1635.0,1554.55,1611.2,1609.8093,310499.0
2970,2018-11-30,1547.7,1585.0,1535.0,1545.6,1544.266,163640.0
2969,2018-11-29,1490.25,1565.5,1490.25,1548.65,1547.3135,130759.0
2968,2018-11-28,1488.75,1527.0,1483.0,1489.35,1488.0646,79900.0
