,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,96.55,97.0,94.2,96.25,96.25,178670.0
4223,2019-06-13,96.45,98.85,96.0,96.6,96.6,227480.0
4222,2019-06-12,96.05,98.4,96.0,96.2,96.2,191116.0
4221,2019-06-11,95.05,98.65,95.0,96.6,96.6,270118.0
4220,2019-06-10,92.7,95.5,91.9,94.9,94.9,182412.0
4219,2019-06-07,91.9,93.35,91.0,91.9,91.9,59708.0
4218,2019-06-06,92.0,94.75,90.55,92.05,92.05,135243.0
4217,2019-06-04,94.5,94.9,91.9,92.1,92.1,115714.0
4216,2019-06-03,94.8,95.65,93.85,94.6,94.6,102781.0
4215,2019-05-31,97.0,99.25,94.5,94.8,94.8,265797.0
4214,2019-05-30,105.0,105.0,96.3,97.1,97.1,668635.0
4213,2019-05-29,109.75,110.0,104.0,106.7,106.7,360297.0
4212,2019-05-28,107.8,110.0,106.8,109.75,109.75,407306.0
4211,2019-05-27,106.9,108.95,106.0,106.7,106.7,227809.0
4210,2019-05-24,103.6,107.45,102.55,106.15,106.15,148827.0
4209,2019-05-23,105.8,106.7,102.0,102.8,102.8,239575.0
4208,2019-05-22,93.4,106.4,93.25,104.7,104.7,1373271.0
4207,2019-05-21,98.5,98.5,92.65,93.7,93.7,108298.0
4206,2019-05-20,94.0,100.35,90.5,98.3,98.3,404886.0
4205,2019-05-17,90.5,92.75,89.0,91.35,91.35,85085.0
4204,2019-05-16,89.8,94.2,89.15,91.25,91.25,109901.0
4203,2019-05-15,88.4,89.4,87.65,88.65,88.65,61711.0
4202,2019-05-14,90.1,91.5,88.0,88.6,88.6,55201.0
4201,2019-05-13,89.3,91.5,89.15,90.75,90.75,49947.0
4200,2019-05-10,89.35,91.7,89.1,89.85,89.85,59645.0
4199,2019-05-09,92.45,94.9,89.35,90.0,90.0,182827.0
4198,2019-05-08,96.1,96.75,92.75,93.5,93.5,89575.0
4197,2019-05-07,97.9,98.5,96.5,96.95,96.95,34723.0
4196,2019-05-06,97.95,99.35,95.8,97.35,97.35,69605.0
4195,2019-05-03,100.65,101.75,98.5,98.8,98.8,69944.0
4194,2019-05-02,101.5,103.9,100.2,100.65,100.65,86775.0
4193,2019-04-30,102.1,102.85,100.95,101.9,101.9,94870.0
4192,2019-04-26,103.5,105.9,102.0,102.5,102.5,102318.0
4191,2019-04-25,104.4,105.35,102.8,103.55,103.55,54793.0
4190,2019-04-24,103.0,105.15,102.5,104.65,104.65,100320.0
4189,2019-04-23,103.05,106.3,102.25,103.1,103.1,83708.0
4188,2019-04-22,105.0,105.5,103.1,103.45,103.45,609210.0
4187,2019-04-18,108.25,109.0,105.0,105.65,105.65,54882.0
4186,2019-04-16,105.9,110.0,105.9,107.9,107.9,205044.0
4185,2019-04-15,103.8,110.3,103.0,105.6,105.6,355599.0
4184,2019-04-12,102.4,105.0,102.3,103.8,103.8,53179.0
4183,2019-04-11,102.0,103.3,102.0,102.5,102.5,44326.0
4182,2019-04-10,101.7,104.3,101.7,102.25,102.25,67416.0
4181,2019-04-09,103.5,103.6,102.35,102.75,102.75,47284.0
4180,2019-04-08,104.3,105.1,102.0,103.5,103.5,63396.0
4179,2019-04-05,103.8,104.75,103.6,104.1,104.1,43376.0
4178,2019-04-04,104.1,106.0,103.25,103.8,103.8,93540.0
4177,2019-04-03,107.0,107.75,103.6,104.9,104.9,75118.0
4176,2019-04-02,107.5,107.9,106.0,106.9,106.9,75344.0
4175,2019-04-01,105.9,110.45,105.65,107.15,107.15,289127.0
4174,2019-03-28,102.3,103.35,101.5,102.1,102.1,154762.0
4173,2019-03-27,102.45,103.8,101.05,102.0,102.0,174526.0
4172,2019-03-26,103.35,103.35,101.0,102.45,102.45,107275.0
4171,2019-03-25,102.1,104.9,101.7,102.55,102.55,88687.0
4170,2019-03-22,104.85,107.9,100.05,103.5,103.5,389158.0
4169,2019-03-20,106.9,109.0,99.6,104.5,104.5,509674.0
4168,2019-03-19,105.8,106.75,104.0,106.2,106.2,106575.0
4167,2019-03-18,102.25,105.4,102.25,104.8,104.8,76388.0
4166,2019-03-15,105.0,105.35,101.45,102.5,102.5,150642.0
4165,2019-03-14,105.25,106.45,103.5,104.3,104.3,117352.0
4164,2019-03-13,105.9,106.75,104.65,105.2,105.2,72570.0
4163,2019-03-12,105.9,109.5,104.7,105.45,105.45,171134.0
4162,2019-03-11,104.75,105.7,103.8,105.15,105.15,145361.0
4161,2019-03-08,108.1,109.5,100.9,103.9,103.9,198371.0
4160,2019-03-07,110.85,111.85,108.9,109.25,109.25,98144.0
4159,2019-03-06,109.55,112.35,107.6,110.4,110.4,227302.0
4158,2019-03-05,103.95,110.4,103.95,108.25,108.25,207186.0
4157,2019-03-01,101.9,105.3,101.9,103.65,103.65,87525.0
4156,2019-02-28,102.9,103.3,100.8,101.35,101.35,58997.0
4155,2019-02-27,101.6,103.8,101.1,103.1,103.1,99115.0
4154,2019-02-26,102.65,102.65,100.05,101.15,101.15,64691.0
4153,2019-02-25,103.5,105.0,101.25,102.65,102.65,87594.0
4152,2019-02-22,101.4,104.4,101.4,102.6,102.6,95294.0
4151,2019-02-21,102.2,104.4,101.2,101.85,101.85,121484.0
4150,2019-02-20,101.9,104.95,101.0,102.85,102.85,55139.0
4149,2019-02-19,99.7,102.0,99.0,101.55,101.55,66889.0
4148,2019-02-18,96.7,100.4,95.4,99.75,99.75,165717.0
4147,2019-02-15,96.35,97.9,95.5,96.5,96.5,80155.0
4146,2019-02-14,97.8,100.95,94.2,96.6,96.6,630661.0
4145,2019-02-12,103.5,104.0,99.3,100.05,100.05,275026.0
4144,2019-02-11,107.0,108.5,103.5,104.2,104.2,149502.0
4143,2019-02-08,113.0,113.0,107.0,108.05,108.05,277425.0
4142,2019-02-07,110.6,112.2,109.1,110.65,110.65,218185.0
4141,2019-02-06,108.35,111.0,106.65,109.9,109.9,108857.0
4140,2019-02-05,107.5,109.0,106.9,107.75,107.75,91046.0
4139,2019-02-04,107.55,109.55,106.1,106.9,106.9,77495.0
4138,2019-02-01,107.2,112.3,107.0,107.9,107.9,127978.0
4137,2019-01-31,107.6,108.35,106.0,106.4,106.4,689174.0
4136,2019-01-30,109.0,109.95,106.4,106.75,106.75,66388.0
4135,2019-01-29,108.75,109.55,107.8,108.85,108.85,628899.0
4134,2019-01-28,111.0,111.0,108.25,109.0,109.0,619013.0
4133,2019-01-25,111.5,112.2,110.2,111.0,111.0,154281.0
4132,2019-01-24,112.05,112.65,111.0,111.9,111.9,48336.0
4131,2019-01-23,111.15,112.7,111.1,112.0,112.0,48965.0
4130,2019-01-22,112.15,113.25,110.5,111.5,111.5,93412.0
4129,2019-01-21,111.05,113.1,110.3,112.35,112.35,76051.0
4128,2019-01-18,112.65,112.65,110.3,110.85,110.85,69343.0
4127,2019-01-17,112.4,113.0,111.0,111.25,111.25,82869.0
4126,2019-01-16,114.25,114.85,111.0,111.95,111.95,141361.0
4125,2019-01-15,114.8,115.5,113.4,113.6,113.6,134773.0
4124,2019-01-14,114.95,115.9,114.3,115.0,115.0,79533.0
4123,2019-01-11,115.4,116.25,113.25,114.85,114.85,157470.0
4122,2019-01-10,116.35,116.75,114.5,114.9,114.9,143351.0
4121,2019-01-09,118.0,118.3,115.75,115.95,115.95,81084.0
4120,2019-01-08,118.0,118.05,117.4,117.65,117.65,66220.0
4119,2019-01-07,118.9,119.5,117.65,117.9,117.9,77015.0
4118,2019-01-04,119.8,119.8,117.1,117.85,117.85,87851.0
4117,2019-01-03,120.0,120.3,118.0,119.2,119.2,42584.0
4116,2019-01-02,119.4,120.45,119.2,120.0,120.0,64748.0
4115,2019-01-01,120.2,121.4,118.7,119.8,119.8,77269.0
4114,2018-12-31,118.95,121.9,118.55,120.7,120.7,80013.0
4113,2018-12-28,118.4,119.8,117.0,118.45,118.45,89668.0
4112,2018-12-27,118.9,119.5,117.35,117.8,117.8,73618.0
4111,2018-12-26,118.1,119.75,117.6,118.1,118.1,69286.0
4110,2018-12-24,118.9,120.7,118.05,119.2,119.2,66993.0
4109,2018-12-21,120.6,121.55,118.1,120.6,120.6,105762.0
4108,2018-12-20,119.5,121.55,119.0,120.45,120.45,74153.0
4107,2018-12-19,121.9,122.65,120.25,120.9,120.9,78690.0
4106,2018-12-18,119.45,122.5,118.3,122.0,122.0,93289.0
4105,2018-12-17,121.05,121.75,118.1,119.15,119.15,152554.0
4104,2018-12-14,119.85,121.95,119.1,120.65,120.65,105494.0
4103,2018-12-13,120.0,120.7,118.35,119.85,119.85,183872.0
4102,2018-12-12,117.4,119.85,117.35,119.25,119.25,88432.0
4101,2018-12-11,115.4,118.8,114.0,117.1,117.1,77259.0
4100,2018-12-10,114.0,118.2,113.25,116.25,116.25,63373.0
4099,2018-12-07,116.35,117.15,115.0,115.65,115.65,79250.0
4098,2018-12-06,116.9,118.9,114.15,115.9,115.9,153046.0
4097,2018-12-05,117.3,118.45,117.0,117.55,117.55,96279.0
