,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,1199.0,1205.65,1198.8,1200.15,1200.15,4575.0
4873,2019-06-13,1205.6,1210.0,1190.0,1199.0,1199.0,9158.0
4872,2019-06-12,1205.0,1218.0,1199.9,1205.6,1205.6,7328.0
4871,2019-06-11,1217.0,1219.0,1205.0,1208.15,1208.15,5102.0
4870,2019-06-10,1217.3,1222.75,1191.95,1202.55,1202.55,11853.0
4869,2019-06-07,1231.0,1243.35,1200.0,1207.1,1207.1,10555.0
4868,2019-06-06,1256.8,1256.8,1226.95,1230.85,1230.85,7157.0
4867,2019-06-04,1267.0,1276.75,1241.0,1247.4,1247.4,12392.0
4866,2019-06-03,1233.1,1283.95,1233.1,1267.3,1267.3,65973.0
4865,2019-05-31,1231.3,1245.0,1210.0,1216.5,1216.5,9101.0
4864,2019-05-30,1247.0,1247.0,1221.1,1230.45,1230.45,13011.0
4863,2019-05-29,1298.05,1298.05,1223.0,1230.95,1230.95,13894.0
4862,2019-05-28,1282.95,1309.0,1255.0,1280.4,1280.4,29143.0
4861,2019-05-27,1225.0,1280.0,1215.15,1270.6,1270.6,20116.0
4860,2019-05-24,1183.95,1234.8,1173.65,1222.0,1222.0,132734.0
4859,2019-05-23,1175.0,1190.0,1164.35,1175.35,1175.35,14870.0
4858,2019-05-22,1152.0,1170.0,1123.8,1162.1,1162.1,19262.0
4857,2019-05-21,1154.0,1156.0,1128.0,1139.75,1139.75,11666.0
4856,2019-05-20,1124.0,1166.5,1096.0,1142.3,1142.3,21444.0
4855,2019-05-17,1100.0,1106.0,1085.0,1090.4,1090.4,13753.0
4854,2019-05-16,1130.0,1136.65,1089.05,1099.45,1099.45,17358.0
4853,2019-05-15,1188.1,1198.0,1120.1,1124.6,1124.6,19565.0
4852,2019-05-14,1207.7,1207.7,1180.0,1186.45,1186.45,8480.0
4851,2019-05-13,1245.0,1246.35,1183.7,1192.65,1192.65,15335.0
4850,2019-05-10,1251.0,1313.55,1224.0,1253.8,1253.8,17476.0
4849,2019-05-09,1247.0,1255.65,1231.0,1248.05,1248.05,6229.0
4848,2019-05-08,1272.0,1272.0,1242.0,1245.1,1245.1,9091.0
4847,2019-05-07,1274.1,1291.95,1263.0,1268.45,1268.45,5936.0
4846,2019-05-06,1301.0,1301.0,1263.15,1274.05,1274.05,11049.0
4845,2019-05-03,1339.9,1339.9,1298.05,1301.4,1301.4,6841.0
4844,2019-05-02,1326.9,1335.0,1306.0,1324.55,1324.55,4666.0
4843,2019-04-30,1358.15,1361.25,1321.4,1326.95,1326.95,5363.0
4842,2019-04-26,1366.75,1369.9,1350.4,1357.95,1357.95,4270.0
4841,2019-04-25,1370.0,1384.9,1354.95,1366.75,1366.75,6548.0
4840,2019-04-24,1397.0,1397.0,1360.0,1368.7,1368.7,6282.0
4839,2019-04-23,1375.0,1390.0,1369.55,1378.05,1378.05,2715.0
4838,2019-04-22,1390.6,1399.6,1380.5,1382.8,1382.8,3746.0
4837,2019-04-18,1428.05,1432.9,1380.1,1388.6,1388.6,9020.0
4836,2019-04-16,1434.3,1435.0,1419.05,1428.05,1428.05,7954.0
4835,2019-04-15,1417.0,1439.9,1410.0,1434.3,1434.3,14355.0
4834,2019-04-12,1369.0,1419.0,1369.0,1407.6,1407.6,19317.0
4833,2019-04-11,1390.0,1397.25,1351.25,1369.25,1369.25,19418.0
4832,2019-04-10,1400.3,1405.0,1382.0,1385.65,1385.65,5110.0
4831,2019-04-09,1408.0,1408.0,1389.1,1402.95,1402.95,11490.0
4830,2019-04-08,1403.85,1410.0,1385.0,1405.55,1405.55,7591.0
4829,2019-04-05,1406.3,1440.0,1390.0,1399.7,1399.7,12512.0
4828,2019-04-04,1415.0,1415.0,1384.95,1402.6,1402.6,10536.0
4827,2019-04-03,1427.8,1434.7,1400.0,1415.5,1415.5,8310.0
