,Date,Open,High,Low,Close,Adj Close,Volume
2780,2019-06-14,105.95,109.1,105.9,107.1,107.1,4862356.0
2779,2019-06-13,105.5,106.4,100.15,105.8,105.8,11544654.0
2778,2019-06-12,107.95,109.0,106.25,107.5,107.5,6105543.0
2777,2019-06-11,104.5,108.0,103.9,107.4,107.4,5334446.0
2776,2019-06-10,105.0,105.8,103.05,104.25,104.25,2430534.0
2775,2019-06-07,103.1,104.95,102.8,104.55,104.55,2369514.0
2774,2019-06-06,103.6,105.25,102.55,103.7,103.7,3592296.0
2773,2019-06-04,103.85,105.3,102.85,103.6,103.6,4479899.0
2772,2019-06-03,100.55,104.1,100.3,103.8,103.8,5188972.0
2771,2019-05-31,103.3,103.45,99.7,101.3,101.3,5193951.0
2770,2019-05-30,102.35,103.35,101.5,102.95,102.95,5157851.0
2769,2019-05-29,104.0,106.5,101.6,102.65,102.65,21894814.0
2768,2019-05-28,103.05,103.6,100.6,102.1,102.1,6317864.0
2767,2019-05-27,98.1,102.85,98.1,102.15,102.15,4751606.0
2766,2019-05-24,96.75,98.4,94.75,97.8,97.8,3594859.0
2765,2019-05-23,96.5,98.95,94.95,96.25,96.25,8458646.0
2764,2019-05-22,93.05,95.5,93.05,94.65,94.65,5017315.0
2763,2019-05-21,97.2,97.2,92.8,93.05,93.05,3495182.0
2762,2019-05-20,93.5,97.2,92.8,96.05,96.05,3697194.0
2761,2019-05-17,90.45,91.65,90.3,90.5,90.5,3571923.0
2760,2019-05-16,90.5,92.0,90.0,90.4,90.4,3531467.0
2759,2019-05-15,92.55,93.15,90.0,90.3,90.3,2842214.0
2758,2019-05-14,93.55,94.35,92.0,92.2,92.2,2819983.0
2757,2019-05-13,93.8,95.25,93.35,93.85,93.85,2689685.0
2756,2019-05-10,95.3,95.9,92.85,93.55,93.55,3501265.0
2755,2019-05-09,95.85,96.7,94.55,94.8,94.8,2210684.0
2754,2019-05-08,96.15,97.45,95.4,95.85,95.85,2087420.0
2753,2019-05-07,96.4,99.15,96.3,96.65,96.65,3724829.0
2752,2019-05-06,98.0,99.3,96.0,96.45,96.45,2907826.0
2751,2019-05-03,101.0,102.25,99.85,100.1,100.1,4208147.0
2750,2019-05-02,100.15,101.8,99.95,101.15,101.15,2504584.0
2749,2019-04-30,100.0,101.45,99.05,100.45,100.45,5417177.0
2748,2019-04-26,100.6,102.95,99.4,99.75,99.75,3573802.0
2747,2019-04-25,102.5,102.95,100.25,100.55,100.55,2213559.0
2746,2019-04-24,103.1,103.35,102.1,102.35,102.35,2808232.0
2745,2019-04-23,102.25,103.8,102.1,102.95,102.95,2344964.0
2744,2019-04-22,104.6,104.7,102.0,102.2,102.2,1595501.0
2743,2019-04-18,104.1,105.15,102.9,104.7,104.7,3779792.0
2742,2019-04-16,104.95,105.55,103.8,104.0,104.0,3442455.0
2741,2019-04-15,105.0,105.9,104.2,104.6,104.6,2583724.0
2740,2019-04-12,103.6,105.2,103.3,104.1,104.1,2537498.0
2739,2019-04-11,104.0,104.6,103.15,103.7,103.7,3189663.0
2738,2019-04-10,104.25,105.8,104.0,104.3,104.3,2580045.0
2737,2019-04-09,105.6,105.9,103.85,104.4,104.4,3354593.0
2736,2019-04-08,106.7,107.5,104.8,105.8,105.8,3368352.0
2735,2019-04-05,105.45,106.8,104.9,105.3,105.3,3631775.0
2734,2019-04-04,104.85,106.2,104.25,105.0,105.0,2508280.0
2733,2019-04-03,105.5,106.7,104.1,104.55,104.55,3860828.0
2732,2019-04-02,105.5,108.45,104.3,104.85,104.85,5969724.0
2731,2019-04-01,106.0,107.9,104.9,105.35,105.35,3312780.0
2730,2019-03-28,101.5,104.0,100.6,101.15,101.15,7390535.0
2729,2019-03-27,105.9,105.9,101.25,101.65,101.65,6039163.0
2728,2019-03-26,105.0,106.3,103.3,104.6,104.6,6340030.0
2727,2019-03-25,105.85,105.85,103.3,104.8,104.8,4702779.0
2726,2019-03-22,106.75,109.6,103.0,106.95,106.95,7658004.0
2725,2019-03-20,118.35,118.4,113.05,113.65,108.13,9553277.0
2724,2019-03-19,115.65,118.0,115.15,117.8,112.0784,3865882.0
2723,2019-03-18,115.0,116.65,114.6,115.65,110.0329,4146252.0
2722,2019-03-15,115.45,115.45,113.85,114.6,109.0339,3868490.0
2721,2019-03-14,114.2,114.8,112.8,114.25,108.7009,4039919.0
2720,2019-03-13,113.95,115.0,112.8,113.85,108.3203,8004032.0
2719,2019-03-12,111.25,113.1,110.6,111.9,106.465,6487586.0
2718,2019-03-11,109.75,111.2,108.3,110.8,105.4184,3475577.0
