,Date,Open,High,Low,Close,Adj Close,Volume
3610,2019-06-14,134.95,135.5,132.4,132.75,132.75,4760897.0
3609,2019-06-13,134.5,135.85,133.3,134.9,134.9,5113469.0
3608,2019-06-12,135.0,135.7,133.3,134.4,134.4,3660802.0
3607,2019-06-11,135.4,136.65,133.75,135.3,135.3,4554162.0
3606,2019-06-10,135.2,137.1,134.35,135.0,135.0,7295669.0
3605,2019-06-07,137.0,137.5,134.5,135.15,135.15,9310029.0
3604,2019-06-06,135.15,137.0,132.8,136.55,136.55,12191883.0
3603,2019-06-04,133.15,136.35,133.15,135.05,135.05,10439893.0
3602,2019-06-03,134.4,134.8,132.7,133.1,133.1,7302092.0
3601,2019-05-31,135.25,136.05,132.3,133.25,133.25,11325445.0
3600,2019-05-30,131.05,135.6,131.05,135.1,135.1,30257040.0
3599,2019-05-29,132.0,133.25,130.2,130.9,130.9,5397986.0
3598,2019-05-28,133.95,134.75,131.7,132.6,132.6,15628186.0
3597,2019-05-27,132.4,136.6,130.15,133.2,133.2,19948676.0
3596,2019-05-24,130.5,131.0,128.55,129.15,129.15,9371443.0
3595,2019-05-23,130.6,133.45,129.35,129.85,129.85,11017547.0
3594,2019-05-22,128.6,130.45,127.4,129.6,129.6,9540723.0
3593,2019-05-21,129.7,129.75,127.75,128.6,128.6,8095621.0
3592,2019-05-20,128.2,130.1,125.6,129.25,129.25,12330905.0
3591,2019-05-17,124.75,126.6,124.0,125.5,125.5,10003051.0
3590,2019-05-16,124.85,126.35,123.25,125.75,125.75,6519422.0
3589,2019-05-15,126.3,126.9,123.0,123.95,123.95,9384447.0
3588,2019-05-14,123.7,126.5,122.4,125.6,125.6,6908544.0
3587,2019-05-13,126.9,127.0,123.0,123.55,123.55,11507204.0
3586,2019-05-10,128.45,128.75,126.25,127.0,127.0,9724014.0
3585,2019-05-09,130.75,130.8,126.4,127.7,127.7,14395488.0
3584,2019-05-08,133.85,134.0,130.2,130.8,130.8,8742473.0
3583,2019-05-07,135.45,136.2,133.6,134.1,134.1,9137398.0
3582,2019-05-06,135.0,135.6,133.7,135.0,135.0,6080575.0
3581,2019-05-03,133.1,136.65,133.0,135.45,135.45,9226969.0
3580,2019-05-02,133.3,133.9,132.1,133.1,133.1,6401386.0
3579,2019-04-30,134.25,134.8,131.45,134.05,134.05,7527996.0
3578,2019-04-26,133.45,135.1,133.35,134.1,134.1,4789673.0
3577,2019-04-25,134.0,135.35,132.3,132.9,132.9,29354749.0
3576,2019-04-24,133.65,134.45,132.3,133.95,133.95,9255095.0
3575,2019-04-23,136.0,136.1,133.25,133.65,133.65,8790522.0
3574,2019-04-22,135.1,136.4,134.35,136.0,136.0,5541225.0
3573,2019-04-18,137.5,137.85,135.05,135.35,135.35,6634192.0
3572,2019-04-16,137.4,138.15,136.5,137.55,137.55,7469500.0
3571,2019-04-15,136.25,138.3,135.4,136.75,136.75,11013801.0
3570,2019-04-12,136.0,136.5,135.2,135.95,135.95,7212573.0
3569,2019-04-11,134.95,136.4,134.4,135.95,135.95,8703097.0
3568,2019-04-10,136.25,137.0,134.3,134.6,134.6,9502300.0
3567,2019-04-09,135.5,136.45,135.05,135.9,135.9,7506763.0
3566,2019-04-08,134.9,136.8,134.55,135.55,135.55,13409083.0
3565,2019-04-05,135.55,136.45,134.4,134.8,134.8,7742848.0
3564,2019-04-04,134.8,136.8,134.45,135.65,135.65,12939086.0
3563,2019-04-03,135.95,137.5,134.0,134.8,134.8,12596804.0
3562,2019-04-02,136.05,136.7,134.0,135.15,135.15,14343829.0
3561,2019-04-01,136.4,137.5,133.55,135.1,135.1,26716877.0
3560,2019-03-28,137.5,139.35,135.1,135.75,135.75,41232946.0
3559,2019-03-27,140.9,140.9,136.2,137.0,137.0,20849776.0
3558,2019-03-26,136.0,142.0,136.0,140.8,140.8,23510777.0
3557,2019-03-25,133.85,137.5,133.75,135.35,135.35,31535535.0
3556,2019-03-22,131.0,136.2,129.7,134.65,134.65,53779933.0
3555,2019-03-20,135.8,136.0,128.1,129.25,129.25,28098992.0
3554,2019-03-19,133.95,137.3,130.4,134.9,134.9,25950621.0
3553,2019-03-18,131.542,134.0,129.792,132.292,132.292,19289406.0
3552,2019-03-15,128.833,132.708,127.208,131.708,131.708,20356744.0
3551,2019-03-14,124.083,129.083,123.417,128.042,128.042,14675396.0
3550,2019-03-13,125.833,125.875,120.833,123.5,123.5,20943115.0
3549,2019-03-12,125.667,130.292,125.167,126.042,126.042,23315045.0
3548,2019-03-11,127.5,133.583,124.583,126.167,126.167,30007645.0
3547,2019-03-08,122.917,129.0,121.125,126.833,126.833,34663172.0
3546,2019-03-07,124.25,125.5,121.25,121.833,121.833,8337421.0
3545,2019-03-06,123.083,124.583,122.583,124.125,124.125,10313296.0
3544,2019-03-05,119.167,123.5,119.167,122.5,122.5,12988303.0
3543,2019-03-01,118.083,119.792,118.042,119.167,119.167,6789074.0
3542,2019-02-28,116.833,118.917,115.25,117.708,117.708,50183582.0
3541,2019-02-27,116.083,119.125,115.125,115.625,115.625,18258775.0
3540,2019-02-26,114.333,117.667,113.583,117.125,117.125,15501730.0
3539,2019-02-25,116.333,117.5,113.542,116.958,116.958,27557788.0
3538,2019-02-22,113.958,116.875,112.5,116.417,116.417,11678731.0
3537,2019-02-21,114.833,115.417,112.917,113.708,113.708,4719134.0
3536,2019-02-20,111.833,115.75,110.25,114.333,114.333,14955330.0
3535,2019-02-19,114.25,114.917,110.375,111.417,111.417,9029095.0
3534,2019-02-18,113.167,117.0,112.458,114.542,114.542,13001166.0
3533,2019-02-15,110.0,114.5,110.0,113.542,113.542,25855830.0
3532,2019-02-14,109.167,111.083,106.75,109.375,109.375,37913966.0
3531,2019-02-12,108.375,111.625,108.333,111.042,111.042,14900754.0
3530,2019-02-11,109.958,111.083,107.167,108.625,108.625,13126865.0
3529,2019-02-08,112.833,114.5,109.625,110.042,110.042,5597162.0
3528,2019-02-07,114.167,115.0,112.583,113.292,113.292,5193514.0
3527,2019-02-06,113.167,114.792,112.5,114.25,114.25,12810810.0
3526,2019-02-05,114.167,115.333,113.5,115.042,111.462,8526400.0
3525,2019-02-04,116.75,117.0,113.958,114.375,110.8158,6716304.0
3524,2019-02-01,116.667,117.083,115.667,116.792,113.1575,7099405.0
3523,2019-01-31,117.083,117.667,115.833,116.417,112.7942,44034840.0
3522,2019-01-30,116.167,117.0,115.083,115.583,111.9862,13777793.0
3521,2019-01-29,115.5,116.167,114.5,115.417,111.8253,9728281.0
3520,2019-01-28,115.417,116.25,113.875,115.5,111.9057,7303346.0
3519,2019-01-25,117.083,118.25,115.042,115.25,111.6635,5463236.0
