,Date,Open,High,Low,Close,Adj Close,Volume
4225,2019-06-14,3290.0,3290.0,3225.6499,3232.95,3232.95,9892.0
4224,2019-06-13,3308.05,3313.8999,3243.8501,3267.25,3267.25,16570.0
4223,2019-06-12,3328.0,3328.0,3285.0,3313.55,3313.55,6369.0
4222,2019-06-11,3305.05,3328.0,3298.8,3307.2,3307.2,14260.0
4221,2019-06-10,3290.0,3320.0,3279.8999,3304.3501,3304.3501,19586.0
4220,2019-06-07,3350.0,3350.0,3275.0,3282.6001,3282.6001,37047.0
4219,2019-06-06,3386.0,3395.0,3330.05,3338.8999,3338.8999,21938.0
4218,2019-06-04,3415.5,3447.0,3365.55,3377.2,3377.2,19322.0
4217,2019-06-03,3440.0,3445.0,3393.0,3435.95,3435.95,23746.0
4216,2019-05-31,3429.95,3445.05,3405.5,3418.25,3418.25,22921.0
4215,2019-05-30,3402.25,3423.8999,3369.0,3403.3501,3403.3501,28723.0
4214,2019-05-29,3439.0,3450.0,3368.45,3394.8999,3394.8999,22410.0
4213,2019-05-28,3435.1001,3449.7,3402.7,3426.75,3426.75,15782.0
4212,2019-05-27,3404.0,3443.8999,3393.95,3406.55,3406.55,32669.0
4211,2019-05-24,3418.0,3431.55,3398.55,3418.45,3418.45,8323.0
4210,2019-05-23,3425.0,3429.75,3394.05,3407.1499,3407.1499,24210.0
4209,2019-05-22,3408.0,3433.3501,3395.0,3415.0,3415.0,19864.0
4208,2019-05-21,3434.5,3434.5,3364.1499,3403.0,3403.0,80725.0
4207,2019-05-20,3440.0,3474.0,3407.2,3426.8501,3426.8501,17291.0
4206,2019-05-17,3445.0,3466.95,3421.1001,3440.05,3440.05,18428.0
4205,2019-05-16,3418.0,3463.3999,3400.05,3441.45,3441.45,11906.0
4204,2019-05-15,3432.7,3475.0,3404.95,3417.25,3417.25,21100.0
4203,2019-05-14,3409.0,3448.8,3372.8,3433.05,3433.05,19494.0
4202,2019-05-13,3399.0,3423.45,3379.95,3409.3999,3409.3999,43531.0
4201,2019-05-10,3489.95,3500.0,3355.7,3393.1001,3393.1001,42418.0
