,Date,Open,High,Low,Close,Adj Close,Volume
3770,2019-06-14,236.1,237.55,234.25,235.2,235.2,1139889.0
3769,2019-06-13,239.3,239.3,234.55,237.2,237.2,1597161.0
3768,2019-06-12,243.7,243.7,238.75,239.35,239.35,1528927.0
3767,2019-06-11,239.0,244.2,235.95,243.9,243.9,2191297.0
3766,2019-06-10,238.8,240.9,237.05,238.5,238.5,1633239.0
3765,2019-06-07,236.5,240.15,234.3,238.05,238.05,1222877.0
3764,2019-06-06,243.75,246.45,235.65,236.75,236.75,4858719.0
3763,2019-06-04,247.35,249.2,244.65,246.75,246.75,1707772.0
3762,2019-06-03,249.0,249.8,244.75,245.5,245.5,2200920.0
3761,2019-05-31,243.4,248.4,243.0,247.05,247.05,2438902.0
3760,2019-05-30,245.0,247.45,240.75,242.55,242.55,2466507.0
3759,2019-05-29,243.7,245.35,242.75,243.5,243.5,1125244.0
3758,2019-05-28,246.7,250.75,240.7,243.45,243.45,5879554.0
3757,2019-05-27,242.4,246.2,242.05,245.0,245.0,2485867.0
3756,2019-05-24,239.0,245.7,238.55,242.1,242.1,3572658.0
3755,2019-05-23,238.1,242.9,236.75,238.3,238.3,2262093.0
3754,2019-05-22,238.2,239.3,234.35,237.0,237.0,2450134.0
3753,2019-05-21,237.0,241.45,235.6,240.3,240.3,2010752.0
3752,2019-05-20,237.55,243.6,234.4,236.0,236.0,4778129.0
3751,2019-05-17,224.4,237.8,223.35,236.65,236.65,5162008.0
3750,2019-05-16,227.1,233.95,219.2,224.15,224.15,9665483.0
3749,2019-05-15,233.0,237.85,232.1,233.35,233.35,2239314.0
3748,2019-05-14,231.6,236.05,229.6,233.65,233.65,1335587.0
3747,2019-05-13,235.95,237.35,231.65,233.3,233.3,964902.0
3746,2019-05-10,237.05,240.0,235.1,236.3,236.3,3758984.0
3745,2019-05-09,235.9,238.0,234.4,237.35,237.35,1281546.0
3744,2019-05-08,237.1,240.35,234.25,235.9,235.9,1846768.0
3743,2019-05-07,234.6,239.0,234.55,238.0,238.0,1742722.0
3742,2019-05-06,232.45,235.2,231.3,234.6,234.6,1055926.0
3741,2019-05-03,239.6,240.7,232.7,233.65,233.65,1304849.0
3740,2019-05-02,241.15,241.2,237.3,239.45,239.45,957422.0
3739,2019-04-30,238.0,242.3,237.75,241.15,241.15,3092342.0
3738,2019-04-26,236.7,240.0,235.9,239.75,239.75,778531.0
3737,2019-04-25,236.0,237.8,234.8,236.1,236.1,1514611.0
3736,2019-04-24,236.0,239.5,232.2,236.05,236.05,3014344.0
3735,2019-04-23,234.7,237.6,233.7,235.2,235.2,1335812.0
3734,2019-04-22,239.5,240.95,235.7,236.05,236.05,798060.0
3733,2019-04-18,239.1,242.85,238.85,239.9,239.9,2206043.0
3732,2019-04-16,238.5,241.55,238.5,240.6,240.6,1884993.0
3731,2019-04-15,239.7,240.4,237.0,237.55,237.55,846240.0
3730,2019-04-12,239.8,245.2,238.0,239.2,239.2,2838966.0
3729,2019-04-11,235.0,241.6,234.95,239.85,239.85,2003303.0
3728,2019-04-10,239.0,239.95,235.25,235.95,235.95,1881464.0
3727,2019-04-09,236.5,241.3,235.5,240.0,240.0,1793415.0
3726,2019-04-08,237.35,240.0,235.2,237.65,237.65,1539902.0
3725,2019-04-05,239.0,240.65,237.4,238.5,238.5,1499076.0
3724,2019-04-04,243.9,243.9,237.0,238.85,238.85,2403379.0
3723,2019-04-03,249.2,249.75,242.05,243.9,243.9,2046772.0
