,Date,Open,High,Low,Close,Adj Close,Volume
3037,2019-06-14,133.25,133.95,131.85,132.6,132.6,3406738.0
3036,2019-06-13,132.05,133.95,130.55,133.25,133.25,6037712.0
3035,2019-06-12,132.6,134.2,130.0,131.9,131.9,6339205.0
3034,2019-06-11,132.25,134.2,131.2,133.4,133.4,4667420.0
3033,2019-06-10,135.1,136.0,130.65,131.75,131.75,9475586.0
3032,2019-06-07,132.45,135.0,130.6,134.3,134.3,9443732.0
3031,2019-06-06,129.8,136.2,129.55,131.85,131.85,17687084.0
3030,2019-06-04,127.6,131.4,127.35,129.65,129.65,9846438.0
3029,2019-06-03,124.0,128.2,122.85,127.65,127.65,9341526.0
3028,2019-05-31,123.4,124.9,121.6,124.3,124.3,9433702.0
3027,2019-05-30,122.7,123.45,120.55,122.95,122.95,15136847.0
3026,2019-05-29,117.8,125.3,117.2,121.05,121.05,26149040.0
3025,2019-05-28,119.05,119.5,116.9,117.9,117.9,4525992.0
3024,2019-05-27,115.0,120.45,114.5,119.1,119.1,4131763.0
3023,2019-05-24,112.0,116.2,111.35,115.4,115.4,4552060.0
3022,2019-05-23,115.1,117.55,110.8,111.4,111.4,5689554.0
3021,2019-05-22,112.0,113.75,110.0,113.4,113.4,4480748.0
3020,2019-05-21,117.4,117.4,110.35,111.55,111.55,7289663.0
3019,2019-05-20,111.95,119.25,111.15,116.85,116.85,6115726.0
3018,2019-05-17,109.35,109.85,107.6,109.05,109.05,3173234.0
3017,2019-05-16,107.05,110.2,106.0,109.25,109.25,3961319.0
3016,2019-05-15,107.05,108.25,106.3,107.15,107.15,3256121.0
3015,2019-05-14,106.25,107.6,104.8,106.6,106.6,5545784.0
3014,2019-05-13,107.65,110.2,106.5,107.2,107.2,3138988.0
3013,2019-05-10,108.0,108.8,106.95,108.25,108.25,3179439.0
3012,2019-05-09,107.7,108.85,106.35,108.45,108.45,3429963.0
3011,2019-05-08,110.1,111.15,107.3,107.7,107.7,3830606.0
3010,2019-05-07,114.6,115.0,110.25,110.6,110.6,3047679.0
3009,2019-05-06,113.55,114.85,113.0,114.0,114.0,4156754.0
3008,2019-05-03,114.2,115.15,113.5,114.3,114.3,6014120.0
3007,2019-05-02,115.5,116.0,113.95,114.2,114.2,5435435.0
3006,2019-04-30,114.9,116.45,113.9,115.6,115.6,7320434.0
3005,2019-04-26,117.65,118.8,113.05,115.2,115.2,4325549.0
3004,2019-04-25,118.65,120.7,117.45,117.9,117.9,11542456.0
3003,2019-04-24,117.0,119.4,115.4,119.0,119.0,5157275.0
3002,2019-04-23,115.5,117.6,115.25,116.7,116.7,3399351.0
3001,2019-04-22,118.45,118.75,115.1,115.45,115.45,3719651.0
3000,2019-04-18,120.0,120.75,118.2,118.75,118.75,3852648.0
2999,2019-04-16,122.0,122.0,118.2,119.2,119.2,3415979.0
2998,2019-04-15,121.1,122.45,120.2,121.5,121.5,3989261.0
2997,2019-04-12,119.4,121.75,119.4,121.1,121.1,4669888.0
2996,2019-04-11,120.2,120.9,117.75,119.1,119.1,3331323.0
2995,2019-04-10,120.4,121.0,118.5,120.2,120.2,6193243.0
2994,2019-04-09,118.9,121.1,117.1,120.45,120.45,4944186.0
2993,2019-04-08,121.8,123.3,118.55,119.0,119.0,5749722.0
2992,2019-04-05,120.0,122.5,120.0,121.7,121.7,4862938.0
2991,2019-04-04,120.0,121.0,117.85,119.6,119.6,6069279.0
2990,2019-04-03,122.0,123.45,119.1,119.8,119.8,7064968.0
2989,2019-04-02,119.8,123.8,119.25,121.85,121.85,9925565.0
2988,2019-04-01,122.9,124.0,119.0,119.9,119.9,11325849.0
2987,2019-03-28,117.8,119.7,116.35,117.5,117.5,10370591.0
2986,2019-03-27,119.5,119.85,117.0,117.65,117.65,9817690.0
2985,2019-03-26,119.05,122.6,117.45,118.6,118.6,19446963.0
2984,2019-03-25,111.95,121.6,111.55,119.05,119.05,25882505.0
2983,2019-03-22,114.85,115.7,112.1,113.1,113.1,17045051.0
2982,2019-03-20,120.0,120.4,113.5,114.2,114.2,18440963.0
2981,2019-03-19,115.5,123.3,115.3,120.4,120.4,20958616.0
2980,2019-03-18,112.2,115.7,111.75,114.8,114.8,7358563.0
2979,2019-03-15,111.0,112.8,110.1,111.9,111.9,7501440.0
2978,2019-03-14,111.35,112.9,109.55,111.2,111.2,4858744.0
2977,2019-03-13,110.1,112.8,107.55,111.25,111.25,9150414.0
2976,2019-03-12,112.0,113.9,110.1,110.8,110.8,4314370.0
2975,2019-03-11,109.35,112.2,108.15,111.75,111.75,5158235.0
2974,2019-03-08,112.15,112.3,106.8,108.8,108.8,12403960.0
2973,2019-03-07,115.1,115.2,111.9,112.3,112.3,5317424.0
2972,2019-03-06,117.0,118.6,113.65,114.65,114.65,6359536.0
2971,2019-03-05,113.15,116.85,112.9,116.3,116.3,7973113.0
2970,2019-03-01,112.95,114.2,112.1,113.45,113.45,5956969.0
2969,2019-02-28,112.0,113.75,111.45,112.15,112.15,15497599.0
2968,2019-02-27,111.55,113.5,110.55,112.3,112.3,7505414.0
2967,2019-02-26,110.0,112.5,108.4,112.0,112.0,8625442.0
2966,2019-02-25,111.4,112.45,110.1,111.1,111.1,9408448.0
2965,2019-02-22,110.0,111.6,109.7,111.2,111.2,5388165.0
2964,2019-02-21,109.0,112.0,107.75,110.45,110.45,12576391.0
2963,2019-02-20,108.15,109.75,107.15,108.8,108.8,7847205.0
2962,2019-02-19,103.55,108.7,103.55,107.45,107.45,11266191.0
2961,2019-02-18,102.85,105.05,102.3,103.55,103.55,8197041.0
2960,2019-02-15,101.45,104.2,99.45,103.2,103.2,12628355.0
2959,2019-02-14,100.5,102.1,99.0,100.85,100.85,12404884.0
2958,2019-02-12,99.9,101.5,99.25,99.75,99.75,8039012.0
2957,2019-02-11,100.7,102.25,98.0,99.5,99.5,10251370.0
2956,2019-02-08,104.5,105.0,100.6,100.9,100.9,7388803.0
2955,2019-02-07,101.5,105.75,101.1,105.15,105.15,6833816.0
2954,2019-02-06,100.55,103.3,100.1,101.5,101.5,8176091.0
2953,2019-02-05,101.85,101.85,99.2,100.7,100.7,8295732.0
2952,2019-02-04,103.55,103.6,100.1,100.95,100.95,5446277.0
2951,2019-02-01,103.6,105.1,101.6,104.25,104.25,5088501.0
2950,2019-01-31,101.4,104.4,99.95,103.55,103.55,14186583.0
2949,2019-01-30,101.0,101.8,99.6,100.6,100.6,6197600.0
2948,2019-01-29,100.9,102.4,99.7,100.55,100.55,6698347.0
2947,2019-01-28,103.2,103.25,98.3,100.75,100.75,5655057.0
2946,2019-01-25,104.85,105.85,102.35,103.2,103.2,4554861.0
2945,2019-01-24,102.0,105.4,101.95,104.75,104.75,5386754.0
2944,2019-01-23,101.05,103.65,100.8,101.95,101.95,6581006.0
2943,2019-01-22,104.5,105.0,100.65,101.05,101.05,7860531.0
2942,2019-01-21,107.0,107.3,104.1,105.1,105.1,3045458.0
2941,2019-01-18,107.65,107.75,105.0,107.3,107.3,6625811.0
2940,2019-01-17,107.6,109.6,106.65,107.0,107.0,10302573.0
2939,2019-01-16,108.3,108.8,106.6,107.05,107.05,5624064.0
2938,2019-01-15,107.3,108.6,106.7,108.3,108.3,3666816.0
