,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1250.05,1250.9,1238.45,1244.0,1244.0,807663.0
4223,2019-06-13,1272.0,1272.0,1247.1,1250.9,1250.9,866196.0
4222,2019-06-12,1295.0,1295.05,1275.3,1279.85,1279.85,485348.0
4221,2019-06-11,1282.0,1304.8,1282.0,1288.65,1288.65,543616.0
4220,2019-06-10,1264.8,1291.8,1261.5,1283.45,1283.45,602858.0
4219,2019-06-07,1265.55,1266.4,1246.0,1255.7,1255.7,719114.0
4218,2019-06-06,1287.0,1287.0,1261.0,1270.2,1270.2,537351.0
4217,2019-06-04,1292.8,1293.05,1273.5,1279.5,1279.5,659730.0
4216,2019-06-03,1297.7,1304.2,1282.4,1295.7,1295.7,595015.0
4215,2019-05-31,1268.0,1301.4,1264.1,1289.65,1289.65,1080171.0
4214,2019-05-30,1269.8,1282.05,1260.0,1268.7,1268.7,660117.0
4213,2019-05-29,1264.45,1275.0,1250.05,1271.0,1271.0,516483.0
4212,2019-05-28,1234.0,1275.0,1224.6,1266.15,1266.15,1320148.0
4211,2019-05-27,1234.8,1241.85,1216.9,1229.0,1229.0,500765.0
4210,2019-05-24,1208.0,1250.0,1185.25,1237.6,1237.6,993693.0
4209,2019-05-23,1216.65,1230.0,1195.45,1199.6,1199.6,511235.0
4208,2019-05-22,1204.9,1215.95,1182.55,1211.6,1211.6,401367.0
4207,2019-05-21,1218.0,1218.0,1186.1,1199.85,1199.85,528609.0
4206,2019-05-20,1180.0,1230.0,1171.6,1217.0,1217.0,759417.0
4205,2019-05-17,1157.4,1174.8,1148.4,1162.2,1162.2,619197.0
4204,2019-05-16,1155.3,1169.7,1145.05,1153.85,1153.85,550396.0
4203,2019-05-15,1099.0,1178.7,1095.0,1164.55,1164.55,2844997.0
4202,2019-05-14,1150.0,1157.25,1131.3,1139.2,1139.2,537325.0
4201,2019-05-13,1167.2,1174.1,1150.05,1154.45,1154.45,214577.0
4200,2019-05-10,1160.0,1178.75,1153.0,1167.85,1167.85,303672.0
4199,2019-05-09,1167.0,1178.65,1154.45,1159.5,1159.5,307441.0
4198,2019-05-08,1178.3,1183.2,1157.7,1164.35,1164.35,422536.0
4197,2019-05-07,1189.35,1199.9,1174.0,1178.7,1178.7,345642.0
4196,2019-05-06,1200.0,1200.0,1178.0,1187.85,1187.85,612571.0
4195,2019-05-03,1238.45,1238.45,1193.55,1201.5,1201.5,624114.0
4194,2019-05-02,1229.0,1255.0,1225.2,1228.8,1228.8,1283973.0
4193,2019-04-30,1224.0,1243.0,1211.6,1234.55,1234.55,506068.0
4192,2019-04-26,1217.8,1229.85,1208.0,1221.4,1221.4,341399.0
4191,2019-04-25,1223.5,1238.3,1205.0,1208.1,1208.1,857055.0
4190,2019-04-24,1213.0,1227.5,1210.0,1221.95,1221.95,387858.0
4189,2019-04-23,1225.8,1230.0,1195.0,1206.85,1206.85,749531.0
4188,2019-04-22,1250.0,1251.95,1223.5,1229.95,1229.95,292709.0
