,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,93.1,93.35,91.0,92.3,92.3,827966.0
4223,2019-06-13,93.15,94.4,92.5,93.75,93.75,208265.0
4222,2019-06-12,94.0,94.3,93.0,93.85,93.85,82810.0
4221,2019-06-11,94.5,94.8,92.9,94.2,94.2,138002.0
4220,2019-06-10,93.75,94.7,92.25,93.3,93.3,204643.0
4219,2019-06-07,91.8,93.8,91.8,93.05,93.05,303047.0
4218,2019-06-06,97.2,97.2,91.2,91.8,91.8,354144.0
4217,2019-06-04,100.3,101.4,96.0,96.7,96.7,329559.0
4216,2019-06-03,97.0,100.35,95.55,99.35,99.35,312496.0
4215,2019-05-31,99.0,99.7,96.0,96.9,96.9,237908.0
4214,2019-05-30,97.2,101.25,96.4,98.6,98.6,425560.0
4213,2019-05-29,97.65,97.85,95.85,97.2,97.2,228807.0
4212,2019-05-28,100.4,101.3,96.6,97.2,97.2,300584.0
4211,2019-05-27,96.1,102.7,96.0,99.7,99.7,944043.0
4210,2019-05-24,94.8,99.0,92.0,95.75,95.75,961926.0
4209,2019-05-23,90.9,95.85,90.0,93.05,93.05,1062412.0
4208,2019-05-22,90.5,91.35,87.95,88.7,88.7,137590.0
4207,2019-05-21,92.1,93.15,89.4,89.95,89.95,129808.0
4206,2019-05-20,89.5,92.5,88.15,92.2,92.2,328469.0
4205,2019-05-17,87.2,88.1,85.2,87.4,87.4,98280.0
4204,2019-05-16,85.25,88.3,82.15,86.85,86.85,164879.0
4203,2019-05-15,85.5,87.25,84.15,84.45,84.45,60517.0
4202,2019-05-14,85.1,87.3,83.6,85.35,85.35,189455.0
4201,2019-05-13,86.95,87.25,84.25,85.85,85.85,117572.0
4200,2019-05-10,86.95,87.8,84.15,86.85,86.85,505681.0
4199,2019-05-09,85.0,87.15,85.0,86.05,86.05,151654.0
4198,2019-05-08,89.9,89.9,84.4,84.8,84.8,332870.0
4197,2019-05-07,91.85,94.55,88.9,89.9,89.9,207288.0
4196,2019-05-06,92.75,93.2,91.05,91.3,91.3,61158.0
4195,2019-05-03,92.5,93.9,91.7,93.3,93.3,126500.0
4194,2019-05-02,94.0,95.2,91.6,92.1,92.1,366427.0
4193,2019-04-30,98.2,99.55,92.5,94.1,94.1,158916.0
4192,2019-04-26,99.5,100.9,96.65,98.0,98.0,160952.0
4191,2019-04-25,99.85,103.7,98.65,99.2,99.2,365200.0
4190,2019-04-24,100.0,100.5,96.9,99.2,99.2,264155.0
4189,2019-04-23,101.0,101.2,98.65,99.6,99.6,186762.0
4188,2019-04-22,99.55,101.25,97.8,99.6,99.6,144896.0
4187,2019-04-18,101.95,102.4,98.1,100.55,100.55,280266.0
4186,2019-04-16,98.95,102.0,97.85,101.15,101.15,3167027.0
4185,2019-04-15,93.85,101.0,93.7,98.4,98.4,524139.0
4184,2019-04-12,94.5,94.5,92.35,93.1,93.1,120580.0
4183,2019-04-11,93.05,94.9,91.8,94.0,94.0,105650.0
4182,2019-04-10,94.0,94.4,92.25,93.55,93.55,80870.0
4181,2019-04-09,94.0,95.05,92.25,94.15,94.15,129576.0
4180,2019-04-08,96.1,97.35,93.7,94.65,94.65,111648.0
4179,2019-04-05,95.4,96.45,94.7,95.95,95.95,115140.0
4178,2019-04-04,95.8,98.25,92.85,94.65,94.65,330908.0
4177,2019-04-03,97.0,97.8,94.0,95.25,95.25,229018.0
4176,2019-04-02,97.4,99.5,95.4,96.4,96.4,333805.0
4175,2019-04-01,96.65,99.75,96.5,97.3,97.3,551184.0
4174,2019-03-28,93.2,94.9,91.75,94.5,94.5,246730.0
4173,2019-03-27,88.9,93.8,88.25,92.35,92.35,464113.0
4172,2019-03-26,87.8,89.9,87.15,88.25,88.25,381400.0
4171,2019-03-25,89.0,89.0,86.0,87.0,87.0,183158.0
4170,2019-03-22,89.0,94.15,89.0,89.7,89.7,807292.0
4169,2019-03-20,90.7,91.3,89.2,89.45,89.45,117470.0
4168,2019-03-19,89.85,92.8,89.25,90.75,90.75,298944.0
4167,2019-03-18,91.0,92.8,88.7,89.2,89.2,245682.0
4166,2019-03-15,95.25,97.15,90.0,90.7,90.7,545416.0
4165,2019-03-14,99.4,100.0,96.0,96.4,96.4,216145.0
4164,2019-03-13,97.5,101.75,95.5,98.95,98.95,1246830.0
4163,2019-03-12,99.15,104.0,97.6,98.7,98.7,2864010.0
4162,2019-03-11,91.15,97.2,90.85,95.6,95.6,610170.0
4161,2019-03-08,91.45,92.5,89.6,90.25,90.25,371395.0
4160,2019-03-07,89.1,93.0,85.95,91.6,91.6,393056.0
4159,2019-03-06,89.9,90.9,86.3,89.05,89.05,493499.0
4158,2019-03-05,80.95,89.8,80.4,88.95,88.95,631846.0
4157,2019-03-01,77.9,81.15,77.9,80.35,80.35,181352.0
4156,2019-02-28,78.5,79.6,77.2,77.9,77.9,260633.0
4155,2019-02-27,74.0,79.9,73.95,78.35,78.35,760175.0
4154,2019-02-26,72.0,74.55,70.45,73.7,73.7,175650.0
4153,2019-02-25,71.5,73.7,70.1,73.25,73.25,234988.0
4152,2019-02-22,70.8,73.0,70.35,71.4,71.4,201189.0
4151,2019-02-21,69.9,70.9,69.4,70.5,70.5,141702.0
4150,2019-02-20,69.0,70.9,69.0,69.85,69.85,161492.0
4149,2019-02-19,69.0,70.0,67.65,68.35,68.35,121038.0
4148,2019-02-18,70.0,70.0,65.0,67.7,67.7,206398.0
4147,2019-02-15,71.4,71.4,68.0,69.7,69.7,140232.0
4146,2019-02-14,69.2,71.1,69.1,70.65,70.65,50158.0
4145,2019-02-12,70.5,71.9,69.5,70.6,70.6,85488.0
4144,2019-02-11,78.0,78.0,68.6,70.25,70.25,161576.0
4143,2019-02-08,77.0,77.3,75.05,75.95,75.95,139894.0
4142,2019-02-07,76.9,78.5,73.15,76.65,76.65,428225.0
