,Date,Open,High,Low,Close,Adj Close,Volume
3317,2019-06-14,1728.5,1732.55,1707.0,1710.7,1710.7,134672.0
3316,2019-06-13,1710.5,1730.0,1704.05,1724.75,1724.75,201022.0
3315,2019-06-12,1735.55,1740.0,1711.35,1722.3,1722.3,170519.0
3314,2019-06-11,1765.0,1765.0,1720.4,1736.9,1736.9,195164.0
3313,2019-06-10,1762.0,1777.0,1736.65,1764.0,1764.0,256427.0
3312,2019-06-07,1747.7,1759.55,1725.9,1754.1,1754.1,362813.0
3311,2019-06-06,1780.0,1790.8,1708.2,1730.55,1730.55,387699.0
3310,2019-06-04,1771.0,1807.7,1765.1,1777.05,1777.05,411703.0
3309,2019-06-03,1786.7,1794.75,1760.1,1787.05,1787.05,227520.0
3308,2019-05-31,1763.0,1793.45,1753.4,1782.65,1782.65,417704.0
3307,2019-05-30,1714.8,1786.0,1703.1,1774.85,1774.85,484083.0
3306,2019-05-29,1724.95,1724.95,1693.15,1712.45,1712.45,293434.0
3305,2019-05-28,1713.05,1744.6,1703.25,1713.35,1713.35,284078.0
3304,2019-05-27,1717.0,1740.45,1700.1,1706.55,1706.55,219696.0
3303,2019-05-24,1783.8,1783.8,1698.85,1708.4,1708.4,501063.0
3302,2019-05-23,1766.0,1785.5,1745.6,1766.85,1766.85,211213.0
3301,2019-05-22,1812.0,1814.8,1750.0,1756.15,1756.15,304986.0
3300,2019-05-21,1800.0,1825.0,1783.15,1812.05,1812.05,225456.0
3299,2019-05-20,1829.95,1829.95,1781.1,1806.0,1806.0,297888.0
3298,2019-05-17,1737.8,1800.0,1732.95,1796.65,1796.65,424482.0
3297,2019-05-16,1724.0,1755.95,1711.0,1739.5,1739.5,234169.0
3296,2019-05-15,1732.7,1750.0,1707.2,1717.0,1717.0,316426.0
3295,2019-05-14,1711.1,1738.4,1689.1,1726.9,1726.9,350304.0
3294,2019-05-13,1724.0,1749.5,1706.25,1724.0,1724.0,432503.0
3293,2019-05-10,1772.0,1776.0,1696.7,1715.4,1715.4,792063.0
3292,2019-05-09,1750.0,1769.25,1740.0,1758.45,1758.45,341158.0
3291,2019-05-08,1775.1,1777.45,1742.0,1748.5,1748.5,369364.0
3290,2019-05-07,1795.0,1802.15,1772.45,1780.1,1780.1,298337.0
3289,2019-05-06,1771.85,1823.95,1771.85,1802.3,1802.3,840671.0
3288,2019-05-03,1807.0,1815.05,1793.4,1808.1,1808.1,493618.0
3287,2019-05-02,1769.0,1813.0,1755.05,1805.0,1805.0,947912.0
3286,2019-04-30,1701.75,1780.0,1696.65,1769.45,1769.45,1094199.0
3285,2019-04-26,1728.85,1729.9,1705.0,1718.35,1718.35,307866.0
3284,2019-04-25,1719.6,1728.8,1703.0,1715.1,1715.1,418738.0
3283,2019-04-24,1679.9,1718.2,1674.95,1711.7,1711.7,354233.0
3282,2019-04-23,1700.0,1716.95,1664.75,1670.55,1670.55,306991.0
3281,2019-04-22,1708.9,1708.9,1670.1,1694.05,1694.05,272916.0
3280,2019-04-18,1719.7,1728.3,1660.15,1710.05,1710.05,628687.0
3279,2019-04-16,1700.1,1739.95,1695.3,1716.85,1716.85,450635.0
3278,2019-04-15,1696.5,1717.65,1694.0,1699.45,1699.45,282151.0
3277,2019-04-12,1718.55,1720.0,1690.75,1696.45,1696.45,408161.0
3276,2019-04-11,1698.9,1733.0,1683.6,1718.55,1718.55,797009.0
3275,2019-04-10,1680.0,1720.65,1670.0,1694.65,1694.65,410044.0
3274,2019-04-09,1681.4,1687.0,1655.0,1680.25,1680.25,255249.0
3273,2019-04-08,1678.0,1699.0,1669.7,1681.9,1681.9,348832.0
3272,2019-04-05,1670.0,1682.05,1655.55,1678.2,1678.2,281610.0
3271,2019-04-04,1640.5,1664.0,1620.6,1657.9,1657.9,384609.0
3270,2019-04-03,1656.0,1662.0,1635.65,1640.35,1640.35,193714.0
3269,2019-04-02,1664.0,1668.95,1637.55,1656.75,1656.75,332978.0
3268,2019-04-01,1664.95,1679.75,1644.1,1650.6,1650.6,230689.0
3267,2019-03-28,1616.0,1665.0,1610.0,1642.85,1642.85,705354.0
3266,2019-03-27,1582.0,1624.0,1565.0,1606.0,1606.0,738814.0
3265,2019-03-26,1572.0,1596.0,1551.0,1564.05,1564.05,489584.0
3264,2019-03-25,1605.6,1614.25,1580.0,1583.8,1583.8,312885.0
