,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,147.0,150.0,147.0,148.6,148.6,89292.0
4223,2019-06-13,148.5,148.6,146.0,148.0,148.0,107968.0
4222,2019-06-12,149.5,150.75,148.2,149.05,149.05,40186.0
4221,2019-06-11,151.0,151.7,148.9,149.45,149.45,37658.0
4220,2019-06-10,152.35,153.9,150.0,151.25,151.25,56473.0
4219,2019-06-07,152.25,154.0,151.25,152.9,152.9,80530.0
4218,2019-06-06,151.05,152.8,150.7,152.2,152.2,58788.0
4217,2019-06-04,151.0,152.55,151.0,152.0,152.0,41397.0
4216,2019-06-03,151.7,152.3,149.1,151.7,151.7,83794.0
4215,2019-05-31,152.7,153.9,149.25,151.5,151.5,104255.0
4214,2019-05-30,152.9,154.75,150.45,151.3,151.3,69532.0
4213,2019-05-29,153.0,153.9,150.4,151.2,151.2,51906.0
4212,2019-05-28,160.0,160.0,151.15,151.95,151.95,170590.0
4211,2019-05-27,153.7,162.0,153.3,158.6,158.6,135972.0
4210,2019-05-24,152.85,153.95,151.25,152.8,152.8,68681.0
4209,2019-05-23,152.0,154.8,150.0,150.7,150.7,118595.0
4208,2019-05-22,145.7,151.0,141.6,148.65,148.65,72053.0
4207,2019-05-21,147.8,147.8,145.0,146.65,146.65,73128.0
4206,2019-05-20,148.0,148.0,144.5,146.0,146.0,74818.0
4205,2019-05-17,143.85,143.85,140.85,142.05,142.05,535046.0
4204,2019-05-16,143.8,143.95,140.05,141.15,141.15,57751.0
4203,2019-05-15,143.65,145.0,141.45,143.8,143.8,1338345.0
4202,2019-05-14,141.25,146.25,140.05,143.6,143.6,87174.0
4201,2019-05-13,143.1,145.5,141.1,142.7,142.7,77054.0
4200,2019-05-10,143.15,144.85,142.45,143.2,143.2,37358.0
4199,2019-05-09,146.0,146.6,142.1,143.15,143.15,799546.0
4198,2019-05-08,146.0,146.9,145.65,146.0,146.0,459542.0
4197,2019-05-07,146.25,149.6,146.0,146.15,146.15,90986.0
4196,2019-05-06,145.0,146.8,145.0,146.2,146.2,101849.0
4195,2019-05-03,145.7,146.85,145.7,146.0,146.0,91812.0
4194,2019-05-02,147.0,148.55,145.5,145.95,145.95,90442.0
4193,2019-04-30,150.9,150.9,146.0,147.9,147.9,231204.0
4192,2019-04-26,150.0,153.4,149.25,149.85,149.85,1310795.0
4191,2019-04-25,158.0,160.0,157.1,157.8,157.8,81284.0
4190,2019-04-24,158.5,159.5,157.1,158.05,158.05,52271.0
4189,2019-04-23,157.2,159.95,155.1,158.05,158.05,822293.0
4188,2019-04-22,157.9,157.9,155.05,156.25,156.25,61545.0
4187,2019-04-18,159.9,160.0,157.55,157.95,157.95,93530.0
4186,2019-04-16,160.1,160.8,158.9,159.35,159.35,151519.0
4185,2019-04-15,160.0,160.95,158.6,159.05,159.05,93472.0
4184,2019-04-12,159.25,159.95,158.0,159.0,159.0,697677.0
4183,2019-04-11,159.0,160.95,158.55,159.0,159.0,50789.0
4182,2019-04-10,158.4,160.3,157.1,158.5,158.5,112911.0
4181,2019-04-09,161.2,161.9,157.15,157.65,157.65,141073.0
4180,2019-04-08,162.6,162.6,159.5,160.15,160.15,135342.0
4179,2019-04-05,166.0,166.0,161.15,161.65,161.65,191904.0
4178,2019-04-04,161.9,162.0,160.85,161.05,161.05,206481.0
4177,2019-04-03,161.1,163.8,160.9,161.1,161.1,156392.0
4176,2019-04-02,164.0,164.0,161.5,162.3,162.3,67084.0
4175,2019-04-01,163.5,167.0,162.5,163.2,163.2,215910.0
4174,2019-03-28,163.75,163.75,160.4,160.85,160.85,127292.0
4173,2019-03-27,161.85,162.6,161.25,162.0,162.0,220155.0
4172,2019-03-26,162.0,162.0,160.4,161.05,161.05,188191.0
