,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,787.0,791.3,780.3,782.95,782.95,185397.0
4223,2019-06-13,786.0,794.2,782.3,791.75,791.75,210581.0
4222,2019-06-12,797.0,797.1,783.75,790.35,790.35,117334.0
4221,2019-06-11,803.0,803.0,791.4,796.7,796.7,167350.0
4220,2019-06-10,795.75,805.0,783.75,801.0,801.0,244913.0
4219,2019-06-07,786.7,805.95,779.3,792.8,792.8,242930.0
4218,2019-06-06,807.0,811.4,790.05,792.6,792.6,208069.0
4217,2019-06-04,822.3,826.5,800.05,808.05,808.05,465376.0
4216,2019-06-03,816.4,826.3,808.3,824.05,824.05,141428.0
4215,2019-05-31,827.7,831.3,801.8,816.1,816.1,274134.0
4214,2019-05-30,820.0,835.0,820.0,826.75,826.75,358639.0
4213,2019-05-29,805.0,828.85,805.0,820.9,820.9,263148.0
4212,2019-05-28,839.8,839.8,816.1,820.3,820.3,535720.0
4211,2019-05-27,817.0,845.0,812.05,837.75,837.75,394031.0
4210,2019-05-24,799.0,820.0,792.45,814.4,814.4,351612.0
4209,2019-05-23,780.0,820.35,770.1,790.7,790.7,601338.0
4208,2019-05-22,771.0,785.0,752.3,766.85,766.85,641296.0
4207,2019-05-21,787.0,794.25,762.0,768.45,768.45,357772.0
4206,2019-05-20,780.0,791.85,761.1,783.4,783.4,255493.0
4205,2019-05-17,731.4,749.0,722.8,746.15,746.15,302395.0
4204,2019-05-16,728.0,742.15,718.0,733.65,733.65,128524.0
4203,2019-05-15,736.5,748.5,724.7,730.35,730.35,72729.0
4202,2019-05-14,732.0,740.45,720.5,736.65,736.65,111329.0
4201,2019-05-13,738.4,743.45,723.4,730.9,730.9,372348.0
4200,2019-05-10,748.0,751.05,741.45,744.35,744.35,76117.0
4199,2019-05-09,748.0,757.0,740.25,748.5,748.5,205819.0
4198,2019-05-08,751.05,764.8,738.0,749.65,749.65,251148.0
4197,2019-05-07,773.25,778.6,750.2,752.5,752.5,337066.0
4196,2019-05-06,774.9,781.95,768.95,770.9,770.9,103544.0
4195,2019-05-03,773.0,787.7,773.0,781.15,781.15,174686.0
4194,2019-05-02,772.0,784.45,767.9,777.55,777.55,290948.0
4193,2019-04-30,784.0,788.05,768.35,774.4,774.4,279222.0
4192,2019-04-26,798.15,801.5,767.05,783.85,783.85,275696.0
4191,2019-04-25,772.0,807.8,768.35,793.2,793.2,701874.0
4190,2019-04-24,758.0,778.8,744.6,772.0,772.0,462974.0
4189,2019-04-23,763.9,769.0,752.0,760.55,760.55,95926.0
4188,2019-04-22,776.8,776.8,756.0,761.3,761.3,228060.0
4187,2019-04-18,788.7,793.7,772.25,777.95,777.95,681797.0
4186,2019-04-16,763.0,787.0,762.8,785.05,785.05,309462.0
4185,2019-04-15,775.5,783.75,757.1,764.3,764.3,346875.0
4184,2019-04-12,756.9,775.3,748.8,770.7,770.7,313843.0
4183,2019-04-11,756.75,761.0,746.3,753.55,753.55,144796.0
4182,2019-04-10,744.0,761.7,744.0,756.7,756.7,147126.0
4181,2019-04-09,763.85,763.85,743.55,751.7,751.7,299874.0
4180,2019-04-08,766.15,769.0,755.65,760.1,760.1,312917.0
4179,2019-04-05,752.0,764.9,751.7,759.45,759.45,389606.0
4178,2019-04-04,747.0,758.65,738.5,751.7,751.7,361351.0
4177,2019-04-03,740.0,750.2,737.0,743.35,743.35,220253.0
4176,2019-04-02,745.9,749.15,737.1,741.3,741.3,323088.0
4175,2019-04-01,745.3,769.9,740.05,744.5,744.5,607809.0
4174,2019-03-28,712.0,715.0,703.6,708.45,708.45,439716.0
4173,2019-03-27,708.0,722.35,705.0,711.15,711.15,731431.0
4172,2019-03-26,709.85,712.8,701.5,710.6,710.6,206465.0
4171,2019-03-25,705.0,710.2,697.1,708.8,708.8,248829.0
4170,2019-03-22,705.75,715.05,704.1,708.7,708.7,320621.0
4169,2019-03-20,718.55,725.55,704.3,707.6,707.6,156636.0
4168,2019-03-19,710.7,720.6,709.05,718.2,718.2,493660.0
4167,2019-03-18,705.8,716.95,703.65,709.55,709.55,208137.0
4166,2019-03-15,708.0,719.4,700.55,703.65,703.65,356646.0
4165,2019-03-14,729.0,729.8,710.55,717.7,717.7,282322.0
4164,2019-03-13,726.0,737.5,720.0,726.15,726.15,316127.0
4163,2019-03-12,740.0,749.4,733.0,737.9,737.9,598673.0
4162,2019-03-11,729.0,739.0,716.9,735.05,735.05,700954.0
4161,2019-03-08,720.0,727.35,704.0,724.15,724.15,355767.0
4160,2019-03-07,720.0,729.9,707.4,721.3,721.3,436638.0
4159,2019-03-06,717.0,728.0,714.25,723.85,723.85,599455.0
4158,2019-03-05,695.4,720.0,690.0,718.05,718.05,934468.0
4157,2019-03-01,672.0,691.1,665.4,687.8,687.8,701843.0
4156,2019-02-28,680.0,685.0,662.6,670.9,670.9,533012.0
4155,2019-02-27,667.7,695.0,656.25,675.7,675.7,1991442.0
4154,2019-02-26,640.0,652.85,628.0,647.3,647.3,314076.0
4153,2019-02-25,643.8,653.05,624.95,645.35,645.35,398858.0
4152,2019-02-22,636.25,649.5,633.0,637.35,637.35,144883.0
4151,2019-02-21,618.0,649.9,618.0,642.35,642.35,343596.0
4150,2019-02-20,606.35,626.1,602.8,622.75,622.75,257911.0
4149,2019-02-19,600.0,609.6,599.2,606.35,606.35,130199.0
4148,2019-02-18,608.8,612.7,593.85,599.4,599.4,121278.0
4147,2019-02-15,609.0,613.35,596.25,610.4,610.4,348872.0
4146,2019-02-14,610.0,613.0,596.55,609.0,609.0,471752.0
4145,2019-02-12,593.0,609.0,593.0,605.25,605.25,117564.0
4144,2019-02-11,611.3,613.0,592.0,600.5,600.5,266526.0
4143,2019-02-08,611.1,624.0,607.0,611.25,611.25,253202.0
4142,2019-02-07,600.15,635.15,600.15,616.85,616.85,492919.0
4141,2019-02-06,601.0,612.2,589.0,605.3,605.3,230271.0
4140,2019-02-05,593.5,600.25,584.05,596.55,596.55,198322.0
4139,2019-02-04,601.4,604.7,586.0,597.6,597.6,142380.0
4138,2019-02-01,601.0,609.9,590.55,602.3,602.3,192840.0
4137,2019-01-31,592.8,604.8,583.35,600.7,600.7,272963.0
4136,2019-01-30,573.7,599.0,564.25,592.55,592.55,525738.0
4135,2019-01-29,563.0,592.75,555.75,573.6,573.6,1109326.0
4134,2019-01-28,582.0,582.4,561.15,569.95,569.95,348896.0
4133,2019-01-25,599.7,600.0,573.2,579.25,579.25,407804.0
4132,2019-01-24,601.0,609.8,592.75,599.7,599.7,302930.0
4131,2019-01-23,595.0,606.35,590.2,600.95,600.95,547065.0
4130,2019-01-22,610.5,610.5,597.1,602.1,602.1,193843.0
4129,2019-01-21,624.0,624.0,605.2,609.75,609.75,334427.0
4128,2019-01-18,631.9,631.9,620.0,622.85,622.85,114646.0
