,Date,Open,High,Low,Close,Adj Close,Volume
685,2019-06-14,640.95,640.95,623.55,625.9,625.9,1368032.0
684,2019-06-13,655.0,657.45,632.0,639.15,639.15,1946925.0
683,2019-06-12,667.85,667.85,657.0,658.6,658.6,687497.0
682,2019-06-11,672.45,674.35,668.05,669.45,669.45,559398.0
681,2019-06-10,675.0,679.45,659.0,669.65,669.65,1095860.0
680,2019-06-07,669.7,676.45,662.5,668.55,668.55,736232.0
679,2019-06-06,695.1,697.1,664.0,667.1,667.1,1859180.0
678,2019-06-04,693.95,705.9,689.2,691.25,691.25,1715553.0
677,2019-06-03,685.4,697.05,683.4,695.6,695.6,822894.0
676,2019-05-31,695.0,702.7,680.35,687.35,687.35,1381840.0
675,2019-05-30,687.0,697.0,682.4,692.3,692.3,2045024.0
674,2019-05-29,702.5,704.7,684.6,686.05,686.05,1268838.0
673,2019-05-28,703.9,716.4,692.25,701.45,701.45,5037597.0
672,2019-05-27,669.7,701.4,667.6,698.3,698.3,3857944.0
671,2019-05-24,676.8,680.0,660.0,667.5,667.5,1471296.0
670,2019-05-23,675.0,686.5,670.1,674.05,674.05,2189867.0
669,2019-05-22,669.95,674.9,662.0,666.85,666.85,520824.0
668,2019-05-21,685.0,688.85,664.8,669.9,669.9,1396232.0
667,2019-05-20,674.0,687.85,672.0,680.25,680.25,2278726.0
666,2019-05-17,634.8,659.9,631.35,655.75,655.75,2710158.0
665,2019-05-16,649.4,649.4,625.25,632.9,632.9,2245220.0
664,2019-05-15,649.4,662.0,644.2,652.25,652.25,868431.0
663,2019-05-14,659.0,659.35,633.05,651.2,651.2,2811150.0
662,2019-05-13,675.3,677.85,657.1,659.5,659.5,753274.0
661,2019-05-10,660.0,676.9,659.0,675.0,675.0,911404.0
660,2019-05-09,649.3,664.2,648.3,661.85,661.85,887749.0
659,2019-05-08,665.8,667.6,650.55,652.8,652.8,971817.0
658,2019-05-07,668.0,676.5,661.8,665.95,665.95,897661.0
657,2019-05-06,666.0,670.5,660.55,664.05,664.05,889968.0
656,2019-05-03,665.3,674.0,663.0,672.2,672.2,1294837.0
655,2019-05-02,678.75,685.2,661.05,662.45,662.45,1360050.0
654,2019-04-30,670.0,681.9,664.2,678.85,678.85,1337000.0
653,2019-04-26,671.2,671.55,660.0,669.9,669.9,835728.0
652,2019-04-25,671.5,674.6,664.4,665.95,665.95,1051963.0
651,2019-04-24,677.7,679.35,667.7,672.75,672.75,1305166.0
650,2019-04-23,681.0,686.9,670.9,673.35,673.35,1683991.0
649,2019-04-22,676.95,682.9,663.15,681.1,681.1,1681191.0
648,2019-04-18,684.2,686.45,668.1,675.45,675.45,3414687.0
647,2019-04-16,670.0,682.3,668.4,680.3,680.3,1021695.0
646,2019-04-15,670.7,674.45,666.0,668.8,668.8,470345.0
645,2019-04-12,665.0,673.85,665.0,667.35,667.35,487732.0
644,2019-04-11,673.8,674.7,658.85,664.6,664.6,779214.0
643,2019-04-10,667.9,679.2,665.1,674.05,674.05,917932.0
642,2019-04-09,657.0,669.35,651.7,668.1,668.1,905333.0
