,Date,Open,High,Low,Close,Adj Close,Volume
3277,2019-06-14,1.6,1.6,1.6,1.6,1.6,1339550.0
3276,2019-06-13,1.65,1.65,1.65,1.65,1.65,1910203.0
3275,2019-06-12,1.7,1.75,1.7,1.7,1.7,6609881.0
3274,2019-06-11,1.75,1.75,1.75,1.75,1.75,3542224.0
3273,2019-06-10,1.85,1.85,1.8,1.8,1.8,7198275.0
3272,2019-06-07,1.9,1.9,1.85,1.85,1.85,9103298.0
3271,2019-06-06,1.95,1.95,1.9,1.9,1.9,11018557.0
3270,2019-06-04,1.95,2.0,1.9,1.95,1.95,15117466.0
3269,2019-06-03,2.05,2.1,1.95,2.0,2.0,20412898.0
3268,2019-05-31,1.95,2.0,1.95,2.0,2.0,24464300.0
3267,2019-05-30,1.95,2.0,1.9,1.95,1.95,9342002.0
3266,2019-05-29,2.0,2.05,1.9,1.95,1.95,20913773.0
3265,2019-05-28,2.1,2.15,2.0,2.0,2.0,35069486.0
3264,2019-05-27,2.15,2.15,2.1,2.1,2.1,9501785.0
3263,2019-05-24,2.05,2.15,2.0,2.1,2.1,17624419.0
3262,2019-05-23,2.15,2.2,2.0,2.05,2.05,38641992.0
3261,2019-05-22,2.0,2.1,1.95,2.1,2.1,36419446.0
3260,2019-05-21,2.05,2.1,1.95,2.0,2.0,20060007.0
3259,2019-05-20,2.15,2.15,1.95,2.05,2.05,54288426.0
3258,2019-05-17,1.9,2.1,1.9,2.05,2.05,68983065.0
3257,2019-05-16,2.0,2.0,2.0,2.0,2.0,2539454.0
3256,2019-05-15,2.1,2.1,2.1,2.1,2.1,2196123.0
3255,2019-05-14,2.2,2.2,2.2,2.2,2.2,3046906.0
3254,2019-05-13,2.45,2.5,2.3,2.3,2.3,42329516.0
3253,2019-05-10,2.4,2.4,2.4,2.4,2.4,3584592.0
3252,2019-05-09,2.3,2.3,2.3,2.3,2.3,7854126.0
3251,2019-05-08,2.1,2.2,2.1,2.2,2.2,27455636.0
3250,2019-05-07,2.0,2.1,2.0,2.1,2.1,64196189.0
3249,2019-05-06,2.0,2.0,2.0,2.0,2.0,2367025.0
3248,2019-05-03,1.95,1.95,1.95,1.95,1.95,2617494.0
3247,2019-05-02,1.9,1.9,1.9,1.9,1.9,16688044.0
3246,2019-04-30,1.85,1.85,1.85,1.85,1.85,22861426.0
3245,2019-04-26,1.9,2.05,1.9,1.9,1.9,66133254.0
3244,2019-04-25,2.0,2.0,2.0,2.0,2.0,5643974.0
3243,2019-04-24,2.1,2.1,2.1,2.1,2.1,2377164.0
3242,2019-04-23,2.2,2.2,2.2,2.2,2.2,3027180.0
3241,2019-04-22,2.3,2.3,2.3,2.3,2.3,4567152.0
3240,2019-04-18,2.4,2.4,2.4,2.4,2.4,4123227.0
3239,2019-04-16,2.5,2.5,2.5,2.5,2.5,4179555.0
3238,2019-04-15,2.6,2.7,2.6,2.6,2.6,38546912.0
3237,2019-04-12,2.7,2.7,2.7,2.7,2.7,5218162.0
3236,2019-04-11,2.8,2.8,2.8,2.8,2.8,5081476.0
3235,2019-04-10,2.9,2.9,2.9,2.9,2.9,7046997.0
3234,2019-04-09,3.05,3.05,3.05,3.05,3.05,5846693.0
3233,2019-04-08,3.2,3.3,3.2,3.2,3.2,23464212.0
3232,2019-04-05,3.35,3.35,3.35,3.35,3.35,7702191.0
3231,2019-04-04,3.5,3.7,3.5,3.5,3.5,104887888.0
3230,2019-04-03,3.65,3.65,3.65,3.65,3.65,7529599.0
3229,2019-04-02,3.85,3.9,3.8,3.8,3.8,27477288.0
3228,2019-04-01,3.95,4.1,3.95,3.95,3.95,100285154.0
3227,2019-03-28,4.35,4.35,4.35,4.35,4.35,6336135.0
3226,2019-03-27,4.55,4.55,4.55,4.55,4.55,4895814.0
3225,2019-03-26,4.75,4.85,4.75,4.75,4.75,20811969.0
3224,2019-03-25,5.15,5.15,5.0,5.0,5.0,57980600.0
3223,2019-03-22,5.25,5.25,4.85,5.25,5.25,211154872.0
3222,2019-03-20,4.8,4.8,4.65,4.8,4.8,35449865.0
3221,2019-03-19,4.4,4.4,4.3,4.4,4.4,106963985.0
3220,2019-03-18,4.3,4.3,3.95,4.0,4.0,70109329.0
3219,2019-03-15,4.7,4.7,4.35,4.4,4.4,49090349.0
3218,2019-03-14,4.9,4.95,4.6,4.65,4.65,36928629.0
3217,2019-03-13,5.15,5.15,4.8,4.9,4.9,42631323.0
3216,2019-03-12,5.45,5.55,5.05,5.1,5.1,45161652.0
3215,2019-03-11,5.85,5.9,5.25,5.35,5.35,46595548.0
3214,2019-03-08,6.0,6.0,5.8,5.85,5.85,17747421.0
3213,2019-03-07,6.1,6.1,5.85,5.9,5.9,24126795.0
3212,2019-03-06,6.7,6.75,5.9,6.05,6.05,51975776.0
3211,2019-03-05,6.6,6.7,6.45,6.65,6.65,29368036.0
3210,2019-03-01,6.55,6.75,6.5,6.6,6.6,37810434.0
3209,2019-02-28,6.5,6.65,6.3,6.5,6.5,89537271.0
3208,2019-02-27,6.45,6.7,6.2,6.5,6.5,103565202.0
3207,2019-02-26,5.9,6.65,5.85,6.4,6.4,121674643.0
3206,2019-02-25,6.5,6.5,5.9,6.0,6.0,95247158.0
3205,2019-02-22,6.35,7.65,6.25,6.5,6.5,244157493.0
3204,2019-02-21,5.85,6.55,5.7,6.35,6.35,115064994.0
3203,2019-02-20,6.1,6.15,5.45,5.75,5.75,134464383.0
3202,2019-02-19,6.2,6.2,5.95,6.0,6.0,53952257.0
3201,2019-02-18,6.05,6.85,5.9,6.1,6.1,105009120.0
3200,2019-02-15,5.5,5.7,5.4,5.5,5.5,56200999.0
3199,2019-02-14,5.75,5.75,5.2,5.55,5.55,90978467.0
3198,2019-02-12,5.35,5.75,5.1,5.65,5.65,88569746.0
3197,2019-02-11,5.75,5.75,5.2,5.35,5.35,62523776.0
3196,2019-02-08,4.9,5.55,4.9,5.35,5.35,136497533.0
3195,2019-02-07,5.5,5.7,4.9,5.2,5.2,186818436.0
3194,2019-02-06,5.25,6.55,4.85,5.5,5.5,272318926.0
3193,2019-02-05,7.45,7.55,5.35,5.55,5.55,393801088.0
3192,2019-02-04,10.45,10.45,5.3,7.55,7.55,378845417.0
3191,2019-02-01,12.0,12.1,11.5,11.6,11.6,56418188.0
3190,2019-01-31,11.55,12.1,10.9,11.75,11.75,61641012.0
3189,2019-01-30,12.1,12.35,11.35,11.55,11.55,43666454.0
3188,2019-01-29,12.05,12.6,12.0,12.1,12.1,44626964.0
3187,2019-01-28,12.45,12.45,11.85,12.15,12.15,47207121.0
3186,2019-01-25,12.85,12.95,12.35,12.45,12.45,27002942.0
3185,2019-01-24,12.75,13.2,12.65,12.85,12.85,62852835.0
3184,2019-01-23,13.3,13.4,12.85,12.95,12.95,59736285.0
3183,2019-01-22,13.1,13.45,12.85,13.35,13.35,59954052.0
3182,2019-01-21,13.4,13.5,13.05,13.1,13.1,46124415.0
3181,2019-01-18,13.6,13.6,13.25,13.35,13.35,50095135.0
3180,2019-01-17,13.85,13.95,13.45,13.55,13.55,70098847.0
3179,2019-01-16,13.5,14.15,13.4,13.8,13.8,69538057.0
3178,2019-01-15,13.4,13.6,13.35,13.45,13.45,48091793.0
3177,2019-01-14,13.7,13.7,13.35,13.4,13.4,32004610.0
3176,2019-01-11,13.95,14.0,13.6,13.7,13.7,47896536.0
3175,2019-01-10,13.9,14.0,13.65,13.85,13.85,51883452.0
3174,2019-01-09,14.1,14.15,13.65,13.8,13.8,58166357.0
3173,2019-01-08,13.8,14.15,13.7,14.0,14.0,70769680.0
3172,2019-01-07,14.25,14.35,13.65,13.9,13.9,95262182.0
3171,2019-01-04,13.4,14.2,13.3,14.0,14.0,139026951.0
3170,2019-01-03,13.75,13.85,13.45,13.5,13.5,52405739.0
3169,2019-01-02,14.35,14.4,13.6,13.85,13.85,92048688.0
3168,2019-01-01,14.5,14.6,14.15,14.35,14.35,45185360.0
3167,2018-12-31,14.75,14.95,14.3,14.4,14.4,71586882.0
3166,2018-12-28,14.35,15.05,14.35,14.7,14.7,73248725.0
3165,2018-12-27,14.45,14.65,14.15,14.5,14.5,69081337.0
3164,2018-12-26,14.15,14.45,13.8,14.3,14.3,87089399.0
3163,2018-12-24,14.35,14.55,13.75,14.15,14.15,95356659.0
3162,2018-12-21,14.5,14.7,14.05,14.2,14.2,65912405.0
3161,2018-12-20,14.25,14.65,14.05,14.35,14.35,85157043.0
3160,2018-12-19,14.2,14.95,13.65,14.25,14.25,163060955.0
3159,2018-12-18,15.7,16.05,15.5,15.75,15.75,70167746.0
3158,2018-12-17,15.95,16.25,15.55,15.65,15.65,64347183.0
3157,2018-12-14,15.05,16.5,15.05,15.75,15.75,142480206.0
3156,2018-12-13,15.65,16.05,14.9,15.4,15.4,86873709.0
3155,2018-12-12,15.95,16.3,15.45,15.65,15.65,84008027.0
3154,2018-12-11,14.0,16.1,13.65,15.4,15.4,132082016.0
3153,2018-12-10,15.3,15.5,14.5,14.75,14.75,73729982.0
3152,2018-12-07,16.6,17.0,15.6,15.75,15.75,133398785.0
3151,2018-12-06,16.0,16.5,15.25,16.3,16.3,137774119.0
3150,2018-12-05,17.0,17.5,16.1,16.25,16.25,174862607.0
3149,2018-12-04,17.1,18.65,16.9,17.1,17.1,323613170.0
3148,2018-12-03,15.2,16.85,14.7,16.6,16.6,264930325.0
3147,2018-11-30,12.6,14.65,12.55,14.25,14.25,155035529.0
3146,2018-11-29,13.15,13.25,12.45,12.75,12.75,35843615.0
3145,2018-11-28,13.4,13.45,13.0,13.1,13.1,29712360.0
3144,2018-11-27,13.3,13.6,13.05,13.3,13.3,48528221.0
3143,2018-11-26,13.35,13.6,13.0,13.3,13.3,38401855.0
3142,2018-11-22,13.95,14.05,13.2,13.3,13.3,55337728.0
3141,2018-11-21,13.55,13.9,13.5,13.75,13.75,35165344.0
3140,2018-11-20,14.05,14.3,13.35,13.55,13.55,56965684.0
3139,2018-11-19,13.6,14.75,13.45,14.1,14.1,75131002.0
3138,2018-11-16,13.5,13.7,13.15,13.55,13.55,51881650.0
3137,2018-11-15,13.7,13.7,13.35,13.4,13.4,19041611.0
3136,2018-11-14,13.6,13.9,13.3,13.7,13.7,34668195.0
3135,2018-11-13,13.9,13.9,13.2,13.55,13.55,41543756.0
3134,2018-11-12,13.8,14.6,13.75,13.85,13.85,43675188.0
3133,2018-11-09,13.7,14.3,13.5,14.2,14.2,40369648.0
3132,2018-11-07,14.1,14.1,13.8,13.85,13.85,6003489.0
3131,2018-11-06,14.2,14.4,13.65,13.8,13.8,35245855.0
3130,2018-11-05,14.95,14.95,13.45,14.1,14.1,69148992.0
3129,2018-11-02,14.35,15.25,13.85,14.1,14.1,111904630.0
3128,2018-11-01,12.5,14.2,12.5,14.1,14.1,144618228.0
3127,2018-10-31,11.7,12.5,11.65,12.35,12.35,73037865.0
3126,2018-10-30,10.85,11.95,10.75,11.65,11.65,92640562.0
3125,2018-10-29,9.9,11.05,9.6,10.9,10.9,89042912.0
3124,2018-10-26,10.35,10.4,9.8,10.0,10.0,52165776.0
3123,2018-10-25,10.9,10.9,10.3,10.35,10.35,42867256.0
3122,2018-10-24,10.95,11.2,10.75,11.0,11.0,33772304.0
3121,2018-10-23,10.9,11.3,10.6,10.85,10.85,49480136.0
3120,2018-10-22,11.25,11.35,10.8,10.9,10.9,32771738.0
3119,2018-10-19,11.55,11.55,11.0,11.15,11.15,42531236.0
3118,2018-10-17,11.95,12.1,11.25,11.35,11.35,43163846.0
3117,2018-10-16,11.65,12.0,11.65,11.8,11.8,36017651.0
3116,2018-10-15,11.8,12.0,11.5,11.65,11.65,48666488.0
3115,2018-10-12,11.45,12.2,11.35,11.65,11.65,81241350.0
3114,2018-10-11,11.1,11.5,10.7,11.1,11.1,52145852.0
3113,2018-10-10,11.2,11.7,11.05,11.45,11.45,59429079.0
3112,2018-10-09,11.05,11.3,10.6,11.05,11.05,62414174.0
3111,2018-10-08,11.45,11.75,10.7,11.05,11.05,75958335.0
3110,2018-10-05,11.85,12.15,11.3,11.45,11.45,56941722.0
3109,2018-10-04,11.8,12.55,11.6,11.85,11.85,109738369.0
3108,2018-10-03,11.65,12.45,11.3,11.8,11.8,73788111.0
3107,2018-10-01,11.9,12.1,11.1,11.95,11.95,68946146.0
3106,2018-09-28,12.5,12.75,11.7,11.9,11.9,62225689.0
3105,2018-09-27,12.95,13.5,12.05,12.35,12.35,85636111.0
3104,2018-09-26,11.9,13.2,11.5,12.9,12.9,103895838.0
3103,2018-09-25,12.0,12.15,11.2,11.5,11.5,85791357.0
3102,2018-09-24,12.7,12.9,11.25,12.25,12.25,93287496.0
3101,2018-09-21,14.95,15.1,12.7,13.15,13.15,151617141.0
3100,2018-09-19,15.8,16.1,14.6,14.9,14.9,100440182.0
3099,2018-09-18,17.4,17.75,15.45,16.2,16.2,143474203.0
3098,2018-09-17,16.4,17.6,16.0,17.15,17.15,83977228.0
3097,2018-09-14,16.15,16.7,16.15,16.35,16.35,46317095.0
3096,2018-09-12,16.2,16.3,15.35,16.05,16.05,79095692.0
3095,2018-09-11,16.95,17.15,16.05,16.15,16.15,59079109.0
3094,2018-09-10,17.25,17.6,16.85,16.95,16.95,61564607.0
3093,2018-09-07,17.25,17.75,17.05,17.3,17.3,57039892.0
3092,2018-09-06,17.4,17.8,17.15,17.25,17.25,54570854.0
3091,2018-09-05,17.4,17.8,16.3,17.45,17.45,123554671.0
3090,2018-09-04,18.3,18.3,17.25,17.4,17.4,84670396.0
3089,2018-09-03,18.2,18.9,17.9,18.2,18.2,86233625.0
3088,2018-08-31,18.5,18.75,17.9,18.25,18.25,73296426.0
3087,2018-08-30,18.45,18.95,18.05,18.6,18.6,90415229.0
3086,2018-08-29,18.2,19.0,17.2,18.55,18.55,136160531.0
3085,2018-08-28,18.95,18.95,18.25,18.35,18.35,60249875.0
3084,2018-08-27,19.4,19.45,18.6,18.7,18.7,78946669.0
3083,2018-08-24,19.05,19.9,18.1,19.1,19.1,157329670.0
3082,2018-08-23,18.85,19.55,18.7,18.85,18.85,93925800.0
