,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,1321.9,1325.0,1309.4,1317.55,1317.55,6831328.0
4873,2019-06-13,1330.0,1334.7,1308.65,1327.25,1327.25,7171189.0
4872,2019-06-12,1334.7,1338.4,1325.0,1332.15,1332.15,4707716.0
4871,2019-06-11,1321.85,1334.5,1318.0,1329.15,1329.15,5253790.0
4870,2019-06-10,1320.9,1327.0,1310.1,1319.15,1319.15,5380148.0
4869,2019-06-07,1325.95,1327.25,1305.6,1314.9,1314.9,6730595.0
4868,2019-06-06,1361.9,1361.9,1321.1,1327.35,1327.35,7664319.0
4867,2019-06-04,1357.45,1374.25,1348.1,1351.65,1351.65,7059911.0
4866,2019-06-03,1335.0,1367.25,1321.2,1360.2,1360.2,8483610.0
4865,2019-05-31,1337.9,1341.9,1320.2,1330.15,1330.15,11760178.0
4864,2019-05-30,1316.25,1342.0,1316.25,1329.75,1329.75,10740841.0
4863,2019-05-29,1321.0,1333.3,1304.15,1313.05,1313.05,7112830.0
4862,2019-05-28,1319.8,1334.8,1313.35,1323.75,1323.75,19472659.0
4861,2019-05-27,1337.1,1337.5,1307.0,1310.65,1310.65,7349720.0
4860,2019-05-24,1348.0,1353.8,1316.5,1336.85,1336.85,10180759.0
4859,2019-05-23,1372.0,1392.0,1325.0,1333.9,1333.9,17722514.0
4858,2019-05-22,1345.65,1359.7,1335.1,1340.4,1340.4,11287400.0
4857,2019-05-21,1332.2,1367.0,1330.05,1339.8,1339.8,13872055.0
4856,2019-05-20,1313.6,1337.7,1303.5,1325.9,1325.9,12333937.0
4855,2019-05-17,1267.0,1276.95,1252.0,1267.4,1267.4,7898440.0
4854,2019-05-16,1259.95,1271.9,1258.1,1265.35,1265.35,6606652.0
4853,2019-05-15,1273.0,1278.0,1250.6,1256.9,1256.9,11163801.0
4852,2019-05-14,1236.5,1269.35,1231.5,1260.45,1260.45,13001004.0
4851,2019-05-13,1247.9,1260.8,1227.5,1232.05,1232.05,8047801.0
4850,2019-05-10,1265.0,1277.7,1245.0,1251.15,1251.15,11226831.0
4849,2019-05-09,1288.8,1288.8,1251.75,1256.45,1256.45,19507368.0
4848,2019-05-08,1340.0,1340.0,1292.2,1299.45,1299.45,14610543.0
4847,2019-05-07,1394.8,1395.0,1340.2,1343.5,1343.5,8876945.0
4846,2019-05-06,1398.0,1402.8,1378.1,1384.9,1384.9,7237910.0
4845,2019-05-03,1407.95,1417.5,1402.65,1408.85,1408.85,6510169.0
4844,2019-05-02,1392.0,1413.9,1382.1,1405.05,1405.05,8682505.0
4843,2019-04-30,1396.4,1396.4,1366.8,1392.8,1392.8,10217019.0
4842,2019-04-26,1375.0,1395.95,1370.7,1392.8,1392.8,6889444.0
4841,2019-04-25,1389.1,1412.4,1362.6,1372.4,1372.4,13929820.0
4840,2019-04-24,1370.3,1394.8,1366.25,1389.5,1389.5,7360887.0
4839,2019-04-23,1348.0,1373.0,1346.0,1363.85,1363.85,9055300.0
4838,2019-04-22,1360.0,1367.0,1341.3,1345.35,1345.35,10792748.0
4837,2019-04-18,1375.0,1389.75,1365.0,1385.95,1385.95,17960482.0
4836,2019-04-16,1345.0,1360.0,1340.0,1343.75,1343.75,7936553.0
4835,2019-04-15,1345.0,1348.95,1335.0,1340.15,1340.15,4245127.0
4834,2019-04-12,1350.0,1356.9,1336.65,1343.1,1343.1,5919742.0
4833,2019-04-11,1332.95,1353.0,1329.0,1346.8,1346.8,5741333.0
4832,2019-04-10,1337.95,1348.0,1326.5,1331.4,1331.4,7612711.0
4831,2019-04-09,1328.9,1340.7,1321.0,1334.45,1334.45,9497621.0
4830,2019-04-08,1356.0,1357.5,1323.7,1329.25,1329.25,8723577.0
4829,2019-04-05,1360.95,1363.9,1343.0,1353.9,1353.9,6728239.0
4828,2019-04-04,1379.0,1383.7,1347.25,1353.05,1353.05,8375674.0
4827,2019-04-03,1392.75,1403.0,1372.0,1375.2,1375.2,7849461.0
4826,2019-04-02,1398.0,1403.1,1380.1,1389.7,1389.7,8012636.0
4825,2019-04-01,1370.0,1406.8,1362.55,1391.85,1391.85,10098281.0
4824,2019-03-28,1350.25,1369.8,1342.8,1360.0,1360.0,10482938.0
4823,2019-03-27,1377.95,1377.95,1344.25,1349.25,1349.25,10094174.0
4822,2019-03-26,1330.3,1371.6,1330.0,1367.25,1367.25,9479288.0
4821,2019-03-25,1330.6,1336.85,1316.7,1324.45,1324.45,7951992.0
4820,2019-03-22,1372.5,1380.9,1336.7,1341.75,1341.75,11465112.0
4819,2019-03-20,1377.8,1388.0,1364.0,1375.45,1375.45,9892823.0
4818,2019-03-19,1360.0,1380.0,1343.1,1376.55,1376.55,9805318.0
4817,2019-03-18,1331.0,1357.95,1329.0,1350.05,1350.05,10105234.0
4816,2019-03-15,1345.0,1358.8,1311.2,1321.65,1321.65,15893093.0
4815,2019-03-14,1349.75,1362.0,1336.1,1341.55,1341.55,10402048.0
4814,2019-03-13,1337.0,1360.0,1328.1,1347.3,1347.3,11236048.0
4813,2019-03-12,1316.9,1334.0,1314.25,1331.35,1331.35,11228736.0
4812,2019-03-11,1270.05,1312.0,1268.0,1304.1,1304.1,9718840.0
4811,2019-03-08,1266.05,1274.45,1262.0,1267.1,1267.1,6040052.0
4810,2019-03-07,1264.0,1279.8,1258.15,1270.25,1270.25,8109259.0
4809,2019-03-06,1239.8,1273.1,1235.1,1264.8,1264.8,12038231.0
4808,2019-03-05,1223.4,1239.8,1218.6,1237.65,1237.65,7121509.0
4807,2019-03-01,1237.0,1242.35,1222.25,1226.05,1226.05,7922513.0
4806,2019-02-28,1233.75,1239.85,1226.55,1231.05,1231.05,11286916.0
4805,2019-02-27,1228.05,1244.9,1209.0,1223.5,1223.5,11113182.0
4804,2019-02-26,1209.5,1234.8,1206.0,1220.25,1220.25,10131050.0
4803,2019-02-25,1236.0,1243.0,1220.65,1232.3,1232.3,7852528.0
4802,2019-02-22,1244.6,1245.3,1226.0,1232.35,1232.35,8755865.0
4801,2019-02-21,1236.0,1257.8,1229.35,1246.9,1246.9,10580178.0
4800,2019-02-20,1223.85,1240.0,1219.0,1234.35,1234.35,6298179.0
4799,2019-02-19,1218.0,1239.7,1211.2,1216.1,1216.1,6244189.0
4798,2019-02-18,1250.0,1252.5,1215.0,1220.1,1220.1,9649017.0
4797,2019-02-15,1229.75,1249.9,1214.0,1244.45,1244.45,9597961.0
4796,2019-02-14,1241.0,1241.0,1218.0,1224.2,1224.2,6627360.0
4795,2019-02-12,1251.5,1272.35,1251.5,1256.4,1256.4,6399485.0
4794,2019-02-11,1275.9,1276.0,1251.0,1253.25,1253.25,7523999.0
4793,2019-02-08,1284.8,1300.5,1272.25,1277.7,1277.7,6505502.0
4792,2019-02-07,1310.25,1321.2,1286.1,1290.4,1290.4,9212227.0
4791,2019-02-06,1296.25,1317.65,1294.25,1310.25,1310.25,9411585.0
4790,2019-02-05,1292.0,1304.4,1278.6,1291.55,1291.55,9362406.0
4789,2019-02-04,1247.0,1296.95,1242.05,1290.9,1290.9,11670570.0
4788,2019-02-01,1234.0,1255.0,1227.05,1249.95,1249.95,9228965.0
4787,2019-01-31,1202.0,1229.7,1201.0,1227.15,1227.15,10185347.0
4786,2019-01-30,1215.0,1225.0,1191.1,1195.7,1195.7,7846940.0
4785,2019-01-29,1231.0,1231.65,1201.35,1210.65,1210.65,9328866.0
4784,2019-01-28,1250.5,1255.95,1222.4,1229.55,1229.55,8569265.0
4783,2019-01-25,1250.45,1264.7,1235.4,1246.0,1246.0,8550836.0
4782,2019-01-24,1225.0,1253.2,1220.1,1247.45,1247.45,13155185.0
4781,2019-01-23,1233.3,1244.2,1222.0,1226.3,1226.3,8829502.0
4780,2019-01-22,1232.85,1246.95,1219.6,1235.15,1235.15,16552819.0
