,Date,Open,High,Low,Close,Adj Close,Volume
231,2019-06-14,276.95,297.9,276.95,294.0,294.0,2259868.0
230,2019-06-13,275.95,277.0,272.6,275.9,275.9,181818.0
229,2019-06-12,273.4,278.0,272.6,275.25,275.25,198055.0
228,2019-06-11,277.0,278.5,272.5,274.6,274.6,201105.0
227,2019-06-10,284.6,285.95,278.0,279.75,279.75,336471.0
226,2019-06-07,276.15,283.5,275.6,282.05,282.05,383875.0
225,2019-06-06,276.8,283.65,270.5,277.1,277.1,473984.0
224,2019-06-04,279.85,283.0,274.5,275.3,275.3,260346.0
223,2019-06-03,281.7,282.95,276.1,279.05,279.05,289734.0
222,2019-05-31,284.05,288.65,274.7,280.25,280.25,552692.0
221,2019-05-30,281.15,286.9,277.3,283.25,283.25,1183363.0
220,2019-05-29,273.65,280.8,267.1,277.5,277.5,2251059.0
219,2019-05-28,274.3,276.1,271.0,273.1,273.1,314270.0
218,2019-05-27,268.85,274.9,267.1,271.95,271.95,588633.0
217,2019-05-24,260.05,268.95,257.15,266.4,266.4,570865.0
216,2019-05-23,256.85,262.45,251.9,253.95,253.95,332993.0
215,2019-05-22,249.6,259.9,246.6,255.0,255.0,397652.0
214,2019-05-21,248.95,254.8,245.05,247.85,247.85,263644.0
213,2019-05-20,242.9,249.5,240.15,248.15,248.15,300362.0
212,2019-05-17,228.95,234.45,228.55,233.4,233.4,88552.0
211,2019-05-16,231.5,232.6,225.5,229.2,229.2,128236.0
210,2019-05-15,239.0,239.9,229.95,232.6,232.6,316762.0
209,2019-05-14,241.45,242.8,237.4,241.9,241.9,90193.0
208,2019-05-13,238.5,247.9,237.45,241.75,241.75,321248.0
207,2019-05-10,237.35,240.8,234.5,237.45,237.45,108836.0
206,2019-05-09,240.0,241.0,236.05,237.25,237.25,140946.0
205,2019-05-08,245.0,245.95,239.75,241.15,241.15,143000.0
204,2019-05-07,248.1,251.5,245.0,246.1,246.1,180217.0
203,2019-05-06,245.05,249.3,244.1,248.05,248.05,75012.0
202,2019-05-03,246.75,254.4,245.3,248.6,248.6,307740.0
201,2019-05-02,245.0,247.8,242.3,245.35,245.35,91909.0
200,2019-04-30,246.7,248.0,244.5,245.35,245.35,221125.0
199,2019-04-26,244.75,245.9,240.0,242.4,242.4,174173.0
198,2019-04-25,242.5,247.5,242.5,245.0,245.0,99140.0
197,2019-04-24,242.0,245.6,239.65,243.65,243.65,128060.0
