,Date,Open,High,Low,Close,Adj Close,Volume
394,2019-06-14,216.75,220.55,216.7,220.2,220.2,4236468.0
393,2019-06-13,215.9,217.0,215.25,215.75,215.75,3808934.0
392,2019-06-12,219.15,219.95,217.1,217.65,217.65,1019193.0
391,2019-06-11,215.15,221.85,215.15,219.8,219.8,1438325.0
390,2019-06-10,218.95,219.85,215.2,215.65,215.65,2536822.0
389,2019-06-07,220.1,220.8,219.05,219.4,219.4,1561337.0
388,2019-06-06,219.05,220.25,218.1,218.3,218.3,954061.0
387,2019-06-04,220.9,221.0,219.35,219.65,219.65,426264.0
386,2019-06-03,220.45,222.4,220.3,220.45,220.45,1107052.0
385,2019-05-31,221.55,222.9,220.15,220.3,220.3,911553.0
384,2019-05-30,222.0,222.7,221.15,221.7,221.7,1019035.0
383,2019-05-29,222.9,223.9,221.1,221.7,221.7,1198642.0
382,2019-05-28,222.9,223.9,221.2,222.75,222.75,1504949.0
381,2019-05-27,222.0,223.8,221.6,222.85,222.85,3015243.0
380,2019-05-24,228.0,231.9,224.5,227.6,227.6,5326401.0
379,2019-05-23,223.0,239.5,217.3,234.5,234.5,6091647.0
378,2019-05-22,209.1,221.4,209.0,218.15,218.15,2306779.0
377,2019-05-21,204.9,208.0,204.85,206.95,206.95,1140725.0
376,2019-05-20,208.0,209.0,202.15,205.55,205.55,608232.0
375,2019-05-17,209.7,212.0,198.0,202.0,202.0,1185179.0
374,2019-05-16,193.0,202.8,191.8,199.4,199.4,561989.0
373,2019-05-15,194.5,196.9,191.9,193.9,193.9,292173.0
372,2019-05-14,187.3,194.0,187.3,192.55,192.55,261050.0
371,2019-05-13,192.9,195.0,188.1,188.7,188.7,233986.0
370,2019-05-10,190.0,193.45,187.5,191.7,191.7,309878.0
369,2019-05-09,192.1,192.95,188.0,189.9,189.9,312161.0
368,2019-05-08,189.0,195.8,185.55,193.3,190.3,346530.0
367,2019-05-07,194.85,195.8,186.6,190.0,187.0512,320328.0
366,2019-05-06,193.7,196.9,191.0,193.35,190.3492,250219.0
365,2019-05-03,194.0,199.8,190.5,193.05,190.0539,435135.0
364,2019-05-02,198.0,203.0,190.0,192.45,189.4632,652028.0
363,2019-04-30,202.35,204.4,187.05,197.9,194.8286,775607.0
362,2019-04-26,203.4,208.0,199.0,202.5,199.3572,381426.0
361,2019-04-25,210.0,215.0,201.0,203.8,200.637,1332175.0
360,2019-04-24,190.9,211.8,190.9,208.4,205.1656,3786995.0
359,2019-04-23,188.0,192.0,184.0,188.3,185.3776,926884.0
358,2019-04-22,191.0,192.0,182.6,184.7,181.8335,1394159.0
357,2019-04-18,199.95,202.4,187.0,190.8,187.8388,463556.0
356,2019-04-16,198.7,202.25,197.55,198.65,195.567,285250.0
355,2019-04-15,194.65,199.0,193.5,196.7,193.6472,190634.0
354,2019-04-12,196.05,197.9,194.0,194.6,191.5798,130240.0
353,2019-04-11,197.0,198.95,195.4,195.85,192.8104,125630.0
352,2019-04-10,198.0,202.7,196.1,197.45,194.3856,492737.0
351,2019-04-09,201.0,201.05,193.1,198.15,195.0747,294816.0
350,2019-04-08,198.45,202.4,197.25,199.65,196.5514,738198.0
349,2019-04-05,197.0,203.15,194.25,196.9,193.8441,918956.0
348,2019-04-04,196.9,198.0,192.5,196.85,193.7949,241821.0
347,2019-04-03,200.1,202.0,195.05,195.6,192.5643,247510.0
346,2019-04-02,202.15,206.25,198.1,199.65,196.5514,351519.0
345,2019-04-01,211.45,213.7,201.5,202.55,199.4064,517638.0
344,2019-03-28,197.9,205.0,197.9,203.0,199.8495,757151.0
343,2019-03-27,192.3,207.25,191.0,197.7,194.6317,1643231.0
342,2019-03-26,189.6,196.6,187.35,188.75,185.8206,688329.0
341,2019-03-25,189.1,192.35,185.1,189.45,186.5097,283673.0
340,2019-03-22,193.2,196.95,185.8,189.2,186.2636,320418.0
339,2019-03-20,191.1,196.6,189.8,195.05,192.0228,1450866.0
338,2019-03-19,198.4,199.95,191.2,192.0,189.0202,415733.0
337,2019-03-18,195.1,197.9,191.6,193.25,190.2508,190735.0
336,2019-03-15,189.0,197.7,188.0,195.2,192.1705,486042.0
335,2019-03-14,203.8,203.8,188.3,191.25,188.2818,442083.0
334,2019-03-13,202.0,206.7,201.0,201.7,198.5696,284252.0
333,2019-03-12,204.0,209.4,199.0,200.95,197.8313,655214.0
332,2019-03-11,203.0,209.4,200.1,202.2,199.0619,695690.0
331,2019-03-08,196.55,222.8,196.55,203.55,200.3909,6385362.0
330,2019-03-07,184.9,200.75,182.75,194.25,191.2353,1256835.0
329,2019-03-06,190.3,193.25,178.2,183.9,181.0459,774150.0
328,2019-03-05,187.9,193.0,183.6,188.95,186.0175,269277.0
327,2019-03-01,183.1,193.95,182.2,186.55,183.6548,850298.0
326,2019-02-28,183.0,185.55,180.0,182.2,179.3723,199050.0
325,2019-02-27,196.0,199.15,181.0,181.8,178.9785,634106.0
324,2019-02-26,196.0,200.55,192.5,195.2,192.1705,461116.0
323,2019-02-25,199.85,206.8,196.2,201.9,198.7665,1091965.0
322,2019-02-22,193.75,211.9,191.55,200.55,197.4375,4284132.0
321,2019-02-21,155.5,185.2,151.05,185.2,182.3257,2983605.0
320,2019-02-20,150.1,156.5,150.1,154.35,151.9545,109432.0
319,2019-02-19,153.1,156.0,149.0,152.45,150.084,110171.0
318,2019-02-18,157.1,164.0,152.0,155.1,152.6929,236582.0
317,2019-02-15,160.4,162.85,149.0,150.85,148.5088,185196.0
316,2019-02-14,149.1,164.5,147.0,159.8,157.3199,1296635.0
315,2019-02-12,152.15,160.45,152.15,157.3,154.8587,249486.0
314,2019-02-11,162.0,169.0,152.1,154.5,152.1022,226479.0
313,2019-02-08,153.15,167.75,153.15,163.85,161.3071,358199.0
312,2019-02-07,160.4,160.4,152.6,155.1,152.6929,382237.0
311,2019-02-06,137.25,163.7,133.4,160.5,158.009,2018296.0
310,2019-02-05,131.1,149.9,127.8,136.9,134.7753,570821.0
309,2019-02-04,129.9,134.6,128.1,131.05,129.0161,147162.0
308,2019-02-01,139.0,139.0,135.0,135.5,133.397,564793.0
307,2019-01-31,136.6,137.9,133.95,136.3,134.1846,45422.0
306,2019-01-30,139.3,142.0,139.3,139.9,134.7753,34506.0
305,2019-01-29,139.0,141.9,138.75,139.95,134.8235,37822.0
304,2019-01-28,147.0,147.85,138.45,139.9,134.7753,85916.0
303,2019-01-25,146.6,150.0,146.0,146.75,141.3744,35009.0
302,2019-01-24,148.55,149.85,145.45,146.6,141.2299,46757.0
301,2019-01-23,154.95,155.1,147.0,148.55,143.1085,810935.0
300,2019-01-22,153.8,163.9,148.5,156.6,150.8636,1113364.0
299,2019-01-21,153.95,153.95,151.0,152.3,146.7211,33327.0
298,2019-01-18,154.9,154.9,151.85,152.25,146.6729,30265.0
297,2019-01-17,156.25,156.6,152.9,153.5,147.8771,75565.0
296,2019-01-16,155.3,156.6,153.1,154.8,149.1295,42077.0
295,2019-01-15,152.6,157.8,152.6,154.6,148.9368,47281.0
294,2019-01-14,153.8,155.95,152.55,154.45,148.7923,36615.0
293,2019-01-11,156.5,156.5,152.25,153.75,148.118,28948.0
