,Date,Open,High,Low,Close,Adj Close,Volume
3280,2019-06-14,263.0,269.0,258.8,266.55,266.55,253396.0
3279,2019-06-13,259.05,266.9,255.8,264.1,264.1,77993.0
3278,2019-06-12,259.0,261.0,257.0,259.7,259.7,132363.0
3277,2019-06-11,259.25,263.0,254.15,258.95,258.95,107878.0
3276,2019-06-10,262.0,264.95,254.0,259.25,259.25,98677.0
3275,2019-06-07,252.5,265.95,252.0,260.55,260.55,250650.0
3274,2019-06-06,256.7,258.65,250.85,253.35,253.35,125414.0
3273,2019-06-04,260.8,261.8,255.0,256.7,256.7,98504.0
3272,2019-06-03,262.0,263.05,252.0,256.9,256.9,155774.0
3271,2019-05-31,254.0,272.0,244.4,254.25,254.25,322010.0
3270,2019-05-30,267.05,273.0,254.9,257.25,257.25,107748.0
3269,2019-05-29,267.8,272.0,262.0,266.95,266.95,126540.0
3268,2019-05-28,268.1,274.45,265.25,267.5,267.5,413979.0
3267,2019-05-27,250.9,266.2,249.55,263.8,263.8,297494.0
3266,2019-05-24,245.4,253.9,244.15,248.5,248.5,332058.0
3265,2019-05-23,240.95,247.5,240.9,242.65,242.65,277706.0
3264,2019-05-22,242.55,245.0,229.0,233.2,233.2,416678.0
3263,2019-05-21,243.0,249.05,238.65,239.45,239.45,64783.0
3262,2019-05-20,231.0,254.0,225.0,243.55,243.55,138973.0
3261,2019-05-17,225.75,229.7,220.35,221.25,221.25,137854.0
3260,2019-05-16,221.0,228.0,217.05,225.7,225.7,127909.0
3259,2019-05-15,209.0,227.9,208.05,221.85,221.85,108326.0
3258,2019-05-14,214.8,214.8,207.15,210.1,210.1,28301.0
3257,2019-05-13,217.0,217.0,210.15,214.95,214.95,348797.0
3256,2019-05-10,221.25,230.8,216.0,218.9,218.9,43109.0
3255,2019-05-09,231.9,231.9,220.5,225.15,225.15,28798.0
3254,2019-05-08,234.0,237.85,224.1,227.35,227.35,156069.0
3253,2019-05-07,237.0,238.15,234.45,235.5,235.5,44723.0
3252,2019-05-06,236.0,238.65,235.0,236.25,236.25,212467.0
3251,2019-05-03,235.15,239.15,233.25,235.4,235.4,23417.0
3250,2019-05-02,235.05,239.9,234.8,235.15,235.15,18182.0
3249,2019-04-30,239.55,241.15,236.0,237.05,237.05,24605.0
3248,2019-04-26,238.0,243.5,237.1,240.35,240.35,722452.0
3247,2019-04-25,229.05,244.4,226.25,237.1,237.1,466621.0
3246,2019-04-24,229.65,232.0,226.0,228.7,228.7,431189.0
3245,2019-04-23,235.5,236.0,227.65,229.65,229.65,18123.0
3244,2019-04-22,235.6,237.0,233.5,234.75,234.75,554253.0
3243,2019-04-18,242.1,244.3,238.4,239.85,239.85,68661.0
3242,2019-04-16,244.9,245.4,241.25,242.25,242.25,17677.0
3241,2019-04-15,245.25,248.0,241.05,242.55,242.55,25040.0
3240,2019-04-12,243.8,247.95,240.05,245.25,245.25,23253.0
3239,2019-04-11,245.7,250.0,241.0,242.8,242.8,48785.0
3238,2019-04-10,246.5,247.0,242.8,246.15,246.15,17902.0
3237,2019-04-09,243.0,245.3,241.8,244.5,244.5,249698.0
3236,2019-04-08,239.8,246.0,239.8,243.1,243.1,326629.0
3235,2019-04-05,244.3,246.85,240.0,242.15,242.15,25988.0
3234,2019-04-04,245.0,247.45,242.45,244.65,244.65,286243.0
3233,2019-04-03,248.85,250.0,242.0,243.5,243.5,30959.0
3232,2019-04-02,244.4,250.0,242.5,248.0,248.0,50927.0
3231,2019-04-01,249.05,251.0,242.0,243.6,243.6,379302.0
3230,2019-03-28,251.85,255.9,245.0,245.7,245.7,87196.0
3229,2019-03-27,249.8,255.8,248.0,250.2,250.2,93339.0
3228,2019-03-26,250.3,257.9,240.0,247.85,247.85,414850.0
3227,2019-03-25,245.0,256.95,245.0,249.15,249.15,784232.0
3226,2019-03-22,251.75,255.25,245.25,246.9,246.9,213529.0
3225,2019-03-20,245.6,255.0,240.35,251.75,251.75,121585.0
3224,2019-03-19,242.35,243.0,236.5,242.15,242.15,54119.0
3223,2019-03-18,247.0,249.2,235.65,239.5,239.5,75429.0
3222,2019-03-15,257.9,258.7,242.1,246.0,246.0,199496.0
3221,2019-03-14,254.65,258.8,252.1,256.2,256.2,232860.0
3220,2019-03-13,247.0,254.0,245.4,250.75,250.75,503347.0
