,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,51.45,51.9,50.0,50.4,50.4,17899523.0
4873,2019-06-13,51.35,51.95,49.75,51.45,51.45,34964414.0
4872,2019-06-12,49.65,51.5,49.4,50.35,50.35,23301240.0
4871,2019-06-11,48.5,49.85,48.05,49.6,49.6,16527786.0
4870,2019-06-10,48.65,49.4,47.55,48.2,48.2,15443180.0
4869,2019-06-07,48.7,49.7,47.75,48.3,48.3,22133454.0
4868,2019-06-06,50.55,50.8,48.35,48.7,48.7,18743224.0
4867,2019-06-04,51.25,52.25,49.9,50.5,50.5,23146171.0
4866,2019-06-03,50.15,51.6,49.1,51.25,51.25,21129480.0
4865,2019-05-31,50.0,51.1,48.4,50.15,50.15,38814328.0
4864,2019-05-30,51.85,51.85,49.8,50.55,50.55,21450656.0
4863,2019-05-29,53.0,53.1,50.8,51.35,51.35,16358558.0
4862,2019-05-28,54.05,54.3,52.8,53.25,53.25,16382136.0
4861,2019-05-27,52.1,53.9,51.6,53.6,53.6,23072280.0
4860,2019-05-24,49.9,51.95,48.75,51.65,51.65,22739588.0
4859,2019-05-23,51.95,52.8,48.7,49.05,49.05,25561520.0
4858,2019-05-22,50.85,51.15,49.2,50.85,50.85,15936873.0
4857,2019-05-21,51.75,52.0,50.0,50.4,50.4,11358235.0
4856,2019-05-20,49.9,51.75,48.7,51.45,51.45,22687435.0
4855,2019-05-17,48.0,48.25,47.05,47.65,47.65,12535298.0
4854,2019-05-16,46.45,48.4,46.1,48.0,48.0,23386328.0
4853,2019-05-15,48.15,48.85,45.9,46.2,46.2,28957009.0
4852,2019-05-14,50.5,50.5,47.55,47.75,47.75,40357846.0
4851,2019-05-13,52.6,52.95,50.2,50.75,50.75,14206295.0
4850,2019-05-10,52.6,53.5,51.6,52.5,52.5,24838439.0
4849,2019-05-09,52.75,53.35,51.9,52.15,52.15,15583718.0
4848,2019-05-08,52.6,53.95,52.3,52.85,52.85,18834149.0
4847,2019-05-07,55.75,55.9,52.65,53.0,53.0,19603457.0
4846,2019-05-06,55.0,55.6,54.1,55.05,55.05,18665664.0
4845,2019-05-03,56.45,57.2,55.75,56.95,56.95,18244875.0
4844,2019-05-02,56.0,56.7,55.35,56.25,56.25,16403847.0
4843,2019-04-30,56.7,56.85,54.15,55.8,55.8,34709270.0
4842,2019-04-26,56.7,58.5,56.4,56.7,56.7,32374526.0
4841,2019-04-25,56.25,56.9,55.9,56.45,56.45,22828340.0
4840,2019-04-24,54.85,57.05,54.05,56.45,56.45,23743401.0
4839,2019-04-23,56.5,57.0,54.35,54.65,54.65,20596128.0
4838,2019-04-22,57.2,57.35,56.3,56.6,56.6,16966325.0
4837,2019-04-18,59.0,59.1,56.15,57.35,57.35,29811796.0
4836,2019-04-16,59.2,59.25,58.3,58.7,58.7,17623937.0
4835,2019-04-15,57.25,59.4,57.1,58.9,58.9,27820612.0
4834,2019-04-12,56.9,57.35,56.25,57.0,57.0,16971322.0
4833,2019-04-11,58.0,58.35,56.4,56.75,56.75,17667620.0
4832,2019-04-10,58.05,59.7,57.65,57.95,57.95,21357805.0
4831,2019-04-09,59.0,59.1,57.25,58.85,58.85,21779368.0
4830,2019-04-08,59.8,60.2,57.85,59.0,59.0,28542275.0
4829,2019-04-05,58.9,59.55,58.0,59.25,59.25,34061676.0
4828,2019-04-04,57.65,58.65,56.05,58.15,58.15,42400816.0
