,Date,Open,High,Low,Close,Adj Close,Volume
417,2019-06-14,699.95,701.0,696.0,699.55,699.55,375865.0
416,2019-06-13,700.0,709.0,694.0,699.35,699.35,437275.0
415,2019-06-12,699.9,702.0,695.25,699.95,699.95,387860.0
414,2019-06-11,695.5,705.0,694.05,701.0,701.0,402010.0
413,2019-06-10,697.0,700.0,695.15,699.1,699.1,449355.0
412,2019-06-07,698.9,702.0,694.05,698.45,698.45,680274.0
411,2019-06-06,697.0,700.35,689.5,696.35,696.35,1320152.0
410,2019-06-04,690.25,700.0,687.5,698.4,698.4,410079.0
409,2019-06-03,687.0,701.0,686.5,695.6,695.6,167500.0
408,2019-05-31,684.9,696.0,676.35,694.25,694.25,650980.0
407,2019-05-30,680.0,686.6,674.0,679.9,679.9,550276.0
406,2019-05-29,688.15,703.0,678.05,680.0,680.0,1286226.0
405,2019-05-28,700.0,703.9,685.1,698.75,698.75,373366.0
404,2019-05-27,682.0,704.0,681.5,698.9,698.9,1669747.0
403,2019-05-24,675.95,690.0,665.15,686.0,686.0,541134.0
402,2019-05-23,665.0,683.9,665.0,671.4,671.4,528882.0
401,2019-05-22,659.7,667.55,652.85,659.65,659.65,361789.0
400,2019-05-21,650.0,664.0,646.05,659.7,659.7,396784.0
399,2019-05-20,643.85,657.7,636.0,645.7,645.7,523465.0
398,2019-05-17,634.85,645.95,623.35,629.75,629.75,387017.0
397,2019-05-16,632.75,648.7,626.0,630.95,630.95,363954.0
396,2019-05-15,624.0,649.6,616.75,628.85,628.85,552190.0
395,2019-05-14,618.5,638.95,594.65,615.6,615.6,1232277.0
394,2019-05-13,639.8,645.85,608.5,620.0,620.0,324189.0
393,2019-05-10,650.1,668.0,639.2,642.05,642.05,758566.0
392,2019-05-09,651.05,656.5,641.0,652.25,652.25,347971.0
391,2019-05-08,655.05,661.4,649.95,650.55,650.55,290783.0
390,2019-05-07,658.0,665.25,658.0,662.1,662.1,400330.0
389,2019-05-06,660.0,667.8,652.2,660.0,660.0,510425.0
388,2019-05-03,650.0,666.0,648.95,664.15,664.15,809596.0
387,2019-05-02,639.95,658.0,639.95,650.5,650.5,1022283.0
386,2019-04-30,635.1,644.75,635.1,639.85,639.85,798810.0
385,2019-04-26,625.0,644.8,625.0,637.25,637.25,2193690.0
384,2019-04-25,609.6,619.7,608.05,614.35,614.35,225934.0
383,2019-04-24,602.0,615.0,600.25,610.3,610.3,222954.0
382,2019-04-23,618.0,618.9,598.0,600.2,600.2,1108991.0
381,2019-04-22,617.85,624.7,605.25,616.3,616.3,427291.0
380,2019-04-18,621.0,621.4,611.75,614.9,614.9,322285.0
379,2019-04-16,626.0,626.0,615.1,617.7,617.7,382679.0
378,2019-04-15,626.9,627.5,618.15,623.35,623.35,137884.0
377,2019-04-12,627.3,627.35,620.3,625.2,625.2,201752.0
376,2019-04-11,624.9,629.7,621.55,624.95,624.95,1717441.0
375,2019-04-10,621.0,626.5,617.0,621.35,621.35,471405.0
374,2019-04-09,629.5,629.5,615.0,618.2,618.2,391977.0
373,2019-04-08,611.0,628.0,610.55,619.8,619.8,1180323.0
372,2019-04-05,598.0,613.9,596.1,612.1,612.1,855081.0
371,2019-04-04,603.9,603.9,590.0,594.7,594.7,1064749.0
370,2019-04-03,600.0,615.0,595.0,601.95,601.95,999883.0
369,2019-04-02,600.0,603.9,591.05,601.15,599.15,687704.0
368,2019-04-01,584.9,599.9,583.4,598.2,596.2098,953998.0
367,2019-03-28,620.0,624.8,613.6,616.2,614.15,89907.0
366,2019-03-27,607.45,620.8,607.45,618.7,616.6416,302382.0
365,2019-03-26,612.0,617.9,606.8,609.6,607.5718,167512.0
364,2019-03-25,602.05,616.95,602.05,611.05,609.017,93192.0
363,2019-03-22,610.0,619.0,605.0,615.5,613.4523,741217.0
362,2019-03-20,613.85,620.0,607.6,612.85,610.811,816543.0
361,2019-03-19,613.0,622.75,602.0,611.9,609.8643,1038136.0
360,2019-03-18,616.05,620.9,606.05,610.8,608.7679,91435.0
359,2019-03-15,613.1,619.75,611.0,615.05,613.0037,505837.0
358,2019-03-14,619.0,620.95,611.0,614.9,612.8543,233675.0
357,2019-03-13,618.0,621.5,610.2,615.35,613.3027,253418.0
356,2019-03-12,623.0,634.9,612.0,622.9,620.8276,398863.0
355,2019-03-11,589.75,626.4,587.4,622.45,620.3791,693313.0
354,2019-03-08,587.0,596.4,585.4,587.15,585.1966,195823.0
