,Date,Open,High,Low,Close,Adj Close,Volume
4874,2019-06-14,345.5,346.35,342.55,343.8,343.8,10346280.0
4873,2019-06-13,343.0,347.45,339.8,346.5,346.5,15509543.0
4872,2019-06-12,346.95,346.95,342.3,344.0,344.0,11564970.0
4871,2019-06-11,345.05,348.3,342.85,347.1,347.1,16281297.0
4870,2019-06-10,346.0,347.3,340.15,344.3,344.3,20500542.0
4869,2019-06-07,337.0,342.75,336.0,342.05,342.05,29739710.0
4868,2019-06-06,349.0,349.6,335.9,336.9,336.9,41941144.0
4867,2019-06-04,354.0,357.2,351.4,352.4,352.4,18130636.0
4866,2019-06-03,352.35,356.45,349.65,355.45,355.45,18380919.0
4865,2019-05-31,354.35,357.9,344.65,352.5,352.5,32588069.0
4864,2019-05-30,349.75,355.0,347.5,353.55,353.55,25712604.0
4863,2019-05-29,358.0,359.0,347.15,348.65,348.65,28370210.0
4862,2019-05-28,360.95,361.7,356.65,360.05,360.05,23501608.0
4861,2019-05-27,355.05,362.5,354.0,361.7,361.7,31374994.0
4860,2019-05-24,344.95,357.0,343.5,355.35,355.35,35703403.0
4859,2019-05-23,353.0,364.0,339.2,342.2,342.2,74413322.0
4858,2019-05-22,338.9,342.6,333.55,341.1,341.1,32002499.0
4857,2019-05-21,345.9,347.55,336.25,337.55,337.55,33457162.0
4856,2019-05-20,332.0,345.8,331.0,344.7,344.7,53207071.0
4855,2019-05-17,315.65,321.95,313.45,319.25,319.25,25838962.0
4854,2019-05-16,312.5,317.1,309.55,315.75,315.75,18147559.0
4853,2019-05-15,316.2,317.9,311.0,312.1,312.1,27932459.0
4852,2019-05-14,307.85,316.75,305.1,314.65,314.65,30521436.0
4851,2019-05-13,310.0,314.2,305.3,306.9,306.9,40101505.0
4850,2019-05-10,301.8,310.75,292.45,308.05,308.05,60739833.0
4849,2019-05-09,297.6,301.0,296.1,299.3,299.3,12654440.0
4848,2019-05-08,303.95,305.3,296.75,298.25,298.25,22103678.0
4847,2019-05-07,310.7,313.4,303.75,305.45,305.45,15219641.0
4846,2019-05-06,306.8,310.3,305.9,308.75,308.75,10639216.0
4845,2019-05-03,309.0,311.8,308.8,310.0,310.0,12452689.0
4844,2019-05-02,308.05,311.4,305.65,308.15,308.15,16640100.0
4843,2019-04-30,312.0,312.0,305.0,309.95,309.95,18178758.0
4842,2019-04-26,306.9,313.5,306.6,312.5,312.5,14987906.0
4841,2019-04-25,311.0,312.0,305.4,306.2,306.2,30842477.0
4840,2019-04-24,305.85,311.95,303.6,310.75,310.75,15228591.0
4839,2019-04-23,310.05,313.75,304.6,305.25,305.25,17324274.0
4838,2019-04-22,308.8,312.3,306.35,310.05,310.05,15665440.0
4837,2019-04-18,315.8,315.8,308.05,310.8,310.8,15691168.0
4836,2019-04-16,316.6,319.4,314.7,315.75,315.75,14940726.0
4835,2019-04-15,315.5,318.7,313.75,315.6,315.6,13864791.0
4834,2019-04-12,314.6,316.4,311.2,315.25,315.25,14751964.0
4833,2019-04-11,311.0,315.4,308.7,314.9,314.9,14897935.0
4832,2019-04-10,314.85,317.05,310.0,310.9,310.9,19237974.0
4831,2019-04-09,313.95,315.7,308.1,314.75,314.75,25556039.0
4830,2019-04-08,318.25,319.25,311.1,312.8,312.8,17394139.0
4829,2019-04-05,323.7,323.7,315.0,317.05,317.05,23117232.0
4828,2019-04-04,321.5,325.75,318.3,321.8,321.8,27832294.0
4827,2019-04-03,331.0,332.45,319.5,320.5,320.5,30552104.0
4826,2019-04-02,323.65,331.0,322.1,329.0,329.0,27897583.0
4825,2019-04-01,321.8,327.65,321.05,322.75,322.75,22372357.0
4824,2019-03-28,310.1,339.65,309.05,319.0,319.0,63244736.0
4823,2019-03-27,305.25,310.85,304.35,308.8,308.8,35956450.0
4822,2019-03-26,294.75,305.0,294.75,303.5,303.5,18303791.0
4821,2019-03-25,294.0,295.45,292.2,294.0,294.0,16895511.0
4820,2019-03-22,304.3,306.4,296.95,298.05,298.05,17865957.0
4819,2019-03-20,302.8,304.65,300.05,303.8,303.8,18820555.0
4818,2019-03-19,300.15,306.6,299.15,303.05,303.05,27218691.0
4817,2019-03-18,298.9,300.9,294.65,298.95,298.95,23782967.0
4816,2019-03-15,292.6,301.3,292.5,298.4,298.4,37928480.0
4815,2019-03-14,294.5,294.7,290.75,291.9,291.9,16164017.0
4814,2019-03-13,288.1,294.4,284.7,293.15,293.15,23725641.0
4813,2019-03-12,289.2,289.9,285.75,286.9,286.9,20828136.0
4812,2019-03-11,285.3,289.0,283.5,287.35,287.35,22931245.0
4811,2019-03-08,281.85,284.25,279.6,281.2,281.2,19943319.0
4810,2019-03-07,279.45,282.5,277.65,281.75,281.75,14899105.0
4809,2019-03-06,277.3,282.55,276.45,278.1,278.1,22161376.0
4808,2019-03-05,271.7,277.85,271.2,276.45,276.45,21533972.0
4807,2019-03-01,270.55,274.6,270.1,272.95,272.95,20024726.0
4806,2019-02-28,267.7,270.8,267.65,269.05,269.05,31636468.0
4805,2019-02-27,268.0,272.7,266.55,267.65,267.65,20571652.0
4804,2019-02-26,266.8,268.2,263.25,266.35,266.35,15274303.0
4803,2019-02-25,271.3,271.4,267.9,270.15,270.15,20793897.0
4802,2019-02-22,267.9,271.9,267.6,270.95,270.95,12536918.0
4801,2019-02-21,270.3,271.0,267.3,268.0,268.0,13760702.0
4800,2019-02-20,264.5,268.3,264.3,267.7,267.7,15514595.0
4799,2019-02-19,260.9,267.5,260.3,262.9,262.9,19064306.0
4798,2019-02-18,264.4,265.5,258.8,259.95,259.95,14781744.0
