,Date,Open,High,Low,Close,Adj Close,Volume
3473,2019-06-14,480.1,486.95,478.0,483.6,483.6,17945.0
3472,2019-06-13,480.35,484.95,480.35,484.15,484.15,12125.0
3471,2019-06-12,484.45,484.85,480.0,483.55,483.55,7131.0
3470,2019-06-11,482.9,484.95,480.0,483.6,483.6,11482.0
3469,2019-06-10,478.4,487.95,477.7,486.1,486.1,15483.0
3468,2019-06-07,482.95,483.85,476.0,478.85,478.85,23235.0
3467,2019-06-06,483.25,484.95,480.0,484.3,484.3,13137.0
3466,2019-06-04,483.7,484.95,480.35,484.75,484.75,11943.0
3465,2019-06-03,486.2,486.2,476.2,484.85,484.85,10053.0
3464,2019-05-31,482.25,491.95,478.6,487.85,487.85,17729.0
3463,2019-05-30,484.9,490.95,483.2,489.95,489.95,12453.0
3462,2019-05-29,486.2,488.95,478.6,486.6,486.6,10804.0
3461,2019-05-28,491.55,491.55,480.5,486.2,486.2,19272.0
3460,2019-05-27,471.55,493.5,471.55,491.55,491.55,47910.0
3459,2019-05-24,474.85,480.0,470.0,477.7,477.7,26864.0
3458,2019-05-23,470.55,473.95,465.0,471.45,471.45,20026.0
3457,2019-05-22,461.65,472.0,459.05,470.55,470.55,22114.0
3456,2019-05-21,459.9,469.9,456.6,465.3,465.3,13362.0
3455,2019-05-20,460.05,470.95,447.5,459.9,459.9,52214.0
3454,2019-05-17,449.15,459.4,448.0,456.95,456.95,33362.0
3453,2019-05-16,454.0,456.95,445.3,449.15,449.15,124127.0
3452,2019-05-15,456.6,463.95,455.25,457.45,457.45,13052.0
3451,2019-05-14,452.9,464.5,448.0,461.85,461.85,227453.0
3450,2019-05-13,461.65,461.65,450.0,457.45,457.45,13485.0
3449,2019-05-10,459.1,467.0,452.0,460.2,460.2,12461.0
3448,2019-05-09,447.5,460.0,447.1,458.7,458.7,23292.0
3447,2019-05-08,445.0,456.1,439.3,453.9,453.9,70675.0
3446,2019-05-07,451.15,451.15,445.0,446.15,446.15,81500.0
3445,2019-05-06,452.5,454.65,448.3,453.5,453.5,25166.0
3444,2019-05-03,466.0,466.0,455.45,459.25,459.25,22001.0
3443,2019-05-02,451.0,474.7,443.0,469.1,469.1,107527.0
3442,2019-04-30,468.0,468.0,448.95,463.0,463.0,43949.0
3441,2019-04-26,458.2,471.3,454.3,468.1,468.1,41783.0
3440,2019-04-25,463.95,464.3,454.6,460.4,460.4,21717.0
3439,2019-04-24,449.5,464.3,447.55,459.9,459.9,44332.0
3438,2019-04-23,456.0,456.0,448.9,451.85,451.85,71184.0
3437,2019-04-22,447.2,455.8,446.6,452.85,452.85,14609.0
3436,2019-04-18,454.85,458.2,449.95,453.25,453.25,27869.0
3435,2019-04-16,457.75,459.0,450.0,456.15,456.15,34276.0
3434,2019-04-15,453.0,457.55,451.35,455.8,455.8,17463.0
3433,2019-04-12,452.95,455.0,443.05,451.3,451.3,18798.0
3432,2019-04-11,449.7,451.7,444.55,450.0,450.0,16089.0
3431,2019-04-10,442.0,456.0,442.0,446.6,446.6,218820.0
3430,2019-04-09,444.0,446.75,430.1,441.3,441.3,144861.0
3429,2019-04-08,456.0,456.0,442.0,444.3,444.3,57164.0
3428,2019-04-05,462.1,467.0,443.6,451.25,451.25,439262.0
3427,2019-04-04,471.55,478.5,460.85,463.55,463.55,54676.0
3426,2019-04-03,486.0,489.5,468.2,471.75,471.75,179218.0
3425,2019-04-02,470.55,482.0,467.7,477.6,477.6,913490.0
3424,2019-04-01,471.7,476.95,465.3,472.95,472.95,23671.0
3423,2019-03-28,465.0,468.95,461.6,464.85,464.85,22350.0
3422,2019-03-27,470.4,473.95,463.55,469.45,469.45,23653.0
3421,2019-03-26,460.75,475.95,456.05,470.4,470.4,70306.0
3420,2019-03-25,467.95,467.95,456.6,462.25,462.25,257040.0
3419,2019-03-22,472.25,472.25,463.15,465.95,465.95,21432.0
3418,2019-03-20,472.85,473.4,462.0,466.0,466.0,30341.0
3417,2019-03-19,479.15,479.35,472.0,475.95,475.95,22493.0
3416,2019-03-18,476.5,484.0,468.25,480.55,480.55,76132.0
3415,2019-03-15,472.4,474.1,468.05,469.7,469.7,18962.0
3414,2019-03-14,481.0,482.05,467.6,472.4,472.4,42147.0
3413,2019-03-13,481.95,482.35,472.95,480.85,480.85,18651.0
3412,2019-03-12,481.7,483.9,472.05,479.95,479.95,114694.0
3411,2019-03-11,472.0,479.0,463.5,477.65,477.65,69609.0
3410,2019-03-08,492.0,506.95,463.0,470.2,470.2,423093.0
3409,2019-03-07,490.0,491.65,481.0,488.45,488.45,35574.0
3408,2019-03-06,483.0,490.0,480.15,486.8,486.8,46505.0
3407,2019-03-05,481.0,483.4,478.05,479.95,479.95,47721.0
3406,2019-03-01,480.0,480.0,473.5,479.3,479.3,12922.0
3405,2019-02-28,480.0,480.0,475.0,479.2,479.2,57279.0
3404,2019-02-27,487.0,487.0,472.1,479.55,479.55,29013.0
3403,2019-02-26,485.05,489.45,475.1,481.3,481.3,11977.0
3402,2019-02-25,490.0,491.0,485.5,489.8,489.8,8730.0
3401,2019-02-22,487.05,492.0,485.2,490.0,490.0,10592.0
3400,2019-02-21,490.0,490.0,485.75,489.95,489.95,16701.0
3399,2019-02-20,490.0,497.95,486.85,490.15,490.15,32323.0
3398,2019-02-19,503.1,503.1,490.65,495.45,495.45,35756.0
3397,2019-02-18,502.55,510.0,494.15,505.05,505.05,12537.0
3396,2019-02-15,499.5,508.0,495.05,502.65,502.65,56121.0
3395,2019-02-14,509.8,509.8,493.65,500.1,500.1,38781.0
3394,2019-02-12,491.25,504.8,482.0,501.35,501.35,32574.0
3393,2019-02-11,498.5,503.95,494.0,494.85,494.85,40667.0
3392,2019-02-08,504.5,507.95,495.0,499.0,499.0,26602.0
3391,2019-02-07,499.4,505.75,495.65,503.75,503.75,16560.0
3390,2019-02-06,503.8,506.5,495.3,501.65,501.65,37277.0
3389,2019-02-05,500.2,509.75,493.5,506.3,506.3,17283.0
3388,2019-02-04,507.0,509.9,490.6,500.2,500.2,40623.0
3387,2019-02-01,515.0,521.8,504.1,512.95,512.95,32056.0
3386,2019-01-31,502.55,517.0,502.55,512.55,512.55,23838.0
3385,2019-01-30,509.35,517.0,500.9,509.75,509.75,41328.0
3384,2019-01-29,528.8,528.8,506.0,511.2,511.2,117990.0
3383,2019-01-28,512.05,522.0,507.5,519.15,519.15,12099.0
3382,2019-01-25,515.0,519.8,511.05,517.0,517.0,9315.0
3381,2019-01-24,517.95,521.0,510.95,519.8,519.8,11045.0
3380,2019-01-23,515.6,522.5,510.2,518.15,518.15,12653.0
3379,2019-01-22,515.45,522.0,510.1,519.3,519.3,18855.0
3378,2019-01-21,508.4,524.9,504.05,519.45,519.45,14094.0
3377,2019-01-18,506.15,514.0,503.0,508.4,508.4,13496.0
3376,2019-01-17,521.05,521.05,498.05,508.35,508.35,44560.0
3375,2019-01-16,520.05,525.0,513.35,522.6,522.6,22465.0
3374,2019-01-15,513.15,523.5,511.0,517.2,517.2,23678.0
3373,2019-01-14,514.95,519.2,510.2,516.2,516.2,10699.0
3372,2019-01-11,525.0,528.0,511.4,521.75,521.75,26010.0
3371,2019-01-10,501.05,529.95,501.0,526.25,526.25,56913.0
3370,2019-01-09,501.4,507.0,501.0,504.95,504.95,29505.0
