,Date,Open,High,Low,Close,Adj Close,Volume
4484,2019-06-14,20731.5996,20900.0,20305.0,20463.25,20463.25,13119.0
4483,2019-06-13,20600.0,20875.0,20410.8008,20760.1992,20760.1992,30731.0
4482,2019-06-12,20779.0,20779.0,20324.0996,20546.0996,20546.0996,33923.0
4481,2019-06-11,20790.0,20949.9004,20576.0,20782.1992,20782.1992,10997.0
4480,2019-06-10,20849.8008,20972.1992,20657.6992,20807.6992,20807.6992,26806.0
4479,2019-06-07,20500.0996,20999.9004,20410.0,20739.1992,20739.1992,21847.0
4478,2019-06-06,21300.0,21686.9004,20466.1992,20618.4004,20618.4004,39208.0
4477,2019-06-04,21676.0,22080.0,21125.5996,21200.5,21200.5,24518.0
4476,2019-06-03,21605.0996,21950.0,21549.5996,21877.6992,21877.6992,17878.0
4475,2019-05-31,21400.0,21787.9004,21367.0996,21618.8008,21618.8008,51448.0
4474,2019-05-30,21598.0996,21950.0,21280.6992,21435.6992,21435.6992,26839.0
4473,2019-05-29,21699.8008,21699.8008,21406.3008,21636.8008,21636.8008,11962.0
4472,2019-05-28,21465.0,21779.0,21229.0,21651.6992,21651.6992,45825.0
4471,2019-05-27,20899.9004,21600.0,20852.1992,21471.0,21471.0,44826.0
4470,2019-05-24,20953.0,21107.5,20805.8008,20927.1992,20927.1992,37282.0
4469,2019-05-23,20585.0,21272.8008,20476.3008,20817.8008,20817.8008,77139.0
4468,2019-05-22,20352.0,20480.6992,20022.0,20207.5,20207.5,28563.0
4467,2019-05-21,20344.8008,20935.0,20243.0996,20480.6992,20480.6992,40706.0
4466,2019-05-20,19832.0,20656.9004,19756.4004,20346.1992,20346.1992,55622.0
4465,2019-05-17,19350.0,19748.0,19000.0,19480.5996,19480.5996,34590.0
4464,2019-05-16,19000.0,19657.9004,18705.1992,19417.6992,19417.6992,26654.0
4463,2019-05-15,18995.0,19217.5996,18865.5,19013.5996,19013.5996,26379.0
4462,2019-05-14,18723.0996,19062.3008,18540.4004,18954.1992,18954.1992,19376.0
4461,2019-05-13,19030.0,19093.5,18564.1992,18817.1992,18817.1992,23573.0
4460,2019-05-10,19250.0,19366.0,18900.0,18983.3008,18983.3008,34078.0
4459,2019-05-09,19727.3008,19769.4004,19198.0,19318.9004,19318.9004,23751.0
4458,2019-05-08,19800.1992,19900.0,19488.0,19832.5,19832.5,28232.0
4457,2019-05-07,19820.0,19995.0,19555.0,19766.5996,19766.5996,29843.0
4456,2019-05-06,19800.0,19919.1992,19591.0,19766.4004,19766.4004,16459.0
4455,2019-05-03,19776.0,20100.0,19776.0,19871.8008,19871.8008,16086.0
4454,2019-05-02,19750.0,20000.8008,19577.5996,19899.9004,19899.9004,17985.0
4453,2019-04-30,19950.0996,20200.0,19622.3008,19789.5,19789.5,32656.0
4452,2019-04-26,20000.0,20093.0,19850.0,20015.9004,20015.9004,40592.0
4451,2019-04-25,19400.0,20140.0996,19281.5996,19901.8008,19901.8008,87157.0
4450,2019-04-24,19250.0,19425.0,18917.0,19397.4004,19397.4004,38710.0
