,Date,Open,High,Low,Close,Adj Close,Volume
3258,2019-06-14,1154.1,1180.0,1150.0,1165.3,1165.3,8795.0
3257,2019-06-13,1154.95,1175.0,1154.95,1171.2,1171.2,9241.0
3256,2019-06-12,1158.15,1174.05,1150.0,1155.6,1155.6,2011.0
3255,2019-06-11,1175.35,1180.0,1164.05,1173.85,1173.85,4446.0
3254,2019-06-10,1165.0,1184.95,1165.0,1179.3,1179.3,3065.0
3253,2019-06-07,1169.95,1170.0,1150.0,1162.8,1162.8,1855.0
3252,2019-06-06,1145.8,1171.2,1136.55,1164.95,1164.95,4130.0
3251,2019-06-04,1186.0,1193.0,1151.1,1158.3,1158.3,33987.0
3250,2019-06-03,1180.0,1194.0,1165.0,1186.3,1186.3,4931.0
3249,2019-05-31,1180.0,1187.0,1165.0,1176.2,1176.2,2083.0
3248,2019-05-30,1171.0,1186.2,1155.05,1175.2,1175.2,1904.0
3247,2019-05-29,1197.2,1197.2,1160.1,1168.35,1168.35,3827.0
3246,2019-05-28,1219.55,1221.0,1195.0,1197.2,1197.2,3848.0
3245,2019-05-27,1190.0,1210.0,1162.55,1200.85,1200.85,14007.0
3244,2019-05-24,1132.45,1180.0,1110.1,1176.8,1176.8,14101.0
3243,2019-05-23,1140.0,1159.0,1071.5,1132.95,1132.95,13781.0
3242,2019-05-22,1135.0,1199.0,1126.0,1132.9,1132.9,10042.0
3241,2019-05-21,1122.65,1130.2,1090.0,1103.25,1103.25,18944.0
3240,2019-05-20,1080.85,1128.0,1079.5,1122.6,1122.6,5863.0
3239,2019-05-17,1124.0,1134.0,1070.0,1079.5,1079.5,4816.0
3238,2019-05-16,1065.85,1120.0,1065.85,1112.65,1112.65,249025.0
3237,2019-05-15,1062.7,1089.0,1062.4,1081.65,1081.65,1701.0
3236,2019-05-14,1056.75,1080.0,1038.05,1073.15,1073.15,115570.0
3235,2019-05-13,1077.0,1077.0,1015.6,1062.75,1062.75,24573.0
3234,2019-05-10,1086.95,1087.45,1056.2,1062.75,1062.75,3036.0
3233,2019-05-09,1078.4,1080.0,1060.05,1071.45,1071.45,3183.0
3232,2019-05-08,1057.9,1073.7,1057.9,1062.45,1062.45,969.0
3231,2019-05-07,1064.35,1087.75,1061.0,1071.5,1071.5,1258.0
3230,2019-05-06,1091.15,1093.95,1065.5,1072.45,1072.45,976.0
