,Date,Open,High,Low,Close,Adj Close,Volume
4224,2019-06-14,1080.0,1106.25,1065.25,1084.95,1084.95,1529952.0
4223,2019-06-13,1061.0,1095.35,1037.0,1083.85,1083.85,1864074.0
4222,2019-06-12,1113.0,1113.0,1058.2,1068.2,1068.2,1406515.0
4221,2019-06-11,1080.0,1116.0,1069.0,1109.8,1109.8,1349634.0
4220,2019-06-10,1094.0,1114.5,1049.1,1076.05,1076.05,1354550.0
4219,2019-06-07,1074.0,1107.0,1062.3,1092.6,1092.6,1987245.0
4218,2019-06-06,1165.9,1167.0,1058.05,1065.5,1065.5,2304331.0
4217,2019-06-04,1175.0,1187.0,1162.0,1165.4,1165.4,1033967.0
4216,2019-06-03,1174.7,1191.8,1160.6,1169.55,1169.55,1906513.0
4215,2019-05-31,1136.8,1217.95,1135.0,1164.3,1164.3,3924356.0
4214,2019-05-30,1115.05,1132.0,1106.85,1127.75,1127.75,685509.0
4213,2019-05-29,1127.0,1136.8,1105.1,1109.45,1109.45,704044.0
4212,2019-05-28,1141.0,1159.6,1123.1,1135.85,1135.85,1400883.0
4211,2019-05-27,1112.5,1148.95,1105.2,1138.25,1138.25,1215016.0
4210,2019-05-24,1068.0,1111.8,1039.0,1107.6,1107.6,2019393.0
4209,2019-05-23,1083.5,1126.4,1047.05,1063.9,1063.9,1914450.0
4208,2019-05-22,1085.0,1085.0,1047.5,1064.8,1064.8,1245979.0
4207,2019-05-21,1105.8,1142.9,1081.2,1086.05,1086.05,1222072.0
4206,2019-05-20,1071.0,1122.0,1071.0,1097.45,1097.45,1073658.0
4205,2019-05-17,1001.0,1045.0,999.1,1032.8,1032.8,901172.0
4204,2019-05-16,1025.0,1027.0,997.1,1002.4,1002.4,523806.0
4203,2019-05-15,1027.0,1039.75,1014.7,1020.0,1020.0,913909.0
4202,2019-05-14,1003.9,1038.75,991.8,1018.45,1018.45,1271919.0
4201,2019-05-13,1018.8,1030.1,980.3,987.55,987.55,849741.0
4200,2019-05-10,1025.0,1049.9,1012.2,1018.95,1018.95,1266794.0
4199,2019-05-09,1008.0,1043.0,991.0,1033.05,1033.05,3085519.0
4198,2019-05-08,1017.0,1052.05,1012.45,1027.25,1027.25,1629244.0
4197,2019-05-07,1065.0,1073.75,1015.35,1023.0,1023.0,1011355.0
4196,2019-05-06,1065.0,1072.4,1050.0,1058.85,1058.85,844401.0
4195,2019-05-03,1096.5,1099.0,1068.55,1079.65,1079.65,1006437.0
4194,2019-05-02,1094.0,1109.9,1088.35,1092.8,1092.8,638073.0
4193,2019-04-30,1134.0,1138.95,1086.0,1110.95,1110.95,1278397.0
4192,2019-04-26,1157.0,1169.0,1121.55,1135.5,1135.5,732790.0
4191,2019-04-25,1184.95,1194.0,1146.0,1153.1,1153.1,731324.0
4190,2019-04-24,1167.0,1185.0,1149.6,1179.0,1179.0,728916.0
4189,2019-04-23,1171.4,1177.65,1151.95,1165.95,1165.95,1799090.0
4188,2019-04-22,1213.5,1215.4,1163.95,1168.45,1168.45,659285.0
4187,2019-04-18,1237.0,1242.0,1202.65,1215.65,1215.65,657666.0
4186,2019-04-16,1216.5,1247.0,1203.4,1229.6,1229.6,852909.0
4185,2019-04-15,1232.35,1237.9,1216.05,1220.95,1220.95,465361.0
4184,2019-04-12,1214.1,1227.55,1213.05,1225.05,1225.05,646199.0
4183,2019-04-11,1198.0,1224.0,1197.7,1209.75,1209.75,1338563.0
4182,2019-04-10,1222.5,1237.4,1184.25,1196.9,1196.9,1606319.0
4181,2019-04-09,1247.5,1257.7,1217.6,1222.95,1222.95,1033760.0
4180,2019-04-08,1230.0,1249.0,1207.45,1241.75,1241.75,793701.0
4179,2019-04-05,1215.0,1245.7,1209.1,1223.7,1223.7,995077.0
4178,2019-04-04,1210.0,1219.9,1195.65,1208.0,1208.0,721456.0
4177,2019-04-03,1200.0,1226.0,1193.45,1198.45,1198.45,1723766.0
4176,2019-04-02,1238.0,1252.2,1180.45,1198.2,1198.2,1357107.0
4175,2019-04-01,1280.0,1290.0,1227.0,1236.05,1236.05,823295.0
4174,2019-03-28,1254.0,1294.0,1254.0,1278.25,1278.25,2036322.0
4173,2019-03-27,1208.5,1263.35,1197.0,1245.7,1245.7,2958028.0
4172,2019-03-26,1211.0,1214.0,1190.5,1204.1,1204.1,642825.0
4171,2019-03-25,1191.3,1209.95,1181.2,1199.7,1199.7,1143801.0
4170,2019-03-22,1212.7,1230.0,1190.0,1198.55,1198.55,1153225.0
4169,2019-03-20,1225.0,1225.45,1194.8,1206.75,1206.75,1299737.0
4168,2019-03-19,1240.0,1247.9,1217.75,1220.9,1220.9,872238.0
4167,2019-03-18,1279.8,1285.0,1230.0,1237.95,1237.95,1297494.0
4166,2019-03-15,1248.05,1272.5,1245.2,1267.1,1267.1,1032597.0
4165,2019-03-14,1293.5,1293.5,1235.15,1246.8,1246.8,983356.0
4164,2019-03-13,1280.0,1297.0,1266.05,1280.3,1280.3,981853.0
4163,2019-03-12,1270.0,1285.0,1261.2,1272.45,1272.45,953598.0
4162,2019-03-11,1229.6,1269.9,1218.55,1259.45,1259.45,828571.0
4161,2019-03-08,1219.1,1227.95,1206.15,1220.4,1220.4,677422.0
4160,2019-03-07,1244.75,1248.15,1220.0,1229.1,1229.1,432730.0
4159,2019-03-06,1229.0,1266.75,1226.2,1240.45,1240.45,1128999.0
4158,2019-03-05,1165.0,1237.7,1164.05,1228.8,1228.8,1960352.0
4157,2019-03-01,1144.4,1165.0,1144.4,1159.9,1159.9,835837.0
4156,2019-02-28,1126.8,1148.6,1125.0,1142.25,1142.25,806627.0
4155,2019-02-27,1130.0,1154.15,1122.9,1128.95,1128.95,1273281.0
4154,2019-02-26,1090.0,1141.55,1080.3,1129.7,1129.7,1472771.0
4153,2019-02-25,1085.9,1106.4,1073.8,1099.3,1099.3,1029089.0
4152,2019-02-22,1058.0,1079.9,1051.5,1073.8,1073.8,538523.0
4151,2019-02-21,1055.4,1068.0,1049.3,1055.5,1055.5,782103.0
4150,2019-02-20,1010.0,1059.55,1008.05,1051.0,1051.0,1936192.0
4149,2019-02-19,1004.0,1023.2,996.25,1000.95,1000.95,971434.0
4148,2019-02-18,1005.2,1014.95,994.8,1002.9,1002.9,976065.0
4147,2019-02-15,1041.0,1045.25,997.0,1002.0,1002.0,1242259.0
4146,2019-02-14,1042.0,1055.5,1034.0,1046.9,1046.9,1047473.0
4145,2019-02-12,1059.0,1070.0,1033.5,1042.65,1042.65,1178920.0
4144,2019-02-11,1087.0,1087.0,1050.1,1056.25,1056.25,455117.0
4143,2019-02-08,1095.0,1095.0,1063.6,1071.6,1071.6,655043.0
4142,2019-02-07,1068.0,1110.0,1068.0,1100.85,1100.85,1530056.0
4141,2019-02-06,1075.0,1077.85,1050.55,1068.1,1068.1,1129650.0
4140,2019-02-05,1020.0,1073.95,1018.15,1068.1,1068.1,1113882.0
4139,2019-02-04,1040.0,1044.0,1010.0,1024.75,1024.75,775225.0
4138,2019-02-01,1016.0,1059.0,1010.0,1047.1,1047.1,2001341.0
4137,2019-01-31,1016.0,1024.95,991.35,1015.35,1015.35,2021427.0
4136,2019-01-30,1025.0,1036.6,1002.6,1014.7,1014.7,1722444.0
4135,2019-01-29,1055.0,1055.95,995.0,1026.6,1026.6,3752941.0
4134,2019-01-28,1124.0,1124.0,1043.15,1055.7,1055.7,2398246.0
4133,2019-01-25,1120.0,1133.15,1109.0,1120.15,1120.15,1191243.0
4132,2019-01-24,1098.8,1121.0,1086.1,1114.55,1114.55,816136.0
4131,2019-01-23,1096.0,1107.0,1080.05,1088.05,1088.05,1240765.0
4130,2019-01-22,1111.0,1122.6,1089.1,1096.15,1096.15,1461298.0
4129,2019-01-21,1139.0,1140.75,1106.9,1114.7,1114.7,1088957.0
4128,2019-01-18,1159.0,1167.4,1131.35,1135.8,1135.8,1077840.0
4127,2019-01-17,1188.0,1207.6,1143.0,1149.5,1149.5,2060773.0
4126,2019-01-16,1190.0,1199.7,1175.0,1188.2,1188.2,1185014.0
4125,2019-01-15,1171.0,1192.5,1165.45,1188.2,1188.2,777787.0
4124,2019-01-14,1190.8,1191.05,1144.75,1169.05,1169.05,553691.0
4123,2019-01-11,1197.7,1197.7,1171.1,1189.7,1189.7,673078.0
4122,2019-01-10,1208.0,1220.85,1180.0,1186.35,1186.35,876768.0
4121,2019-01-09,1192.75,1217.0,1188.55,1209.95,1209.95,834425.0
4120,2019-01-08,1177.0,1196.8,1165.8,1192.75,1192.75,760825.0
4119,2019-01-07,1173.6,1188.0,1158.85,1176.3,1176.3,900132.0
4118,2019-01-04,1150.0,1171.95,1133.0,1162.65,1162.65,1661620.0
4117,2019-01-03,1195.0,1206.0,1141.25,1152.9,1152.9,1545225.0
4116,2019-01-02,1230.1,1252.0,1176.55,1195.4,1195.4,1588301.0
4115,2019-01-01,1244.95,1246.75,1219.2,1229.75,1229.75,545844.0
4114,2018-12-31,1230.4,1258.0,1230.4,1239.95,1239.95,1141657.0
4113,2018-12-28,1224.0,1231.9,1216.25,1224.45,1224.45,531808.0
4112,2018-12-27,1224.0,1248.65,1215.5,1226.7,1226.7,826888.0
4111,2018-12-26,1199.0,1229.0,1178.7,1220.05,1220.05,1167779.0
4110,2018-12-24,1208.7,1210.0,1177.25,1199.7,1199.7,1111579.0
4109,2018-12-21,1268.1,1273.15,1192.5,1200.5,1200.5,2379618.0
4108,2018-12-20,1265.0,1291.25,1252.3,1267.1,1267.1,1020893.0
4107,2018-12-19,1210.95,1285.0,1206.1,1275.05,1275.05,2646189.0
4106,2018-12-18,1197.9,1208.0,1180.1,1200.15,1200.15,727443.0
4105,2018-12-17,1180.0,1204.0,1168.0,1196.25,1196.25,753807.0
4104,2018-12-14,1179.3,1205.0,1162.0,1178.6,1178.6,2101001.0
4103,2018-12-13,1163.9,1223.75,1159.5,1172.0,1172.0,2165479.0
4102,2018-12-12,1144.95,1171.0,1130.2,1155.3,1155.3,853450.0
4101,2018-12-11,1070.1,1164.85,1067.85,1144.55,1144.55,1201243.0
4100,2018-12-10,1052.25,1102.0,1052.25,1091.25,1091.25,750361.0
4099,2018-12-07,1113.0,1116.55,1081.1,1093.9,1093.9,665488.0
4098,2018-12-06,1105.1,1123.9,1094.2,1105.05,1105.05,991771.0
4097,2018-12-05,1142.0,1149.0,1110.15,1123.25,1123.25,1150683.0
4096,2018-12-04,1163.1,1173.5,1145.3,1149.75,1149.75,899577.0
4095,2018-12-03,1158.5,1176.5,1138.25,1163.05,1163.05,919096.0
4094,2018-11-30,1186.2,1193.55,1147.9,1155.5,1155.5,1246110.0
4093,2018-11-29,1135.0,1185.9,1135.0,1177.95,1177.95,1637214.0
4092,2018-11-28,1102.85,1139.7,1090.0,1133.2,1133.2,1190442.0
4091,2018-11-27,1099.0,1116.05,1080.3,1100.4,1100.4,1314979.0
4090,2018-11-26,1155.0,1177.85,1083.0,1109.45,1109.45,1998687.0
4089,2018-11-22,1192.0,1202.45,1142.65,1155.45,1155.45,726128.0
4088,2018-11-21,1185.0,1209.0,1164.5,1185.55,1185.55,1068472.0
4087,2018-11-20,1229.5,1229.5,1182.0,1192.6,1192.6,851877.0
4086,2018-11-19,1250.0,1250.0,1210.0,1220.4,1220.4,749722.0
4085,2018-11-16,1267.5,1275.0,1218.0,1235.2,1235.2,1126590.0
4084,2018-11-15,1240.0,1265.05,1211.0,1260.5,1260.5,831437.0
4083,2018-11-14,1232.1,1271.9,1228.0,1239.35,1239.35,1246982.0
4082,2018-11-13,1210.0,1230.1,1170.0,1216.5,1216.5,1089517.0
4081,2018-11-12,1230.0,1251.75,1212.55,1216.7,1216.7,893836.0
4080,2018-11-09,1221.0,1244.9,1208.65,1229.85,1229.85,842946.0
4079,2018-11-07,1220.0,1234.95,1209.9,1223.3,1223.3,118980.0
4078,2018-11-06,1240.0,1255.3,1205.0,1213.35,1213.35,761424.0
4077,2018-11-05,1240.05,1253.55,1205.6,1245.75,1245.75,684397.0
4076,2018-11-02,1214.1,1265.05,1214.1,1254.0,1249.0,1359503.0
4075,2018-11-01,1168.0,1220.0,1163.15,1213.35,1208.5121,1690900.0
4074,2018-10-31,1127.65,1170.0,1072.0,1164.8,1160.1556,2057363.0
4073,2018-10-30,1070.0,1134.85,1068.0,1119.75,1115.2853,1657603.0
4072,2018-10-29,1059.75,1095.5,1029.5,1083.9,1079.5782,1779232.0
4071,2018-10-26,1100.65,1113.9,1041.0,1071.75,1067.4767,1689672.0
4070,2018-10-25,1033.0,1094.25,1023.65,1084.65,1080.3252,1522381.0
4069,2018-10-24,1020.0,1064.0,1008.4,1053.0,1048.8014,1699053.0
4068,2018-10-23,1017.4,1034.5,992.6,1005.3,1001.2916,1623833.0
4067,2018-10-22,1027.95,1052.0,1005.0,1017.4,1013.3434,944260.0
4066,2018-10-19,1002.0,1029.0,981.7,1009.75,1005.7239,1996964.0
4065,2018-10-17,1095.0,1098.15,998.0,1006.25,1002.2379,1415378.0
