,Date,Open,High,Low,Close,Adj Close,Volume
4630,2019-06-14,185.95,187.0,180.1,181.65,181.65,1385991.0
4629,2019-06-13,195.5,195.5,184.35,186.7,186.7,2949444.0
4628,2019-06-12,192.75,197.9,191.85,195.75,195.75,4371697.0
4627,2019-06-11,190.0,194.4,183.0,191.55,191.55,13308240.0
4626,2019-06-10,172.65,175.1,169.8,173.55,173.55,984856.0
4625,2019-06-07,174.0,174.75,168.5,171.2,171.2,967489.0
4624,2019-06-06,174.2,178.3,170.8,173.7,173.7,1663930.0
4623,2019-06-04,175.8,177.7,172.75,173.8,173.8,1148187.0
4622,2019-06-03,173.3,177.8,170.6,175.75,175.75,1963661.0
4621,2019-05-31,177.5,181.5,170.95,173.45,173.45,3380844.0
4620,2019-05-30,174.2,179.4,172.05,177.25,177.25,2257618.0
4619,2019-05-29,173.55,178.2,170.15,174.65,174.65,2869306.0
4618,2019-05-28,176.4,180.0,171.15,173.7,173.7,3574940.0
4617,2019-05-27,168.1,177.6,168.0,175.8,175.8,6946074.0
4616,2019-05-24,152.0,174.0,143.8,168.35,168.35,11870965.0
4615,2019-05-23,163.0,165.95,146.55,148.7,148.7,5187555.0
4614,2019-05-22,165.4,165.7,159.5,161.8,161.8,1982466.0
4613,2019-05-21,169.65,169.65,163.2,164.35,164.35,923026.0
4612,2019-05-20,175.0,176.95,167.6,168.1,168.1,1740870.0
4611,2019-05-17,166.8,169.6,165.55,166.75,166.75,863038.0
4610,2019-05-16,167.25,170.25,163.5,167.05,167.05,1846345.0
4609,2019-05-15,167.2,171.6,165.25,166.0,166.0,2424668.0
4608,2019-05-14,179.0,179.5,164.2,165.7,165.7,4092646.0
4607,2019-05-13,182.35,183.95,178.0,178.75,178.75,1032010.0
4606,2019-05-10,186.0,186.9,182.0,182.45,182.45,859488.0
4605,2019-05-09,183.9,186.9,183.5,185.15,185.15,1071188.0
4604,2019-05-08,191.0,196.0,182.6,183.85,183.85,3116373.0
4603,2019-05-07,200.0,204.4,191.65,193.1,193.1,3862632.0
4602,2019-05-06,189.9,192.85,187.15,191.8,191.8,1544011.0
