,Date,Open,High,Low,Close,Adj Close,Volume
3528,2019-06-14,332.05,332.05,326.0,327.8,327.8,17212.0
3527,2019-06-13,324.0,334.4,323.05,329.4,329.4,19226.0
3526,2019-06-12,327.75,328.8,323.0,324.15,324.15,9074.0
3525,2019-06-11,328.1,328.1,325.0,326.55,326.55,9757.0
3524,2019-06-10,335.0,335.0,325.05,325.75,325.75,7754.0
3523,2019-06-07,332.95,335.05,328.0,331.05,331.05,17869.0
3522,2019-06-06,335.0,339.9,329.7,333.25,333.25,15308.0
3521,2019-06-04,337.1,338.0,333.3,334.2,334.2,9098.0
3520,2019-06-03,344.9,344.9,331.65,334.85,334.85,9155.0
3519,2019-05-31,341.0,342.5,332.0,333.25,333.25,17433.0
3518,2019-05-30,341.6,344.35,337.0,339.6,339.6,24756.0
3517,2019-05-29,337.2,344.9,335.05,338.85,338.85,26518.0
3516,2019-05-28,338.3,344.4,335.0,337.2,337.2,63616.0
3515,2019-05-27,324.0,339.0,320.0,336.15,336.15,81263.0
3514,2019-05-24,311.7,328.0,308.0,323.85,323.85,158697.0
3513,2019-05-23,315.0,315.0,307.0,307.85,307.85,22700.0
3512,2019-05-22,314.0,315.9,307.0,310.0,310.0,30628.0
3511,2019-05-21,313.0,314.6,302.0,308.5,308.5,34222.0
3510,2019-05-20,331.9,331.9,297.8,310.4,310.4,47351.0
3509,2019-05-17,309.1,319.0,309.1,316.8,316.8,8939.0
3508,2019-05-16,309.35,334.7,309.25,311.85,311.85,64128.0
3507,2019-05-15,312.1,316.3,308.0,310.35,310.35,16962.0
3506,2019-05-14,312.15,318.4,304.05,312.65,312.65,32143.0
3505,2019-05-13,307.0,315.0,306.8,307.55,307.55,18699.0
3504,2019-05-10,312.0,315.85,308.0,309.0,309.0,17887.0
3503,2019-05-09,314.0,319.85,308.65,311.2,311.2,25376.0
3502,2019-05-08,327.5,327.5,316.1,318.2,318.2,23623.0
3501,2019-05-07,331.6,332.2,322.5,325.05,325.05,18805.0
3500,2019-05-06,335.0,335.0,327.5,331.6,331.6,12832.0
3499,2019-05-03,330.5,338.0,323.25,335.5,335.5,25082.0
3498,2019-05-02,338.95,339.7,333.0,333.55,333.55,11101.0
3497,2019-04-30,333.3,343.0,324.5,334.65,334.65,54924.0
3496,2019-04-26,333.0,339.35,330.95,334.25,334.25,33847.0
3495,2019-04-25,328.9,339.9,328.9,331.1,331.1,29687.0
3494,2019-04-24,330.0,331.95,323.4,327.25,327.25,19659.0
3493,2019-04-23,331.0,336.8,327.7,329.75,329.75,26251.0
3492,2019-04-22,344.15,344.15,330.0,331.8,331.8,26611.0
3491,2019-04-18,364.0,364.0,341.3,344.15,344.15,48000.0
3490,2019-04-16,361.95,367.05,358.1,359.35,359.35,18143.0
3489,2019-04-15,374.0,375.8,356.0,359.9,359.9,52667.0
3488,2019-04-12,366.5,370.0,360.3,366.9,366.9,21287.0
3487,2019-04-11,357.7,368.0,357.7,366.1,366.1,47572.0
3486,2019-04-10,360.0,370.0,355.0,357.7,357.7,36290.0
3485,2019-04-09,371.9,372.25,360.0,363.4,363.4,36274.0
3484,2019-04-08,371.6,386.8,369.0,370.75,370.75,218827.0
3483,2019-04-05,347.1,374.4,343.05,368.4,368.4,220852.0
3482,2019-04-04,347.0,347.75,336.55,341.95,341.95,17893.0
3481,2019-04-03,353.0,353.0,341.05,345.0,345.0,16198.0
3480,2019-04-02,346.4,356.0,340.25,350.5,350.5,26958.0
3479,2019-04-01,345.95,348.0,342.0,345.6,345.6,12091.0
3478,2019-03-28,341.1,350.0,340.0,348.3,348.3,18264.0
3477,2019-03-27,329.95,357.1,326.0,341.25,341.25,45290.0
3476,2019-03-26,327.4,329.5,325.85,327.4,327.4,13102.0
3475,2019-03-25,337.75,337.75,326.45,329.2,329.2,20079.0
3474,2019-03-22,338.0,340.95,331.8,334.7,334.7,11258.0
3473,2019-03-20,340.2,344.05,337.0,338.2,338.2,9031.0
3472,2019-03-19,342.55,346.0,337.55,343.65,343.65,13905.0
3471,2019-03-18,342.15,350.15,339.0,341.0,341.0,15582.0
3470,2019-03-15,344.75,347.95,338.25,341.0,341.0,29849.0
3469,2019-03-14,344.1,346.1,340.0,344.8,344.8,17088.0
3468,2019-03-13,347.4,349.75,345.0,345.35,345.35,16301.0
3467,2019-03-12,348.95,354.55,342.15,347.45,347.45,26461.0
3466,2019-03-11,342.0,356.0,342.0,349.55,349.55,24682.0
3465,2019-03-08,346.05,348.55,342.05,343.95,343.95,13482.0
3464,2019-03-07,347.0,347.0,342.0,344.25,344.25,9240.0
3463,2019-03-06,342.4,349.0,342.0,345.4,345.4,37431.0
3462,2019-03-05,341.0,346.55,337.3,341.75,341.75,88295.0
3461,2019-03-01,323.95,336.0,322.0,332.75,332.75,25310.0
3460,2019-02-28,321.8,322.1,319.05,320.5,320.5,12929.0
3459,2019-02-27,320.05,323.35,312.0,320.7,320.7,23160.0
3458,2019-02-26,319.2,321.95,310.9,316.75,316.75,11341.0
3457,2019-02-25,320.9,325.8,318.05,320.6,320.6,19613.0
3456,2019-02-22,315.1,323.0,315.0,320.45,320.45,18577.0
3455,2019-02-21,310.05,331.55,308.45,316.75,316.75,24404.0
3454,2019-02-20,313.9,313.95,308.85,311.0,311.0,15107.0
3453,2019-02-19,308.95,314.75,307.65,312.3,312.3,18215.0
3452,2019-02-18,309.9,309.9,306.25,307.8,307.8,17627.0
3451,2019-02-15,310.0,310.0,305.0,307.0,307.0,19608.0
3450,2019-02-14,303.15,311.9,297.0,309.35,309.35,33203.0
3449,2019-02-12,298.8,309.0,298.8,305.35,305.35,26939.0
3448,2019-02-11,300.2,303.5,290.2,301.0,301.0,35011.0
3447,2019-02-08,311.3,313.95,300.0,301.8,301.8,46412.0
3446,2019-02-07,312.0,322.95,309.4,312.55,312.55,13740.0
3445,2019-02-06,309.0,316.35,301.5,314.2,314.2,17103.0
3444,2019-02-05,316.4,322.0,310.05,314.05,314.05,15526.0
3443,2019-02-04,312.05,320.45,312.05,316.65,316.65,11151.0
3442,2019-02-01,337.95,341.0,307.0,316.9,316.9,20256.0
3441,2019-01-31,312.05,325.0,306.0,320.95,320.95,21582.0
3440,2019-01-30,314.95,322.0,311.0,314.0,314.0,14973.0
3439,2019-01-29,312.85,317.0,308.5,312.4,312.4,14978.0
3438,2019-01-28,315.0,319.0,307.0,314.35,314.35,12952.0
3437,2019-01-25,317.9,320.0,314.0,315.25,315.25,34752.0
3436,2019-01-24,322.5,327.0,317.0,318.05,318.05,20215.0
3435,2019-01-23,322.8,328.5,322.8,325.2,325.2,20679.0
3434,2019-01-22,328.0,328.45,318.0,322.3,322.3,29132.0
3433,2019-01-21,331.0,334.0,325.3,326.45,326.45,22344.0
3432,2019-01-18,338.5,338.5,329.0,330.35,330.35,19404.0
3431,2019-01-17,338.1,344.8,331.3,333.95,333.95,15607.0
3430,2019-01-16,341.65,344.6,336.45,338.35,338.35,10609.0
3429,2019-01-15,347.65,347.75,339.95,343.6,343.6,19681.0
3428,2019-01-14,349.0,350.9,341.0,344.6,344.6,18794.0
3427,2019-01-11,345.4,350.0,342.0,343.95,343.95,11265.0
3426,2019-01-10,349.65,350.0,345.6,346.65,346.65,4463.0
3425,2019-01-09,351.4,356.0,347.0,349.65,349.65,9170.0
3424,2019-01-08,348.7,361.5,346.5,348.9,348.9,17950.0
3423,2019-01-07,346.1,361.0,343.0,349.9,349.9,27810.0
3422,2019-01-04,343.2,348.65,343.2,346.3,346.3,4949.0
3421,2019-01-03,345.0,349.0,343.95,347.15,347.15,12274.0
3420,2019-01-02,341.95,346.9,341.0,346.05,346.05,17995.0
3419,2019-01-01,339.2,347.0,337.4,345.05,345.05,13710.0
3418,2018-12-31,343.95,343.95,338.0,339.15,339.15,5479.0
3417,2018-12-28,340.7,343.0,339.0,341.75,341.75,7028.0
3416,2018-12-27,342.5,344.0,337.45,340.55,340.55,6441.0
3415,2018-12-26,335.0,343.9,328.6,340.05,340.05,13801.0
3414,2018-12-24,342.1,349.8,332.0,335.35,335.35,13443.0
3413,2018-12-21,352.0,356.65,338.8,341.45,341.45,32793.0
3412,2018-12-20,352.4,353.5,345.0,351.1,351.1,10443.0
3411,2018-12-19,354.95,358.7,349.95,352.4,352.4,38184.0
3410,2018-12-18,351.9,352.3,342.05,350.0,350.0,14542.0
3409,2018-12-17,344.0,354.4,341.0,349.95,349.95,30144.0
3408,2018-12-14,343.65,346.9,334.1,335.85,335.85,49679.0
3407,2018-12-13,336.05,352.3,336.0,345.4,345.4,39078.0
3406,2018-12-12,337.7,339.7,334.65,336.4,336.4,10282.0
3405,2018-12-11,324.95,338.0,321.65,332.45,332.45,25463.0
3404,2018-12-10,319.0,335.0,311.35,325.8,325.8,22146.0
3403,2018-12-07,329.75,332.95,322.3,328.9,328.9,32892.0
3402,2018-12-06,330.0,331.15,320.0,327.3,327.3,75588.0
3401,2018-12-05,336.0,337.5,326.25,329.8,329.8,38400.0
3400,2018-12-04,344.05,347.75,336.0,337.75,337.75,27072.0
3399,2018-12-03,345.05,351.2,342.35,344.65,344.65,17805.0
3398,2018-11-30,345.1,352.3,343.2,344.85,344.85,24570.0
3397,2018-11-29,349.95,353.05,342.9,348.4,348.4,14909.0
3396,2018-11-28,351.95,357.5,348.0,349.95,349.95,22419.0
3395,2018-11-27,353.05,356.0,350.1,352.65,352.65,16696.0
3394,2018-11-26,361.9,363.3,352.0,355.25,355.25,29304.0
3393,2018-11-22,360.6,368.75,359.1,361.8,361.8,36837.0
3392,2018-11-21,362.9,372.7,361.8,364.7,364.7,50770.0
3391,2018-11-20,373.45,375.0,361.0,362.15,362.15,41927.0
3390,2018-11-19,375.55,379.9,372.0,376.45,376.45,39999.0
