,Date,Open,High,Low,Close,Adj Close,Volume
2368,2019-06-14,472.0,475.0,459.1,466.45,466.45,105677.0
2367,2019-06-13,473.0,474.95,461.8,473.15,473.15,107160.0
2366,2019-06-12,475.0,477.4,465.45,473.15,473.15,105888.0
2365,2019-06-11,477.5,479.0,462.05,471.5,471.5,154845.0
2364,2019-06-10,486.65,488.9,471.05,474.8,474.8,177973.0
2363,2019-06-07,492.5,503.0,483.4,487.2,487.2,114582.0
2362,2019-06-06,504.0,504.0,490.55,493.6,493.6,103392.0
2361,2019-06-04,500.9,506.3,492.95,500.6,500.6,138143.0
2360,2019-06-03,500.0,509.9,491.65,498.2,498.2,157792.0
2359,2019-05-31,495.95,503.9,483.75,497.05,497.05,141683.0
2358,2019-05-30,496.1,502.7,487.0,492.55,492.55,137678.0
2357,2019-05-29,497.1,499.55,492.1,495.3,495.3,240455.0
2356,2019-05-28,494.75,507.0,491.0,493.8,493.8,1000878.0
2355,2019-05-27,495.9,495.9,483.0,494.9,494.9,329424.0
2354,2019-05-24,494.65,504.15,480.85,493.65,493.65,136538.0
2353,2019-05-23,500.1,533.35,475.0,488.35,488.35,296828.0
2352,2019-05-22,472.65,507.25,466.05,496.3,496.3,207150.0
2351,2019-05-21,467.85,477.45,459.1,471.6,471.6,112259.0
2350,2019-05-20,447.0,473.5,446.0,470.3,470.3,210513.0
2349,2019-05-17,460.0,460.0,438.05,442.15,442.15,105290.0
2348,2019-05-16,453.0,468.0,445.05,460.1,460.1,150887.0
2347,2019-05-15,439.45,456.8,434.3,449.35,449.35,132306.0
2346,2019-05-14,433.0,440.9,422.8,438.4,438.4,112672.0
2345,2019-05-13,442.35,450.0,426.2,435.9,435.9,168880.0
2344,2019-05-10,436.0,458.95,432.8,440.4,440.4,121674.0
2343,2019-05-09,449.8,449.8,435.5,439.5,439.5,226390.0
2342,2019-05-08,466.0,466.75,446.05,449.6,449.6,194555.0
2341,2019-05-07,473.1,479.8,465.0,469.0,469.0,108251.0
2340,2019-05-06,467.0,479.1,460.1,472.3,472.3,155387.0
2339,2019-05-03,461.6,470.0,452.0,467.45,467.45,462661.0
2338,2019-05-02,462.0,468.0,454.25,458.1,458.1,183823.0
2337,2019-04-30,471.0,471.0,455.5,461.45,461.45,128502.0
2336,2019-04-26,471.0,474.4,465.1,469.55,469.55,117563.0
2335,2019-04-25,475.25,481.45,467.4,470.7,470.7,143219.0
2334,2019-04-24,482.5,482.5,470.0,475.45,475.45,98457.0
2333,2019-04-23,484.0,485.0,475.45,479.45,479.45,108871.0
2332,2019-04-22,486.9,488.35,477.05,482.3,482.3,103082.0
2331,2019-04-18,495.0,511.95,486.0,489.9,489.9,240276.0
2330,2019-04-16,492.15,493.35,477.3,490.55,490.55,567236.0
2329,2019-04-15,485.1,495.1,485.1,491.5,491.5,139165.0
2328,2019-04-12,488.2,491.9,483.05,487.8,487.8,88553.0
2327,2019-04-11,490.0,492.25,483.15,488.55,488.55,170594.0
2326,2019-04-10,481.0,505.45,479.05,488.3,488.3,211969.0
2325,2019-04-09,489.0,492.5,471.4,484.0,484.0,123628.0
2324,2019-04-08,475.2,495.0,475.2,485.55,485.55,227453.0
2323,2019-04-05,475.4,479.9,468.7,475.45,475.45,97939.0
2322,2019-04-04,469.0,474.7,459.85,471.55,471.55,122551.0
2321,2019-04-03,475.1,486.4,462.5,467.7,467.7,270917.0
2320,2019-04-02,471.6,486.0,468.25,478.55,478.55,475069.0
2319,2019-04-01,461.25,479.9,457.95,470.65,470.65,1164403.0
2318,2019-03-28,461.9,465.0,453.85,457.1,457.1,186374.0
2317,2019-03-27,461.7,464.35,452.55,458.15,458.15,190223.0
2316,2019-03-26,471.05,476.45,457.3,461.65,461.65,147652.0
2315,2019-03-25,469.85,471.0,456.8,469.8,469.8,197772.0
2314,2019-03-22,469.25,475.0,466.0,470.8,470.8,125351.0
2313,2019-03-20,463.0,473.0,454.3,469.1,469.1,139018.0
2312,2019-03-19,469.15,473.5,458.7,462.8,462.8,116102.0
2311,2019-03-18,463.4,474.45,462.6,471.1,471.1,162251.0
2310,2019-03-15,459.9,469.7,456.45,466.25,466.25,317926.0
2309,2019-03-14,446.25,458.0,446.25,456.05,456.05,120733.0
2308,2019-03-13,436.35,453.0,435.25,448.95,448.95,327421.0
2307,2019-03-12,428.75,451.95,426.05,435.2,435.2,323790.0
2306,2019-03-11,405.2,429.45,403.55,425.0,425.0,318719.0
2305,2019-03-08,388.6,408.85,385.65,405.25,405.25,901321.0
2304,2019-03-07,388.0,409.0,387.0,394.6,394.6,666193.0
2303,2019-03-06,360.0,392.2,357.35,381.95,381.95,2959268.0
2302,2019-03-05,345.95,362.75,344.3,358.1,358.1,171107.0
2301,2019-03-01,346.05,352.1,341.1,348.05,348.05,86822.0
2300,2019-02-28,332.1,350.0,329.55,346.4,346.4,146087.0
2299,2019-02-27,326.35,337.05,322.25,333.9,333.9,194103.0
2298,2019-02-26,330.9,330.9,319.8,326.25,326.25,125632.0
2297,2019-02-25,345.0,363.5,332.2,336.4,336.4,280738.0
2296,2019-02-22,343.0,344.65,336.0,339.9,339.9,167939.0
2295,2019-02-21,343.15,351.95,340.75,344.4,344.4,145609.0
2294,2019-02-20,339.05,348.8,333.35,345.05,345.05,202235.0
2293,2019-02-19,333.1,343.0,331.2,339.05,339.05,172143.0
2292,2019-02-18,331.9,339.9,325.0,331.05,331.05,230742.0
